time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-23,331.86754966,334.96644075,329.10420729,333.6143768,333.4499156545438,335.67103751327784,330.7890585286781,326.5078756824177,301.8432133929687,338.31632347748763,0,0,0,0,323.47137322329667,280.8768303099176,90.2103259312303,78.15829312872974,4,2,333.6143768,326.38915719252776,328.2205246727173,321.77873736924164,340.12796953,338.32474981413327,337.75939036,340.1561172943228,343.818852254702,321.80103255318,1,2,0,10.525717325195748,0.05262858662597874,-0.1315036275553172,4,6.6032172381457155,49.222465309484996,0,0.5503372055313294,340.12796953,321.80103255318,0,1,0,0,8,8,3,0,460,0,,1,,-0.33177454907188203,-0.12353327377497811,7,3.4349966719110476,0.8972472944087585,,,,,,0.6507281518389664,29.256329323394958,67.85714285714286,27.900908005759597,3,22.874215499766034,14.242769286475493,21.291822756427454,29.03647102093708,,,,859459
2025-05-27,335.32172762,338.53904767,332.78537409,338.26271343,335.05418157969586,335.8914691798276,331.5008351859468,326.96884971173466,302.2055964779143,338.42705169061577,0,0,0,0,323.74673891227616,281.0083571567599,93.78541197667613,47.852843486847945,1,0,338.26271343,336.85774051580484,338.66104020419516,325.5721753364387,345.1816852372625,338.78628256780485,,,344.15893934678064,326.53837006156,1,3.5,0,11.931320059031679,0.059656600295158395,0.3630240870502505,0,6.699301022521808,78.29467651259188,0,0.5452071264632121,340.12796953,326.53837006156,0,1,1,0,5,15,2,0,460,0,,2,,0.566606578388461,0.36351442355605135,8,4.6604404124146495,-2.0630909565312825,,,,,,0.7553296135910488,28.540571357018635,65.07936507936508,22.982282035131487,3,23.2070594924118,13.752841729423043,23.61647492687103,27.38209922400701,,,,976453
2025-05-28,337.06855477,339.53325878,334.72958283,335.35133486,335.15323267313056,336.18471842081243,331.8675494406185,327.29757461950976,302.5354048200246,338.5329075584425,0,0,0,0,323.99291850026236,281.15297684648374,95.37689229054793,60.78219545408046,1,1,327.79415485606785,326.53837006156,328.5716717385998,323.0178250706208,340.12796953,338.32474981413327,337.75939036,340.08502230960283,343.605567300542,326.53837006156,0,0,4,10.846971798060224,0.054234858990301116,-0.04373965234355484,0,6.349206899410833,52.94748482418915,0,2.5822787010042534,340.12796953,326.53837006156,1,1,0,0,8,15,2,0,460,0,,3,,0.222329482718511,-0.047000946606732666,9,4.470380400163272,1.374706254711841,,,,,,0.938026173435222,27.436063338688584,61.507936507936506,24.74171030373379,3,21.994297875092837,13.141693653425543,23.47420006331922,26.04774076691132,,,,1136798
2025-05-29,334.31508147,337.57187784,333.16839308,337.42384164,335.9101023287537,336.65565980456705,332.3967201262739,327.6946831301172,302.882553445099,338.64768694397713,0,0,0,0,324.1486921951149,281.23568749849073,97.11891679217362,36.525130344486,1,2,337.42384164,326.53837006156,329.10420729,323.7184624222259,340.12796953,338.32474981413327,337.4681636130224,339.18133601524414,342.6076808196877,329.10420729,1,3.5,0,11.404185484444545,0.05702092742222273,0.14711645578027407,0,6.305325567110827,86.08473745163339,0,0.19730412760072327,340.12796953,329.10420729,0,1,0,0,8,15,2,0,452,0,,4,,0.6246326458104398,0.1392352720393083,10,5.801349339066812,-2.623048541076156,,,,,,0.5759752537790633,25.88350972223019,57.53968253968254,18.50182156850423,2,21.84228848099799,12.799656258078251,22.396747391118357,26.479460154943023,,,,628805
2025-05-30,337.2461982,343.74005278,336.53562445,342.8913119,338.2371721858358,337.6117019254718,333.39620505710496,328.2906293563871,303.28065054415276,338.8010409755131,0,0,0,0,324.9891291122729,281.6003450433089,99.71959863617646,1.5982464265614664,2,0,342.8913119,339.26824280459346,340.9876962554065,329.65781064674775,363.4088822805,346.10369741,,,350.40233103703264,329.10420729,1,7,0,13.060728168703454,0.06530364084351728,0.6989730211256228,6,6.280342087676892,95.66982055344211,0,1.550426450857637,,329.10420729,1,1,0,0,8,10,3,0,452,0,,5,,0.3604817223261339,0.6864850781673976,11,7.391860658297068,-5.053535439933379,,,,,,2.274171316720093,23.957255195770273,55.95238095238095,10.119222354644918,2,21.755743169539134,12.249092509825996,27.126881388683113,24.498251566195055,,,,2545229
2025-06-02,338.92394179,344.33219757,337.67056864,344.20389953,340.2260813005572,338.9425225694822,334.42550929261876,328.914679167117,303.68784705147465,338.99442852220614,0,0,0,0,325.3172448389033,281.7434697633654,98.45717172419245,10.690674884699996,2,1,344.20389953,328.3236505963564,330.03924360300425,326.6820323433746,,346.10369741,345.24590090667607,346.9614939133239,350.3926799266196,326.53837006156,1,3.5,0,13.341347990016189,0.06670673995008095,0.7249503193692078,6,4.935849967683479,90.02803759254347,0,0,,326.53837006156,0,1,0,0,8,10,2,0,452,0,,6,,0.15167147876210146,0.7149307817338846,12,5.135027634112516,-4.547038768776676,,,,,,0.915123309925825,21.610218766126486,46.82539682539682,26.388217870867024,3,17.098285845129972,11.823719106702466,25.862275564666685,22.79956507354252,,,,986107
2025-06-03,345.07237856,346.62675864,337.28567452,340.72998341,340.3940486703715,340.1552116095589,335.02593539903603,329.3780244315438,304.05642552270376,339.1980717047074,0,0,0,0,325.5888238111933,281.8847794349424,97.35630825939549,14.412608736924753,2,2,329.41915747102155,328.5392296097208,330.2990853323223,325.01951816451765,344.55182370481856,345.1384182486929,344.55182370481856,346.62675864,350.14647008520313,326.53837006156,0,2,6,12.06143163205667,0.06030715816028336,0.2126849652902328,6,5.002210348445217,70.07802885256122,0,3.4395242835990416,344.55182370481856,326.53837006156,1,1,0,0,8,10,2,0,460,0,,0,,-0.23552088438490504,0.20999807041181617,13,3.8889369349337133,-1.5696781154449906,,,,,,0.9778800548992118,18.764278660130486,28.96825396825397,8.287742627044524,2,17.328164947307865,11.764749057977864,25.73923803757562,20.638545235014625,,,,1035784
2025-06-04,340.86815053,341.48003348,331.88728782,331.93663322,337.57491018691434,340.2432134691065,334.73171614388974,329.4783620310911,304.3338405246669,339.35668312390135,0,0,0,0,325.72619145904883,282.0348449516092,90.40071716740012,50.83020515105036,4,0,329.4420344284039,328.53930904237455,330.3447598144332,324.92840749825734,340.25560351,333.6143768,,,338.12800373014653,325.3518908981067,0,0,5.5,9.069905813874085,0.045349529069370426,-0.8417128116946897,6,5.620969926302795,30.57926849700374,0,2.395760493489677,340.25560351,325.3518908981067,1,1,0,0,8,8,2,0,456,0,,1,,-0.6444316118654835,-0.831983608041694,0,2.5966782502036674,2.384064907737212,,,,,,1.2334920117737358,18.99475469059789,31.746031746031747,-2.4489823145084597,1,19.471611000346254,11.033496310067955,23.297129635718782,24.01975815562017,,,,1300214
2025-06-05,331.93663322,332.90873759,320.8043111,323.80451139,332.9847772546096,338.60266222026837,333.69102997685263,329.2558580843816,304.52757854322743,339.425272389522,0,0,0,0,325.6687455164466,282.2124150657108,96.23359313334943,40.93076899339277,4,1,322.48014937253674,321.53382913470597,323.4264696103675,317.74854818338287,340.25560351,329.41410893836155,,,334.14571012751543,323.6296235751129,0,0,3,6.330110704254734,0.03924597743833126,-1.717312453794042,6,6.107783606950823,47.156321470055694,0,3.756752403015171,340.25560351,323.6296235751129,1,0,0,0,8,8,1,0,456,0,,2,,-1.0607633913364607,-1.6929824201183399,0,4.760876048626336,2.3582921228916995,,,,,,1.7100565777865133,17.86678203839,25,-15.555362769584342,1,21.157983057750243,11.758928387657045,20.636462881577433,31.73339841500385,,,,1851455
2025-06-06,324.80326601,327.09743753,323.62651424,325.09992612,330.35649354307304,336.0195893290615,332.8728296095333,329.0928803602882,304.7322785191157,339.4218043965727,0,0,0,0,325.66207244318036,282.28469294888777,91.21999541745951,50.795274006259994,4,2,322.17719382645134,321.2674775048049,323.0869101480978,317.62861221821913,340.25560351,329.2604104514455,,,333.80899205967773,322.4450320931383,0,6,0,6.683784107106545,0.03341892053553273,-1.4421270017687267,4,6.131666543266114,35.830575478972214,0,3.974515847056501,340.25560351,322.4450320931383,1,1,0,0,8,8,1,0,456,0,,3,,-0.8077475777789617,-1.4256119825960172,0,3.2444666929448704,2.3172026373404138,,,,,,0.6886647022692046,17.9581423959871,26.58730158730159,-15.454156930180543,1,21.240715976014275,12.432543888275486,19.93346135698783,30.65236880279873,,,,735210
2025-06-09,322.89475264,324.17632431,308.7045107,314.29160944,325.001532175382,331.88993714049263,331.1031895933873,328.5124383634141,304.8273962397215,339.2881440428532,0,0,1,0,325.37616826004535,282.40285085761496,54.35591691009667,10.361617733516004,4,3,311.35907544,311.35907544,313.3413238841291,307.39457855174186,323.56577543732,322.52830875297457,321.53718453091,323.51943297503914,327.4839298632973,306.20969263408,0,13.5,1.5,3.10477775850425,0.11745991060143285,-2.5537036200338514,4,6.934306386730022,16.505666267917974,0,3.0790035511121476,323.56577543732,318.6302947750197,1,1,0,0,8,11,1,0,328,0,,4,,-1.8154881744712927,-2.5030841335050598,0,-1.6282170956586572,0.7257254657440964,,,,,,1.443783663204171,16.737619650805005,22.61904761904762,-30.32129911739595,0,24.02114195413151,14.396028812081706,16.989317470837804,39.567587895849066,,,,1616449
2025-06-10,315.59691392,317.66364603,308.82317474,310.89979551,320.30095328692136,326.74401236681996,329.17905682354086,327.8217464868096,304.8878181230079,339.0156393823292,0,0,0,0,325.0518606310799,282.49840588369494,38.88856787106813,8.117918469095539,4,4,303.83921626025034,302.83995384610114,304.83847867439954,298.8429041895042,321.80103255318,311.35907544,311.35907544,313.3576002682985,317.3546499248954,302.39634368500003,0,0,3,1.9718653975760194,0.1807417315279714,-2.704111618433807,4,6.739785294385035,17.987608769226043,0,3.5950148907026462,321.80103255318,302.39634368500003,1,1,0,0,10,7,1,0,328,0,,5,,-2.3670592363207303,-2.6454183412368395,0,-1.1395701745965843,0.924409193836127,,,,,,1.3276309109934208,17.554362172884545,24.206349206349206,-24.812028252512476,0,23.347301123960882,16.21926481275891,15.647313580098835,36.4421028965528,,,,1473184
2025-06-11,308.84295208,311.88856366,305.54013619,309.45604964,316.68598540461426,321.2384999235784,327.30067518701316,327.1015230810524,304.93327316297797,338.60824670112396,0,0,1,0,324.7202252239956,282.58578693786023,34.39662743110783,9.773506614336503,4,5,303.95500579165036,302.9704368761011,304.93957470719965,299.032161213904,321.80103255318,311.35907544,311.35907544,313.3282132710986,317.2664889332957,300.64578509674,0,14,1.5,1.4832020232192706,0.16255713736156754,-2.616589595907362,4,6.704202983982611,17.54669782096842,0,3.6251452751935744,321.80103255318,300.64578509674,1,1,0,0,10,7,1,0,332,0,,0,,-2.2411290179637695,-2.5597700567829027,0,-0.6957876088489385,1.5015915957684107,,,,,,1.2633830221366598,19.501362046615817,35.714285714285715,-16.029417261993824,1,23.224040385025514,18.157647171841734,14.746485727976431,37.32132931280254,,,,1428720
2025-06-12,309.77248709,317.1395465,308.90238299,316.58578096,316.6525839230762,316.6657958845376,326.28020907015474,326.68914103708954,305.0492185141921,338.1240521501812,0,0,0,0,324.55224765854865,282.69471835274203,34.307143040187505,38.268335498352776,4,6,309.64412143228463,308.11384546,311.35907544,304.1626907911741,327.44790921948,323.32032261687624,322.33253394966977,324.3081112840827,328.2592659529086,310.171802802038,0,8.5,0,3.781869201960012,0.12311722714707231,-1.5944869520473064,4,7.138020759260675,23.523599937532616,0,2.6622131335082195,327.44790921948,310.171802802038,1,1,0,0,10,8,1,0,332,0,,1,,-1.833663049098178,-1.5709302847720463,0,-0.4314794509287676,0.645989919345575,,,,,,1.2246981858343469,21.12448057649888,45.63492063492063,-14.568583094202973,1,24.72682924104172,19.03948330266536,18.394868322900958,34.54255849653574,,,,1416706
2025-06-13,315.3398085,317.16921251,312.65009016,313.11485767,315.47334183871743,312.91268911420946,325.02636607966383,326.15681619916444,305.12947363017025,337.5550119858585,0,0,0,0,324.38161266855565,282.76603026227656,29.362958748664767,29.773229498965133,4,7,311.35907544,,,306.5711672373449,321.80103255318,313.43210841,312.474526769469,314.38969005053104,318.2200166126551,307.8135231884937,0,0,1.5,2.6170477551140667,0.19082784787300838,-1.8512481287762657,4,6.590075714081196,15.273645543354192,0,1.173494767170044,321.80103255318,307.8135231884937,1,1,0,1,10,16,1,0,332,0,,2,,-2.4219408727795044,-1.8214861608405464,0,-1.0664741754279925,1.7183464411091605,,,,,,0.8972035312735346,22.030292733943295,50.79365079365079,-3.497349711089311,1,22.828691925028757,19.853248891970352,17.64743056472124,33.087049923832566,,,,1039024
2025-06-16,314.04439268,315.74524398,312.08643595,312.80830889,314.58499752247826,310.0618234918082,323.8627415854101,325.63334532429525,305.2058799511636,336.9121893589142,0,0,0,0,324.1704681250983,282.8534974748444,50.814312503139895,34.62869048137424,4,8,311.35907544,310.4372245592391,312.28092632076095,306.7498210361953,321.80103255318,313.43210841,,,318.0413628138047,305.7102906870987,0,0,3,2.490918241828392,0.19842209334716363,-1.732738941918444,4,6.409663546868519,33.983125488782825,0,2.2654330176613118,321.80103255318,305.7102906870987,1,1,0,0,8,16,1,0,332,0,,3,,-2.4877400171041733,-1.7058350683065409,0,1.7169040087368699,1.2571372166344754,,,,,,1.1022772625835073,23.084846875696304,54.76190476190476,3.968347639682685,2,22.20372584519682,20.663711335023248,17.022052840496826,32.460459748600684,,,,1294206
2025-06-17,310.8701295,314.61793556,309.74282108,312.61053548,313.9268435083188,308.1028299759883,322.7911029087044,325.1226468990288,305.27955811562964,336.2087159476393,0,0,0,0,324.0163629675647,282.9175202629263,64.25875441467485,40.73841647599837,4,9,311.35907544,310.45954324286487,312.2586076371352,306.86141445432423,321.80103255318,313.43210841,,,317.9297693956758,305.54013619,0,7.5,1.5,2.4013980528606638,0.16735072304702983,-1.6141229868130165,4,6.35835672064885,35.632061074457305,0,2.3216416591725437,321.80103255318,305.54013619,1,1,0,0,8,16,1,0,332,0,,4,,-2.242749862261812,-1.589806430061923,0,2.1046040774772585,1.4331575757920185,,,,,,0.8044153401184708,24.08114957045942,59.12698412698413,9.330592775247812,2,22.025993785621672,21.647629041716932,16.198366209006586,33.21594201378081,,,,958454
2025-06-18,312.77864288,315.85401935,311.20634429,313.59940252,313.81769651221254,307.0578725573754,321.9157028716849,324.6707549625963,305.36234263706615,335.46800969075804,0,0,0,0,323.86657462759433,282.98959296531586,70.12234821841676,48.09267386176684,4,10,311.35907544,311.35907544,313.11262943217963,307.8519674556409,321.80103255318,321.80103255318,320.9242555570902,322.6778095492698,326.18491753362895,306.20969263408,0,6,0,2.697470752876656,0.08442160678500688,-1.378234450456018,4,6.363714396743205,42.73721969773898,0,2.9773697187963855,321.80103255318,306.20969263408,1,1,0,0,8,10,1,0,332,0,,5,,-1.5674740241649887,-1.3582465522001619,0,1.9758785891244752,0.3956290952061504,,,,,,0.8751852321576375,24.94630099518606,59.92063492063492,13.16310488593803,2,22.044553320033515,22.31118579840927,16.690465158718816,31.643860136670316,,,,1048906
2025-06-20,315.0728144,319.32494264,314.6377129,316.59566963,314.74368755147503,307.1912413024285,321.4090330391435,324.3540849495533,305.4741170350058,334.72572405540456,0,0,0,0,323.6221828415264,283.1794626830858,97.32985471373858,84.50612084655671,4,11,316.59566963,311.35907544,313.43210841,307.71554520619014,323.56577543732,324.7046062368973,323.83933527517104,325.56987719862354,329.0309610455285,308.11384546,1,7,4,3.6407512043711696,0.01820375602185585,-0.949018879149324,4,6.4687156430707695,55.40389740876988,0,0.7849108272212285,323.56577543732,308.11384546,0,1,0,0,8,8,1,0,332,0,,6,,-0.7669304100384755,-0.9340402233189735,0,5.234630517942968,2.0818385535808406,,,,,,1.9790564019736812,25.68072766035244,61.111111111111114,14.60370068648991,2,22.408288307028307,22.244565904615072,19.28596096538258,29.774315809989105,,,,2537151
2025-06-23,317.17910118,320.91701857,316.27923218,320.51158308,316.6663193943167,308.55702365423724,321.32356161446313,324.20339860172766,305.6237435628167,334.0186942367508,0,0,0,0,323.5690526721025,283.2881890258968,86.75512877744364,68.95503077069851,4,12,312.9983012334512,311.35907544,313.43210841,307.97957663965974,327.44790921948,324.76534250059456,323.5690526721025,326.4550919007647,329.834590701105,312.61366499284003,0,4.5,0,4.871296759743834,0.024356483798719172,-0.4633877782427589,4,6.621592990061591,50.35727357770455,0,2.879139453857289,327.44790921948,312.61366499284003,1,1,0,0,8,8,1,0,332,0,,7,,-0.5649651401110943,-0.45154077330789977,0,2.9979582459320735,0.4451734288033888,,,,,,1.0020461427184546,26.282135680258946,62.698412698412696,14.579664837831055,2,22.937870971657187,21.880934356104678,20.023215530527494,28.315023800885523,,,,1311678
2025-06-24,321.5400048,323.69573493,315.10248041,322.35087577,318.5611715195445,310.9262825615281,321.4214010578476,324.13075064754224,305.7901826892563,333.3644640552843,0,0,0,0,323.5528162068847,283.37795805261453,89.52339003880586,65.07805069669217,4,13,313.3738368317581,311.651332843743,314.22846806556004,308.2063248677127,330.9316688641,324.8335750689654,323.97232307495784,325.69482706297293,329.13983503900323,314.22846806556004,0,4.5,0,5.415704629593248,0.02707852314796624,-0.25073084248116295,4,6.5967105710860565,51.95338107081189,0,3.3977341812667095,330.9316688641,314.22846806556004,1,1,0,0,8,8,1,0,332,0,,8,,0.3969405700702086,-0.23947260643428642,1,3.410199596549157,0.4276960404262254,,,,,,0.7871502734567586,26.7481971651408,63.492063492063494,17.051359667949935,2,22.851675743895505,21.029429392325774,21.120113764700672,25.792551865159655,,,,1037382
2025-06-25,321.38178607,321.87621959,313.30274241,313.89606263,317.0061352230297,312.8156000067094,320.7047021599574,323.72939033312883,305.8708382110548,332.7126039969982,0,0,0,0,323.3693552536085,283.4795211189461,64.42055389830912,60.595327026384105,4,14,312.7386186207143,311.35907544,313.43210841,307.83699184225765,321.80103255318,324.70626226219133,323.8257413627557,325.58678316162695,329.10886675936933,306.20969263408,0,0,0,2.6237298285388473,0.013118649142694236,-1.1753396830875154,4,6.827053161501589,22.41176006557193,0,1.8488584182492789,321.80103255318,306.20969263408,1,1,0,0,8,8,1,0,332,0,,9,,0.011059023531572653,-1.1595514574809536,0,-0.13863535209487754,1.2861432684116396,,,,,,1.1211389262816245,27.086024020559606,65.07936507936508,14.53055139318121,2,23.649605883388965,20.502895760479348,19.182364614860234,25.251063856218103,,,,1507302
2025-06-26,314.45971684,316.22484449,311.87887276,314.84537498,316.28588180868644,314.1775347131484,320.14667099996143,323.38099757418263,305.9601370843776,332.07370080631506,0,0,0,0,323.2218345241345,283.5759878752611,73.34796635253932,73.07842348214268,4,15,312.7386186207143,311.35907544,313.43210841,307.9333559660249,321.80103255318,324.4843492656657,323.6279193971719,325.34077913415945,328.76649860813455,306.20969263408,0,6,0,2.9040508284162514,0.014520254142081258,-0.9861488307443117,4,6.838421637272188,39.70601511289262,0,1.885935188916637,321.80103255318,306.20969263408,1,1,0,0,8,8,1,0,332,0,,10,,0.19642309207452524,-0.9798276604226684,0,2.4868229308131795,1.3648491899539341,,,,,,1.0293254661015139,27.29093835306427,65.47619047619048,15.205170435091073,2,23.688987438667553,20.222489915793744,18.313245681658646,25.591415252018386,,,,1397270
