time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-23,261.61635166,264.56764195,261.27491455,263.73273746,264.0058011332003,262.897156204284,266.07267780837753,273.20538969967623,279.59510729745557,280.2631587346067,0,0,0,0,282.1526672410419,276.30500216874,69.23479571687434,87.20491704500813,4,34,255.02207375,254.14745450570058,255.89669299429943,250.64897752850288,268.81982995,265.21166498061734,264.3370457363179,266.08628422491677,269.58476120211446,255.02207375,0,1.5,3.5,-5.6733359860192065,0,-0.21262694270075172,4,8.884681943418183,31.141399093470053,0,2.330063349744669,268.81982995,255.02207375,1,1,0,0,8,8,1,0,3222,0,,6,,0.7975171533000294,-0.19973666603880166,0,1.0119952494452757,2.873127107224472,,,,,,0.8663293438045002,31.81234730953627,50,3.3625480331397997,2,30.777441070180167,35.35662773082475,13.087569412617519,27.120786249604585,,,,2532123
2025-05-27,265.71320858,271.4701663,265.14527936,271.29541885,266.43567370546685,264.43158661427054,266.5700817171035,273.13048888204185,279.5125233328043,279.427300389606,0,0,0,0,282.10063380925544,276.2621555242721,80.71702044965159,87.39205441876155,4,35,264.09472948111113,263.2134988539045,264.97596010831774,259.6885763450781,268.81982995,273.13048888204185,272.24925825483524,274.01171950924845,277.5366420180749,262.81330119,0,0,0,-2.939798326324194,0,0.6287755430040503,4,9.325566996740882,50.7016641830586,0,2.3415408801090085,268.81982995,262.81330119,0,1,0,0,8,8,1,0,3222,0,,7,,0.6821993178026099,0.6336464423342856,1,3.3929752577206846,2.4242270475417724,,,,,,0.9841295755777073,30.078421544043078,48.80952380952381,-6.8915338803456,1,32.30471169548542,33.79426668414086,19.055160559317326,24.994648793839726,,,,2917522
2025-05-28,270.8779666,273.13026709,268.54800058,270.27605871,267.71580204031125,266.2544418989576,266.9230319069032,273.01855044392255,279.42061821217936,278.6402785852493,0,0,0,0,282.0260571325346,276.19510999304094,87.9663658714437,88.30465798600542,4,36,264.09472948111113,263.23553080486573,264.95392815735653,259.798736099884,268.81982995,270.27605871,276.8690710373203,278.5874683898111,282.0242630947928,262.81330119,2,0,2,-3.2726860174775747,0,0.4680556996927579,4,9.10462306348292,52.35064744805813,0,0.6352253736460322,268.81982995,262.81330119,0,0,0,0,8,8,1,0,3222,0,,8,,0.9648280999023642,0.46890929844208573,2,4.08774346605613,2.637503963338447,,,,,,1.266669731863309,27.709149947062865,43.65079365079365,-12.144165280618685,1,31.53933945943163,32.0233398786315,19.87293099536905,23.8044602613678,,,,3863818
2025-05-29,271.07213044,275.53789865,270.27605871,275.26606928,270.23255778687417,268.6200227171221,267.71760689481715,273.1066884374942,279.3792794168343,277.9251914817552,0,0,0,0,281.9952755085063,276.1876238629216,86.07790236068749,78.18499278545562,4,37,273.1066884374942,272.26188038151633,273.95149649347206,268.88264815760476,278.0903581872442,277.13876350749825,,,281.3628037873877,267.77224479204,0,1.5,0,-1.4722674299325527,0.1434631084237642,0.9618392820482852,4,9.27069643452994,52.524198229072574,0,1.179834807323485,276.2337331877177,267.77224479204,0,1,0,0,13,8,1,0,3222,0,,9,,2.1477048673901136,0.9533171027213753,3,2.3298551201215236,0.8290341529081338,,,,,,0.9158463754889064,24.51289234169964,36.904761904761905,-23.67064819756342,0,32.11463449230698,29.926518085696248,21.312342639993734,22.48066780271511,,,,2802379
2025-05-30,274.36320744,280.38228634,272.83902134,279.77067026,273.41192861124944,271.47482219703727,268.8655176915012,273.3680210579846,279.3831738530847,277.30366507342796,0,0,0,0,281.9757866107258,276.24279926107414,98.66188888035848,87.15223395008775,4,38,272.9721080190413,272.1202928152761,273.82392322280646,268.7130320002154,277.83597252156255,281.9757866107258,281.1239714069606,282.82760181449095,286.2348626295517,271.86355151,0,4,0,0.13869711678450197,0.08287147304466275,1.3481556718363754,4,9.059342876591165,58.721856847889356,0,1.1419999269846512,277.83597252156255,278.15625277833266,1,1,0,0,8,8,1,0,3222,0,,10,,1.6574238996859219,1.3314431561031619,4,5.833919644875355,2.372648609409598,,,,,,1.7079206591729446,21.388802179575322,31.746031746031747,-31.844776910198675,0,31.382484290886165,28.41841328392961,24.705035671813015,20.70318600075096,,,,5439225
2025-06-02,277.30478955,281.00361061,276.46503096,280.05220782,275.6253550141663,274.34762965661776,269.93091675135827,273.63014602904406,279.3898309074819,276.76703628435223,0,0,0,0,281.96839689957073,276.2684483150249,95.24550098876762,85.57548449614715,4,39,279.25772691680044,278.42623262357205,280.0892212100288,275.1002554506585,288.24828450324003,281.96839689957073,,,286.1258683657127,271.86355151,0,3,0,0.23707982154061508,0.04986259245523639,1.2415801535776552,4,8.995064258141008,56.96047866608004,0,2.1625061433753308,279.6990320215386,278.15625277833266,1,1,1,0,14,8,1,0,3222,0,,11,,1.3894175467802665,1.22964016111982,5,5.374025838712927,2.5385640101322684,,,,,,0.7780104170543809,16.937530045818093,18.253968253968253,-45.643036832616055,0,31.159816624894148,27.11710274427726,24.168207990873363,19.694212291799662,,,,2394373
2025-06-03,277.18829125,283.24620291,274.78065969,281.12010891,277.45693964611087,277.1236200139372,270.99655409980033,273.9238700635913,279.40704760402434,276.307135615414,0,0,0,0,281.9652504080197,276.2999011081767,97.34155245833347,71.16172085127107,5,0,279.5672965387005,278.71960948766696,280.414983589734,275.32886128353294,288.24828450324003,281.7372403832136,,,285.9756756383811,274.20057374826,0,3,9.5,0.6131059759106032,0.02419923053634667,1.227318731649072,0,8.975814792203,83.35617504868766,0,2.048158681663388,281.7372403832136,278.15625277833266,1,1,0,0,8,8,1,0,3222,0,,12,,1.1690696052543492,1.2201008743796053,6,6.650105698585734,0.6121002598213063,,,,,,0.7596784650320539,9.455906478718806,9.920634920634921,-69.58844251297049,0,31.09313451884776,26.26681154484625,24.375307464411183,17.938150172774705,,,,2320446
2025-06-04,281.7220168,284.65389071,278.51831352,278.63481182,277.8495637040739,279.31429627846666,271.72400721600985,274.10861287756813,279.39936366587483,275.8984930677668,0,0,0,0,281.9528477112829,276.3150563478381,97.57945512565499,81.0278493423906,5,1,274.5533486346747,274.4105068706,276.2371884649869,271.04282720997554,278.15625277833266,279.83148923460044,,,284.041088810381,271.86355151,0,0,3.5,-0.27364122660964707,0.002722546866137765,0.8469469040387976,0,8.188577054549398,56.04074738569875,0,1.0263159536098558,278.15625277833266,278.15625277833266,0,1,0,0,8,8,1,0,3222,0,,13,,1.0217803749291021,0.8471285476923507,7,4.820087839162898,3.317677036466292,,,,,,0.7772052403183525,8.784181652998278,8.73015873015873,-69.03277817266503,0,28.36606300034452,25.697483691642407,24.28211272836286,16.77095287244818,,,,2338424
2025-06-05,277.97465478,282.85777816,276.67375708,278.72218555,278.14043765271595,280.94813207111304,272.3905003906756,274.28953729609486,279.39262557516963,275.5338733031733,0,0,0,0,281.9399205392616,276.33179421424063,97.81526691478581,87.13994189369618,5,2,274.48495157051235,272.8109570659367,276.158946075088,269.4629680567854,284.6192181644919,280.1154567985005,,,284.30044305993954,271.86355151,0,0,3.5,-0.2399633933749787,0.042504299821237684,0.77657111234526,0,8.00908729700516,54.0763746446959,0,2.017980856822581,278.15625277833266,278.15625277833266,1,1,0,0,8,8,1,0,3222,0,,14,,1.3400343985699015,0.7774221092273337,8,4.974283354844003,3.7514197535939755,,,,,,0.836278624796142,7.9863728588519205,7.936507936507937,-71.21435721127021,0,27.744292241334843,24.75639015321806,22.680286585557557,17.632277148906095,,,,2522678
2025-06-06,281.34339732,285.00338562,280.57645017,281.85793149,279.37960226514394,282.3848129593307,273.29216049537314,274.5863370684049,279.4171559822824,275.2263184666909,0,0,0,0,281.9396617463929,276.36203525132316,97.01978836296408,84.90979274186728,5,3,280.0704187169199,279.2371248391705,280.9037125946693,275.9039493281729,286.39130308968276,284.299484561,,,287.6326600719976,278.30141664937844,0,1.5,6.5,0.8735238532999638,0.07265363322197811,1.0278668593862748,0,7.863763621363884,57.971746457613314,0,1.5170840783889223,286.39130308968276,278.30141664937844,1,1,0,0,8,8,2,0,3286,0,,0,,1.5462881116438263,1.0241544905583508,9,4.067465105350543,2.334121257631738,,,,,,0.6800564827027085,7.80280634592935,7.936507936507937,-71.35625788637644,0,27.240876261828145,24.242555449734617,23.452837395194994,16.445593886990608,,,,1996270
