time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-23,60.44268305,61.35805233,60.26338391,60.97114366,61.764284161272,63.11084132209005,61.76645363440943,61.98953353438186,64.26920868531394,58.85209748354515,0,0,0,0,66.38578878025196,60.63725130160031,97.25099461129086,58.908711231801185,2,2,60.63725130160031,60.42359628660948,60.850906316591136,59.56897622664618,62.74807205977999,61.98953353438186,,,63.05780860933599,59.2605734,0,7,3.5,-5.131640940940314,0,-0.4514028927941039,6,7.002172535439613,77.70187459980441,0,1.975915012591977,62.74807205977999,59.2605734,1,1,0,0,8,8,1,1,652,0,3,2,,0.0008848299993692302,-0.4540250122341143,0,5.887510250412846,0.48092621489541226,,,,,,0.9707234152263101,74.77348597616975,95.23809523809524,208.2649851749045,3,24.25623718948959,13.395919240433276,20.14665813048401,27.659737099511034,,,,1369760
2025-05-27,61.92426013,63.53795237,61.68834022,63.31146925,62.28001252418134,62.88263343132208,61.91359797875139,62.04137415068061,64.25967893968892,58.91368820590363,0,0,0,0,66.36133020722987,60.725372063246816,98.31177786028749,59.46002036789403,2,3,63.31146925,61.240729304300004,61.92560383,59.917845200782445,64.06488641989617,63.9667978419632,63.745485964561006,64.1881097193654,65.07335722897417,61.240729304300004,1,5.5,0,-1.4755904563091073,0,0.4958767433396681,6,7.979044234506125,77.13592883125195,0,0.22200961537559735,64.06488641989617,61.240729304300004,0,1,0,0,8,8,0,1,652,0,4,3,,0.017855253410897998,0.48434849190481283,1,6.313313371211475,0.9812495907578929,,,,,,1.1359425521122015,73.6690021899986,94.44444444444444,166.5282770421905,3,27.64022002000825,12.723880094910136,26.854926747390163,24.79543509306221,,,,1619271
2025-05-28,63.37752683,64.0286658,62.75469825,63.95317143,62.83773215945423,62.87854170100693,62.107843069346494,62.11634659300686,64.25662911372187,58.98621614910519,0,0,0,0,66.34496890271663,60.81430560892482,98.79450102478155,54.82930310220396,2,4,63.95317143,63.26608890582625,63.699846098680325,61.019669478583694,64.70422054891186,64.22754332067247,,,65.31193630280765,61.240729304300004,1,6,0,-0.47225895274526764,0,0.682815788246851,0,7.80574600461876,78.67920412613037,0,0.25602475517333695,64.06488641989617,64.06488641989617,0,1,0,0,8,8,0,1,684,0,5,0,,0.34649018710947793,0.668389844174064,2,6.123429823979766,0.4505913003052495,,,,,,1.0140964604144507,71.5521896803507,93.25396825396825,164.61709072146076,3,27.039897341954916,12.371706824278812,27.466651381544963,23.494979931531667,,,,1392294
2025-05-29,64.47219525,65.00065587,63.90598745,64.97234548,63.54926993296949,63.12954782973162,62.380652822742064,62.22834654935953,64.26375066960523,59.073966045403054,0,0,0,0,66.33404644365201,60.94529964375907,99.28161210937644,51.41317694819132,2,5,64.97234548,63.48995311408688,63.91227530066566,62.216698703684855,65.1265200923542,65.1265200923542,,,66.18232555880115,64.06488641989617,1,4,0,1.1026353161953166,0.0055131765809765835,0.9927039784777025,0,7.507768278286487,85.51113547406102,1,0.05594861202071748,,64.06488641989617,0,0,0,0,8,8,0,1,684,0,6,1,,0.6122983163583631,0.9785984842306458,3,7.649326307592965,0.3331188463501261,,,,,,1.3034631196167847,67.58867765604737,91.66666666666667,159.87976581368298,3,26.007672218892214,12.558198111946245,30.305214199176664,22.40748875194148,,,,1643754
2025-05-30,64.67036798,64.67036798,63.07083094,63.53795237,63.54549741197966,63.358709203448925,62.49087182724282,62.279703640365035,64.25652879597732,59.16679177861095,0,0,0,0,66.30057500671414,61.06397025946943,99.96244791268815,24.811751698750577,2,6,63.345520718799946,63.132464752352654,63.55857668524724,62.28024088656348,64.50994244,64.75901428849237,,,65.82429412072884,61.240729304300004,0,5,6.5,-1.118293252750845,0,0.3227968364399313,0,7.92659712098324,94.62885160920047,0,1.09306652201934,64.04422233950808,64.04422233950808,1,1,1,0,1,10,1,1,684,0,7,0,,-0.046059998617656535,0.3064888846851782,4,10.075761212498366,-1.0382367285310727,,,,,,1.8903097275987164,62.47120634792661,87.6984126984127,127.51104446886619,3,27.458537889344313,12.178711293426089,27.890280092623968,24.121805468117238,,,,2502768
2025-06-02,63.04723894,63.92486104,62.11299607,63.78330909,63.62476797131978,63.53922940528182,62.61396109036255,62.33866855995856,64.2518201421865,59.26539327795919,0,0,0,0,66.28727429017903,61.1181022426293,99.46299222761418,20.737799804594943,2,7,63.78330909,63.09982076346675,63.52785086133315,60.4008756785344,64.50994244,64.50994244,,,65.58001768466602,61.240729304300004,1,4,0,-0.7291794242555388,0,0.3683629136631665,0,7.864861616255033,92.97690165902884,0,0.21482561860254054,64.04422233950808,64.04422233950808,0,1,0,0,8,10,0,1,680,0,8,1,,-0.2108018882055926,0.3561942123717459,5,6.174034080681384,-4.037448841442639,,,,,,0.8433913999164027,58.19608901058299,85.71428571428571,113.6053327791571,3,27.244679827703987,11.379085879524746,25.782057957444714,26.29446779618535,,,,1110567
2025-06-03,63.68894112,66.83139443,63.33977964,66.41617538,64.55523710754652,63.962081645328155,62.97607673699469,62.49857078819548,64.27335601519957,59.384742325845906,0,0,0,0,66.28839191310779,61.28710883356058,99.6376321479924,12.321093111599781,2,8,63.38137838224281,63.15147499046555,63.611281774020064,62.23186142335652,65.72052984860774,66.506321147,66.27641775522274,66.73622453877725,67.65583810588628,64.04422233950808,0,7.5,0,3.333915478590678,0.01666957739295339,1.3324052441567942,0,8.712233787557242,95.27315636270934,0,2.034899483893847,64.04422233950808,65.72052984860774,1,1,0,1,8,10,0,1,680,0,9,0,,0.5126936321888648,1.3146771725933224,6,7.928070238501389,-3.830990702389619,,,,,,1.3378190428966898,54.54106920243085,84.52380952380952,80.71887046285583,3,30.180063134934755,11.94213884931337,33.57385268883204,22.72891141405655,,,,1838313
2025-06-04,66.38786499,67.66183254,65.84053078,67.2183031,65.44292577169767,64.63305055708875,63.38009829537615,62.68365832983487,64.30265897126723,59.52768249192734,0,0,0,0,66.29659353709444,61.47512912106183,99.73757067686378,7.9446631659852205,2,9,67.2183031,66.27657780320682,66.73606449079317,64.00258402965466,70.225550025,67.93895847285003,,,69.31741853560904,65.72052984860774,1,5.5,0,4.534251266398767,0.022671256331993836,1.4817319222033745,0,8.57704796528868,95.53657942898191,1,0.9351709086568463,,65.72052984860774,1,1,0,0,8,10,0,1,680,0,10,1,,0.8180266505236684,1.4608290433280495,7,8.120903847927469,-3.9556868016091635,,,,,,1.3318739844625798,49.45840445725374,80.15873015873017,66.46067063310261,3,29.711765709670505,12.800057151540175,34.4247903686772,21.120120581354342,,,,1886629
2025-06-05,67.29379747,68.34600031,66.95501647,67.76563731,66.21716295113178,65.5247306207602,63.79776867772128,62.88295162317468,64.33711646717502,59.695460184583645,0,0,0,0,66.30556421208051,61.61104003855695,99.63028284921525,4.660380851210549,2,10,67.76563731,66.28056854347777,66.73207375052222,65.14899564182218,70.225550025,67.96052475330002,,,69.31504037443338,65.72052984860774,1,2.5,9,5.328993637093172,0.11791522319791292,1.5129209291984342,0,8.568961716565733,95.21517723869361,0,0.940103012543188,,65.72052984860774,1,1,0,0,8,10,0,1,680,0,11,2,,1.7301620400995765,1.4906834797943425,8,6.680822765852468,-5.256081723807865,,,,,,0.9285505053695113,43.2294785769779,71.42857142857143,45.633461315942476,3,29.683754122408935,13.862992133626179,35.23685385185014,19.95822342802782,,,,1314252
2025-06-06,68.54889144,70.16258368,68.30825312,69.94553735,67.45995441742119,66.69102514540737,64.38327045603354,63.15991576932469,64.39292165008871,59.89895183961893,0,0,0,0,66.33477339023183,61.84295144485549,99.64659493834873,4.140766716377993,2,11,69.94553735,67.75611429046867,68.21817173933138,66.46002332454917,82.696296,82.696296,,,83.85143962215678,65.76256972424348,1,4.5,0,8.623021844053316,0.22397040085974174,2.1464694299323828,0,8.81444595703544,93.82299145589982,0,3.658214701445877,,65.76256972424348,1,1,0,0,11,10,1,1,680,0,12,3,,2.4468423331158013,2.108381128981812,9,7.145586754286767,-3.9353258460879035,,,,,,1.2155616189535672,38.376510523846655,64.28571428571429,25.683955574181823,3,30.534136476310913,15.48509806571463,38.99324698886412,18.109396771020712,,,,1741039
