time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-23,86.74895863,87.41467686,86.45134343,87.0230779,86.52807359607604,88.07864141604156,82.50295898646145,79.4826398753218,79.08563542005906,74.3564930052778,0,0,0,0,78.67809848170153,77.22414269786869,97.03165446463717,11.348021046852828,2,6,87.0230779,85.63567846145017,86.23710313854983,84.04564472160138,89.55603312996003,89.55603312996003,89.2553207914102,89.85674546850986,91.05959482270916,81.50717878,1,2,0,10.036516034525924,0.135784296658333,1.2981411490219013,0,6.438545376943911,83.5064455712842,0,0.8507177418242985,89.55603312996003,81.50717878,1,1,0,0,8,10,3,1,2092,0,7,9,,1.293702620774516,1.2933134321329798,26,4.080219884858631,-2.149130970064686,,,,,,0.49172017431097587,27.245520678132852,35.714285714285715,22.156541398780547,3,22.303775439409122,36.65519269990014,29.722946722513772,8.907227116784659,,,,1254431
2025-05-27,86.98391801,89.74469064,86.98391801,89.61742098,87.55785605738403,88.65630500694158,83.18052679536989,79.88008227158369,79.19042930622763,74.77321093531582,0,0,0,0,78.78774235133385,77.57903564122385,96.76311561774898,12.465605443602128,2,7,89.61742098,85.63250815857873,86.24027344142127,84.75529871725972,90.57124785894122,91.37393908,91.07005643857873,91.67782172142127,92.89335228710634,80.49936278874,1,3.5,0,13.166984653475527,0.16801254605059876,1.8717864489803009,0,6.790214507065912,82.29052831380596,0,0.19617500905944696,90.57124785894122,80.49936278874,0,1,0,0,10,10,2,1,2092,0,8,10,,1.3907543155991022,1.8517543770488736,27,3.980234058922825,-2.027132309141049,,,,,,0.9824773902946597,26.29403321350506,33.333333333333336,11.78488645756968,2,23.521993041058835,38.418433196515124,34.15790249017609,8.184708151245124,,,,2545485
2025-05-28,89.66637085,89.9111202,88.66779352,89.60763101,88.24111437492269,89.21216632005844,83.792631958668,80.26155477112943,79.29408305452387,75.21644400600343,0,0,0,0,78.85773881201476,77.79871995944126,97.27384657336435,14.288116756067062,2,8,85.9363908,85.64311293046596,86.22966866953404,84.47000145232983,91.40099764347012,91.37393908,91.08066121046596,91.66721694953404,92.84032842767017,80.49936278874,0,2,0,13.006705618103156,0.12281130586829356,1.653510038001167,0,6.809639833196193,83.81333400632941,0,3.7265729270008623,91.40099764347012,80.49936278874,1,1,0,0,10,10,2,1,2092,0,9,11,,0.6937444904895398,1.6352524992914588,28,4.609765004640491,-1.7600263297839813,,,,,,0.6374471630159297,25.112019861922434,30.555555555555557,6.455200145079637,2,23.589284344681317,40.08964929475396,33.37163951163522,7.87490121588815,,,,1653669
2025-05-29,89.40204156,89.40204156,87.23845733,88.21745472,88.2332278232818,89.59130487147922,84.21404365022343,80.57355084755572,79.38287282233955,75.67193387555413,0,0,0,0,78.92512113598488,78.00772949449568,97.4808639510949,20.070002895162354,2,9,85.9363908,85.64290801328983,86.22987358671017,84.46897686644913,91.64609126662539,91.37393908,91.08045629328983,91.66742186671017,92.84135301355087,80.49936278874,0,2,0,11.129078078885387,0.11786761261664916,1.0845906064780901,0,6.723152483775504,79.40962339107395,0,3.8909951282859665,91.64609126662539,80.49936278874,1,1,0,0,8,10,2,1,2092,0,10,12,,0.7737709413180389,1.074885827676855,29,4.551484311835381,-0.9649078898197092,,,,,,0.7227512195780224,23.70760267553762,26.984126984126984,1.7944395846562144,2,23.289683377864126,40.46228248450493,30.96631439640197,11.65574507546364,,,,1853602
2025-05-30,88.08039508,88.87338297,87.35593701,88.80485315,88.42376959885453,89.85579998572555,84.6512636025831,80.89634701627902,79.47662387037597,76.13966886659196,0,0,0,0,79.0522408699771,78.38614900613432,98.45780795662787,13.579017891378252,2,10,88.80485315,86.73700954484056,87.30914625515945,85.06739016872443,91.95855031389527,91.37393908,91.08787072484056,91.66000743515944,92.80428085579723,80.49936278874,1,2,0,11.737072896853409,0.1253520311509337,1.1166590437845048,0,6.662775871021452,93.28172420872228,0,0.8438069299134405,91.95855031389527,80.49936278874,1,1,0,0,3,10,3,1,2092,0,11,13,,0.7324371614779179,1.1056317950641352,30,6.4533230787084035,-2.990992801966723,,,,,,1.3002140242496545,22.058949087939343,24.603174603174605,-4.426169808939184,1,23.080532656106268,40.808299017845115,29.499703487636122,11.103711576783697,,,,3356025
2025-06-02,89.41183153,91.30129649,88.23703466,91.01738725,89.28830881590302,90.21474389292686,85.25756109281328,81.29325055485631,79.5914573368399,76.6306914831143,0,0,0,0,79.1881535244598,78.7694704747697,97.93670535901697,12.511646970948949,2,11,91.01738725,86.73008351815551,87.3160722818445,86.32947714048821,92.62487363764565,91.37393908,91.0809446981555,91.6669334618445,92.83891098922244,81.46134520404,1,2,0,14.355723962691497,0.1428897309245686,1.5786929939232321,0,6.879638344288611,84.83693695321335,0,0.3429004289958661,92.62487363764565,81.46134520404,0,1,0,0,10,10,2,1,2092,0,12,14,,0.8498295734392847,1.5610095883054464,31,4.39932544830687,-2.2881897416824017,,,,,,1.143013694847423,21.58524853653545,24.206349206349206,-9.426568451525352,1,23.8317663000138,41.78338791942032,34.14376305626096,10.066859675944707,,,,2996820
2025-06-03,90.68452814,90.68452814,89.14750224,90.38103895,89.65255219393535,90.56476788196929,85.7455113649263,81.6496344134894,79.69881635786636,77.13622586058818,0,0,0,0,79.2965083321524,79.0649998501647,97.71614124454089,18.311309173838822,2,12,87.0230779,86.73431628641227,87.31183951358774,85.57926983206131,92.89264631,91.37393908,91.08517746641226,91.66270069358774,92.81774714793869,81.46134520404,0,3.5,0,13.403238693242267,0.1425717490217669,1.2246975024138904,0,7.023620810343191,79.14631173923779,0,4.065338420209773,92.89264631,81.46134520404,1,1,0,0,8,10,2,1,2092,0,13,15,,0.7643001072388341,1.2186577082065713,32,4.442331596609432,-1.0888068570438691,,,,,,0.9685581302001267,22.725354779067814,25.793650793650794,-6.597394325424485,1,24.33053619322499,42.688827613740166,32.16966463415247,9.48482155176009,,,,2578990
2025-06-04,90.71389806,91.51667592,89.44120145,89.70553075,89.67021171262357,90.81091424380695,86.12265606826665,81.96555191688196,79.79838565530054,77.64817703749638,0,0,0,0,79.37956022419506,79.2853421459809,98.15925842144632,22.316009046710064,2,13,87.0230779,86.73641109390067,87.30974470609934,85.58974386950335,92.89264631,91.37393908,91.08727227390067,91.66060588609933,92.80727311049665,81.46134520404,0,0,3,12.415219948802793,0.14207609974401397,0.9030420406751946,0,7.1335630534145205,82.32233307038801,0,4.09504573610534,92.89264631,81.46134520404,1,1,0,0,8,10,2,1,2092,0,14,16,,0.5651160937183818,0.9052133995498756,33,5.235095220323993,-0.9324876394274177,,,,,,0.8157895939144458,24.127787872170867,29.761904761904763,-2.361661916759269,1,24.71138729502025,43.73248525103239,32.68193993554664,8.871693580156169,,,,2142704
2025-06-05,90.15586955,90.64536824,89.39225158,90.34187905,89.89410082508238,90.99280643622338,86.52448682843173,82.29403533386699,79.90329603733734,78.16784989759262,0,0,0,0,79.43927735974044,79.44031394000373,98.02626951480212,20.869656445137025,2,14,90.34187905,86.7456987527292,87.30045704727081,85.90381269366713,92.89264631,91.37393908,91.09655993272919,91.6513182272708,92.76083481635402,81.46134520404,1,2,0,13.064020547769273,0.1497645471832908,0.9641956286346804,0,6.758349490508535,81.9848941955272,0,0.5747474362027509,92.89264631,81.46134520404,0,1,0,0,8,10,2,1,2088,0,15,17,,0.40404062689733256,0.9610818882220009,34,4.67832795329532,-1.4569812052176083,,,,,,0.5863282681418925,25.410875179164837,33.333333333333336,8.539634163924209,2,23.411609385736035,44.657375789963346,31.363660431233324,8.671404293010358,,,,1470928
2025-06-06,90.02859989,90.79221785,89.48036135,90.20481942,89.99767369005492,91.07808613657014,86.87499469429538,82.60426216077417,80.00579875756284,78.69159000355889,0,0,0,0,79.51213777545576,79.62578998877476,98.00356763183295,20.339052275204043,2,15,90.20481942,88.53557379449853,89.07413250550147,87.3261265059883,92.89264631,91.37393908,91.10465972449853,91.64321843550147,92.72033585750731,81.46134520404,1,3.5,1.5,12.747851806770525,0.1526281479227415,0.8177909313024104,0,6.810720637182658,81.93564554619542,0,0.9336969834181712,92.89264631,81.46134520404,1,1,0,0,8,10,3,1,2088,0,16,18,,0.4590219749498864,0.8110407120749488,35,4.736137841533808,-1.4244128702237402,,,,,,0.7798412046331883,26.582903626324928,36.507936507936506,12.672706620142113,2,23.593028359516477,45.55505250418835,30.486330006132075,8.294219057229794,,,,1839924
