time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-23,217.93181203,220.96799841,216.95121794,220.20028408,219.35340582618937,221.01102777634497,214.13671195892047,208.04183008658097,197.11401156252694,207.05786084486982,0,0,0,0,216.1359080226327,198.2897926027186,93.66600407023516,21.134712230714264,2,31,220.20028408,218.2639101321785,219.28373248782148,212.87192851742807,223.1941701928738,225.13695833,224.6270471521785,225.6468695078215,227.68651421910747,214.7914839175,1,5,0,11.712141787622137,0.0985607089381107,0.6557624491503552,0,3.5671519986974505,68.9737043774019,0,0.4085345050893101,221.20078921,214.7914839175,0,1,0,0,8,10,3,0,232,0,,12,,0.584944631780059,0.6550657425643143,24,2.4646364920720085,-1.717669279816029,,,,,,0.9049355102141681,30.006499530466247,65.87301587301587,142.83042308933068,3,12.356977000129707,25.193622622384076,27.875848533857273,15.3732478236184,,,,1296336
2025-05-27,222.32016625,224.03390277,221.23674796,223.75653501,220.82111555412624,221.88625391990686,215.0528855828328,208.65809302475427,197.3791112983227,207.73294271657846,0,0,0,0,223.75653501,198.49602225042375,92.93728894639324,20.729206988264757,2,32,223.75653501,218.26610362086217,219.2815389991378,216.23523286431092,224.38874690751345,225.13695833,224.62924064086218,225.64467601913782,227.67554677568907,214.7914839175,1,2,0,13.36383750953764,0.11126363199213266,1.0682485988324641,0,3.7570395262614844,69.22450697647612,0,0.08405617608060287,,214.7914839175,0,1,0,0,8,10,2,0,232,0,,13,,0.7087449726342326,1.0589861821639945,25,2.8547055956039555,-1.3815791678595872,,,,,,1.124027824187555,30.80352278153659,68.65079365079364,136.68132908366894,3,13.01476669105879,26.057723807189564,31.388153739759616,14.336831547628156,,,,1603878
2025-05-28,223.8853129,224.73722816,222.77584185,222.96405569,221.53542893275082,222.7911628498182,215.80633035494395,209.2191111684894,197.6336878594339,208.427263904567,0,0,0,0,223.45315374502235,198.61831298517848,92.90428964007305,20.95709265711565,2,33,218.77382131,218.28485679231844,219.26278582768154,216.32899872159228,225.215781056245,225.13695833,224.64799381231845,225.62592284768155,227.5817809184077,214.7914839175,0,0,5,12.816826981735128,0.11297302379756452,0.8160126466293146,0,3.833836043068782,69.49063807729715,0,2.634939556264739,221.20078921,214.7914839175,1,1,0,0,8,10,2,0,232,0,,14,,0.7983885045693127,0.8051386296697196,26,2.982779085462285,-1.311748330777675,,,,,,0.7067680662443077,31.458827095827512,69.84126984126983,136.8745309936048,3,13.280797628967905,26.98689150180989,31.5482632971141,13.823354595871676,,,,994865
2025-05-29,222.97891468,223.82092395,221.11163529,222.63715797,221.9026719451672,223.5508590080342,216.45688536590168,209.74530908227413,197.88247860680272,209.13304583544888,0,0,0,0,223.23066518881637,198.73529178249828,93.2427684163456,24.575277376228847,2,34,218.77382131,218.29559275197428,219.2520498680257,216.3826785198714,221.20078921,225.13695833,224.6587297719743,225.6151868880257,227.52810112012858,214.7914839175,0,2,4,12.50978840445264,0.11588227535559653,0.655830990909288,0,3.7764285746159345,66.34702089385948,0,1.0149824218023853,221.20078921,214.7914839175,1,1,0,0,8,10,2,0,232,0,,15,,0.8809463979331662,0.6427257841061156,27,3.1328082411170683,-0.8065138914699845,,,,,,0.7196771845659826,31.427837847370217,69.44444444444444,140.238498924509,3,13.081932324779425,27.18141043951256,29.95246790659094,16.231221458787317,,,,974193
2025-05-30,223.36029535,225.65353237,222.32016625,224.37070648,222.7253501234448,224.23238946555676,217.21058261486343,210.31885407826337,198.14604306325245,209.85661738905495,0,0,0,0,224.37070648000002,199.03844491300416,97.15025585910564,15.620281980952383,2,35,224.37070648,219.7264525071904,220.67411565280958,217.83112621595203,226.64248805863448,225.65353237,225.1797007971904,226.12736394280958,228.02269023404796,214.7914839175,1,3,0,13.23501747061185,0.12395286513083703,0.8005934960208743,0,3.5345672474545973,81.46160679273676,0,0.34738950925089895,,214.7914839175,0,1,0,0,8,10,3,0,232,0,,16,,0.5512208237341137,0.7859822745157173,28,4.265372792459095,-1.8090091574477376,,,,,,1.7081689073063402,30.981799287661776,68.25396825396825,153.03451464379378,3,12.244100110720476,27.733006308331337,31.524347652789395,15.2117097874602,,,,2393746
2025-06-02,222.88480776,224.58863829,221.55185755,224.55892032,223.3365401889632,224.77014302959782,217.9104243010669,210.87728804852756,198.40885776232457,210.59324478867003,0,0,0,0,224.4312504479162,199.1807643539528,87.20561453892984,20.802337271734856,2,36,220.20028408,219.73318350578393,220.66738465421605,217.8647812089197,227.31583203750932,225.65353237,225.18643179578393,226.12063294421606,227.98903524108027,214.7914839175,0,3.5,0,13.179886650524836,0.1281216554748464,0.7107614415678191,0,3.4982331674980065,54.27021006055038,0,3.0466877371972827,221.20078921,214.7914839175,1,1,0,0,8,10,2,0,232,0,,17,,0.31943289582651346,0.6975154971573153,29,1.343889213905194,-1.286182950859172,,,,,,0.8169896456041507,30.569090552165594,65.87301587301587,152.25695106821254,3,12.118235165658305,27.934123481533597,29.694431794546574,15.797317890520644,,,,1135169
2025-06-03,224.3508945,225.6238144,222.92443173,225.44055356,224.0378779793088,225.2900137556325,218.62757946858434,211.44839649995785,198.67782985981387,211.34168067427936,0,0,0,0,224.71660445556415,199.35898817020447,90.11097654470758,33.17332727297875,2,37,225.44055356,224.67912045153153,225.59479620846847,219.26172870225219,227.94526085730016,225.65353237,,,227.94272176234236,214.7914839175,1,5,0,13.470412737581135,0.13401873035457235,0.7266468252060443,0,3.490161298583174,55.87476648143653,0,0.40536952494444156,227.94526085730016,214.7914839175,0,1,1,0,5,10,2,0,232,0,,18,,0.18067575070029845,0.7140771583614158,30,3.0122690918058064,0.2017315307575243,,,,,,0.9896301661297153,30.58018067159961,65.87301587301587,152.93208582913695,3,12.090273391513254,28.3428528126024,30.150008225421434,14.965711017846512,,,,1390968
2025-06-04,226.10425498,226.51040063,224.68769821,225.23252774,224.43609456620587,225.7644835364731,219.25662216110013,211.98895066623402,198.94205570936796,212.0961353847206,0,0,0,0,224.82462734077447,199.52243534533594,91.91557885967984,30.77176500410198,2,38,225.13695833,224.6955490283864,225.5783676316136,222.92991182193208,228.46789696875712,226.51040063,,,228.7174471380679,210.28712894,0,3.5,0,13.215140427139982,0.13718681324681103,0.5875866713447077,0,3.500594427449823,66.02179978105357,0,1.5092290201320095,228.46789696875712,210.28712894,1,1,1,0,19,10,2,0,232,0,,19,,0.17244864092223117,0.5778018728451234,31,3.1639632215852016,-0.7948956738699668,,,,,,0.9285863901510187,29.122052860356362,62.301587301587304,140.15385681982525,3,12.126414810071154,28.910213132011176,30.831755826661755,14.413946686987588,,,,1302916
2025-06-05,225.43064756,225.97547709,223.9942788,224.76694614,224.54637842413723,226.11259310455625,219.78141492099536,212.49004852795034,199.19901979325485,212.85046328093026,0,0,0,0,224.81474724780372,199.67888732338056,89.64914937294272,29.385345246607216,2,39,220.20028408,219.7727147437695,220.62785341623047,218.06243739884763,228.9047850251758,226.51040063,226.08283129376952,226.93796996623047,228.64824731115235,210.44975263782416,0,2,4,12.835367550142385,0.13973239330626747,0.42762830719526485,0,3.49600665554206,56.93155651296321,0,4.0716207677174845,221.20078921,210.44975263782416,1,1,0,0,8,10,2,0,232,0,,20,,0.308956177106981,0.4204399985145412,32,2.140306984190236,-0.8193532114893537,,,,,,0.9395682131507671,25.17644278160413,55.55555555555556,107.88899234722122,3,12.110522301995589,29.1225591839554,29.55619366412611,15.265626733265476,,,,1286201
2025-06-06,226.62927253,227.08494814,224.85610006,225.51980149,224.8708527794248,226.39578682093207,220.32792792756723,213.00101923234445,199.4609181185956,213.60719943582217,0,0,0,0,224.8983577851217,199.80407035318422,81.84471388564765,28.575390419687416,2,40,224.55709206513515,224.13936694934972,224.97481718092058,222.46846648620797,229.27760787201746,227.08494814,,,229.17357371892717,211.37376288698258,0,3.5,0,13.064656283147299,0.14532328141573653,0.4535350102027358,0,3.4773003389007813,45.76644701168848,0,2.2601062892789976,229.27760787201746,211.37376288698258,1,1,0,0,8,10,3,0,232,0,,21,,0.3180163743984646,0.4471630375363225,33,0.9574174402064743,-0.8348356528249288,,,,,,0.7526260793150878,24.286723647228367,54.36507936507937,101.6211582099616,3,12.045721720305256,29.576296715386878,30.463227880326453,14.509281917154683,,,,1010279
