time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-23,40.78295864,40.78295864,39.88926987,40.46584327,40.57748629562863,40.59467158200259,40.42195046332909,39.6571238866491,38.46463606538099,39.82739013390439,0,0,0,0,38.58464381150154,40.056798335367915,94.21606313658413,60.47697591907962,2,31,39.683837555366864,39.59556707872899,39.77210803200474,39.24248517217749,41.35953204,40.992005639199995,40.90373516256212,41.08027611583787,41.43335802238937,39.76123147610079,0,3,6.5,5.202719716930181,0.1760135985846509,-0.1377788346245027,6,4.6654114257381405,46.46611309711078,0,3.7967269430470627,41.35953204,39.76123147610079,1,1,0,0,8,8,2,1,200,0,1,2,,-0.41324270179480876,-0.13314921881983866,1,2.850153564592069,1.8947495988082208,,,,,,1.0170309451802715,56.54355700684833,100,249.86665569026232,3,16.161459255181626,14.797214564326545,22.476217730504892,25.682688260823674,,,,4250831
2025-05-27,40.73491086,40.74452042,40.36013815,40.45623371,40.537068767085756,40.593594663989606,40.4252155344406,39.68846152678051,38.484452957367246,39.898097303379366,0,0,0,0,38.601734677481524,40.065652432840295,94.47171454026373,64.00640227244307,2,32,39.69413215723774,39.608734730091854,39.779529584383624,39.26714502150831,41.35953204,40.992005639199995,40.90660821205411,41.07740306634588,41.41899277492942,39.74742383582103,0,0,6.5,5.1235774477997005,0.17561788723899852,-0.1476685235021619,6,4.575103525119091,54.98300076993744,0,3.900351423743105,41.35953204,39.74742383582103,1,1,0,0,8,8,2,1,200,0,2,3,,0.14015702383179757,-0.1493161813843388,2,3.4112971666660856,1.4166949193923992,,,,,,0.8619409415035278,57.810524379434945,100,264.76684767030906,3,15.848623510787476,14.215849595826487,21.572934872321976,24.650542535229814,,,,3535338
2025-05-28,40.20638524,40.33611426,39.40879203,39.58176405,40.2186338613905,40.50174058887056,40.344886821636734,39.6842773120048,38.4953714757019,39.96118295118954,0,0,0,0,38.6112883493676,40.054359173777925,88.97587984945102,79.60361109489237,4,0,39.57414962475179,39.485499855973465,39.662799393530115,39.13090078086018,40.45048374462,39.6842773120048,,,40.12752615589641,38.6782076229,0,0,4,2.822138175712426,0.16411069087856212,-1.0301672216802382,6,4.963811394660494,15.656051560227098,0,1.9770702889470069,40.45048374462,39.57414962475179,1,1,1,0,14,8,1,1,200,0,3,4,,-0.16638314276560331,-1.0291928409458337,0,2.600051451526787,6.344427998431191,,,,,,0.9373896350570525,57.87017883054026,100,236.54948455338535,3,17.195147069482605,14.930387297843573,19.2970858188143,31.631727281073,,,,3811213
2025-05-29,39.44723026,40.16314223,39.36554903,40.07185145,40.169706390927,40.39316806601774,40.318883452909425,39.69947629780854,38.511057843605364,40.02041304381595,0,0,0,0,38.623527073925885,40.05470603925698,93.54087385237307,69.2510397439319,2,0,40.05470603925698,39.96526702896282,40.144145049551135,39.6075109877862,40.8977460151,40.983513781172974,,,41.43070883264375,39.51642486783575,0,3.5,0,4.052845322330707,0.17026422661165352,-0.4523371610973455,6,5.145791800792666,72.56576813783481,0,1.885172863765706,40.8977460151,39.51642486783575,1,1,1,0,14,8,2,1,200,0,4,5,,0.2686482051228573,-0.4593499557172862,0,4.823048556426095,0.4687818670657245,,,,,,0.8362669239001486,57.28981727026623,99.2063492063492,221.39166044103803,3,17.825545688288486,15.643282397785935,17.76060138954047,29.544815273852766,,,,3303713
2025-05-30,40.04302278,40.40818593,39.83334225,40.30248081,40.213964530618,40.28955999326104,40.31732129644186,39.723123533580754,38.52888294774859,40.07725270391113,0,0,0,0,38.64423034071357,40.06181652566254,94.79920463334085,54.711359537667065,2,1,39.84721450416975,39.75903146175375,39.93539754658575,39.40629929208974,41.35953204,40.46584327,,,40.90675848208001,39.54535211034,0,6.5,0,4.603294273173434,0.17301647136586717,-0.19457120838442613,6,5.18164064080352,69.45591439710392,0,3.429950916630719,41.35953204,39.54535211034,1,1,0,0,8,8,2,1,200,0,5,6,,-0.502763980621772,-0.20206214679202303,0,3.81752170941892,-0.0910891806875409,,,,,,1.2425759969079873,56.05263864429937,97.61904761904762,212.27566955566292,3,17.9497297128709,15.8345950418083,19.207956166217496,27.825213284664095,,,,4922381
2025-06-02,39.96614632,40.10068012,39.66825006,39.87966031,40.102529790412,40.158949778729,40.275639297733115,39.729262230695234,38.542323518517264,40.1288787061038,0,0,0,0,38.653326445984085,40.05872551824652,66.42723791204612,76.82947580104222,4,0,39.55160436935964,39.464057341134065,39.63915139758521,39.11386922823177,40.65937375962,40.508850045471114,40.46584327,40.65937375962,41.0095618725223,39.41800428824176,0,2,6.5,3.469787675982286,0.16734893837991144,-0.622106313184156,6,5.197048864584783,7.78646219667619,0,2.1785899559305677,40.65937375962,39.41800428824176,1,1,0,0,8,8,2,1,200,0,6,7,,-0.9782508861711491,-0.6208544589214333,0,-0.20960387820236104,5.878012701683387,,,,,,0.7552322457756745,54.07062517041038,95.63492063492063,200.34054721055546,3,18.00310536575798,16.22730800094136,17.96553449173284,27.709113756551353,,,,2960887
2025-06-03,39.87966031,39.95173199,39.3943777,39.62981184,39.94495714027467,40.00702896713117,40.21413192080615,39.72536221537385,38.5531442978355,40.17366675293468,0,0,0,0,38.664833291685255,40.04725315815527,70.69168374907417,87.84047732596183,4,1,39.53295697239998,,,39.101606739120534,40.45048374462,39.72536221537385,39.63909216871796,39.81163226202974,40.156712448653295,38.6782076229,0,4.5,4,2.792684129332995,0.19763841962370624,-0.8354273494548056,4,5.217622287314045,15.22617874510614,0,2.427620322614881,40.45048374462,39.36554903,1,1,0,0,8,8,1,1,200,0,7,8,,-1.2693999918163301,-0.8252686787559381,0,1.9016985333445948,5.760191136700773,,,,,,1.197682928659809,51.318630989147394,93.65079365079364,183.93034014809652,3,18.074373792663327,16.93915940666578,16.929215552659958,28.945207676442518,,,,4795381
2025-06-04,39.66825006,39.77395519,39.25503913,39.27425824,39.72139084018311,39.811901273459306,40.12462014168176,39.7076718633984,38.560319560941615,40.2101696648977,0,0,0,0,38.66899271084391,40.035380889146644,42.041951605925405,84.54306691079995,4,2,39.128614903149995,,,38.70490950528337,40.007899895,39.64032735412699,39.55558627455366,39.725068433700315,40.064032751993615,39.153273749635034,0,0,7,1.8514853797569337,0.21391680664139628,-1.1322150641792292,4,5.2531708111939714,3.054692660940809,0,1.1495100297147232,40.007899895,39.36554903,1,1,0,0,10,8,1,1,200,0,8,9,,-1.437275037940893,-1.1152693759686827,0,-2.0489543398102086,7.0825544679856325,,,,,,0.7057673096313059,47.358231867208985,88.0952380952381,160.2455631046129,3,18.197517491651542,17.772794339406033,16.00361856718573,28.830754402927006,,,,2796529
2025-06-05,39.29347735,39.36554903,39.04362888,39.13972445,39.52750204345541,39.595268016289175,40.030820551997785,39.68539941581415,38.56608478371832,40.23857910892173,0,0,0,0,38.671755052085274,40.0236396187106,33.057982053242824,83.91159527081199,4,3,39.126073568399995,,,38.71826140654169,39.79389824536,39.67685414687495,39.59529171450329,39.758416579246614,40.084666308733254,39.017001942022475,0,9.5,7.5,1.4874200207221004,0.18505512110821284,-1.1710485746123847,4,5.194751577143764,3.910953978264004,0,1.6180297366456367,39.79389824536,39.017001942022475,1,1,0,0,10,8,1,1,200,0,9,0,,-1.2209441680368187,-1.156118775307662,0,-1.0915014371773066,7.382425338986639,,,,,,0.6160955767039521,41.111060648610355,82.14285714285714,128.4563715864612,3,17.99514732862311,18.80586044614479,15.43964576352594,30.12903946605711,,,,2418615
2025-06-06,39.06284799,39.25503913,38.84663297,39.06284799,39.372617358970274,39.381735308216875,39.93863268895038,39.66098563440968,38.571027701193756,40.259641325644694,0,0,0,0,38.67432120051028,40.00966954390625,24.78151674610057,86.88602333237088,4,4,38.81990029262764,,,38.42298515304494,39.79389824536,39.121797379449994,39.04241435153345,39.201180407366536,39.5187125190327,38.36769246982726,0,8.5,7.5,1.2751028897034644,0.16670284582379874,-1.1467255407940897,4,5.124294413307311,2.555419540058658,0,1.8999147032173225,39.79389824536,38.859370128988985,1,1,0,1,10,19,1,1,204,0,10,0,,-1.0826186510022513,-1.136485213589767,0,-1.7214928691778344,8.178968289436975,,,,,,0.697313804544966,32.44072253185758,75.39682539682539,82.75354981394872,3,17.751076553579225,19.999857133351203,14.73042093168197,30.960755761770297,,,,2722223
