time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-23,168.37026206,169.27159646,167.20998076,167.78763154,167.05115151671095,167.78985668720952,162.30193957981555,162.4606010070136,167.1495802704584,150.91158379625884,0,0,0,0,163.91664917929288,157.81283725558973,97.14449303919088,82.83944182891378,5,9,162.12897891843835,161.03462602614002,162.4606010070136,158.24077051507507,166.11997955475766,170.03478370780005,169.3363198300338,170.7332475855663,173.52710309663124,166.11997955475766,0,0,2,0.3817247213598823,0.25690166912299256,0.9340724851937966,0,10.798045820749374,36.27120572376334,0,1.026436914458371,166.11997955475766,166.11997955475766,0,1,0,0,8,8,2,0,296,0,,2,,1.8399443641295452,0.9437074315147733,10,3.7112604032395904,4.235603119132414,,,,,,0.8006688861516931,18.236633702907927,7.936507936507937,-51.24615346022029,0,37.405527967989386,19.022475972129314,32.08076540335664,20.826581063850576,,,,35211439
2025-05-27,169.47078639,172.46859473,169.31143445,172.19968833,168.76733045447395,169.52285385539182,163.24458231792835,162.84252600007187,167.19983010189662,151.03793822064443,0,0,0,0,164.02146923906358,158.17634145399109,96.72776588253518,82.51843766936773,5,10,172.19968833,169.4167950348707,170.7975308648294,163.7884911301651,178.00485479565998,173.26592192594586,,,176.71776150084267,166.11997955475766,1,5.5,0,2.9903488688094355,0.2422950112772051,1.5011514265724593,0,10.995317646091495,53.03278593898476,0,0.6901712476523508,173.26592192594586,166.11997955475766,0,1,0,0,8,8,1,0,296,0,,0,,1.6187461354652635,1.497889640916209,11,4.0996506931363745,2.2897085964274204,,,,,,0.8559506677617595,19.327257225100038,9.126984126984127,-49.25750432696597,0,38.0888976167782,19.614987412107222,34.273319720118124,19.56575672115791,,,,37995670
2025-05-28,172.45863523,174.55510917,171.21439538,171.66187554,169.73217881631598,170.9742758040299,164.04622929145899,163.18838284477494,167.2442285639673,151.23133397922206,0,0,0,0,164.1089704561438,158.48121945584592,97.16834390422797,87.25361494473131,5,11,170.16152134660007,169.49063762385137,170.83240506934877,166.8071027328566,174.5474876279117,174.5474876279117,,,177.90190624165515,166.11997955475766,0,0,1.5,2.6414346336280565,0.2159339709653822,1.2711917336611123,0,10.997363023723182,48.722509940229045,0,1.3075190625707196,174.5474876279117,166.11997955475766,1,1,0,0,8,8,1,0,296,0,,1,,1.4218143823779352,1.2694617306113967,12,4.69563274820956,3.5044336162822383,,,,,,0.7766230910201616,20.289731510924153,10.317460317460318,-46.740496224651324,0,38.09598301273569,20.431052934249006,35.52638565216116,18.695854096112594,,,,34783997
2025-05-29,173.29523291,173.71283458,169.93888271,171.16390073,170.20941945421066,172.03721704240434,164.72410276179622,163.50114825203866,167.28323027706216,151.4768465477461,0,0,0,0,164.17654624269656,158.71881405103133,97.07022847401952,92.00941454935511,5,12,170.20525261320006,169.5485931575227,170.86191206887742,166.92195533481328,175.5521880469954,171.28948306444997,,,174.57278034283675,166.11997955475766,0,3.5,3,2.3198203708228795,0.16159910185411439,1.0701083534324067,0,10.94609590617757,37.390297621223525,0,1.6285261371222888,175.5521880469954,166.11997955475766,1,1,0,0,8,8,1,0,296,0,,2,,0.6917967338655797,1.07179124981195,13,4.372077920970051,4.781099793452101,,,,,,0.6599607006651631,21.09827926409577,11.11111111111111,-44.35871329389214,0,37.918388508042476,20.883545970653124,33.7033752023011,19.47079933735231,,,,29373803
2025-05-30,170.65596643,171.50750335,166.76180344,171.04438678,170.48774189614045,172.79871882448228,165.32603457305373,163.79696152764498,167.32065471987747,151.76539481363093,0,0,0,0,164.29244585569532,159.11917039551417,95.14576114901212,93.48809153405274,3,0,171.04438678,169.60310598388182,170.90736104281834,161.5447832042539,176.05401334,171.14793098248123,,,174.40856862982253,166.31309356359068,1,3.5,0,2.2255065080618257,0.16112753254030912,0.9475860463186148,0,10.88460362204482,38.76735877758935,0,0.5273511173445524,176.05401334,166.31309356359068,0,1,0,0,15,8,2,1,296,0,0,3,,0.8324015909419089,0.9471346431177773,14,3.5949198878118587,3.8166197412053093,,,,,,1.1536188425723022,21.774307394486602,11.507936507936508,-42.25144675841309,0,37.70537298725971,20.57526185911646,31.513481116122854,22.555556346362213,,,,52639911
2025-06-02,167.16018328,169.181961,166.71200595,168.34536332,169.77361570409363,172.94700753029346,165.61358969181052,163.9753302253844,167.33085082535132,152.07294495895619,0,0,0,0,164.34200191809902,159.33387740613253,97.18750158214283,93.0400793095277,2,0,167.78763154,167.14340257665447,168.43186050334555,164.56648672327236,174.06084254,170.28244083955008,,,173.50358565627772,166.31309356359068,0,3.5,2,0.6062913620797579,0.15303145681039879,0.46608846429207074,0,10.943715111193795,59.01686348031595,0,1.9475097696392762,174.06084254,166.31309356359068,1,0,1,0,19,8,1,1,296,0,1,4,,0.2936229060192571,0.4663878404638106,15,6.037084802423394,3.467536037069212,,,,,,0.8344069405684391,21.840517826265334,11.904761904761905,-42.38871937858957,0,37.91014119229387,20.277706498588056,29.62129114338486,21.270250353219193,,,,38612272
2025-06-03,166.81160092,167.79261129,164.61055227,165.50690692,168.3513794427291,172.37682422023636,165.60342942782856,164.0353920565458,167.3127021297757,152.37924783593044,0,0,0,0,164.35839908348555,159.4971767535472,97.93129814423456,88.80970526692558,2,1,159.49893515596966,158.86737601991666,160.13049429202266,156.3411394757047,166.31309356359068,170.31426088415006,169.68270174809706,170.94582002020306,173.47205656441503,166.31309356359068,0,3,2,-1.0792935543979323,0.15,0.013251190294732009,0,11.098969463541705,61.65500014836716,0,2.1578845174204724,166.31309356359068,166.31309356359068,1,0,0,0,8,8,1,1,296,0,2,5,,-0.04774326888892123,0.015047508881308857,0,5.307322134557145,2.3693082495104307,,,,,,0.9499105155400376,21.821986724654575,11.904761904761905,-43.24279406697541,0,38.44795804501943,19.518693980955167,28.057277363238647,23.118072479943024,,,,45084903
2025-06-04,166.05965896,167.53366439,165.68617785,167.3693327,168.02403052848607,171.5513975633892,165.7716106918449,164.16613482687734,167.31326561803664,152.69390559179715,0,0,0,0,164.3834764445344,159.61950113515627,97.45589482675234,91.73996396893179,2,2,162.24628832733487,161.64174450930352,162.8508321453662,159.2235692371781,166.31309356359068,170.35077863805006,169.7462348200187,170.9553224560814,173.37349772820681,166.31309356359068,0,0,0,0.03351024304992032,0.1501675512152496,0.28530502690169895,0,11.124555067133217,42.4971242060016,0,1.3454128931461231,166.31309356359068,166.31309356359068,1,1,0,0,8,8,1,1,296,0,3,6,,0.42630463731680296,0.2857711653135662,1,4.185887697450447,3.936120069092506,,,,,,0.5634456870264327,21.834957736651912,12.301587301587302,-43.33967223442069,0,38.536589175745064,18.8138966431532,27.217427800115292,22.426070087081726,,,,26900838
2025-06-05,169.65005732,170.23766759,166.91119588,167.52868464,167.85891523232405,170.58607620228833,165.93895106785968,164.29799952543118,167.315409090892,153.0161712761472,0,0,0,0,164.41856973065174,159.7825696918634,97.49374355978581,93.24497634839433,2,3,162.24628832733487,161.6552255703236,162.83735108434612,159.2909745422786,166.31309356359068,167.78763154,167.19656878298875,168.37869429701126,170.74294532505627,162.26640558054,0,0,3.5,0.1274691615475449,0.15063734580773772,0.28318756015257457,0,7.663769576644174,44.53741562536715,0,1.3760993018135281,166.31309356359068,166.31309356359068,1,1,0,1,8,14,1,1,296,0,4,7,,-0.050065081896487396,0.2851855113911502,2,4.4621374123160855,3.957348668425616,,,,,,0.844048238384363,21.85464665314944,13.095238095238095,-17.67898289443949,1,26.548076568496665,18.673951647544378,29.934421080898822,21.299170054255796,,,,36444564
2025-06-06,170.13807263,173.79320771,170.13807263,172.97652903,169.56478649821602,170.23845055276277,166.60919658806353,164.63833401580644,167.37173864252492,153.3773570446029,0,0,0,0,164.51117638984405,160.04399328959124,98.02263864939326,70.62107938273284,2,4,172.97652903,169.8129886138503,171.02254307454976,165.29985478720212,176.05401334,174.74247219125002,174.55510917,175.9520266519495,178.37113557334843,166.57440475835185,1,5,0,3.3487077525351356,0.16674353876267567,1.044105375503536,0,8.010898554779297,74.4464573225403,0,0.4008877037979384,176.05401334,166.57440475835185,0,1,0,0,8,8,2,1,296,0,5,8,,0.2763807694706408,1.040756693817093,3,5.186765801263762,0.33312587752006895,,,,,,0.8489397144052826,22.697525325223676,13.492063492063492,-18.208786025394435,1,27.750566622315663,19.146477091396665,32.41510340193953,19.32930153607582,,,,35731832
2025-06-09,174.04348516,175.96799488,173.87396876,175.58907586,171.57288295214403,170.6696784460524,167.4644231853908,165.06777487244148,167.45350319195254,153.7873346243239,0,0,0,0,164.60740895636226,160.2894819027234,98.7009066650794,38.0439815541998,2,5,175.58907586,169.87791890037886,171.05449564692123,167.52476540729413,176.05401334,176.22795341992014,175.63966504664896,176.81624179319132,179.16939528627606,170.77128786,1,4,0,4.858406968483447,0.024292034842417237,1.3122644050460566,0,7.877828541123176,92.30281486291568,0,0.05765371791260827,176.05401334,170.77128786,0,1,0,0,8,10,1,1,424,0,6,0,,0.8037216000195476,1.3046927102325416,4,6.327530810071734,-3.360321944784095,,,,,,0.690347546826957,22.492101911578246,13.492063492063492,-17.579945885451107,1,27.28959857308309,19.91951273858028,34.24410864507126,18.451711017355045,,,,28935906
2025-06-10,175.69876295,180.58980967,174.41243262,178.09193565,173.74590051809602,171.81101017283808,168.4765672296393,165.578526275483,167.55935824128633,154.25615890095483,0,0,0,0,164.85289921820245,160.87002296745916,99.09077242403815,19.303102808504025,2,6,178.09193565,175.45259041258748,176.65543626741254,169.6010492006998,190.2985295833,190.2985295833,189.69710665588747,190.89995251071252,193.30564422036264,166.57440475835185,1,1.5,5.5,6.28587834142138,0.0314293917071069,1.5315129559823204,0,7.290368112885842,96.89318454048141,1,1.4376112560433565,,166.57440475835185,1,1,0,0,10,10,1,1,424,0,7,1,,0.5841913387780975,1.5188094536801138,5,6.56682337363065,-6.460515868463918,,,,,,1.4432567969128094,21.5375223659899,11.11111111111111,-14.718336967763424,1,25.254575954796625,21.26451433057783,37.96508638110351,16.7595458475233,,,,61766121
