time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-23,119.63406187,121.32889371,119.27977499,120.85012765,121.04689211744241,123.75827163681257,117.61713023332469,115.32436814188993,118.64672043216814,114.11939975816928,0,0,0,0,120.85858435224257,113.20770129002852,96.66119891295858,56.68031419980932,2,5,120.85012765,119.85917711762737,120.55831022037249,116.48324257901952,122.1087228652765,120.85858435224257,,,122.60641710910538,117.56408490394,1,5,0,1.8571159909064514,0.220662830016913,1.0492403765144356,3,7.232264697053438,67.5447920899625,0,0.28821349653562345,122.1087228652765,120.03070645300907,0,1,0,0,8,8,1,1,1477,0,6,7,,1.491018000499046,1.033988758258327,12,4.089015982143425,1.6017009431309313,,,,,,0.7735467626487842,22.246290043255957,40.07936507936508,-11.204151929220945,1,25.053299818166575,22.012032811818866,24.847115320876608,18.25406946718569,,,,978633
2025-05-27,122.11407004,122.2768505,120.59159398,121.86511169,121.31963197496161,123.85319291435887,118.0216998958652,115.58086788887465,118.6787442257784,114.3886807798449,0,0,0,0,120.8618765379857,113.41185372294582,97.64997125911069,51.07169679436677,2,6,118.35406916705,117.67478027664382,118.35406916705,116.31620249583145,122.1087228652765,123.70257801897594,123.36293357377285,124.04222246417903,125.4008002449914,120.03070645300907,0,2,0,2.6848678632457994,0.163424339316229,1.1922114140305888,3,7.237154443742355,82.07838898419226,0,1.8424432526694166,120.03070645300907,122.1087228652765,1,1,0,0,8,8,0,1,1477,0,7,8,,0.8943721370847012,1.1753083655271508,13,5.270741371537482,0.19736351979232464,,,,,,0.9268456180716931,23.580634933442134,44.04761904761905,-5.94172037977732,1,25.070238397569266,21.877506959174823,26.238326373917655,17.44537741277145,,,,1146077
2025-05-28,122.21939857,122.93275999,120.46711481,120.59159398,121.07695264330773,123.68633486102078,118.26645171340185,115.77736695127172,118.69777755666618,114.65413151531905,0,0,0,0,120.86123408779547,113.53310175821832,98.23654822442342,72.57054153373247,2,7,120.20874366899993,119.8713448522042,120.54614248579566,118.52174958502128,122.1087228652765,120.86123408779547,,,122.54822817177411,117.56408490394,0,0,7.5,1.5954944248469278,0.15797747212423463,0.8004659576748201,3,7.374148385878738,58.703455142667046,0,1.1262512502685367,122.1087228652765,120.03070645300907,1,1,0,0,15,8,0,1,1473,0,0,0,,0.8101370295952016,0.7859585037313921,14,5.467292238375741,4.125206611860439,,,,,,0.6836644380468027,24.847971086259022,46.82539682539682,-2.727867376931339,1,25.544799333788,21.985211809677825,26.262051636136306,16.30709671651325,,,,834853
2025-05-29,120.67777187,121.32889371,119.46170609,121.00333279,121.05241269220515,123.32388532991601,118.52710705403024,115.98230678808459,118.72071840475905,114.91401273698142,0,0,0,0,120.86169945552695,113.70350886636936,98.56194825480452,65.66917261795527,2,8,121.00333279,119.87877344965389,120.53871388834597,116.82194433523173,122.1087228652765,123.80084182654385,123.47087160719781,124.13081204588988,125.45069292327402,122.1087228652765,1,3.5,0,1.9226756845075208,0.1596133784225376,0.8303474381403525,3,7.310922395643483,79.73294001874025,0,0.2643595751109816,122.1087228652765,122.1087228652765,0,0,0,0,8,8,0,1,1473,0,1,1,,0.391247937809455,0.816950016202132,15,5.542980276670476,0.9124996455258635,,,,,,0.9493767235966435,25.902281885502166,48.80952380952381,2.276351805701139,2,25.325778078895368,21.52942617668306,24.935195485408233,18.20370897074342,,,,1154036
2025-05-30,120.72564848,121.91298829,119.48085673,121.14696261,121.0839293314701,122.86218117104113,118.77661710697974,116.18484231051264,118.74486013814453,115.16706408062916,0,0,0,0,120.86359678936671,114.03519065619412,99.91001782308946,58.96066932700648,2,9,121.14696261,120.52201127167869,121.17824402832132,116.85592570342946,124.09616151,124.04781797074833,123.87592912,124.57862078606,125.89108629934528,122.09915311149265,1,5,3,2.0229106919330495,0.1645589979041097,0.7957485425594832,3,7.264220188501682,91.71215908875111,0,0.6872928301977814,122.09915311149265,122.09915311149265,0,0,1,0,5,8,2,1,1473,0,2,2,,-0.08219706015673894,0.7823680563155136,16,8.909884828969393,0.9231196112622221,,,,,,1.8271290497692705,26.755865420032375,51.58730158730159,6.3259765109301815,2,25.163996887704958,21.335016074799285,24.874344419984435,16.998947652428388,,,,2359443
2025-06-02,120.49584077,122.86094508,119.49043205,122.8226438,121.66350082098006,122.56046819222641,119.16195298250548,116.44514825127685,118.78543509995404,115.42159780427252,0,0,0,0,120.8698269145003,114.21908254157725,98.37074791078118,45.95824860468267,2,10,122.8226438,120.51535428950521,121.1849010104948,117.46627003208327,122.93275999,123.87592912,,,125.54979592247396,122.09915311149265,1,5,0,3.3987405077472443,0.1758825914276251,1.110905723379818,3,6.908114937760491,82.03006732659205,0,0.020557973504307443,,122.09915311149265,0,0,0,0,8,10,1,1,1473,0,3,3,,-0.002797864695611438,1.0979543432516532,17,4.447767645039172,-0.7151243493687411,,,,,,0.8765460272828764,27.49260182549954,53.57142857142857,14.88561791229481,2,23.93041211345336,21.515303982961022,25.16655642477021,15.470856953083008,,,,1131740
2025-06-03,122.46835692,123.48334095,121.62572866,122.3247271,121.88390958065338,122.38236887779564,119.463169565124,116.67571997083462,118.8206519357754,115.67321497364007,0,0,0,0,120.87389607923453,114.36596887235945,97.88090159809951,61.82580782769939,2,11,120.85012765,120.52268084837984,121.17757445162017,119.21289364189917,122.93275999,123.87592912,,,125.51316312810083,122.09915311149265,0,2,3,2.9490455633239705,0.17807856114995319,0.9016255812060576,3,6.735572076122848,64.83106056741815,0,1.272043171407007,122.09915311149265,122.09915311149265,1,0,0,0,8,8,1,1,1473,0,4,4,,-0.14535380959079816,0.8872608713162364,18,4.386384741227571,2.1038477489014165,,,,,,0.7721775304083472,28.004241026212036,54.76190476190476,20.02140213338425,3,23.332706107773912,21.911880215905683,25.58892281080078,14.687227644261947,,,,998121
2025-06-04,122.21939857,122.55453481,120.85012765,120.9171549,121.56165802043559,122.16910202028915,119.60164435892172,116.84205075237051,118.84151266178759,115.91415004280852,0,0,0,0,120.87397971586839,114.44717467335117,98.68056998374752,75.14509626972153,2,12,120.85012765,120.530851984567,121.16940331543302,119.25374932283495,122.93275999,124.03934578652557,123.87592912,124.57862078606,125.85572344779204,122.09915311149265,0,0,6,1.7465632940229427,0.17651059424789248,0.5043633207978392,3,6.665605112209498,72.34089010450577,0,1.3045982299812682,122.09915311149265,122.09915311149265,1,0,1,0,15,8,1,1,1473,0,0,0,,-0.20956553562635002,0.4933481745376941,19,6.565791987033675,3.156214409590438,,,,,,0.5408231254886047,28.276411298832127,55.95238095238095,22.459952249450048,3,23.090333435075394,21.794356827647803,24.369255138635683,16.156152092672883,,,,691311
2025-06-05,120.89800426,121.27134603,119.90226662,120.80225105,121.30852236362372,121.93365565193503,119.71598785331012,116.99735272482657,118.86102249649618,116.14581456269134,0,0,0,0,120.87383258245038,114.52983374629075,99.13090408494395,82.07079834691197,2,13,119.66624121894444,119.35754703488163,119.97493540300724,118.12277029863044,122.09915311149265,120.85690048784296,,,122.40037140815696,117.56408490394,0,6.5,4,1.6331918678901183,0.1803881815616728,0.4414633995905597,3,6.5485785767663245,75.50764973453447,0,1.5762602719157703,120.07448120426362,120.07448120426362,1,1,0,0,15,8,1,1,1217,0,1,0,,0.2096536917921004,0.4308649469492845,20,6.855235679013459,2.8871782432221282,,,,,,0.583008280590142,28.31649420699892,56.34920634920635,24.825069755749826,3,22.68494162463272,21.11993614728159,23.404261558713724,18.25795044361873,,,,734957
2025-06-06,121.42011649,121.92213177,120.68640187,120.9374095,121.18481807574915,121.67170509484761,119.83231372442344,117.15186475522553,118.88168306369522,116.3709094863856,0,0,0,0,120.87395020128913,114.60426446925797,98.46483442440318,81.56232501057664,2,14,119.64957336574996,119.3518954635845,119.94725126791542,118.16118385492268,122.08759347356735,121.07275387,,,122.56114338082727,117.56408490394,0,0,2,1.7292205017011324,0.1853127691751723,0.4415848159320024,3,6.474542060138918,64.05053645145603,0,1.638025590802703,120.10832152958662,120.10832152958662,1,1,0,0,8,8,2,1,1217,0,2,1,,-0.045563890748234775,0.43193100773952015,21,4.618524363952801,2.3780174839461985,,,,,,0.5339666012268045,28.16095682349044,55.55555555555556,25.55896503304812,3,22.42847160780455,20.784165971352643,24.488763943117743,17.581227408185498,,,,664087
