time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-23,178.54565802,179.62578904,177.30841703,178.71258736,179.1308111384911,181.6031867284697,175.99578962557044,173.6366159667097,170.5586446214403,173.1113654114901,0,0,0,0,173.02957602530796,172.46530494495096,97.20046940067314,35.52249015016501,2,6,178.71258736,173.11891282642,174.3145335088127,171.27059755592697,184.16062222300852,179.36398944746153,178.89886508470698,179.82911381021609,181.68961126123435,173.2186482,1,2,1.5,4.780726744550297,0.023903633722751484,0.6048407119004215,0,6.145117924677209,86.31859367012824,0,0.7320669614498543,,173.2186482,1,1,0,0,8,10,3,1,1172,0,7,4,,0.04933717740702326,0.6032483027121875,12,4.772033665399839,-1.525130468950655,,,,,,0.6977980214082197,29.389041835970282,78.17460317460318,38.058955281268275,3,21.287312928086283,11.087605359365067,25.24512489910166,23.427180607030586,,,,522864
2025-05-27,179.66506653,181.25580495,178.59475488,181.25580495,179.83914240899406,181.61736020782467,176.4967434659923,173.9354076915446,170.66508402769463,173.41926371576173,0,0,0,0,173.20685010620693,172.78888281975392,97.2428146282592,19.223706042029725,2,7,181.25580495,178.82535937261085,179.7366805118336,174.94947032310895,183.14603423,185.01737337,184.56171280038862,185.47303393961138,187.2956762180569,176.586121725,1,3.5,0,6.2055580862613695,0.031027790431306847,1.16454841719161,0,6.1735493520414915,92.78653078472807,0,0.29973501119649004,183.14603423,176.586121725,0,1,0,0,8,10,2,1,1172,0,8,5,,0.35946136524260713,1.1556263774114655,13,4.331884513605875,-4.229622518320041,,,,,,1.0815745197179716,28.662857786633687,75,34.02750763938254,3,21.385802281539565,11.007645139816189,27.122757066761405,22.205623990113143,,,,825818
2025-05-28,181.16743059,181.84005763,178.624213,178.81078109,179.49635530266272,181.49746736586843,176.71712800161208,174.12659880520954,170.74613573975736,173.72151577007435,0,0,0,0,173.2894247859305,172.93888591024478,97.75226942496693,25.72636632851599,2,8,171.74555412049995,171.74555412049995,172.64920668959965,169.93824898230054,183.14603423,179.36398944746153,178.91216316291167,179.8158157320114,181.6231208702108,175.19202022164,0,0,1.5,4.723178838163792,0.02361589419081896,0.42495182183038205,0,6.172307690337063,82.71964429480272,0,6.30799961143151,183.14603423,175.19202022164,1,1,0,0,8,10,2,1,1172,0,9,6,,0.503228173122594,0.4186482978643056,14,4.939654512264986,-0.5510219839330611,,,,,,0.7549038739479632,27.852200582991042,72.22222222222223,30.263074289765317,3,21.3815010392238,11.090207168856749,26.553691475771092,20.794489115576194,,,,573114
2025-05-29,178.36749685,178.36749685,175.22510819,177.39227279,178.7949944651085,181.11915446225063,176.78142750526808,174.2546644516719,170.8122664566752,174.0088599863921,0,0,0,0,173.37903909789875,173.10087809315036,98.44785205547873,32.425471592475716,2,9,171.82313644954996,171.82313644954996,172.7262722797854,170.01686478907908,182.38304912,179.36398944746153,178.9124215323438,179.81555736257926,181.62182902305014,173.11891282642,0,4.5,0,3.85218606943182,0.019260930347159103,0.015896761928376614,0,6.253988037616681,84.95407607494323,0,5.846248325513307,182.38304912,173.11891282642,1,1,0,0,8,10,2,1,1172,0,10,7,,0.32892526155864504,0.005045834200368867,15,5.895189792070077,-0.14943826502851942,,,,,,1.1474477643727576,26.94804759236392,71.03174603174604,24.388329798559216,3,21.66445006216014,10.491007999462521,24.67110699440725,26.041054867480536,,,,868500
2025-05-30,177.45137727,178.6630193,176.70272041,178.46600433,178.68533108673898,180.6191213704255,176.9418633933378,174.41981503513577,170.88842305242966,174.2883467449012,0,0,0,0,173.4886698321263,173.29071549162012,98.39957018287177,32.19711067134757,2,10,178.46600433,176.6064782273014,177.4801096926986,173.20819454841123,182.38304912,178.877061855,,,181.06114051849298,173.11891282642,1,3.5,0,4.434227399503532,0.02661558144196211,0.26720243699176033,0,6.266573438866024,82.76165092910054,0,0.744995530974948,182.38304912,173.11891282642,1,1,0,0,8,10,3,1,1172,0,11,8,,0.045534601063822296,0.250646230921237,16,5.011401940207016,-0.5669444090236669,,,,,,1.1573433815957828,25.92544065469642,68.65079365079364,19.4277884626308,2,21.708047170955144,9.844697418381942,24.28661791059742,24.997621857169335,,,,875817
2025-06-02,177.30361605,177.78630271,175.30391418,177.67794448,178.34953555115933,179.93613325577317,177.0119663539723,174.54758481728732,170.95598047956966,174.5531912502803,0,0,0,0,173.53220748089956,173.36507858605975,98.8686571158272,31.116257688349034,2,11,177.67794448,176.60944640329774,177.47714151670226,171.83313372638185,181.84005763,178.877061855,,,181.04629963851133,173.11891282642,1,8.5,0,3.9319852874253,0.028548815326015393,0.02519795852224804,0,6.301468035369193,88.01437181508446,0,0.7121040056640797,181.84005763,173.11891282642,1,1,0,0,8,10,2,1,1172,0,12,0,,-0.42930349442250754,0.01093420351063373,17,6.2408383527157225,-0.6874833198989968,,,,,,0.5732369393631747,24.759636069743664,68.25396825396825,13.425811808201571,2,21.82892559906135,9.6585128720924,22.706148447683383,26.249622873017483,,,,426779
2025-06-03,176.72242191,177.83063108,175.22018282,177.52033251,178.07313453743956,179.20644587185802,177.0603821783559,174.664163158178,171.02129741519585,174.80064366762969,0,0,0,0,173.5754542345164,173.43806836040488,98.99037560839497,30.332484132063467,2,12,177.52033251,176.61712794074074,177.46945997925926,171.81085466592597,181.84005763,178.877061855,,,181.00789195129624,173.11891282642,1,7,0,3.8001320262623004,0.03233399346464484,-0.038034120034382404,0,6.166603231231568,86.55571591559601,0,0.7565884723562781,181.84005763,173.11891282642,1,1,0,0,8,10,2,1,1172,0,13,0,,-0.7215426117519829,-0.049379835202867574,18,5.8468546458818915,-0.718508577734014,,,,,,0.6099322585015581,23.413507534302198,65.47619047619048,9.604869737200437,2,21.36174021322297,9.510648652839283,21.46431966358015,24.98942179199537,,,,450191
2025-06-04,178.1310789,180.07660166,177.46122802,178.80092977,178.31573294829303,178.674977057697,177.22614861565535,174.8263892998181,171.09870669235806,175.0382332011488,0,0,0,0,173.64022460582495,173.54492530929542,97.74455102017751,18.27499237531127,2,13,178.80092977,176.6242168203307,177.4623710996693,174.10861090264555,181.84005763,179.04153635,,,181.13692204834652,175.19202022164,1,3.5,5,4.50162553916368,0.04028590547359617,0.26514932130803753,0,6.170123064333155,88.465508181256,0,0.6476814440603964,181.84005763,175.19202022164,0,1,0,0,8,10,2,1,1156,0,14,1,,-0.7904543886474901,0.2542216700614903,19,3.9818707090271923,-3.1781470248857384,,,,,,0.725470250359289,19.779875791139936,51.98412698412698,-7.457951053151082,1,21.373933272755192,9.045150311599937,25.05341005080814,23.596977093551214,,,,521050
2025-06-05,179.28361643,179.37227316,177.74689972,178.30839236,178.3132860855287,178.30692427819568,177.3292194484501,174.96293843943306,171.17044485820526,175.26264069034835,0,0,0,0,173.6837780312037,173.61596482609195,97.67042773316159,10.92505924376409,2,14,177.04329396,176.6396386388785,177.4469492811215,175.0250173543925,181.84005763,178.877061855,,,180.8953384606075,174.6602409152984,0,2,3.5,4.170081761315569,0.043072631028800074,0.09671148802066827,6,6.17556427991777,91.93201681273214,0,2.376663167314559,181.84005763,174.6602409152984,1,1,0,0,8,10,2,1,1216,0,15,0,,-0.3820736567171865,0.08674322049130817,20,4.498443015012225,-3.953018326061635,,,,,,0.6091119933016159,14.430334814788553,34.523809523809526,-32.54577790642367,0,21.39278219645017,8.612901851877686,24.152686950924416,22.74861584003383,,,,395891
2025-06-06,179.51018364,180.60361668,177.70749673,179.12600446,178.58419221035246,178.18851276967098,177.50034183050246,175.12619593043567,171.24960465523804,175.47976200646548,0,0,0,0,173.71912965458515,173.6729554510702,97.33059614481593,6.358955467515985,2,15,178.6578483366667,178.25716732464315,179.05852934869023,176.65444327654902,181.84005763,182.02656757399404,,,184.02997263411172,175.22018282,0,3.5,6,4.599368168247055,0.04966350750790194,0.2723807054216954,6,4.392729822707185,93.16506522152386,0,1.5884003473298562,181.84005763,175.22018282,1,1,0,0,8,10,3,1,1216,0,16,0,,-0.05713679320619124,0.2635135209276306,21,4.1905729629179085,-4.8976953737177045,,,,,,0.45730938677147925,14.106399045795934,32.53968253968254,-7.29758470135876,1,15.21686247370374,8.619356704692681,25.337840474357755,21.280518886877466,,,,277436
