time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-23,73.28381683,74.79870284,73.27416787,74.49958522,75.59831587480402,77.40395180977532,75.28938392032522,75.0827606461477,74.89605709581156,72.72691601559909,0,0,0,0,76.9002101876561,72.02528214870728,91.07732148019063,87.22583755638911,3,0,74.49958522,74.12691187620737,74.6057733249927,71.3587220748587,76.57106285778,75.08117265067735,,,76.27832627264065,71.93720714,1,4.5,0,-0.5293628145262251,0,-0.45557742435293896,0,6.327675637136312,42.815209669385446,0,0.6595249592407243,76.57106285778,74.0553266565442,0,1,1,0,5,8,2,0,128,0,,4,,-0.2726091720136444,-0.452633293233175,0,2.501387526539765,2.968252246866564,,,,,,0.9944005325886925,62.01445656791077,92.06349206349206,182.91639178691634,3,21.919711394671715,14.12066248300126,21.543957952267778,28.311439210610224,,,,2958694
2025-05-27,75.50307659,76.31358885,74.88554344,76.25569511,75.81744228653601,76.81574976576016,75.3814135574371,75.1287580761027,74.90958583227115,72.75916046473776,0,0,0,0,76.89535028924902,72.13855425949549,94.64207785773198,45.24232535579934,2,0,74.3117195377378,74.07319454696247,74.55024452851313,73.11909458386116,78.32725031000001,76.6476918404,76.40916684962467,76.88621683117533,77.84031679427665,74.17393178952,0,0,0,1.7969786680477833,0.008984893340238918,0.23971616447956282,0,6.643437560320477,93.94448720184191,0,3.3669686008243125,78.32725031000001,74.17393178952,1,1,0,0,8,10,2,0,128,0,,5,,-0.4942277600779605,0.23699520074236902,1,4.897457555475134,-4.080901559259653,,,,,,1.1249746349248848,61.06066618892072,90.47619047619048,165.32492960896175,3,23.013542782772983,13.199357595652447,25.75165508708653,26.389019597334276,,,,3300570
2025-05-28,76.24604616,76.58858408,75.06887359,75.25220374,75.62902943769068,76.27080628998917,75.36910786053832,75.13359908253004,74.91299496568139,72.78595523079434,0,0,0,0,76.88541820764794,72.20437069445651,96.15818794574007,34.30853981141168,2,1,74.28223874020004,74.04718240510509,74.517295075295,73.1069570647253,78.32725031000001,76.69481715799999,76.45976082290504,76.92987349309495,77.87009883347474,74.0553266565442,0,0,3.5,0.45280364838437265,0.0022640182419218636,-0.17328243402760338,0,6.806613632719676,84.16064169130723,0,3.4417379715939185,78.32725031000001,74.0553266565442,1,1,0,0,8,10,2,0,128,0,,6,,-0.8545505836540798,-0.17595804272014468,0,4.54348871962914,-1.1430267183040874,,,,,,0.9049600402957112,59.35767677867532,89.68253968253968,151.74170678574185,3,23.578801278722885,12.31975211322547,25.30968135137672,24.865689110916556,,,,2661901
2025-05-29,75.86008794,76.25569511,75.12676732,76.09166287,75.78324058179378,75.89586976364072,75.43792262334419,75.17117021145043,74.92472300453034,72.81228419355595,0,0,0,0,76.88113106055121,72.27681620701325,97.35879867486484,18.269941177697113,2,2,74.22542748744891,73.99708117816432,74.4537737967335,73.08369594102594,78.32725031000001,76.74387149934999,76.5155251900654,76.97221780863458,77.88560304577297,74.17393178952,0,0,0,1.5574830558921102,0.007787415279460551,0.14657135767853394,0,6.675418878623504,95.06507993616431,0,3.592633343102449,78.32725031000001,74.17393178952,1,1,0,0,8,10,2,0,128,0,,7,,-0.3745200787101512,0.14010880148172827,1,5.194141789193836,-4.600000810382873,,,,,,0.8310348379298693,55.81587834926028,88.4920634920635,141.37296082793392,3,23.124329319160736,11.502975593828989,24.19245589663666,23.768062458147273,,,,2391452
2025-05-30,75.86973689,76.26148449,75.31009748,75.82149212,75.79599109452919,75.62989547962687,75.47445305159712,75.19667303139354,74.93364608030615,72.83719900342986,0,0,0,0,76.87079990558682,72.393281378663,98.41308101976112,17.67875529009418,2,3,75.25538458310272,75.03485419760631,75.47591496859914,74.15273265562067,78.32725031000001,76.79289814554998,,,77.89555007303204,74.12458804726795,0,2.5,3,1.1848429725978544,0.005924214862989273,0.018354014298213556,0,6.696847049208833,91.90330020684165,0,2.785888865139877,78.32725031000001,74.12458804726795,1,1,0,0,8,10,3,0,128,0,,8,,-0.5598287542535594,0.01079706417771555,2,6.532993874791141,-1.6659116455443344,,,,,,1.4866835788005515,49.98351969264193,86.9047619047619,115.45959118926774,3,23.19855867949482,10.748137019094608,23.2840351497651,22.85254941053281,,,,4359392
2025-06-02,75.38728912,75.91798167,74.62502164,75.91798167,75.83665461968613,75.45179871130952,75.5166938723974,75.22495964467223,74.9434404642832,72.86241608948693,0,0,0,0,76.86657917654375,72.44535197359083,99.02218866472647,9.904889741180474,2,4,74.2842289398889,74.06790643880295,74.50055144097486,73.20261643445915,76.58858408,76.83976092229999,76.62343842121403,77.05608342338594,77.92137342772975,74.17393178952,0,3.5,0,1.3003689177857456,0.006501844588928728,0.03831410206321343,0,6.187098765626646,97.07030237465037,0,2.1304812292231246,76.58858408,74.17393178952,1,1,0,0,8,10,2,0,128,0,,0,,-0.6201005575820245,0.03334058895879311,3,7.025651066706918,-4.662702529287512,,,,,,0.6946968781286648,43.397442945406475,83.33333333333333,102.48202199285697,3,21.43273882702407,10.352001266939057,22.04145724299269,24.460604465279037,,,,1989484
2025-06-03,75.86008794,76.82498349,75.03027777,76.53551482,76.06960801979075,75.43651317035065,75.61372443883575,75.27635396527332,74.95928200016098,72.89212531179031,0,0,0,0,76.86424010621927,72.54016284640161,98.52073262268965,5.4947731275518175,2,5,74.26362413016545,74.04672907808565,74.48051918224526,73.1791488697664,76.58858408,76.88607267869999,76.66917762662018,77.1029677307798,77.97054793909905,74.17393178952,0,1.5,0,2.1027853759800363,0.010513926879900182,0.2513177781277196,6,6.192010303505727,95.44204262950743,0,2.1438570659316127,76.58858408,74.17393178952,1,1,0,0,8,10,2,0,128,0,,1,,-0.4808003356883266,0.24652723595129655,4,4.7622693571281225,-5.577334677559782,,,,,,1.1089609547906711,48.49254722674948,84.92063492063492,126.0750856567802,3,21.449752893323804,9.84048490351733,24.146748493566093,22.653460446961546,,,,3195753
2025-06-04,76.79603662,77.26883544,76.03376914,76.04341809,76.06087804319384,75.48893960110345,75.65464764370853,75.30643491134103,74.97006942394047,72.92365110521392,0,0,0,0,76.86020326448816,72.59606218768985,97.93057089120276,7.221713027990562,2,6,75.30865137778312,75.09622145174473,75.52108130382152,74.24650174759114,76.58858408,76.92732488989998,,,77.98947452009196,74.17393178952,0,0,3.5,1.4317029106508656,0.007158514553254328,0.026722066829161343,6,6.203986880808869,87.89601153905413,0,1.2050399170082435,76.58858408,74.17393178952,1,1,0,0,8,10,2,0,128,0,,2,,-0.47778218112670945,0.022442943385488922,5,4.3600558883788745,-2.6532274543340924,,,,,,0.7848620024087809,52.25114455305826,87.6984126984127,143.12762867449095,3,21.49124097410344,9.644509073244237,24.758814180380153,21.477504362365117,,,,2235508
2025-06-05,76.13990765,76.30393989,75.28115061,75.80219421,75.97465009879589,75.58159370734327,75.66869969764105,75.32587645246491,74.97834927255798,72.95628895659979,0,0,0,0,76.855785159487,72.63909688377595,96.46948812394801,19.313755354647462,2,7,75.31808624332855,75.11169783629289,75.52447465036421,74.28614420815028,76.58858408,76.96113323404998,,,77.99307526922826,74.62502164,0,1.5,3.5,1.0987771075716988,0.005493885537858494,-0.07929013775883699,6,6.214624196167857,74.22513614304994,0,1.2311717067053725,76.58858408,74.62502164,1,1,0,0,8,10,2,0,128,0,,3,,0.04040397593139749,-0.08594328825650045,6,3.4882799181547517,-0.6016206686042169,,,,,,0.6905385654715016,54.60348304176901,87.6984126984127,153.63831052162473,3,21.528089715419238,8.973648232155695,23.663313412948916,23.783095334472893,,,,1906108
2025-06-06,76.90217513,77.31708022,76.43902527,77.12410111,76.35780043586392,75.82163789560431,75.80730935596094,75.3963950664859,74.99970003710963,72.99905683895729,0,0,0,0,76.85692246939315,72.69963496506551,97.14713898022882,10.460117787395012,2,8,77.12410111,76.59026170758376,77.00060599939998,74.79764810273514,78.73240253701766,78.92223912465954,,,80.15327200010819,74.62502164,1,3.5,0,2.8325460926366604,0.014162730463183303,0.41068241153001134,6,6.349080835205415,94.18928619693932,0,0.69131051519003,78.73240253701766,74.62502164,0,1,0,0,8,10,3,0,128,0,,4,,0.4309980869050141,0.3998153872074283,7,4.6347369772902525,-5.046572478516912,,,,,,0.7322995255788218,57.29722678266079,88.88888888888889,160.5146332628003,3,21.99386117587524,8.962567883521121,26.512262970418476,22.215218627242162,,,,1943023
