time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-23,27.13368238,27.77381498,27.03443702,27.68945642,27.752294074405572,28.002388218866667,27.559305222636688,27.233091982604204,26.92681036794116,26.612549673048942,0,0,0,0,26.965022259007572,26.72539739699804,98.36564268189385,25.56126987072814,2,6,27.68945642,27.185443281931775,27.342082512168197,26.4363425781086,28.33605320168,28.159720954344188,28.10628694,28.316360184580613,28.62963864505346,26.98750024544,1,3.5,0,2.8322925799144687,0.014161462899572345,0.03255673102138167,6,4.0551633834210525,94.91875047768607,0,0.5159920512122451,28.33605320168,26.98750024544,0,1,0,0,8,10,2,1,508,0,7,1,,-0.2473263290055643,0.04238294387534081,1,5.332934259331108,-5.628571825065901,,,,,,1.0562202885100789,44.23914014027167,70.63492063492063,214.9254056337911,3,14.047498026156347,12.219154537398378,15.08970487171168,22.37706401726164,,,,3307355
2025-05-27,27.99711704,28.0814756,27.74900363,28.03681519,27.84713444627038,27.920834308290477,27.604782362385574,27.26461053975698,26.93785519204125,26.639627362513146,0,0,0,0,26.98634254376213,26.781290413142486,99.69993228143552,9.770278614078453,2,7,28.03681519,27.136784325,27.29004363,26.83188221241807,28.57532249347539,28.10628694,28.03006141185452,28.182512468145482,28.487414580727414,27.136784325,1,2,0,4.079612092812176,0.020398060464060883,0.44689932863260856,6,4.078300863314869,93.0240778917338,0,0.44691888552678916,28.57532249347539,27.136784325,0,1,0,1,8,10,1,1,508,0,8,2,,-0.12796575096899807,0.457384673384449,2,7.301216131993055,-2.524018526969061,,,,,,1.5316795038486455,47.92280850664755,76.58730158730158,239.21291389408344,3,14.127648607626734,11.954269625423297,18.000546375576754,21.349540062515903,,,,4883678
2025-05-28,27.94749436,28.2998154,27.90779622,28.12613602,27.94013497084692,27.89649298711429,27.654435091682185,27.298395852707685,26.949678881871687,26.668159976911465,0,0,0,0,26.998432388956047,26.811487821601553,99.35558132484377,9.653045982868875,2,8,28.12613602,28.03200592118634,28.18056795881366,27.3135480694907,28.566739332533547,28.564650904894727,,,28.936055998963038,27.45065938136,1,5,1,4.36538462400635,0.021826923120031753,0.5008349563410565,6,4.045722575207019,96.2488116324451,0,0.5422223062222284,28.566739332533547,27.45065938136,0,1,1,0,5,10,1,1,508,0,9,3,,0.0063700902343693236,0.5147483097005254,3,7.208424380298507,-5.018321373761782,,,,,,0.8184077399872632,50.89167755930738,84.52380952380952,263.1282569699464,3,14.014794107173909,11.201294079383285,19.77679092901906,20.34353546644275,,,,2632029
2025-05-29,28.12613602,28.21545684,27.77877724,28.18568323,28.02198439056461,27.91908741835065,27.705030152474357,27.333191436130914,26.961977432599333,26.69843417954561,0,0,0,0,27.01025291914464,26.840132426899412,99.30949945712064,5.646220308958193,2,9,28.18568323,28.033412783244458,28.179161096755543,27.19578398595565,28.538702243948872,28.551536782814793,,,28.915907566592512,27.599034160000002,1,5.5,0,4.5386351963973555,0.02269317598198678,0.5118829084976875,6,4.03915495849776,94.81536557658652,0,0.3566211572266421,28.538702243948872,27.599034160000002,0,1,0,0,8,10,1,1,504,0,10,0,,0.018527039195050443,0.5293943771776434,4,6.09801500623345,-5.019084430922774,,,,,,0.7790635709432522,53.2702600827625,86.11111111111111,280.71823580176425,3,13.992043215523758,10.783525079551872,18.718689840706165,20.83585812835697,,,,2495377
2025-05-30,28.04673973,28.13606055,27.76389044,28.02689065,28.023619810376406,27.946934979331605,27.735683533191086,27.36039532687088,26.972573584016256,26.72949460823049,0,0,0,0,27.03500175432584,26.899049291932865,99.87175041038323,3.3494556337624273,2,10,27.295354188299985,27.29004363,27.438223922095997,27.00430416240798,28.42910645179148,28.482325489499864,28.42910645179148,28.61005118,28.89579064759202,27.45065938136,0,3,1,3.9088486039334507,0.019544243019667257,0.260695824839195,6,4.093721396234404,96.32919071647426,0,3.895386231342154,28.42910645179148,27.45065938136,1,1,0,0,8,10,2,1,504,0,11,1,,-0.01276253222627589,0.2766718212040899,5,8.436885149061043,-4.043072003647932,,,,,,1.8586097886189377,55.263238825915636,87.6984126984127,289.69732822782987,3,14.18106690061958,10.42900297070507,17.73185076568741,19.923471701468554,,,,6253648
2025-06-02,27.848249,27.93756983,27.49592796,27.86809807,27.971779230250938,27.952905167403024,27.7482944414586,27.380305238366137,26.98148427541908,26.76047240937937,0,0,0,0,27.045227980297142,26.92300169260406,99.27083868763874,8.605700754451707,2,11,27.86809807,27.618383305291136,27.760529534708862,26.927343042329106,28.2998154,28.26466993531826,,,28.62003550886257,27.468491748869205,1,4.5,0,3.2860082326480766,0.016430041163240382,0.032162071882168505,6,3.7523772903909425,87.31556763834477,0,0.45890515309691293,28.2998154,27.468491748869205,0,1,0,0,8,10,1,1,488,0,12,2,,-0.2964123975875925,0.049174397163512476,6,5.622450629124185,-2.1287008868627026,,,,,,0.9314642112666379,55.737619634805235,88.0952380952381,328.7965629489123,3,12.998616232249493,10.687845092876735,16.549096014295813,21.960813802537153,,,,3192486
2025-06-03,27.66960734,27.86809807,27.61502239,27.72915456,27.890904340167292,27.929770256251516,27.7464715956054,27.393985603920406,26.988923780738293,26.790720648321287,0,0,0,0,27.05601930031259,26.94821179870929,99.37485350697636,13.169066367236807,2,12,27.72915456,27.621200352056057,27.75771248794394,27.068973846448454,28.2998154,28.267984936962247,,,28.60907747345577,27.510325380775882,1,6.5,0,2.7427206259702834,0.013713603129851419,-0.15039981206767422,6,3.769631726755675,88.46305454315495,0,0.8644009561109985,28.2998154,27.510325380775882,1,1,1,0,1,10,1,1,488,0,13,3,,-0.4222540235326833,-0.1326895136939487,0,6.562263706048709,-1.6061089087898375,,,,,,1.2056078969857158,58.91454922098259,91.66666666666667,351.1625182175835,3,13.058387353128856,10.928198492036136,16.00124130474368,21.2338051939144,,,,4169472
2025-06-04,27.65968281,27.82839993,27.49096569,27.63983374,27.80721414011153,27.88302697920866,27.736315609357266,27.403626707296077,26.995400496750847,26.819921495480102,0,0,0,0,27.061677839959998,26.96137242841789,96.9893081341362,40.36942301650687,2,13,27.536895496961712,27.47050205672805,27.603288937195373,27.204928295793405,28.19131585,27.68945642,,,28.021423621168307,26.98750024544,0,6.5,3,2.3871964534355294,0.011935982267177648,-0.25326285309229213,6,3.7869614406049212,57.179743094117896,0,1.9713403936749019,28.19131585,27.536895496961712,1,1,0,0,8,10,1,1,488,0,14,4,,-0.4961850961275176,-0.23635453533659764,0,3.378660463622216,1.4187601630472042,,,,,,0.7450539630520756,60.570197678227714,92.46031746031746,361.718722026485,3,13.118419242863904,11.42660244923155,15.275135968600024,21.93856730483011,,,,2586279
2025-06-05,27.71923003,27.82839993,27.54555064,27.64975827,27.754728850074354,27.83256479350563,27.728072053228004,27.41327892544133,27.001911519370243,26.84855771784488,0,0,0,0,27.067091918436056,26.973705286053715,97.37501078065553,54.088753313309105,2,14,27.30881459379998,27.244638102065153,27.372991085534807,26.98793213512584,28.19131585,27.68945642,,,28.01033887867414,26.98750024544,0,6.5,4.5,2.3992625491162505,0.011996312745581253,-0.22205365514337735,6,3.400416877931674,65.21200120829369,0,2.7502321561809198,28.19131585,27.501177266336086,1,1,0,0,8,8,1,1,232,0,15,5,,-0.14274693955353202,-0.20378181220740932,0,4.595153963033905,1.4332880505144034,,,,,,0.7397947960400354,59.27226809636085,91.26984126984127,403.18624406029693,3,11.77938959898479,11.889406123770149,14.674036723353222,21.07525215818673,,,,2479422
2025-06-06,27.85817353,27.91275848,27.4115694,27.60013559,27.703197763382903,27.779092594731605,27.715887628158672,27.420606637776963,27.007863997684968,26.87672146286746,0,0,0,0,27.073846665506405,26.98896996759485,97.64279518350993,47.48554754954759,2,15,27.309798778599983,27.245731419489072,27.373866137710895,26.989461983045423,28.19131585,28.063429583333335,28.02689065,28.19131585,28.447585286443648,27.4732461387642,0,7.5,1.5,2.192959770405392,0.01096479885202696,-0.2678213066107432,6,3.192207250805176,74.48796635563713,0,2.751844569943805,28.19131585,27.4732461387642,1,1,0,0,8,10,2,1,168,0,16,6,,0.07830210868892379,-0.24984746585628712,0,4.6895571939509875,-0.05177524865628447,,,,,,1.038549169656295,55.720767813867724,86.5079365079365,403.88959377049804,3,11.05813029336866,12.630915624035493,13.649101646745065,21.47040514909161,,,,3456587
