time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-23,16.92002899,16.92990641,16.67803208,16.84100959,17.042551945778115,17.316902639932902,17.014564155200805,16.881790014105338,17.429932614516726,16.366024220600064,0,0,0,0,17.2630688561366,16.321462442046496,96.84823990433543,69.1732763275338,2,33,16.561781699168055,16.51361135354368,16.60995204479243,16.32092997104618,17.09934719361729,16.880498818023238,,,17.121350546145113,16.357618545,0,2.5,6.5,-3.3788026468113603,0,-0.2551865138441718,0,7.515366162051574,49.49628112799548,0,2.2319353846496757,17.09934719361729,16.357618545,1,1,0,0,8,8,0,1,200,0,24,2,,-0.07625751185335491,-0.24158080160883635,0,4.475800622681116,2.946273341592348,,,,,,1.1186532159104732,31.20147754362695,61.904761904761905,19.848993851348844,2,26.033992060314482,14.961392273112128,20.804243291498974,29.445151190417334,,,,14757619
2025-05-27,17.03855809,17.06819036,16.76199019,16.84100959,16.975371160518744,17.231796010086146,16.998035148991203,16.88019078178748,17.42407268392452,16.41280256331919,0,0,0,0,17.260240369882904,16.32806001644855,94.7329354475051,79.79881396671121,2,34,16.535997107699767,16.45987419996,16.594786572599997,16.270020052998035,17.09934719361729,16.882494233955658,,,17.119811917658115,16.45987419996,0,2,5,-3.346307746193331,0,-0.22187866329614409,0,7.463656709913063,33.12610403237514,0,2.118040169101302,17.09934719361729,16.45987419996,1,1,0,0,8,8,0,1,2248,0,25,0,,-0.17646264928314612,-0.21109399923719172,0,2.9325132425607308,3.4337204761594173,,,,,,1.2960554292855633,30.713623397609307,61.111111111111114,18.79243262117473,2,25.85486526364358,14.68510894069414,22.2072248296139,27.74909163920456,,,,17583932
2025-05-28,16.94966126,16.9644774,16.64346109,16.69284821,16.881196843679163,17.12506594344675,16.968969726230135,16.872844014266402,17.41679681851234,16.455828695923262,0,0,0,0,17.25784515744681,16.33096700062603,65.6418199433929,77.89224486155689,2,35,16.529926589662498,,,16.295229083813787,17.09934719361729,16.87758450141667,16.83064500024693,16.924524002586413,17.11228200726538,16.278346172505778,0,0,5,-4.156611666634656,0,-0.41542019606679037,0,7.489069681923725,16.887763316392025,0,2.553236885683691,17.09934719361729,16.278346172505778,1,1,0,0,8,8,0,1,2248,0,26,1,,-0.04831603142134722,-0.4064531231243981,0,-1.1753875100136595,1.975859133122604,,,,,,0.8159679286265124,30.022983319189656,59.523809523809526,15.72717465193386,2,25.942898381031164,14.719804949944514,20.851208576075937,28.309273005404798,,,,11123291
2025-05-29,16.68297079,16.885458,16.54468684,16.86076444,16.874386042452777,17.027642036229004,16.958664460874886,16.87237030547164,17.411264158029628,16.49620798175786,0,0,0,0,17.256498178353947,16.334349418320826,79.99200669212543,54.71158295538924,2,36,16.508492738914992,16.461863459614516,16.555122018215467,16.275346342412618,17.09934719361729,16.87641899985649,,,17.109565396358864,16.45987419996,0,3.5,0,-3.1617446788075454,0,-0.1148573499833822,0,5.630774876304118,69.36213299943344,0,2.5342637225631903,17.09934719361729,16.45987419996,1,1,0,0,8,8,0,1,2248,0,27,0,,0.06932111835620408,-0.10986519654920346,0,3.31185632610922,-0.5938847416130474,,,,,,0.6959461588135596,29.09591158229316,58.333333333333336,49.167146204401185,3,19.505576343482183,14.991550605053611,19.490649701513572,28.353397871538952,,,,8968718
2025-05-30,16.78174504,16.85582573,16.57925783,16.67309336,16.807288481635183,16.917358661938962,16.931467213172514,16.864555523296282,17.403919174964656,16.532879581445272,0,0,0,0,17.25132553647139,16.339958167219198,98.83471869928833,59.34428111907171,2,37,16.439856513805537,16.348232377068943,16.499460561899994,16.16498410359575,17.09510586193951,16.85674493275336,,,17.085805274594854,16.40682608651675,0,1,4.5,-4.199202533737009,0,-0.3800710391479056,6,5.713499915189312,73.87760619904672,0,2.383830911344909,17.09510586193951,16.40682608651675,1,1,0,0,8,8,0,1,2248,0,28,1,,-0.5044854793860021,-0.37422183060729736,0,5.480648572207516,0.9442883278267975,,,,,,1.8265554671480242,27.90300837238172,57.53968253968254,40.980219078739445,3,19.792144284296718,15.243885856226342,18.421306801660183,26.797805566255562,,,,23651488
2025-06-02,16.54468684,16.59407396,16.1347737,16.44591259,16.68682985109012,16.780470379517748,16.88522391572751,16.848138153363095,17.39438677113416,16.56454197400074,0,0,0,0,17.246566563007196,16.34112134336524,65.58743687348331,77.69425694542284,4,0,16.352458183822396,,,16.115727167291013,16.83595929958,16.46937625864444,16.422030055338166,16.516722461950717,16.706107275175825,15.986359287980001,0,5,3.5,-5.452760097919334,0.04078169288379441,-0.6815476805110989,4,5.660535109515604,9.08722486948706,0,2.0403620013197865,16.83595929958,16.356846638192906,1,1,0,1,8,19,0,1,2248,0,29,2,,-1.3262535430703553,-0.6718307010957597,0,-0.003428441608187782,5.279064990383697,,,,,,1.2109771602765662,26.437162164213724,55.95238095238095,34.82384966096206,3,19.60866881541697,16.47351617417503,16.55123838582611,32.459488122897824,,,,15855666
2025-06-03,16.52493199,16.54468684,16.30268993,16.33726091,16.570306870726746,16.630545606200002,16.83303696280108,16.82810375166258,17.383868105849245,16.590816500483044,0,0,0,0,17.237391535264862,16.341049593369405,39.57403043112969,98.34486019278334,4,1,16.287276816183486,,,16.05665172449363,16.83595929958,16.33726091,16.39555211974647,16.48780215642241,16.91368698670377,15.8426196148,2,0,6,-6.0205656731661845,0.038224119885554686,-0.7748919742213533,4,5.689856906338081,8.951185993462985,0,0.8581174849489027,16.83595929958,16.287276816183486,1,1,0,0,10,8,0,1,2248,0,30,3,,-1.3057929590844375,-0.7638616543140981,0,-0.12432782179515955,5.2661264029072425,,,,,,1.9497245766602187,24.601388937484327,51.58730158730159,24.81525246859439,3,19.71024249914845,17.61531575512738,15.775909900802349,30.93895140145678,,,,27352162
2025-06-04,16.29775121,16.36689319,15.83351224,15.86314452,16.334586087151166,16.43663294009091,16.740666253962882,16.79026221316601,17.368736527880596,16.60930953646827,0,0,0,0,17.22142362156378,16.330920161544853,2.039137792564935,65.74664863323615,4,2,15.67540157,15.627808865918313,15.722994274081687,15.437438049591563,16.34842155202,16.391485984574462,16.34842155202,16.47554486,16.66591567632675,16.08770123430334,0,0,3.5,-8.668402594879561,0.10295453657093617,-1.4178671182457567,4,6.2758009661927465,2.472647766157152,0,1.1069675016992402,16.34842155202,16.08770123430334,1,1,0,0,10,8,0,0,2248,0,,4,,-1.8236362925674894,-1.397986911253873,0,-4.722721287816142,4.755463780747716,,,,,,2.147595045861096,22.977282500706398,46.03174603174603,5.691212233239312,2,21.74001226327137,19.51076666623493,14.197304754509924,36.645018399757745,,,,31867891
2025-06-05,15.80387997,15.85326709,15.53718949,15.73473799,16.13463672143411,16.223768018217747,16.644863562156893,16.748869106375185,17.352477835961388,16.620211337591126,0,0,0,0,17.206190825273563,16.319870534681534,6.0616575062886415,62.102066934440444,4,3,15.67540157,15.628298032013433,15.722505107986567,15.439883880067164,16.2161241748,16.40613414159777,16.359030603611206,16.453237679584337,16.641651831530606,15.882126395955963,0,9,2,-9.32281753219574,0.07648780222460999,-1.468885995232232,4,6.157526456597685,4.110738151472809,0,2.2249188406664797,16.2161241748,15.882126395955963,1,1,0,0,20,8,0,0,2248,0,,5,,-1.61190241779688,-1.448826091809407,0,-3.2142071434179362,4.822401280002608,,,,,,1.806568887100562,23.657864361759742,49.20634920634921,10.912023309931465,2,21.330297343553493,21.691073816190475,13.320118049171727,39.99774784964394,,,,28392474
2025-06-06,15.83351224,15.83351224,15.32976357,15.44829267,15.905855370956074,15.989407938509089,16.530904429570523,16.697866108870276,17.33353071988217,16.622769750575806,0,0,0,0,17.176285001368296,16.293413515469418,16.23877614971766,44.10473425992048,4,4,14.93242959,14.835956078917803,14.93242959,14.643009056753412,16.049806045,15.67540157,15.627164814458903,15.723638325541097,15.916585347705489,14.93242959,0,0,5,-10.876249509395882,0.0668182767311748,-1.7590893990310126,4,6.316933190348609,5.128055603939529,0,3.0805221937739455,16.049806045,15.634552013603043,1,1,0,0,10,15,0,0,2248,0,,6,,-1.5345462138493984,-1.7326184614456468,0,-1.7474242749251276,5.685078223569579,,,,,,2.7125554988380656,26.813391763639803,56.34920634920635,22.53350230359181,3,21.882498467403902,23.978219008733994,12.07810581251815,40.10765583502283,,,,47957519
