time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-23,484.83,487.985,483.23,486.22,489.70538091343815,497.5062887445889,485.00848433561606,481.9460498301931,467.35312709036305,478.06427737530265,0,0,0,0,486.7268844868067,471.61381278722945,98.39899004232737,67.04879630970476,5,12,486.22,482.70414898650364,485.05670349137796,473.81978198050285,495.9223882,486.7268844868067,,,492.6082707489924,472.46254999999996,1,6.5,3,4.0369630191837915,0.03351814842925229,-0.2001306848000051,0,4.07827670720717,62.62504481324873,0,0.7824369043144778,495.9223882,472.46254999999996,0,1,0,0,8,8,3,0,3200,0,,1,,-0.16241649161432592,-0.19387584210504547,18,4.938590688529761,1.379506122968542,,,,,,0.5067769741726127,38.01616166141735,69.84126984126983,169.09210365726028,3,14.12756492841504,15.27057869354378,20.551192615036403,20.701242213057082,,,,156326
2025-05-27,491.46,495.69,488.0101,494.95,491.4535872756254,495.8952541125542,485.9552953512717,482.4560086603816,467.6277228407077,478.17939912653094,0,0,0,0,486.78430528045254,471.97780743561015,98.32491939910324,40.87879482215294,5,13,494.95,492,494.47475,478.5956118390383,499.43,499.58500000000004,,,505.4690551006011,484.45754999999997,1,5.5,0,5.8427411004029235,0.0469914832797924,0.4446852681970479,0,4.29495782215544,84.30186655318707,0,0.2739325956989263,499.43,484.45754999999997,0,1,0,0,8,10,2,0,3200,0,,0,,-0.1733688192344326,0.44372465188183907,19,5.121190963366654,-2.093501148073967,,,,,,0.5787380889696606,35.9224285865702,67.85714285714286,141.44385897593125,3,14.87817032867719,15.103397424925433,24.92044771639605,19.213863243795664,,,,176628
2025-05-28,495.29,498.4,493.72,496.24,493.0490581837503,495.04265974025975,486.93479103210296,482.9965573403666,467.9124221159245,478.33524874207944,0,0,0,0,486.9466243348172,472.888845790664,96.16655867757048,27.06796656719698,3,0,496.24,492,494.4812,484.64368956482133,499.43,499.58500000000004,,,505.2576940219867,484.45754999999997,1,3.5,1,6.054034162199987,0.05249239303322216,0.4701023515481029,0,4.272826392534471,80.2200815682831,0,0.27508749596102416,499.43,484.45754999999997,0,1,0,0,15,10,2,1,3200,0,0,1,,-0.06769741021591252,0.4632369557386114,20,3.7706530424243008,-2.604549308681445,,,,,,1.4072863398011182,35.60981972741368,67.06349206349206,140.5824285458665,3,14.801504807581884,15.245278541397125,26.135323878984074,18.50620565049148,,,,441797
2025-05-29,495.96,498.25,494.745,497.49,494.5293721225002,494.91040476190466,487.94004902904555,483.56492764074443,468.2067263734775,478.5332258525411,0,0,0,0,487.09292243343157,473.6234404566898,96.90570895839522,14.631638150262402,2,0,497.49,492,494.48745,486.06664031019125,499.43,499.5762676056338,,,505.0002424117643,487.71254999999996,1,3.5,0,6.254347060183818,0.05793840196758576,0.4860569779993348,0,4.25448039096699,90.67989841176255,0,0.16982744592475274,499.43,487.71254999999996,0,1,0,0,8,10,2,1,1152,0,1,2,,0.10053774141136496,0.4757130756423086,21,4.526315352617635,-4.622199184637224,,,,,,1.1366466197178238,33.92832001572088,65.07936507936508,130.21054152486045,3,14.737952393920656,15.37702529240656,25.381360543992063,17.972330478524984,,,,362138
2025-05-30,495.42,500.53,491.74,498.86,495.9729147483335,495.34257142857143,488.98004435961263,484.1647343999309,468.51173407125384,478.7793390174367,0,0,0,0,487.33857664165146,474.7305699570956,99.64993915194135,1.5011471090679311,2,1,498.86,483.23,487.71254999999996,481.48733200464085,499.43,500.388064516129,499.3022727664191,501.47385626583895,505.8170232646787,487.71254999999996,1,4.5,0,6.477589294301568,0.06349905758261895,0.5092239650214392,0,4.244996583967126,96.20595802660965,0,0.0328101590470882,499.43,487.71254999999996,0,1,0,0,8,10,3,1,1160,0,2,0,,-0.09687530759693076,0.4965710992826585,22,7.0950822987384745,-5.138420462813694,,,,,,1.6722108120526449,30.7030626765054,62.301587301587304,108.79194070705552,3,14.70509952277477,15.015263292748013,23.546769735345418,19.144312773043495,,,,556459
2025-06-02,497.96,498.9,488,494.24,495.395276498889,495.5106614718614,489.48099251584,484.5598428548356,468.76773671731104,479.0419258307938,0,0,0,0,487.4082006844022,475.1396221990942,98.34145447154756,31.776453233400197,2,2,492,490.89444337526936,493.10555662473064,486.4722168763467,499.43,497.9985135135135,,,503.5262966371668,484.45754999999997,0,3.5,5,5.433877224799271,0.06272494167955191,0.08451020371410357,6,3.6564267248111704,66.74563582672742,0,1.3441193031266259,499.43,484.45754999999997,1,1,0,0,8,10,2,1,1672,0,3,0,,-0.48576386926712256,0.07407577906803225,23,5.056362619818168,0.7337970589341261,,,,,,0.8284990623743332,27.249370578715837,59.92063492063492,115.1339630590017,3,12.666233723051224,14.112057061559291,21.47396295401518,20.479507925579895,,,,271645
2025-06-03,494.24,499.205,490.78,498.73,496.50685099925937,496.0029082251082,490.3618503714743,485.11553529190087,469.06586869027313,479.34571086444254,0,0,0,0,487.54750502374924,475.73497372498105,98.80186047857106,18.985821510887384,2,3,498.73,483.2390158979025,487.71254999999996,481.1010158611444,499.43,499.43,498.32818849132155,500.53181150867846,504.9390575433924,487.71254999999996,1,2,0,6.3240865067746554,0.07162043253387329,0.3741359518014405,6,3.724523797190782,90.60346303995347,0,0.03970733619625507,499.43,487.71254999999996,0,1,0,1,8,10,2,1,1672,0,4,1,,-0.15110999167746542,0.36494871769470116,24,6.095917486543065,-3.1832573145665615,,,,,,1.0201334280779233,30.96274505120647,63.095238095238095,139.9816750217441,3,12.902128901467588,13.317181672274488,20.255043857868895,19.08132466009593,,,,335434
2025-06-04,500.93,500.93,497.075,498.11,497.04123399950623,496.671745021645,491.09976938371483,485.6251221431989,469.3548650217132,479.68366617750024,0,0,0,0,487.7243846073891,476.49021585405313,98.77926536957916,11.60817548836243,2,4,492,490.9424696705128,493.0575303294872,486.7123483525642,499.43,502.08789001293275,,,507.3755416603685,487.71254999999996,0,2,4.5,6.126523260168311,0.075077060745286,0.25770971213868515,6,3.6647109995616436,90.02650019205142,0,1.405160645104741,499.43,487.71254999999996,1,1,0,0,8,10,2,1,3720,0,5,0,,-0.10408901790108113,0.2500055799996432,25,5.3931545253493685,-3.719489067399754,,,,,,1.4091170988585302,35.651129477395656,67.46031746031746,180.82963708667145,3,12.694931292594584,12.834506248902638,21.052190920491473,18.460281119566744,,,,464305
2025-06-05,500.11,501.185,494.49,500.02,498.0341559996708,497.6821372294371,491.94931515669435,486.18962715719107,469.65999074289016,480.0651291572454,0,0,0,0,487.861821414082,477.0143949050743,99.13591501965297,6.5051714513242125,2,5,499.43,498.38823076547624,500.4717692345238,494.2211538273811,510.745,503.8909283157304,,,509.0997744883493,488,0,3.5,0,6.464252833009583,0.0812101530539368,0.3411187501856686,6,3.543264472079683,95.43490312620722,0,2.1722661075074594,503.8909283157304,488,1,1,1,0,1,10,2,1,3720,0,6,1,,0.31777175778235406,0.33238914621629834,26,6.597958558205101,-5.230706782598083,,,,,,0.9359366279345819,38.12110561244532,70.23809523809524,210.57843354031894,3,12.274228180591452,11.958970313346873,19.844214850776087,19.616525137587203,,,,313420
2025-06-06,502.73,503.02,498.3001,500.67,498.9127706664472,498.9155220779221,492.77985657034253,486.7574849157326,469.96854804893104,480.4905781549307,0,0,0,0,487.97117769079205,477.4135418183907,96.96555718098287,11.321642517453151,2,6,498.9216216216217,497.91212251099245,499.9311207322509,493.8741260684755,510.745,503.6870759597781,,,508.7345715129243,491.8992082,0,5,6.5,6.532660978809263,0.08599663822737966,0.3214344292358011,6,3.5412485015426434,71.58384627521156,0,2.342424724080963,499.43,491.8992082,1,1,0,0,8,10,3,1,3720,0,7,2,,0.4103380447090768,0.31282147299952273,27,3.429516486708131,-1.757316611531926,,,,,,0.7309084541436788,42.75374734953833,75.7936507936508,248.51956210314498,3,12.267244653798022,11.438235456236292,20.638785797077787,18.79762505827684,,,,241465
