time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long RR At Market,Long Target T1 Waypoint,Short Target T1 Waypoint,Zone RR Flags Pack,Signal Pack,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Volume,Z RSI,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,Premove Pack,Darvas Box Top,Buy Category Pack,Sell Category Pack,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2025-05-07,587.97900399,600.6427228,584.30388622,594.40299033,584.1298231194382,592.2790784656543,559.4307065476175,574.5392642389851,567.5387147128919,568.6543427813401,0,0,0,0,587.0361750625167,541.8807113409504,71.16363774438119,82.41271206033483,5,1,578.3844964400499,578.3844964400499,584.6072957403752,565.9388978393993,601.90262089,611.4215945145988,608.3101948644362,614.5329941647615,626.9785927654121,562.8763980349,0,3.5,0,4.733470144093742,0.14180275524666847,1.2985328558711848,0,18.966864662817525,39.60616842512884,0,3.12047322349997,0.263476889785842,601.90262089,562.8763980349,8,4,8,8,0,0,1044,0,,3,,0,-0.20451327859260476,1.945083236209598,1.2808805230462876,9,1.7728199401654536,2.264637341506183,832,601.90262089,48,32,,,,,,0.6915828883269237,36.738545167709475,36.507936507936506,-44.08403993150705,0,65.70314651256538,18.186492784659777,32.3803740839292,18.54283136613952,,,,13160976
2025-05-08,603.83977646,608.83046687,594.21375662,595.59815058,587.9525989396255,600.0050297834798,562.875225026892,575.3651029190249,567.8179130797288,567.0627011557841,0,0,0,0,587.1486643161127,543.5888109062003,82.89234349780662,85.57841960281772,5,2,578.9417372659499,578.9417372659499,584.981063585002,566.8630846278458,601.90262089,612.2564129884984,609.2367498289723,615.2760761480245,627.3547287861286,562.8763980349,0,0,0,4.892455285462359,0.09491559254543402,1.1865459682217738,0,13.171260687561704,47.70761039395381,0,3.2705644533775646,0.2193998900332189,601.90262089,562.8763980349,8,4,13,8,0,0,1044,0,,4,,0,-0.1439728678080261,1.5636265289449778,1.172083358588965,10,3.5731821762727485,3.0031563055827837,9024,601.90262089,48,32,,,,,,0.8214812775133958,37.233063492924664,38.095238095238095,-18.39612114467239,1,45.6265854211829,19.074652811957453,33.401892529912644,17.741431688382992,,,,14622805
2025-05-09,601.28512143,604.52201377,589.31977459,590.10041343,588.6685371030837,604.8668037082477,565.4681001129023,575.9429582331808,568.0396295011245,565.6476258321226,0,0,0,0,587.1760615851341,544.6200570486263,88.16433711655962,90.10501384229721,5,3,579.4650824150999,579.4650824150999,585.3444968395769,567.7062535661461,601.90262089,607.2623713943649,604.3226641821265,610.2020786066033,621.9609074555572,562.8763980349,0,0,5,3.8836698679368826,0.019891114072120762,0.841580647401726,0,10.955653147266739,37.536660743453425,0,3.0197547003782694,0.5270216668877915,601.90262089,562.8763980349,8,4,8,8,0,0,1108,0,,0,,0,-0.04857648002847509,1.0037821178594908,0.8333625450124688,11,3.290973951898396,4.075950848842048,25408,601.90262089,48,32,,,,,,0.6165167836946751,37.614976249784824,38.492063492063494,-0.8867094848073951,1,37.95149576233573,19.623486599701177,31.859636294111812,18.408677180197678,,,,10427286
2025-05-12,628.37542041,637.80682833,618.52530803,636.85109851,604.7293909053892,612.6143989805398,572.266480912626,578.3315127538403,568.7243207350436,564.6547841555115,0,0,0,0,588.1286784956046,548.7354895543393,97.71365339623,65.44715489773644,5,4,636.85109851,631.5923887513143,637.9037452686857,593.2798819605142,666.1384825875,666.1384825875,662.9828043288143,669.2941608461857,681.9168738809286,606.01284758,1,1.5,0,11.978875404327079,0.2018590895376172,2.4315058282811486,0,13.05420318612003,70.32312249073716,0,0.6721727414757155,0.6721727414757155,666.1384825875,606.01284758,9,0,16,8,0,0,1108,0,,1,,0.8758063867857391,-0.33551503392623255,2.1357177001278544,2.385295648306404,12,4.756781497838398,1.1016708364541783,17216,601.90262089,96,32,,,,,,1.2823061413472505,41.58371582145529,46.03174603174603,-8.043527509403344,1,45.221086341374814,21.064450275223248,36.976751154024825,15.923893291873647,,,,21965085
2025-05-13,642.94143595,658.25442665,640.23738589,653.38414863,620.9476434802594,623.4007780045073,579.9919730761854,581.2747533764349,569.5667070822572,564.1268487325596,0,0,0,0,589.1698211569051,552.5399030020827,95.18567136558889,56.29269625437418,5,5,653.38414863,631.6266931971132,637.8694408228868,615.2663953869061,,685.25985175,682.1384779371133,688.3812255628868,700.8667208144337,622.21128227118,1,0,6.5,14.716000866187903,0.2475922372426722,2.705347295480318,0,12.750470053611268,79.03691587993099,0,0,-0.07162678555472606,,622.21128227118,8,0,16,8,0,0,1108,0,,2,,0.22230402737211138,-0.2725265435929496,2.3920978632938614,2.645929411415953,13,4.598221597242715,-0.586575826147776,1856,601.90262089,48,32,,,,,,1.0702806866538925,49.45988980036207,59.92063492063492,11.978933208978255,2,44.16892390648036,22.855584696072125,40.5618663738636,14.948978267548895,,,,18570821
2025-05-14,658.54325704,659.99736868,651.67108561,656.70071832,632.8653350935062,635.650103020561,587.2975678613107,584.2326343546139,570.4337121691999,564.0252078039232,0,0,0,0,589.8787205222732,554.9983282751118,96.15074892587762,41.37677578949592,5,6,634.74806701,631.7753066563373,637.7208273636627,619.8842652416865,665.1230371628941,665.1230371628941,662.1502768092314,668.0957975165568,679.9868389312076,622.21128227118,0,2,0,15.123055371806613,0.27657754568387305,2.4691518625068207,0,12.388803553237677,80.74453248203581,0,2.0435532326357593,0.22876508024764772,665.1230371628941,622.21128227118,12,0,16,10,1,0,1108,0,,3,,0,-0.17142176752007002,2.60769815059872,2.4197570302513975,14,4.4388879622985415,-1.1128684822769883,22336,601.90262089,577,4128,,,,,,0.7183002628179981,56.23808843553887,71.03174603174604,31.0420144989825,3,42.91607439839498,24.555634654072847,40.07099449880726,14.575139136047243,,,,12348179
2025-05-15,651.63622677,654.65898623,636.00452667,641.28315111,635.6712737656708,645.6890882383137,592.4390519802334,586.4699095214918,571.1386817108994,564.1992293933429,0,0,0,0,590.4979069357767,557.3005325615319,96.46584348047037,50.301331270839775,5,7,634.74806701,631.8028592561525,637.6932747638475,620.0220282407626,666.1384825875,670.895810193058,666.1384825875,672.8780300287071,684.6588610440971,606.01284758,0,3.5,1,12.28151264224938,0.12987741892991758,1.6385859772018947,0,11.879740147310434,69.18999877582804,0,2.1316265744915914,1.1690507425392422,666.1384825875,606.01284758,12,0,10,8,1,0,1108,0,,4,,0,0.03509274977411905,1.5477588457493654,1.6170026702575937,15,4.287813402515789,0.7477484289454464,1856,601.90262089,32,32,,,,,,0.8450705030362727,61.4107266794276,79.36507936507937,49.22674713354385,3,41.15262703171489,25.24529567566594,37.55687103881042,18.410079677115295,,,,14341835
2025-05-16,635.38204738,637.85702506,623.62465842,637.75742837,636.3666586337805,652.0601835634316,596.7550878268779,588.4811847704528,571.8015548119849,564.5838982505916,0,0,0,0,591.2217083981948,559.9801592232095,97.07916382098932,53.60657948914668,5,8,637.75742837,631.8555661252666,637.6405678947334,600.4846513421328,666.1384825875,666.1384825875,663.2459817027666,669.0309834722334,680.6009870111669,606.01284758,1,5,0,11.534748900726944,0.06211818894807916,1.319633947659389,0,11.933859402627567,72.71182792733617,0,0.7614419015862652,0.7614419015862652,666.1384825875,606.01284758,8,4,8,8,2,0,1108,0,,5,,0.2419873007377439,0.09835094471221272,0.8155911241609608,1.3049771852627607,16,4.744204102769864,0.621006204226706,18240,601.90262089,48,32,,,,,,1.0787262843977405,65.4467471978308,86.11111111111111,58.31298089507175,3,41.340101631469025,25.240022496441334,35.50971234685813,21.227996359334067,,,,18518972
2025-05-19,625.71618886,640.40670026,625.26800377,637.84706539,636.8601275525203,655.499513717787,600.6686094995562,590.417101657494,572.4587240714677,565.1359143012147,0,0,0,0,591.5886778014057,561.3006790878183,97.14168772202262,55.9856635779322,5,9,637.84706539,631.9270063983726,637.5691276216274,602.6995188769805,659.99736868,666.1384825875,663.3174219758725,668.9595431991274,680.2437856456372,606.01284758,1,5,0,11.422367861472052,0.06600072819624915,1.1596517120382546,0,10.990352303524944,70.44906773072178,0,0.6302090896101382,0.6302090896101382,659.99736868,606.01284758,8,4,8,8,1,0,1108,0,,6,,0,0.12153849242709773,0.7597554560124965,1.1474274951115155,17,4.481599875018878,0.7003531352727854,1856,659.99736868,48,32,,,,,,0.5696602670792449,68.51823215379088,90.07936507936508,79.97157272975063,3,38.071697165573696,25.31379534464872,34.61528165541921,20.210888414661486,,,,9592374
2025-05-20,633.4448918,636.77500665,629.71001603,634.5304957,636.0835836016802,656.6938931466104,603.8935510424556,592.1470386787687,573.0763536399108,565.8043780826404,0,0,0,0,591.8249699428618,562.163439963481,97.73796313771369,68.92517152684479,5,10,634.5304957,606.01284758,612.8293919171,595.2440135453838,657.206611095,634.74806701,632.0558585013459,637.4402755186541,648.2091095532702,606.01284758,1,4.5,1.5,10.72355222297367,0.06695109444820169,0.9084455844410908,0,10.981799504531514,64.51603948184938,0,0.5771989282663627,0.5771989282663627,657.206611095,606.01284758,10,4,8,8,1,0,1108,0,,7,,0,0.1977991347570308,0.9769615784844714,0.8974438921992005,18,5.187453238778252,2.2596082491762948,5952,659.99736868,288,32,,,,,,0.41355863627054024,70.92849027744542,93.25396825396825,86.44750770581398,3,38.04206940076661,25.382298703698442,33.68114996664612,19.665475220733697,,,,6743473
