time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,7.26901092,7.2795754,7.24259781,7.25633163,7.251019011266492,7.29138324444762,7.198994591121331,7.084291242240697,6.515267053845908,7.3543011942820495,0,0,0,0,7.161314714706844,5.690351858286196,90.89618035443203,85.23805723304073,1,9,7.25210679,7.243508924754071,7.260704655245929,7.207248390804071,7.29859432,7.29859432,,,7.34368515684593,7.1815235201,0,3,3,11.374277831277045,0.20687138915638523,-0.061912994990363665,0,3.0227378360531283,34.860443437912224,0,1.0363171854830444,7.29859432,7.1815235201,0,1,1,0,5,15,1,3,1153,0,24,1,,0.3776477594912063,-0.05426867341723422,10,3.8024644744894305,3.3679187893412634,,,,,,0.5431876613674195,22.261222972681335,77.38095238095238,112.5973831152645,3,10.471071020009642,23.66280217783587,25.79539426806849,14.941066436969383,,,,1128619
2006-12-28,7.27535056,7.27746345,7.17603586,7.17709136,7.226376460844328,7.288990572542858,7.196908569109776,7.087930462544984,6.521852370325053,7.361167958295748,0,0,0,0,7.161734870662403,5.692488746233464,88.27238798600247,87.72167880476343,1,10,7.116528909612769,7.09838222858,7.121433418000004,7.062799584031937,7.29859432,7.25210679,,,7.29725665944622,7.09838222858,0,0,6,10.04682339416845,0.20023411697084226,-0.6903117495107788,0,2.2740402688389896,27.33663345334417,0,3.388566828618128,7.29859432,7.09838222858,1,1,0,0,8,15,1,3,1153,0,25,2,,-0.14145125257112642,-0.6792856279778912,0,2.3818733654509687,2.960329070950044,,,,,,0.690557058453768,21.46568378363962,76.58730158730158,172.49337842972926,3,7.877506568173436,22.478202177308564,23.167481430000315,20.104515462745592,,,,1329988
2006-12-29,7.18871324,7.18977064,7.12532159,7.14328311,7.198678677229552,7.271687655008225,7.191801382527893,7.090101154602043,6.52803576076958,7.367123534475989,0,0,0,0,7.161361992401937,5.694101875580621,55.391329408375235,92.74894142734061,4,0,7.127519111800003,,,7.0830516953338,7.29014178,7.161361992401937,7.152532171494733,7.170191813309141,7.20599862327115,7.04576998516,0,6,7.5,9.424693304037435,0.19712346652018717,-0.91997660931822,4,2.090671691091335,5.382531879258437,0,2.589622133010553,7.29014178,7.04576998516,1,1,0,0,8,8,1,3,1153,0,26,3,,-0.5873209599035142,-0.9067936584910422,0,-1.2082316190766036,4.864620815929472,,,,,,0.6062295045495876,19.93142106735529,73.01587301587301,175.2084740900295,3,7.242299181832274,21.22753168227223,21.657660553891194,23.922452143087238,,,,1030024
2007-01-03,7.13799992,7.21409177,7.07883406,7.12743543,7.174930928153034,7.243760342769264,7.185671291810951,7.091565243833335,6.533999936582818,7.372082426011837,0,0,0,0,7.160279454377694,5.696696540365824,36.2419001606051,95.90635008533178,4,1,7.091565243833335,,,7.044531356139173,7.29014178,7.140249082896582,7.133752746200003,7.160279454377694,7.197906564533023,7.04576998516,0,7,4.5,9.082269653763417,0.1954113482688171,-0.9930737833434807,4,2.1096525666071466,3.256636267500433,0,1.6386268538802997,7.29014178,7.04576998516,1,1,0,0,10,8,1,3,1153,2,27,4,0,-0.9349833450740888,-0.9787091572553414,0,-1.6654504137065231,6.035527671206804,,,,,,1.0099332144846327,17.281032219460574,59.523809523809526,136.4656806932439,3,7.3080508633633245,20.7447334925823,18.877213197883506,25.26367441199712,,,,1679983
2007-01-04,7.10630266,7.13799992,7.06615478,7.12426419,7.158042015435356,7.21209059021472,7.179822996400384,7.092847555447714,6.5398732127362225,7.376045777514226,0,0,0,0,7.1587705153865455,5.700229382727924,36.68990090243781,96.7981812332552,4,2,7.092847555447714,,,7.0459658588388505,7.29014178,7.145033303698749,7.135656964376976,7.1544096430205215,7.191915000307612,7.04576998516,0,6,0,8.93581508775571,0.19467907543877855,-0.964636822944065,4,2.08784641207914,7.836841329036112,0,2.11731498044764,7.29014178,7.04576998516,1,1,0,0,10,8,1,3,1153,2,28,5,1,-0.8430746244501733,-0.9524092879979754,0,-0.26174047524973076,4.812742882270079,,,,,,1.403843968164772,13.326727095909563,29.365079365079364,84.26138608007,3,7.232512128242914,20.470685877595614,17.585744341247654,24.742659106621527,,,,2302367
2007-01-05,7.09362528,7.12426419,7.02600689,7.05453289,7.123538973623571,7.174327493622511,7.167890605314633,7.091345019547804,6.544994204549792,7.378651905008333,0,0,0,0,7.1573650102134225,5.701321858151003,24.8054373638237,64.97937492643523,4,3,7.04819515,,,7.000275659398912,7.1815235201,7.14571712028806,7.136133222167842,7.155301018408277,7.193636610889148,7.004050241204439,0,6.5,4,7.785166335151204,0.22572180696975006,-1.4310474095934997,4,2.262582527241977,2.834856611993118,0,2.956351941696231,7.1815235201,7.004050241204439,1,1,0,0,10,8,0,3,1217,2,29,0,2,-1.2943678023519523,-1.4119376717462606,0,-2.1039522456155577,6.2137675133668155,,,,,,0.5105057333272751,13.447677997219888,29.761904761904763,71.5743054273125,3,7.837815787001394,20.74233066802982,15.975968630740208,26.218015127785335,,,,751092
2007-01-08,7.0513645,7.10419167,7.0513645,7.09573818,7.114272042415714,7.140153787825108,7.161018945760858,7.09151730034985,6.5504742441065105,7.3802737913450205,0,0,0,0,7.156438713233482,5.702593724936293,36.69074268552906,96.58361607073527,4,4,7.09151730034985,,,7.044662274702412,7.1815235201,7.1471195149287565,7.137748509799269,7.156490520058244,7.193974540576195,7.014775277066815,0,4.5,0,8.3240375516943,0.19339468635617735,-1.0265883832457228,4,2.3232825717765366,10.168259485102595,0,2.8245473358133992,7.1815235201,7.014775277066815,1,1,0,0,10,8,1,3,1217,2,30,1,3,-1.0141959887816467,-1.014480720982677,0,0.3640353520882904,4.753822254776612,,,,,,0.6035517768203136,14.476850612609212,38.492063492063494,79.87940209564526,3,8.048086909312495,20.994572259147297,15.171849588708685,24.89838276646754,,,,850047
2007-01-09,7.10313427,7.10419167,6.98902644,7.02917623,7.085906771610476,7.104077951429437,7.148462496640777,7.089072552492993,6.555237447946246,7.380595188905106,0,0,0,0,7.154021950438202,5.704150240666108,19.929157064716613,63.09172748865418,4,5,7.010661634606946,,,6.962012091595039,7.11492977334,7.094818601570107,7.089072552492993,7.11492977334,7.153849407749526,7.010661634606946,0,5,5,7.229925472833003,0.21938184491855345,-1.462855799409774,4,2.5160673450684015,1.5808749809004112,0,1.4256448862882265,7.11492977334,7.010661634606946,1,1,0,0,10,8,0,0,1217,2,,2,4,-1.2658577404351075,-1.4420023773432071,0,-4.120022340892463,6.2044645036260455,,,,,,0.7905376662743476,14.9893869964834,43.25396825396825,71.97724525080027,3,8.71591295384681,21.973376739119892,13.56848191111397,27.987512156468572,,,,1094770
2007-01-10,7.01755435,7.0820034,7.0164979,7.05875964,7.076857727740317,7.0725908616082265,7.139919367436893,7.087883810826601,6.560247619011458,7.379929411511787,0,0,0,0,7.1529244355559065,5.70512502584309,51.16526466151046,83.97584296037185,4,6,7.010861279177869,,,6.9627623508453835,7.1815235201,7.087883810826601,7.078264025160104,7.097503596493098,7.135982739159086,7.010861279177869,0,6.5,3.5,7.598981775380934,0.2146411343982383,-1.1400950276184492,4,2.5496154159415756,33.198846193599074,0,1.601335712020698,7.1815235201,7.010861279177869,1,1,0,0,8,8,0,0,1217,2,,0,5,-1.2131698041706689,-1.124637294740449,0,2.498374880819256,2.651068800291848,,,,,,0.48719145664959673,15.337979909060314,44.84126984126984,73.66122698255535,3,8.83212688034333,22.88226661338016,12.74353574710318,26.285907588991314,,,,671910
2007-01-11,7.01227116,7.05242,6.99642348,7.02917623,7.060963895160212,7.044635420179222,7.129372401966713,7.08558155275497,6.564913575339702,7.3782135932915205,0,0,0,0,7.149563783660354,5.707429626425804,41.72373573896107,70.37855289677846,4,7,7.000952957576557,,,6.953506802696391,7.11492977334,7.092103379551644,7.08558155275497,7.11492977334,7.152886697244132,7.000952957576557,0,5.5,2,7.071877631477805,0.24472128212323702,-1.287960703538294,4,2.55583176835538,15.918144940457182,0,1.499596031204338,7.11492977334,7.000952957576557,1,1,0,0,10,8,0,0,1217,2,,1,6,-1.4748951517267839,-1.2707554316311047,0,-0.5477770179766603,2.483835423979342,,,,,,1.1592421225922034,15.530951251301598,46.82539682539682,75.41840970776934,3,8.853660956780255,23.954311549500805,11.996087811777185,26.63299225840605,,,,1628035
