time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2019-06-11,39.83588124,40.69642232,39.65660184,40.08687239,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,53633880
2019-06-12,40.19444002,40.69642232,39.83588124,40.33786354,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3391150.2
2019-06-13,40.12272827,40.12272827,38.68849312,39.51317833,,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,2,0,,,0,,0,,,0,,0,1,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3075079.8
2019-06-14,39.44146657,39.58489008,38.90362839,39.19047542,,,,,,,0,0,0,0,,,73.56310466092818,42.88344431441926,0,3,0,,,0,,0,,,0,,0,2,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,2599003.2
2019-06-17,38.61678136,38.83191663,38.02515936,38.18651082,39.4629801,,,,,,0,0,0,0,,,73.56310466092818,40.59428683698427,0,4,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2398230
2019-06-18,38.47335784,38.724349,38.20443875,38.724349,39.21676973333334,,,,,,0,0,0,0,,,73.56310466092818,44.02802305313675,0,5,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,1388068
2019-06-19,38.5450696,38.61678136,37.50524912,37.97137554,38.80163833555556,,,,,,0,0,0,0,,,73.56310466092818,41.16657620634302,0,6,0,,,0,,0,,,0,,0,1,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1564776.8
2019-06-20,38.43750197,39.24425924,38.40164609,38.97534015,38.85953894037037,,,,,,0,0,0,0,,,85.51291939633879,39.735852782946154,0,7,0,,,0,,0,,,0,,0,2,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,256,0,,0,,0,0,100,4.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1481539.2
2019-06-21,39.19047542,39.65660184,38.88570045,39.51317833,39.07741873691358,,,,,,0,0,0,0,,,90.14478199287629,39.02049107124772,0,8,39.51317833,,,37.5375194135,,0,,,0,,1,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,256,0,,1,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3042182.4
2019-06-24,39.62074596,40.12272827,38.68849312,39.94344887,39.366095447942385,,,,,,0,0,0,0,,,91.36063527101635,38.6628102153985,0,9,39.94344887,,,37.9462764265,,0,,,0,,1,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,256,0,,2,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,4635153.4
2019-06-25,40.2302959,41.2342605,39.97930475,41.09083699,39.941009295294926,,,,,,0,0,0,0,,,93.06863993021506,38.483969787473896,0,10,41.09083699,,,39.036295140499995,,0,,,0,,1,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,256,0,,3,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2473645.4
2019-06-26,40.87570172,41.37768402,40.62471057,41.27011638,40.384044990196614,,,,,,0,0,0,0,,,93.92264225981441,38.39454957351159,0,11,41.27011638,,,39.206610561,,0,,,0,,1,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,256,0,,4,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1871225.2
2019-06-27,41.48525166,41.59281929,41.12669287,41.19840463,40.65549820346441,,,,,,0,0,0,0,,,93.24956540448541,38.34983946653044,0,12,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2304,0,,0,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1083864.8
2019-06-28,40.9115576,41.2342605,40.76813408,41.19840463,40.836467012309605,,,,,,0,0,0,0,,,83.40633503270679,38.32748441303986,0,13,39.83588124,39.714387436875,39.957375043125,39.228412224375,41.05081927125,0,,,0.19536203542499997,,0,0,0,0,0.2,0,0,0,50,0,2,,,1,0,0,0,8,10,0,0,2304,0,,1,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1520909
2019-07-01,40.80398996,40.98326935,40.51714293,40.98326935,40.88540112487307,,,,,,0,0,0,0,,,78.48471984681748,42.89462184116455,0,14,39.83588124,39.71698287191964,39.95477960808036,39.24138939959821,41.02486492080357,0,,,0.19118857587321425,,0,1.5,0,0,0.2,0,0,0,50,0,2,,,1,0,0,0,8,10,0,0,2304,0,,2,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,22.46278755125497,25.16914752174263,,,,1566378.8
