time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2014-06-06,3.453125,3.75,3.4375,3.4375,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,0.3645106926225039,,,,,,,,,,0,,,,,,,,116081376
2014-06-09,3.515625,3.5625,3.4375,3.45,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,11469376
2014-06-10,3.453125,3.75,3.453125,3.75,,,,,,,0,0,0,0,,,79.90089929033759,44.46752764148173,0,2,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,15787376
2014-06-11,3.75,3.96875,3.66626875,3.96875,,,,,,,0,0,0,0,,,87.33877193987568,41.3863285005155,0,3,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,10584832
2014-06-12,3.978125,4.239375,3.941875,4.125,3.74625,,,,,,0,0,0,0,,,91.05770826464473,39.845728930032394,0,4,4.125,,,3.9187499999999997,,0,,,0,,1,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,11808864
2014-06-13,4.279375,4.5,4.1875,4.34875,3.947083333333333,,,,,,0,0,0,0,,,92.91717642702926,39.07542914479084,0,5,4.34875,,,4.1313125,,0,,,0,,1,0,4,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,17061152
2014-06-16,4.45125,4.46875,4.22718125,4.46875,4.120972222222222,,,,,,0,0,0,0,,,83.24014054397873,38.69027925217006,0,6,0,,,0,,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,6673824
2014-06-17,4.493125,4.53936875,4.3125,4.356875,4.1996064814814815,,,,,,0,0,0,0,,,87.90831454656757,38.49770430585967,0,7,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2048,0,,0,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,4475472
2014-06-18,4.379375,4.4375,4.2425,4.31,4.2364043209876545,,,,,,0,0,0,0,,,80.73570960374786,38.40141683270448,0,8,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2048,0,,1,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3340352
2014-06-19,4.251875,4.300625,4.031875,4.104375,4.192394547325103,,,,,,0,0,0,0,,,77.14940713233801,42.93158805099685,0,9,0,,,0,,0,,,0,,0,2,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2048,0,,2,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,10448320
2014-06-20,4.065625,4.28125,4.03125,4.071875,4.152221364883402,,,,,,0,0,0,0,,,75.35625589663309,40.61835870527307,0,10,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2048,0,,3,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,4707632
2014-06-23,4.06375,4.218125,4.06375,4.106875,4.137105909922267,,,,,,0,0,0,0,,,74.45968027878064,48.70534145530985,0,11,0,,,0,,0,,,0,,0,1.5,3.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2048,0,,4,,0,0,100,1.364510692622504,0.3645106926225039,,,,,,,,,,0,,,,,,,,1864288
2014-06-24,4.146875,4.171875,3.991875,4.0175,4.097237273281512,,,,,,0,0,0,0,,,52.184528589503564,43.505235407429566,0,12,0,,,0,,0,,,0,,0,0,3.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2048,0,,5,,0,0,100,-1.135489307377496,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3084464
2014-06-25,3.988125,4.084875,3.875,4.030625,4.075033182187674,,,,,,0,0,0,0,,,41.04695274486503,40.905182383489425,0,13,0,,,-0.04901503258928572,,0,,,0.049507645982142856,,0,0,2,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,2048,0,,6,,0,0,100,-1.135489307377496,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2978784
