time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,28.60491081,28.72566653,28.43584959,28.62101265,28.731281982319153,28.715751559650208,28.89258041183539,28.575466646832407,28.065286176577143,28.98057471165697,0,0,0,0,29.267683322350234,27.999469146935013,81.96250068396827,80.23022328909462,4,2,28.558062518066624,28.508043933401126,28.608081102732122,28.307969594739134,29.071069535,28.989955445489795,,,29.27114387366199,28.287737685799858,0,1,1.5,1.980120458870143,0.009900602294350717,-0.3274356066303387,4,3.9540223571670126,41.8201892551603,0,2.0512656260233624,29.071069535,28.287737685799858,1,1,0,0,8,8,2,0,2283,0,,1,,-0.7939080889188056,-0.32193856872670656,0,1.902481182714065,1.4020237347072801,,,,,,0.7655001571110628,10.38261582954092,21.03174603174603,-24.198632397556704,0,13.697135233753038,18.93440372944786,23.169180346906572,28.263444627498853,,,,1551600
2006-12-28,28.48414704,28.67736907,28.4197397,28.46000234,28.640855434879434,28.587252914664496,28.85138250023202,28.570938634799763,28.069213700591302,29.001324346128886,0,0,0,0,29.2503844848374,28.001694853159826,72.04662622344352,87.50026807225751,4,3,28.296320000589752,,,28.052589546339227,29.071069535,28.558813896335874,28.510067805485768,28.60755998718598,28.8025443505864,28.296320000589752,0,0,3.5,1.3922322284377526,0.006961161142188763,-0.4633866567061785,4,3.5003979431448538,21.491988841614866,0,1.07698439472119,29.071069535,28.296320000589752,1,1,0,0,8,8,1,0,2283,0,,0,,-0.6776007466745542,-0.4579587198017745,0,1.1001355643599924,3.682806330384632,,,,,,0.3876949026344434,10.530004795733253,21.428571428571427,-13.159857791445074,1,12.12573416847296,18.327944570174314,22.07585799895503,27.224807416046524,,,,784900
2006-12-29,28.46000234,28.51635072,28.29092502,28.45194337,28.57788474658629,28.48081932120823,28.81334067830516,28.566272153827224,28.073021956008304,29.01801517494393,0,0,0,0,29.22767366912026,28.004649764864208,78.30244962810036,85.25157087815487,4,4,27.966704722595324,,,27.765290395671048,29.071069535,28.552698013153673,28.505421056471434,28.599974969835912,28.789082796564873,28.249094205879278,0,4.5,1.5,1.3497706609052682,0.006748853304526341,-0.4264600748226648,4,3.3170498197370457,43.95887760577101,0,1.28436273643835,29.071069535,28.249094205879278,1,1,0,0,8,8,1,0,2283,0,,0,,-0.6443560039122741,-0.41933428482565704,0,2.7071567064278703,1.9344412538236417,,,,,,0.5413901581233678,11.200802010220867,23.41269841269841,-2.5220239795288206,1,11.490597638043496,18.078335048008594,21.136018953423246,28.49851324067923,,,,1072900
2007-01-03,28.4197397,28.80618375,28.39558695,28.49219796,28.54932248439086,28.40406336374719,28.78275565751419,28.56336728348106,28.07719286152066,29.031591423252365,0,0,0,0,29.19430302824698,28.009938424756097,80.68702524709164,91.57271478359732,4,5,27.985087451658643,,,27.78676338035169,29.071069535,28.52491793,28.477351855937922,28.57248400406208,28.7627483003104,28.215953383358713,0,0,5.5,1.4780861481636762,0.007390430740818381,-0.34248043674877243,4,3.3215533254397536,22.806437211641068,0,1.299096268647487,29.071069535,28.215953383358713,1,1,0,1,8,19,1,0,2283,0,,1,,-0.5016933895982799,-0.3337825281897748,0,2.560947017641039,4.938701741916898,,,,,,0.9074573220968843,12.101996443781227,26.58730158730159,5.17806309227231,2,11.506198239422028,16.97582532382735,24.947431674224674,26.3020576162603,,,,1792800
2007-01-04,28.48414704,28.8705911,28.36338328,28.81422662,28.63762386292724,28.38926777079741,28.785752892036648,28.57320490452102,28.084526530759263,29.044467220214866,0,0,0,0,29.17523680588326,28.019967007221787,74.12881882366078,75.90690317906649,4,6,28.682728675750024,,,28.43924298278322,29.21871543,28.9450485898,28.896351451206638,28.99374572839336,29.188534282766803,28.2073516809,0,3,0,2.5982282038528974,0.012991141019264489,0.025331253501091704,4,3.1957492074741314,48.30492221547733,0,3.029734108445438,29.21871543,28.2073516809,1,1,0,0,8,8,2,0,2283,0,,2,,-0.14133727711064178,0.035535821576021656,1,1.4188108324478912,0.3740277019081325,,,,,,1.0934269624270976,11.554899266329217,25.396825396825395,4.37652908231512,2,11.070399991186337,15.770421878115325,23.808321507513288,23.856070305270464,,,,2086800
2007-01-05,28.79007387,28.87864201,28.6451654,28.6451654,28.64013770861816,28.402232318771006,28.772363607080777,28.57602688473588,28.090105026970612,29.055885579054994,0,0,0,0,29.144114413765266,28.029512250947313,62.475408381107435,84.78717238153813,4,7,28.52982357107123,,,28.293306650369914,29.071069535,28.662372920700022,28.61506953655976,28.709676304840286,28.89888984140134,28.2073516809,0,0,3,1.9759996358021756,0.009879998179010878,-0.15032963965287605,4,2.7973256283350527,20.04713560283688,0,1.9238422285001875,29.071069535,28.2073516809,1,1,0,1,8,19,2,0,2283,0,,3,,-0.1807537157197541,-0.14126229406887236,0,0.48384384026531047,3.4120617681706262,,,,,,1.3476749464952582,11.845313262505876,26.58730158730159,22.23987674995263,3,9.690220227181689,14.660574696876031,22.91107461882405,22.804757267247826,,,,2594800
2007-01-08,28.58880092,28.58880092,28.37948511,28.50024083,28.59350541574544,28.414981648688318,28.7464471521207,28.573054882589375,28.094185980234585,29.065217816866053,0,0,0,0,29.118916184415017,28.03444549858215,58.16786438471974,80.95234073088444,4,8,28.45194337,,,28.220459787830922,29.071069535,28.63827065735002,28.52491793,28.72566653,28.910853395735263,28.15357805434202,0,1,3,1.4453340988455436,0.007226670494227719,-0.28381327190873773,4,2.5627157091699453,32.79297919171239,0,1.7781485573124638,29.071069535,28.15357805434202,1,1,0,0,8,8,1,0,2283,0,,4,,-0.3419174504786146,-0.27481786394483326,0,0.6462943026853387,1.439944428070594,,,,,,0.9251097449981243,10.37255672777735,21.03174603174603,16.840865288694165,2,8.877507627274502,14.353185181124703,21.737159803341978,26.7600775931769,,,,1800000
2007-01-09,28.50024083,28.70151377,28.23457664,28.33923052,28.508747117163626,28.40682792535022,28.707664615728255,28.563885299742733,28.096624234361602,29.07175300380903,0,0,0,0,29.09175481351727,28.037363195656937,45.951489176369336,79.11825621487048,4,9,28.07010177877747,,,27.834307330602613,28.752229581039998,28.61411874425002,28.52491793,28.752229581039998,28.940865139579884,28.11185508608849,0,0,3,0.8634712968175586,0.004317356484087794,-0.4222262261665035,4,2.549549100671867,25.727304795171644,0,1.5371666385316267,28.752229581039998,28.11185508608849,1,1,0,0,10,8,1,0,2283,0,,5,,-0.45693432424928676,-0.4133458757905941,0,-0.4601611760576443,1.4525696087598046,,,,,,0.945015910604603,9.250396688639206,17.857142857142858,4.738500954722972,2,8.831897157510424,14.441891101378415,19.815486246388343,27.137898566651455,,,,1660100
2007-01-10,28.29092502,28.4197397,28.15405942,28.32312064,28.44687162477575,28.382407056231607,28.67104137994461,28.554443548380274,28.098877929940095,29.075697502911943,0,0,0,0,29.072635648896732,28.039352342734922,55.23022126667805,81.22093643136338,4,10,28.060211116822607,,,27.829398402445953,28.752229581039998,28.58948869975002,28.52491793,28.72566653,28.910316701501326,28.05838402929483,0,1.5,1.5,0.7980486289132847,0.003990243144566423,-0.39547217837495796,4,2.474896531704545,33.54347184884807,0,1.655418690251616,28.752229581039998,28.05838402929483,1,1,0,0,8,8,1,0,2282,0,,6,,-0.23685126366623604,-0.3863071717004045,0,1.2366980912957146,1.964984632214069,,,,,,0.7266228118676944,9.09859577480673,17.857142857142858,6.1271987038239235,2,8.57329307277654,14.727936656279242,18.797231818207393,27.300700146555762,,,,1215600
2007-01-11,28.27482318,28.53245255,28.24261951,28.33923052,28.410991256517168,28.355679461466234,28.639440345664173,28.546003821777127,28.10126949800039,29.077490540878035,0,0,0,0,29.053201913434236,28.04161930809204,67.55481199898203,84.54293477788693,4,11,28.057602194018394,,,27.830337127097213,28.752229581039998,28.56537658855002,28.519923575165784,28.610829601934256,28.7926416554712,28.07355024,0,0,3,0.846798120691815,0.004233990603459075,-0.33632267793388176,4,2.442046373072443,37.57733080340992,0,2.164108876093105,28.752229581039998,28.07355024,1,1,0,0,8,8,1,0,2282,0,,7,,-0.17966510659256693,-0.3271120989589279,0,2.2783653351072397,2.4596019125309643,,,,,,0.8131751242503714,8.656421767062772,15.079365079365079,2.3278569264984514,2,8.459496785201544,14.583544899318381,19.941118368957373,25.746378219898677,,,,1330200
