time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2011-03-30,7.24241661,7.35860511,7.02940048,7.04876911,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,30086912
2011-03-31,6.99067486,7.19970184,6.93645355,6.9713101,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,7.24241661,,,7.604537440500001,6.952719945599999,0,0,0,0,0.2,0,0,0,50,0,0.8000000000000019,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,9582766
2011-04-01,6.97517918,7.06038796,6.92870765,6.9713101,,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,2,0,,,0,,7.24241661,,,7.604537440500001,6.952719945599999,0,3,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3199328
2011-04-04,6.99842463,7.03327731,6.8938511,6.9248347,,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,3,0,,,0,,7.24241661,,,7.604537440500001,6.952719945599999,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1846532
2011-04-05,6.9248347,6.98447814,6.83575298,6.9635642,6.975957642,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,4,0,,,0,,7.24241661,,,7.604537440500001,6.952719945599999,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2353205
2011-04-06,6.97517918,7.02940048,6.9248347,7.01004348,6.987319588,,,,,,0,0,0,0,,,83.06979660504228,38.305129359549284,0,5,0,,,0,,7.24241661,,,7.604537440500001,6.952719945599999,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,474839
2011-04-07,7.10299041,7.10686723,6.9713101,6.97517918,6.983272785333333,,,,,,0,0,0,0,,,87.82314257709935,38.305129359549284,0,6,0,,,0,,7.24241661,,,7.604537440500001,6.952719945599999,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,702042
2011-04-08,6.97517918,7.02940048,6.9248347,6.9713101,6.979285223555555,,,,,,0,0,0,0,,,80.69312361901376,38.305129359549284,0,7,0,,,0,,7.24241661,,,7.604537440500001,6.952719945599999,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,304446
2011-04-11,6.9480724,7.01004348,6.93257673,6.99454781,6.98437275237037,,,,,,0,0,0,0,,,77.12811413997096,38.305129359549284,0,8,0,,,0,,7.24241661,,,7.604537440500001,6.952719945599999,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,485980
2011-04-12,7.01004348,7.10299041,6.92096175,7.04489616,7.004547221580247,,,,,,0,0,0,0,,,84.85230134456368,38.305129359549284,0,9,0,,,0,,7.24241661,,,7.604537440500001,6.952719945599999,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,624587
