time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2008-04-23,13.24161222,13.78798273,12.99734316,13.24161222,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.364510692622504,,,,,,,,,,0,,,,,,,,23404016
2008-04-24,13.31874136,13.49872435,13.05519484,13.37659304,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.364510692622504,,,,,,,,,,0,,,,,,,,4960820
2008-04-25,13.49872435,13.65942345,13.30588543,13.60799974,,,,,,,0,0,0,0,,,50.05778779334224,73.56310466092818,0,2,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,1956798
2008-04-28,13.81370102,13.81370102,13.37659304,13.49872435,,,,,,,0,0,0,0,,,61.81044622713521,73.56310466092818,0,3,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,709378
2008-04-29,13.74941495,13.74941495,13.38302743,13.54372653,13.453731176,,,,,,0,0,0,0,,,50.05778779334224,73.56310466092818,0,4,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.364510692622504,,,,,,,,,,0,,,,,,,,859643
2008-04-30,13.55014807,13.62728363,13.44730064,13.59513739,13.500866580666667,,,,,,0,0,0,0,,,44.18145857644576,73.56310466092818,0,5,13.24161222,13.24161222,13.24161222,12.579531609,13.771276708800002,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,8,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.364510692622504,,,,,,,,,,0,,,,,,,,893241
2008-05-01,13.64013956,14.14152075,13.49872435,14.08366908,13.695134080444445,,,,,,0,0,0,0,,,58.87228161868697,73.56310466092818,0,6,13.24161222,13.24161222,13.24161222,12.579531609,13.771276708800002,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,2998955
2008-05-02,14.24436818,14.24436818,13.81370102,14.14794229,13.846070150296297,,,,,,0,0,0,0,,,69.53249944866857,73.56310466092818,0,7,13.24161222,13.24161222,13.24161222,12.579531609,13.771276708800002,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,1.864510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,1639357
2008-05-05,14.43077913,14.43077913,13.85869034,14.08366908,13.925269793530864,,,,,,0,0,0,0,,,71.54780205479838,73.56310466092818,0,8,13.24161222,13.24161222,13.24161222,12.579531609,13.771276708800002,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,2048,0,,0,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,578944
2008-05-06,14.01296147,14.05152926,13.73655902,13.85226237,13.900933985687242,,,,,,0,0,0,0,,,54.92646570717383,73.56310466092818,0,9,13.24161222,13.24161222,13.24161222,12.579531609,13.771276708800002,0,,,0,,0,1,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,2048,0,,1,,0,0,100,-0.6354893073774961,1.364510692622504,,,,,,,,,,0,,,,,,,,1040181
2008-05-07,13.82012255,13.88440862,13.27373919,13.63371803,13.811862000458161,,,,,,0,0,0,0,,,46.61579753336156,73.56310466092818,0,10,13.24161222,13.24161222,13.24161222,12.579531609,13.771276708800002,0,,,0,,0,3,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,8,0,0,2048,0,,2,,0,0,100,-0.6354893073774961,1.364510692622504,,,,,,,,,,0,,,,,,,,1240063
2008-05-08,13.64656753,13.69156327,13.51800825,13.65942345,13.76104915030544,,,,,,0,0,0,0,,,42.46046344645542,76.87791096978918,0,11,13.24161222,13.24161222,13.24161222,12.579531609,14.43077913,0,,,0,,0,1,0,0,0.2,0,0,0,50,0,0,14.43077913,,1,0,0,0,10,8,0,0,2048,0,,3,,0,0,100,-0.6354893073774961,1.864510692622504,,,,,,,,,,0,,,,,,,,888049
2008-05-09,13.65942345,14.03867333,13.51800825,13.92939794,13.81716541353696,,,,,,0,0,0,0,,,58.0117840536918,75.22050781535867,0,12,13.24161222,13.24161222,13.24161222,12.579531609,14.43077913,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,14.43077913,,1,0,0,0,8,8,0,0,2048,0,,4,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,550394
2008-05-12,13.94868183,13.97440012,13.67870735,13.82012255,13.818151125691307,,,,,,0,0,0,0,,,65.78744435731,74.39180623814343,0,13,13.24161222,13.18657266375,13.29665177625,12.96641443875,14.43077913,14.43077913,14.43077913,14.518842419999999,14.650937355,13.27373919,0,0,2,0,0.2,0,0,0,50,0,5.255492680321148,14.43077913,13.27373919,1,1,0,0,8,8,0,0,2048,0,,5,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,1167927
2008-05-13,13.83940644,13.84582798,13.37016507,13.70442563,13.780242627127537,,,,,,0,0,0,0,,,69.67527450911908,73.9774554495358,0,14,13.24161222,13.186257070357144,13.296967369642857,12.964836471785715,14.43077913,14.43077913,14.43077913,14.519347369428571,14.652199728571428,13.27373919,0,1.5,3.5,0,0.2,0,0,0,50,0,5.225529817302632,14.43077913,13.27373919,1,1,0,0,8,8,0,0,2048,0,,6,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,25.055027703407852,15.274818555532642,,,,1783861
2008-05-14,13.18374769,13.80726662,13.18374769,13.69156327,13.750682841418358,,,,,,0,0,0,0,,,71.61918958502363,73.77028005523198,0,15,13.24161222,13.184643876313777,13.298580563686224,12.95677050156888,14.43077913,14.43077913,14.43077913,14.521928479897959,14.658652504744897,13.27373919,0,1.5,0,0,0.2,0,0,0,50,0,5.077556521446607,14.43077913,13.27373919,1,1,0,0,8,8,0,0,3072,0,,0,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,22.475030085448196,16.780576922110388,,,,649169
2008-05-15,13.78798273,13.79441712,13.56301042,13.60157178,13.700979154278906,,,,,,0,0,0,0,,,72.59114712297591,73.66669235808007,0,16,13.24161222,13.186646912469934,13.296577527530067,12.966785682349672,14.43077913,14.43077913,14.43077913,14.518723622048105,14.650640360120262,13.27373919,0,0,2,0,0.2,0,0,0,50,0,5.262591951146219,14.43077913,13.27373919,1,1,0,0,8,8,0,0,3072,0,,1,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,21.586607124009486,16.11725189931347,,,,470309
2008-05-16,13.77512038,13.91653558,13.56301042,13.89725812,13.766405476185938,,,,,,0,0,0,0,,,73.07712589195205,73.61489850950412,0,17,13.24161222,13.187416531222082,13.295807908777919,12.97063377611041,14.43077913,14.43077913,14.43077913,14.517492232044669,14.647561885111672,13.27373919,0,0,0,0,0.2,0,0,0,50,0,5.337324638225784,14.43077913,13.27373919,1,1,0,0,8,8,0,0,3072,0,,2,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,22.377779688105118,15.133069485010424,,,,1002319
2008-05-19,14.07081315,14.19937243,13.85226237,13.98082165,13.837877534123958,,,,,,0,0,0,0,,,76.63492158530113,73.58900158521615,0,18,13.24161222,13.188188454884791,13.29503598511521,12.974493394423952,14.43077913,14.43077913,14.43077913,14.516257154184334,14.644474190460837,13.18374769,0,0,4,0,0.2,0,0,0,50,0,4.451827412147126,14.43077913,13.18374769,1,1,0,0,8,8,0,0,3072,0,,3,,0,0,100,1.864510692622504,1.364510692622504,,,,,,,,,,0,,,25.962630797158024,14.21522341392682,,,,802836
