time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2007-03-22,12.24113862,13.77128095,12.24113862,13.66927826,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2908400
2007-03-23,13.66927826,15.57344178,13.6352683,13.82568601,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,3.364510692622504,0.3645106926225039,,,,,,,,,,0,,,,,,,,3550900
2007-03-26,13.82568601,14.11131258,13.70326782,14.05690752,,,,,,,0,0,0,0,,,79.90089929033759,44.46752764148173,0,2,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,859900
2007-03-27,14.11131258,14.16571764,13.80528411,13.83929408,,,,,,,0,0,0,0,,,86.23869391974699,41.3863285005155,0,3,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,470400
2007-03-28,13.80528411,13.80528411,13.39724616,13.53325201,13.784883575999999,,,,,,0,0,0,0,,,79.90089929033758,39.845728930032394,0,4,0,,,0,,0,,,0,,0,1,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,324100
2007-03-29,13.53325201,13.68967336,13.26123351,13.39724616,13.655671104,,,,,,0,0,0,0,,,76.73200197563287,43.65374409966081,0,5,0,,,0,,0,,,0,,0,2,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,1799300
2007-03-30,13.46525249,13.56726197,13.35644236,13.39724616,13.569529456,,,,,,0,0,0,0,,,75.14755331828053,40.97943672960505,0,6,12.24113862,,,11.629081689,12.730784164800001,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0.8000000000000035,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,12230801
2007-04-02,13.39724616,13.39724616,12.79879729,13.26802734,13.469028750666666,,,,,,0,0,0,0,,,74.35532898960435,39.64228304457717,0,7,12.24113862,,,11.629081689,12.730784164800001,0,,,0,,0,6.5,0,0,0.2,0,0,0,50,0,0.8000000000000035,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,9470301
2007-04-03,13.18642655,13.26123351,12.57437642,12.96881311,13.302290203777778,,,,,,0,0,0,0,,,52.13235294491542,43.5520211569332,0,8,12.24113862,,,11.629081689,12.730784164800001,0,,,0,,0,5,0,0,0.2,0,0,0,50,0,0.8000000000000035,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,-1.135489307377496,-0.1354893073774961,,,,,,,,,,0,,,,,,,,7892898
2007-04-04,12.93480315,13.030012,12.78518923,12.85999619,13.154858865851851,,,,,,0,0,0,0,,,41.02086492257096,40.92857525824124,0,9,12.24113862,,,11.629081689,12.730784164800001,0,,,0,,0,5,0,0,0.2,0,0,0,50,0,0.8000000000000035,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,-1.135489307377496,-0.6354893073774961,,,,,,,,,,0,,,,,,,,4738000
2007-04-05,12.75118607,13.47205312,12.7171829,13.17962592,13.1631145505679,,,,,,0,0,0,0,,,66.79867673586368,39.61685230889526,0,10,12.24113862,,,11.629081689,12.730784164800001,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,0.8000000000000035,,,0,0,0,0,8,10,0,0,1,0,,0,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,4602898
2007-04-09,13.30884474,13.30884474,12.85318875,12.96200568,13.0960782603786,,,,,,0,0,0,0,,,70.18089069839593,38.96099083422227,0,11,12.24113862,,,11.629081689,12.730784164800001,0,,,0,,0,0,2,0,0.2,0,0,0,50,0,0.8000000000000035,,,0,0,0,0,8,10,0,0,1,0,,1,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3600900
2007-04-10,12.70357484,13.22042971,12.64918338,13.0708158,13.0876574402524,,,,,,0,0,0,0,,,71.87199767966206,38.63306009688578,0,12,12.24113862,,,11.629081689,12.730784164800001,0,,,0,,0,0,2,0,0.2,0,0,0,50,0,0.8000000000000035,,,0,0,0,0,8,10,0,0,1,0,,2,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3130800
2007-04-11,13.09121769,13.64206893,12.88719872,12.99600884,13.057107906834933,,,,,,0,0,0,0,,,82.22424311440923,38.46909472821753,0,13,12.24113862,12.157284452232142,12.324992787767856,11.821867781160714,13.582805304285714,0,,,0.13483750177071427,,0,0,2,0,0.2,0,0,0,50,0,3.200000000000004,,,1,0,0,0,8,10,0,0,1,0,,3,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3356100
2007-04-12,12.96200568,13.10481896,12.84639492,13.05721453,13.057143447889954,,,,,,0,0,0,0,,,77.89367388766871,38.387112043883405,0,14,12.24113862,12.160966678144131,12.321310561855867,11.840278910720661,13.523889689693876,0,,,0.12891648250423465,,0,0,0,0,0.2,0,0,0,50,0,3.1999999999999877,,,1,0,0,0,8,10,0,0,1,0,,4,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,33.50078180914575,19.346498441461808,,,,2666300
2007-04-13,13.6352683,13.6352683,12.98921501,13.31563857,13.143308488593304,,,,,,0,0,0,0,,,85.23508121841256,38.346120701716345,0,15,12.24113862,,,11.840070082365616,13.524557940430029,0,,,0.1289836417032179,,0,0,4,0,0.2,0,0,0,50,0,3.2000000000000046,,,1,0,0,0,8,10,0,0,1,0,,5,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,37.33679728888001,17.819640315594036,,,,2981000
2007-04-16,13.3428411,13.53325201,13.3428411,13.50605628,13.264224419062202,,,,,,0,0,0,0,,,82.71389924853138,38.325625030632814,0,16,12.24113862,,,11.8590029493395,13.64206893,0,,,0.1228948316844166,,0,0,0,0,0.2,0,0,0,50,0,3.6660548008474954,13.64206893,,1,0,0,0,8,10,0,0,1,0,,6,,0,0,100,1.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,36.29765054206238,17.323689334042523,,,,1455800
2007-04-17,13.22723035,13.99570183,13.12522086,13.8868917,13.471780179374802,,,,,,0,0,0,0,,,87.6451938988439,38.315377195091045,0,17,12.24113862,,,11.847437596797393,13.64206893,0,,,0.12661424906195826,,0,1.5,0,0,0.2,0,0,0,50,0,3.558360856174498,13.64206893,,1,0,0,0,8,10,0,0,1,0,,0,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,38.09924474234427,15.469041428732849,,,,1567200
2007-04-18,13.75767969,14.09091068,13.57406941,14.06370135,13.669087236249869,,,,,,0,0,0,0,,,91.21091924412883,38.310253277320164,0,18,14.06370135,,,12.102591021187042,,0,,,0.12499073807681839,,1,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,1,0,,1,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,36.83849931260424,14.477956352551258,,,,1958200
2007-04-19,13.73727779,14.59416429,13.72366972,14.37653725,13.904903907499913,,13.461512138,,,,0,0,0,0,,,90.14841655429653,38.30769131843472,0,19,14.37653725,,,12.100382031441985,,0,,,0.12856064311204563,,1,1.5,7.5,0,0.2,0,6,7.11104080738168,50,0,0,,,0,0,0,0,8,10,0,0,1,0,,2,,0,0,100,2.7993959566496276,-0.6354893073774961,,,,,,0.5290374555215699,,,,0,24.633367946161357,,39.02210485818291,12.97064592740102,,,,1890100
2007-04-20,14.5329518,14.8049771,14.28132839,14.33573345,14.048513754999941,,13.544771310571429,,,,0,0,0,0,,,91.84959182177326,55.93539798968145,0,20,12.24113862,,,11.84656200504651,13.64206893,0,,,0.1268958393690424,,0,0,4,0,0.2,0,6,7.127274035513163,50,0,3.550464616776984,13.64206893,,1,0,0,0,8,8,0,0,1,0,,3,,0,0,100,3.5660574097272573,1.364510692622504,,,,,,0.7501839653955495,,,,0,24.689601497950527,,39.1002217729623,12.151106375894484,,,,2671300
2007-04-23,14.1997208,14.34934152,13.96169866,14.07730942,14.058112309999961,,13.595489225755102,,,,0,0,0,0,,,77.55575906763136,47.120263674615366,0,21,12.24113862,,,11.85744056415033,13.64206893,14.8049771,14.8049771,14.927760477871894,15.111935544679735,12.57437642,0,0,2,0,0.2,0,0,7.343870390835307,50,0,3.6511269438093787,13.64206893,12.57437642,1,1,0,0,8,10,0,0,1,0,,4,,0,0,100,0.7246266942624986,-0.6354893073774961,,,,,,0.4427289316535839,,,,0,25.439913282254917,,37.22513640064094,15.522576430303957,,,,1531800
2007-04-24,14.07730942,14.07730942,13.94129677,14.01610372,14.04410944666664,14.202740746635062,13.63554774901652,,,,0,0,0,0,,,66.36360927206255,70.94845413201458,0,22,12.24113862,,,11.878775574836022,13.64206893,14.8049771,14.8049771,14.920933274452473,15.094867536131183,12.57437642,0,0,2,0,0.2,0,0,7.170057125239442,50,0,7.694633564905187,13.64206893,12.57437642,1,1,0,0,8,8,0,0,1,0,,5,,0,0,100,0.27680103902053843,3.8645106926225035,,,,,,0.5001219987222878,,,,0,24.837806468171912,,36.56259797870482,15.513275440426773,,,,1752700
2007-04-25,14.01610372,14.05690752,13.75087905,13.77807478,13.955431224444427,14.268839144490475,13.649121751967328,,,,0,0,0,0,,,58.34488606142517,81.76247134058549,0,23,12.24113862,,,11.890996664222733,14.444572464863565,14.8049771,,,15.085090664621813,12.57437642,0,0,2,0,0.2,0,0,7.206137626422301,50,0,7.963201221660164,14.444572464863565,12.57437642,1,1,0,0,8,8,0,0,1,0,,6,,0,0,100,0.017395598789103794,3.3645106926225035,,,,,,0.291440015365886,,,,0,24.962792990594433,,35.05097966733257,17.444377325904952,,,,1029512
2007-04-26,13.45165122,13.69647399,13.39724616,13.64206893,13.850977126296284,14.257327562778352,13.648450054637106,,,,0,0,0,0,,,54.609520923389155,83.62512958345334,0,24,12.24113862,,,11.899005526242538,14.45191978028159,14.8049771,,,15.07868357500597,12.57437642,0,3,0,0,0,0,0,6.905626565453603,50,0,8.14960873669997,14.45191978028159,12.57437642,1,1,0,0,8,8,0,0,1,0,,7,,0,0,0,0.046626392870189326,2.364510692622504,,,,,,0.3336730560545286,,,,0,23.92179213892601,,33.21089379025689,21.40343972746425,,,,1193200
