time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,11.45422306,11.55879513,11.45020121,11.53868187,11.485346901708283,11.392278991681385,11.617410328561661,11.744918208605378,11.818335043082827,11.729823775811571,0,0,0,0,12.121658524449515,11.446839563947865,77.5319940229823,75.07710164006144,4,11,11.449166857368574,11.428741626619292,11.469592088117857,11.347040703622165,11.734896218011512,11.754802990120877,11.744918208605378,11.79573878,11.877439702997128,11.330222811076933,0,2,0,-2.3662654008654664,0,-0.2070214242865024,4,2.5688466038357918,58.204462637034,0,2.7978079087599346,11.734896218011512,11.734896218011512,1,1,0,0,8,8,1,0,2268,0,,0,,-0.4775635083910659,-0.19256556238357914,0,2.642392791355089,1.4084019682811644,,,,,,0.8009199953417957,10.57226331767117,18.253968253968253,18.806219555631284,2,8.8987456693887,17.727424810824964,16.088052419782574,21.706640239339986,,,,550200
2006-12-28,11.534656,11.55074741,11.44215752,11.51857263,11.496422144472188,11.378924195280089,11.607997214412931,11.736041911405168,11.815352332504888,11.713777541869591,0,0,0,0,12.120264670312862,11.452290927334687,86.29010558381248,75.94919654656711,4,12,11.445275491487596,11.425339653202549,11.465211329772643,11.34559630006236,11.734896218011512,11.744754173767697,11.736041911405168,11.79573878,11.87548213314019,11.319389605085178,0,2,0,-2.5118142409382616,0,-0.2337106640590525,4,2.554089930298059,71.32519070544502,0,2.9055284496478184,11.734896218011512,11.734896218011512,1,1,0,0,8,8,1,0,2268,0,,0,,-0.4675345256087867,-0.2225454661908511,0,4.379515502931641,1.4176636159257396,,,,,,0.5587576526803046,11.308710962339823,20.238095238095237,27.816316114065597,3,8.84762705275258,17.58336387116584,15.305631703024272,21.011216100204788,,,,374200
2006-12-29,11.48639784,11.50248926,11.26117436,11.34563719,11.446160492981459,11.363533781183984,11.583010545421223,11.720731922330456,11.810678549992401,11.696666275038941,0,0,0,0,12.116570635053899,11.437774282992034,48.69256981377294,87.46360935454857,4,13,11.290168726342904,,,11.186118482965899,11.53967947934,11.35770273,11.3368926813246,11.3785127786754,11.461752973377004,11.06359623,0,3.5,6,-3.937465218649107,0,-0.6826053227378227,4,2.9057338720534673,5.603747798597652,0,2.8265815672757744,11.53967947934,11.277174724920885,1,1,0,1,10,19,1,0,2268,0,,0,,-0.6918836803602191,-0.6700529774040482,0,-2.3347605016269686,5.917544028046344,,,,,,1.1550830802215473,12.32223312553925,21.825396825396826,22.417346620594177,3,10.065757399340896,18.616293818102246,13.615324027002126,26.455900851150066,,,,775800
2007-01-03,11.40998273,11.49444154,11.23704327,11.35367686,11.415332615320972,11.347597087238096,11.561169242047773,11.706337606160634,11.806131269494964,11.678810932307757,0,0,0,0,12.110986341850024,11.35367686,75.80742576468997,91.26007205738645,4,14,11.30139686,,,11.193287782667781,11.53967947934,11.35367686,11.336080914533555,11.379324545466444,11.667416063731551,11.241154747826485,2,5,6.5,-3.832368107442858,0,-0.5864820190866843,4,2.9125733175389197,40.638791005819506,0,0.358648555345331,11.53967947934,11.241154747826485,1,0,0,1,8,5,1,0,2268,0,,1,,-0.5226775357634772,-0.5739965723465151,0,1.9628673557191805,2.947748560001561,,,,,,1.7183292270669799,13.398891562788345,24.206349206349206,32.801011463552385,3,10.089449933493698,19.70684928561302,12.168141114729234,24.640359292308055,,,,1199600
2007-01-04,11.32954577,11.33758947,11.22095186,11.30943653,11.38003392021398,11.328335610639394,11.537194698043223,11.690772858075903,11.801189033281084,11.660178128224212,0,0,0,0,12.106790418471931,11.335174017811832,74.59752322039819,86.26247288428772,4,15,11.30139686,,,11.195084636405795,11.53967947934,11.35770273,11.336440285281158,11.378965174718841,11.464014953594205,11.201585220855819,0,6.5,0,-4.1669742082282575,0,-0.6457499415807132,4,2.5410037480796404,57.404755575966554,0,1.468481270226112,11.53967947934,11.201585220855819,1,1,0,0,8,8,1,0,2268,0,,2,,-0.43305555936724544,-0.6316436400628158,0,2.9681450918910572,1.9496415933807938,,,,,,1.2596033067507961,14.400907365839199,26.984126984126984,63.604003939893786,3,8.802295187793769,20.809568862796404,11.48995990686642,23.942763337730952,,,,862400
2007-01-05,11.2812836,11.36573838,11.22497773,11.30139686,11.353821566809321,11.30968955087186,11.514737761086725,11.675503211092535,11.796215976830526,11.64098485834105,0,0,0,0,12.102405759136756,11.32489658987651,63.8872342112585,84.80258345470881,4,16,11.26117436,,,11.156171909073239,11.53967947934,11.348653574999998,11.327653084814646,11.369654065185351,11.45365602592676,11.168481502954483,0,4,1.5,-4.194727510944371,0,-0.5969696054894346,4,2.508271017617916,37.84437599218087,0,1.715884443222986,11.53967947934,11.168481502954483,1,1,0,0,8,8,1,0,2268,0,,3,,-0.2552386006989229,-0.5845994907493842,0,0.6096656480620997,1.9668160449530319,,,,,,1.2907196427549092,14.971992224251771,28.96825396825397,72.31159791468545,3,8.688905683333441,21.498747443586865,11.99911331763457,22.50988907568589,,,,901800
2007-01-08,11.30139686,11.30541468,11.15258446,11.26117436,11.322939164539548,11.290602194613854,11.490588865745131,11.659255020853612,11.790892179648132,11.621207375872586,0,0,0,0,12.097543459261066,11.309269487052052,47.35276690711352,90.61013907291328,4,17,11.06359623,11.042731219292174,11.084461240707826,10.959271176460865,11.53967947934,11.26117436,11.327788564292172,11.369518585707825,11.472334765662616,11.140920890906497,2,6.5,0,-4.492601675744781,0,-0.6424156914681284,4,2.38801680378495,16.005708491744087,0,0.569488719801192,11.53967947934,11.140920890906497,1,0,0,0,10,8,1,0,2268,2,,4,0,-0.2833467663757764,-0.6305474221587128,0,-0.6381703013629778,4.2102442739458334,,,,,,1.3203899469376004,16.05157352048277,32.53968253968254,94.03926049178585,3,8.272332866967544,22.574001187715144,11.21438060263533,24.135618146364987,,,,963000
2007-01-09,11.2330174,11.25313066,11.16062816,11.22095186,11.288943396359699,11.267106062993507,11.464909150912261,11.642066661604451,11.785221131691435,11.600786055480725,0,0,0,0,12.092464288743223,11.29176031643105,53.28175067813849,83.92595537895204,4,18,10.84320586,10.822933473271302,10.863478246728697,10.741843926356516,11.53967947934,11.348653575,11.328381188271303,11.368925961728698,11.450015508643483,11.111519607581071,0,0,0,-4.787939618494457,0,-0.6832456188912501,4,2.389651797249843,45.08434667026047,0,2.339477542456836,11.53967947934,11.111519607581071,1,1,0,0,8,8,1,0,2268,2,,5,1,-0.3564463436574042,-0.6717000816161782,0,0.9369118707441251,1.4493515073584051,,,,,,1.3000227604396781,16.74483364481886,34.12698412698413,102.28123242678654,3,8.277996650470017,23.57245109297712,10.717767643853914,23.066806487086353,,,,971000
2007-01-10,11.1807374,11.25313066,11.10030446,11.19280294,11.256896577573132,11.239344871652378,11.438994273682521,11.624448476443492,11.779326423316395,11.579722044661999,0,0,0,0,12.089177913210847,11.280730344354703,60.85424367181303,80.6212028068112,4,19,10.84320586,10.823016981251923,10.863394738748076,10.742261466259622,11.53967947934,11.348653575,11.328464696251924,11.368842453748076,11.449597968740377,11.09039157916466,0,0,0,-4.9792616507800505,0,-0.6875581067709369,4,2.336898367075004,49.57777606012762,0,2.558458040766228,11.53967947934,11.09039157916466,1,1,0,0,8,8,1,0,2268,2,,6,2,-0.2592555505291194,-0.6746413420131817,0,1.47127062631038,1.4550223485257665,,,,,,0.8100624950557709,17.593636128521254,34.523809523809526,117.33274107979332,3,8.095253407797301,24.85342856743401,9.99337850565021,24.175601886686806,,,,614400
2007-01-11,11.21693403,11.29334914,11.11638783,11.2812836,11.265025585048754,11.219170434047186,11.423974209522282,11.610991030308453,11.774370773333146,11.558719040895738,0,0,0,0,12.085225004139689,11.280802521036094,73.50980705642893,78.99306546511478,4,20,11.266408536276291,,,11.16477439789237,11.46902594518,11.348653575,11.328326747323215,11.368980402676785,11.450287713383922,11.088810727427363,0,3.5,0,-4.187800629226836,0,-0.35965355961569984,4,2.570370052719466,61.01910641657196,0,2.556649288362964,11.46902594518,11.088810727427363,1,1,0,0,8,8,1,0,2268,2,,7,3,-0.2637432175573953,-0.3500142976222644,0,2.878791366258863,1.4587106620509784,,,,,,1.0568960229015438,18.016078214813277,35.317460317460316,102.33638335575183,3,8.904023051127217,25.50636160063147,10.983188747416134,22.296423573349095,,,,827000
