time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,17.95,18.21001,17.82001,18.19,18.099940593129965,18.197869758441563,18.149167699468233,18.01147782110782,17.370432985084726,18.675414566652663,0,0,0,0,18.332764258997983,17.287255317390954,77.17073511841157,84.60859714982837,1,5,18.003761017180786,,,17.7403588995193,18.64999,18.332764258997983,18.280083835465685,18.38544468253028,18.59616637665947,17.83,0,6.5,0,4.71817263057866,0.1735908631528933,0.03855944692062109,6,6.103768563163484,49.289698373465264,0,1.9087327902356475,18.64999,17.83,1,1,0,0,8,15,2,0,200,0,,0,,0.8335197462376789,0.030946534488024174,1,3.0060942628006035,1.3073994134128748,,,,,,0.6498784464922703,13.17395406002767,19.444444444444443,-37.69434535287589,0,21.144074538081675,22.330283511431794,18.298994851641275,23.11195069640511,,,,2821316
2006-12-28,18.10001,18.11,17.78999,17.83,18.009960395419977,18.145740493506494,18.118770775709354,18.004361043809475,17.375005791203286,18.684246544376823,0,0,0,0,18.323920207270074,17.291021078774737,64.00843806375129,92.0188886128742,4,0,17.47280030000001,17.420311246005735,17.525289353994285,17.210355030028634,18.30275618,18.220995692891844,18.182399000000004,18.323920207270074,18.533876423247175,17.83,0,0,2,2.6186708324843813,0.1630933541624219,-0.6753419630354344,6,6.402454553790702,8.802237439709941,0,1.2496637055525932,18.30275618,17.83,1,1,0,0,8,8,1,0,200,0,,0,,-0.3175221967308264,-0.6819780897241796,0,0.48513182912605535,6.700169494888297,,,,,,0.4631221440198857,13.157638268050158,19.444444444444443,-40.674580880384525,0,22.17875316063244,21.64787268874724,17.05387454736736,22.049992650769084,,,,2028165
2006-12-29,17.78,18.12,17.73,17.91,17.97664026361332,18.0792189021645,18.098887844689415,18.000660610718906,17.38032911666395,18.69049818497526,0,0,0,0,18.314948652822704,17.296383184025423,48.837033358881655,95.5851673139804,4,1,17.830000000000002,,,17.56889010645515,18.485,17.965325305359453,17.913103326650482,18.017547284068424,18.226435198904305,17.52441568442086,0,3.5,3.5,3.0475308020963197,0.1652376540104816,-0.4593826867301345,6,6.430943654499337,7.99359805490554,0,1.6885979116025254,18.485,17.83,1,1,0,0,10,8,1,0,200,0,,0,,-0.7903407246803621,-0.4696009302348691,0,-0.4643077183028579,6.1678266818222545,,,,,,0.5800703215804637,13.137882086595965,19.444444444444443,-41.026075123742736,0,22.277442300411042,21.184509805063968,15.916728293820189,21.605376705855825,,,,2554372
2007-01-03,17.99001,18.41,17.64999,18.14999,18.034423509075545,18.034495385714283,18.103754716623754,18.006516665200518,17.387987433911075,18.69553444111978,0,0,0,0,18.307922944641017,17.31129497635003,52.53809920806605,85.5153404271388,4,2,17.92092083579172,,,17.608889436223823,18.601739986543684,18.226378112174828,18.195798800000006,18.336933394062914,18.55804395783909,17.83,0,3.5,2.5,4.382350568087149,0.17191175284043575,0.04747946221015015,6,6.484364363748134,42.6923786013836,0,1.1951128443176369,18.601739986543684,17.83,1,1,0,0,8,8,2,0,200,0,,1,,-0.793007459391008,0.038060558209701785,1,0.7744988844666549,1.316688180487627,,,,,,1.1532946936217419,12.397533508708266,16.666666666666668,-44.80785696932388,0,22.462497065601607,19.72949368356184,18.646960213081734,18.953131785327,,,,5242645
2007-01-04,18.17,18.17,17.73,18.02,18.02961567271703,18.000370974891773,18.0957780769453,18.00704542342795,17.394276116160714,18.698532239909078,0,0,0,0,18.29715965142488,17.32240652372345,60.43302856695142,88.30269093254122,4,3,17.921094701907876,,,17.608968762207837,18.485,18.229842668570427,18.204598800000007,18.340358287466508,18.56138952525867,17.83,0,3.5,0,3.5972976378013,0.1679864881890065,-0.2216308513528316,6,6.249181694040623,28.079348305598803,0,1.205991432295215,18.485,17.83,1,1,0,0,8,8,2,0,200,0,,2,,-0.45981234452188935,-0.22728389384492736,0,1.4651795795188516,2.9195718572266784,,,,,,1.0222181174066451,11.527496553585753,14.682539682539682,-46.749802100953644,0,21.64780039961541,18.37840728502415,17.321248682810086,17.605652890352,,,,4780250
2007-01-05,18.05,18.19,17.89,18.06,18.039743781811353,17.987239860173155,18.092370641045747,18.0091220734896,17.40090023440787,18.6999662207863,0,0,0,0,18.2919181574779,17.329332488340754,63.479707327292765,90.95775167723028,4,4,17.942298697191077,,,17.672351724753746,18.540283759608506,18.221672777788765,18.21001,18.329651566763697,18.545609144713563,17.83,0,3.5,0,3.787733719022475,0.16893866859511236,-0.13075278875508492,6,5.9277747283333895,24.74546771026311,0,1.2091040641932425,18.540283759608506,17.83,1,1,0,0,8,8,2,0,200,0,,3,,-0.34523405262691675,-0.1335935560484524,0,1.3557882242235149,3.399830954782262,,,,,,0.6145265829822822,9.225127236705594,7.936507936507937,-55.07479671956107,0,20.534414010592457,17.078545342250138,16.792643773591504,16.73218506836354,,,,2890028
2007-01-08,18.03,18.14,17.8,18.03,18.036495854540902,17.983822820779217,18.08643057999377,18.009940815705693,17.407159933567993,18.699976699238842,0,0,0,0,18.285069809892907,17.337234936048944,65.4436501296564,91.0370066438762,4,5,17.94677098073162,,,17.680927363468385,18.41,18.223306717126167,18.21001,18.32964416403146,18.54231905784205,17.64999,0,3.5,0,3.5780682708092018,0.167890341354046,-0.1834302451392011,6,5.8974863310587455,27.799136182595284,0,1.7971615638429883,18.41,17.64999,1,1,0,0,8,8,2,0,200,0,,4,,-0.23147990179683522,-0.1868850095714814,0,1.4089044228421934,2.9238851106361423,,,,,,0.7347070297364964,6.243714993184851,0,-69.43773728584952,0,20.429491924673428,16.172284489050817,15.833853242466489,17.28820762625371,,,,3510868
2007-01-09,18.03999,18.17999,17.89999,18.13,18.067663903027267,17.994418129870127,18.09058004856579,18.01464901901135,17.414352372039954,18.6993373887444,0,0,0,0,18.28036865884391,17.34778373903669,71.29589894647809,89.07442944298835,4,6,17.948347784668897,,,17.68899299721018,18.41,18.22645718709256,18.21001,18.330199102076048,18.537682932043023,17.6858,0,5,0,4.10952766241868,0.1705476383120934,0.02352227383667816,6,5.582229935700126,43.42224336835196,0,1.737186578760107,18.41,17.6858,1,1,0,0,8,8,2,0,200,0,,5,,-0.10271858938404019,0.016867168118630625,1,2.0622605273681818,2.3678464537128847,,,,,,0.8653992805064656,6.329724475144636,0.3968253968253968,-67.26695091643002,0,19.337411736329127,15.171426218144616,15.759066191081768,16.45497606170213,,,,4197988
2007-01-10,17.92999,18.13,17.88,18.03999,18.058439268684843,18.007371923809522,18.08576194870238,18.01564278297169,17.420577622069406,18.6976081075076,0,0,0,0,18.276033949695424,17.353318486979113,82.97390087718301,68.84204964233213,1,0,17.948680601844295,17.898282569887677,17.999078633800913,17.6966904420612,18.41,18.227807537614876,,,18.530195729354592,17.64999,0,5.5,1,3.555636278936505,0.017778181394682523,-0.16263814460234483,6,5.61722297534328,65.05437334812488,0,1.8307040185727694,18.41,17.64999,1,1,0,0,8,15,2,0,200,0,,0,,0.08644970220480214,-0.17042513967577025,0,3.8312868646101617,-0.07417006199525567,,,,,,0.5256036158232916,6.27420800567709,0.3968253968253968,-67.7561697574592,0,19.458631181475557,14.321532729138852,15.061092764977685,16.080325658465682,,,,2542912
2007-01-11,18.03999,18.39,18.03999,18.23,18.11562617912323,18.039477806060603,18.09949890596882,18.02404894834535,17.428631576078665,18.69601639119023,0,0,0,0,18.275002092742163,17.362141843018364,89.03140195504358,38.949952114975716,1,1,17.951495874209996,17.901572612393135,18.001419136026858,17.70187956512569,18.41,18.247653952566047,,,18.547193523467215,17.79052618,0,4,4.5,4.597999678995099,0.022989998394975494,0.21944985756288923,6,5.632602479993688,82.0481201311007,0,1.8368356117113611,18.41,17.79052618,1,1,0,0,8,15,2,0,200,0,,0,,0.335301219828571,0.211078946797546,1,3.9510865915353333,-3.07545499747194,,,,,,0.6620573386341712,6.157352019237002,0,-68.44310548784055,0,19.511907348375054,14.078357877078865,18.768294393565405,15.073731706123093,,,,3233360
