time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2022-01-19,36.63633654,41.45690713,36.63633654,40.49279301,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,129922
2022-01-20,39.48047319,46.63419996,39.48047319,43.38513537,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,153414
2022-01-21,41.45690713,48.15750026,41.40870143,43.38513537,,,,,,,0,0,0,0,,,86.23869391974699,44.46752764148173,0,2,0,,,0,,0,,,0,,0,1.5,4.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,0.3645106926225039,,,,,,,,,,0,,,,,,,,329486
2022-01-24,43.30800624,43.38513537,40.37709932,41.26408431,,,,,,,0,0,0,0,,,62.27191163964814,59.015316151204956,0,3,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.364510692622504,,,,,,,,,,0,,,,,,,,110004
2022-01-25,40.97485007,43.30800624,39.84683655,40.39397132,41.784223876,,,,,,0,0,0,0,,,50.28852049959871,66.28921040606656,0,4,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.364510692622504,,,,,,,,,,0,,,,,,,,23472
2022-01-26,43.39477651,43.44298222,40.73382154,41.66901224,41.745819997333335,,,,,,0,0,0,0,,,61.92581258026344,69.92615753349736,0,5,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,2048,0,,0,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,90760
2022-01-27,45.56403328,47.8393426,42.17999272,44.1178621,42.53650069822223,,,,,,0,0,0,0,,,67.74445862059581,71.74463109721276,0,6,0,,,0,,0,,,0,,0,1,2,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,2048,0,,1,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,151618
2022-01-28,42.95128402,45.89183208,42.56563837,45.07233508,43.38177882548148,,,,,,0,0,0,0,,,53.024793990072546,72.65386787907048,0,7,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,2048,0,,2,,0,0,100,-0.6354893073774961,1.364510692622504,,,,,,,,,,0,,,,,,,,43609
2022-01-31,44.34924949,46.27747773,44.34924949,46.27747773,44.347011793654325,,,,,,0,0,0,0,,,63.293949325500364,73.10848626999933,0,8,36.63633654,,,34.804519713,38.10179000160001,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,2048,0,,3,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,71314
2022-02-01,45.79542067,48.20570597,45.36156932,47.99360086,45.56254148243622,,,,,,0,0,0,0,,,77.93521893732839,55.70680781477431,0,9,36.63633654,,,34.804519713,38.10179000160001,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,0.8000000000000016,,,0,0,0,0,8,8,0,0,2048,0,,4,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,298808
