time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,9.04381531,9.13522123,9.01692583,9.11370858,9.020974440885851,9.0443175878316,8.800104053118087,8.485546885852289,7.864258041778757,8.687313703755489,0,0,0,0,9.079994888711779,7.692364971166638,97.12337026684156,22.8446540064991,2,20,9.11370858,8.954065775550646,8.982992384449354,8.896212557753234,9.11444750983254,9.13522123,,,9.207537752246767,8.633203755,1,2,0,15.887710341949058,0.1201632415851257,1.4268078731458083,0,4.19792449000694,87.46841140239718,0,0.003397440674577511,9.11444750983254,8.633203755,0,1,0,0,8,10,1,0,192,0,,22,,1.11246418566971,1.4124095105148504,21,4.3853522990262235,-3.085394454562507,,,,,,0.673166043046926,14.006898488100344,17.857142857142858,-3.679941934792552,1,14.542037006059374,38.32361273960006,32.62343433009101,9.966088836756294,,,,980500
2006-12-28,9.12983904,9.14059268,9.01692583,9.03305629,9.0250017239239,9.071766183584847,8.822289980440173,8.507017842877689,7.875887875094391,8.713631536340463,0,0,0,0,9.0629796234795,7.697246311077382,96.63675705534618,56.75354776273216,2,21,8.96852908,8.95399470042203,8.98306345957797,8.895857182110147,9.130721981724246,9.0629796234795,,,9.121117141791382,8.633203755,0,0,5.5,14.692545567654358,0.10457383894938291,0.8790259450154384,0,3.8568655370757727,37.5773808788857,0,2.2318517395827286,9.130721981724246,8.633203755,1,1,0,0,8,8,1,0,192,0,,23,,0.8820813644033525,0.8694136265881168,22,3.850500243342685,3.4707978162397137,,,,,,0.7079318013343218,13.551846780448454,13.492063492063492,1.431619944944474,2,13.360574136353327,39.41396093989456,30.47502307707407,9.208970905090185,,,,916800
2006-12-29,9.0061722,9.03843311,8.95239863,8.9792881,9.0097638492826,9.083903935154112,8.837242182303013,8.52553824511778,7.88686698180987,8.739606379199152,0,0,0,0,9.038694283562167,7.70248879156723,97.43649547726037,47.7707030302503,2,22,8.97659969,8.962335315391885,8.990864064608116,8.905277816959423,9.142252408156276,9.038694283562167,,,9.110016156602745,8.633203755,0,4.5,5.5,13.851141660049171,0.10481126385580142,0.5146002945336687,0,3.809311575285537,75.71102554558735,0,2.3226075128737738,9.142252408156276,8.633203755,1,1,1,0,1,10,2,0,192,0,,24,,0.34064270434021704,0.5099676751639731,23,4.919898366744105,-0.1683177286423401,,,,,,0.8258943727508378,15.868849278573984,28.96825396825397,20.2564324503639,3,13.195842380509571,39.36091983244713,28.833882350954763,12.752032811534317,,,,1033900
2007-01-03,9.01154364,9.06531721,8.95239863,9.03843311,9.019320269521733,9.088943078675324,8.85640322303606,8.545651769230808,7.898325351244598,8.765468119801033,0,0,0,0,9.038576684135526,7.717733008970487,99.92945151937123,29.964208729665497,2,23,9.03843311,8.966381302685322,8.99488868731468,8.83836909148257,9.157735833462056,9.038576684135526,,,9.10984514570892,8.633203755,1,5.5,0,14.434803683742237,0.11217401841871119,0.7167783458451202,0,3.8095057743760217,94.2630496467221,0,0.5963227388220318,9.157735833462056,8.633203755,0,1,0,0,3,10,1,0,128,0,,25,,0.05334087128462807,0.7110895998079385,24,9.234559452289039,-0.6920037175518567,,,,,,2.2457782001608306,21.388058879641825,59.12698412698413,62.07353765761625,3,13.196515105892578,39.49459257600353,28.478416153126346,11.850047579140366,,,,2918400
2007-01-04,9.01154364,9.07607085,8.95778082,9.00080075,9.013147096347822,9.085249261641556,8.870155368461196,8.563500748868815,7.909295255709826,8.790813084960442,0,0,0,0,9.032381719392477,7.724079741143191,96.53889861690996,34.399433733612206,2,24,8.980516309558823,8.96622457714162,8.994808041976025,8.909057647472814,9.14059268,9.032381719392477,,,9.103840381478486,8.633203755,0,3.5,4,13.800287623631213,0.11344588256260052,0.4462319284599121,0,3.694065249865052,67.90628427366833,0,2.2401254902940346,9.14059268,8.633203755,1,1,0,0,8,10,1,0,128,0,,26,,0.18296160655022223,0.44179227112420005,25,3.325060979444741,-0.6940881507790386,,,,,,0.9645409440575357,25.51040598363301,73.41269841269842,99.35272884426183,3,12.796617398481777,39.69289111434918,27.045676783909045,10.974327440792363,,,,1271400
2007-01-05,8.95239863,8.97391128,8.82873716,8.85562126,8.96063848423188,9.06149305731385,8.868771167655368,8.574956455187685,7.918711434856992,8.81466491956974,0,0,0,0,8.981616616004045,7.7376663781639,99.71032766771695,24.438755723581153,2,25,8.618974846591017,8.604167670150044,8.63378202303199,8.544938964386152,9.14059268,8.978881783992176,8.964074607551202,8.993688960433149,9.052917666197041,8.633203755,0,0,6,11.831594481633328,0.05915797240816664,-0.29873462912356014,0,4.073648923201285,90.55956925722988,0,7.045473328265403,9.14059268,8.633203755,1,1,0,0,8,10,1,0,128,0,,27,,-0.4673813794054407,-0.2966322446160848,0,7.34836552337153,-1.0650310511464323,,,,,,2.173386675943642,28.68629548196364,82.93650793650794,103.28261873816001,3,14.111533814365743,37.987856356551134,24.23961932687488,17.616909952469374,,,,3123700
2007-01-08,8.8341086,8.89863581,8.77497435,8.81797815,8.913085039487921,9.021328768099565,8.863933737402476,8.584486717729344,7.927659362370853,8.836846638110803,0,0,0,0,8.964741496182764,7.742834788230693,90.35853108429798,63.83167516770594,4,0,8.73733124,8.722477598840525,8.752184881159474,8.663063034202626,9.14059268,8.976318474652237,8.961464833492762,8.991172115811711,9.05058668044961,8.633203755,0,5.5,5,11.230537879252267,0.20615268939626133,-0.4675985175648059,4,4.080001609049553,17.3055993187494,0,5.429799140431898,9.14059268,8.633203755,1,1,0,0,8,8,1,0,128,0,,28,,-0.6523988405863155,-0.46372272872093,0,2.516018912145909,5.186085145711719,,,,,,0.8846665346198467,31.212610968490743,86.5079365079365,120.84071369970788,3,14.133540163673194,35.767689279342,22.437808408437533,19.53908666721789,,,,1250600
2007-01-09,8.80722989,8.85024982,8.71044714,8.76421533,8.863461802991948,8.965815292543724,8.854436746221289,8.591534898602703,7.935983302347262,8.857067897886948,0,0,1,0,8.90435819348541,7.762851112781031,95.02126975975042,97.79210036826984,4,1,8.73733124,8.722290334994772,8.752372145005227,8.662126714973866,9.14059268,8.978391963333335,8.963351058328108,8.993432868338562,9.053596488359469,8.649874112543722,0,11.5,7,10.436413436098947,0.20218206718049475,-0.6962757094499087,4,3.498203779422063,30.790617627862648,0,4.36832558513535,9.14059268,8.649874112543722,1,1,0,0,8,8,1,0,128,0,,29,,-0.944022235181361,-0.6887573975122346,0,4.371901162746717,4.87440283961352,,,,,,3.268895789350243,33.24025592392328,89.68253968253968,174.30178336808814,3,12.118133362376964,33.41070047680848,20.575704373440935,21.748005990578864,,,,5225199
2007-01-10,8.73733124,8.76959215,8.66205577,8.68355767,8.803493758661299,8.896728183329438,8.838162548485927,8.59514363473593,7.94342185326918,8.874928978771235,0,0,0,0,8.888237241961907,7.767546462027421,69.91703273520072,88.29934654526834,4,2,8.59514363473593,,,8.520510130247377,9.14059268,8.73733124,8.722404539102289,8.75225794089771,8.811964744488552,8.653598882790522,0,0,4,9.317594235867158,0.22351667361251554,-1.0263792362452635,4,3.5791068192953737,9.006874229517095,0,1.1219137809925621,9.14059268,8.653598882790522,1,1,0,0,8,8,1,0,128,0,,30,,-1.215429619465438,-1.0162683693857872,0,0.28752284846995924,5.202892881419041,,,,,,0.8553957732608489,34.94585251918526,91.66666666666667,181.8579938749169,3,12.398389713471653,31.69512382410546,19.252191191884666,23.243668971521608,,,,1366700
2007-01-11,8.65130213,8.76421533,8.61366439,8.66743259,8.758140035774199,8.823869179688748,8.82190255243965,8.597978495726677,7.9506259402018244,8.890480493980041,0,0,0,0,8.865347838453857,7.774757614384092,59.03422511158976,92.72863697228365,4,3,8.597978495726677,,,8.521954931737305,9.14059268,8.73733124,8.722126527202125,8.752535952797874,8.813354803989371,8.646396496641492,0,7,4,9.015725996788378,0.24502830597018443,-1.0209162910568628,4,3.563140755382872,11.052358180839605,0,1.1961389151818864,9.14059268,8.646396496641492,1,1,0,0,8,8,1,0,1024,0,,0,,-1.3995974078899405,-1.0092655779571487,0,0.3413639743415722,4.647048221084284,,,,,,1.296972531578771,36.45209016743826,93.25396825396825,195.32406261107081,3,12.343081645684965,30.544388124883127,17.55016047501282,24.030420917811426,,,,2164900
