time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,21.05688599,21.08876895,20.86555107,20.93995703,20.978661647964163,21.152077147177057,20.746414650320915,20.30087220616351,19.000978659164826,20.31244978316187,0,0,0,0,21.034104780258296,18.402932122083957,93.31416929697609,37.322048254452284,2,24,20.59450611,20.565051630123072,20.62396058987693,20.447233710615357,21.2482156,21.104718395000003,21.075263915123074,21.13417287487693,21.251990794384646,20.436127721000002,0,6,5.5,10.204623696579633,0.1754675629273426,-0.07242345613790997,0,2.868741378360327,61.56117815549656,0,4.438778024473227,21.2482156,20.436127721000002,1,1,0,0,8,10,2,1,2282,0,25,16,,-0.33398442422269614,-0.07870436600479139,43,2.9336633742569482,-1.086076313695725,,,,,,0.6334229100284801,16.979054479937915,47.22222222222222,70.85649038500034,3,9.937611642190516,32.58134116737458,19.095031996454495,11.19917659601657,,,,1104300
2006-12-28,20.89188586,21.02009505,20.87052389,20.93462047,20.96398125530944,21.110107875100432,20.764339014099875,20.32572507925514,19.02021887618806,20.355509133904086,0,0,0,0,21.02701907592406,18.41037119898701,92.93203047597282,51.10624892309921,2,25,20.93462047,20.565820064757137,20.623192155242865,20.475643746114198,21.2482156,21.104718395000003,21.07603234975714,21.133404440242867,21.248148621214316,20.436127721000002,1,5,4,10.065087085872763,0.17921432431825274,-0.1460662783649681,0,2.820473120783629,43.596677375223685,0,0.6832484387117405,21.2482156,20.436127721000002,0,1,0,0,8,8,2,1,2282,0,26,17,,-0.40810502081462235,-0.1545682869941614,44,2.9193590574815484,0.9189696963539302,,,,,,0.6853847391034635,15.486849998923672,41.666666666666664,58.507750878578,3,9.770405493159192,32.115810402168506,18.206077459947196,10.677807538241556,,,,1193200
2006-12-29,20.96667144,20.96667144,20.7423147,20.77436566,20.90077605687296,21.049286367597404,20.76529393275703,20.343318827519646,19.037673073041912,20.39671022597239,0,0,0,0,21.012421165115352,18.41633663231218,93.64153473938211,50.15149547174286,2,26,20.20349410322934,20.17485387603954,20.23213433041914,20.060292967280336,21.2482156,20.99012458258264,20.96148435539284,21.018764809772442,21.133325718531644,20.436127721000002,0,0,7.5,9.12239946707202,0.17894533066869345,-0.6415663111121965,0,2.8263807915630865,51.955867430542455,0,7.295483306380428,21.2482156,20.436127721000002,1,1,0,0,8,8,3,1,2282,0,27,0,,-0.8550316916002304,-0.6479455049286467,45,3.314067533365087,0.3971558882972176,,,,,,0.6114444206366221,12.891391171355057,33.73015873015873,31.667470024349676,3,9.790870265048012,30.51730383443138,16.93268866013081,13.927881801071871,,,,1027300
2007-01-03,20.77970215,20.79306206,20.63013633,20.72628922,20.842613777915307,20.974534168875756,20.76157919820874,20.35833727428358,19.054475223757912,20.43579529976729,0,0,0,0,20.985419445804446,18.426801516975907,96.33801000452924,36.366051001093325,2,27,20.37642807584554,20.35833727428358,20.436127721000002,20.24614051150718,21.238095517403018,20.98323052658837,20.955181335894267,21.01127971728247,21.123476480058873,20.477939757596964,0,7,4,8.773865334048155,0.06671392220420079,-0.7769261480852399,0,2.8323664252575997,82.00591510666972,0,6.613581625639322,21.238095517403018,20.477939757596964,1,1,0,0,8,10,2,1,2282,0,28,1,,-1.18275676427168,-0.7844354146100859,0,5.734082728117213,-1.202861188093829,,,,,,1.1112044095508298,9.335728301834106,13.492063492063492,-4.850142268316884,1,9.811605108396797,28.494550538009904,16.054521401447282,16.776393669470863,,,,1852700
2007-01-04,20.57671806,20.72628922,20.48591234,20.64081998,20.775349178610206,20.888215496283117,20.750078320284096,20.36941502744893,19.070259748695644,20.47234113795068,0,0,0,0,20.95650665209339,18.436493575383,96.86846989075448,28.696830136692856,2,28,20.35564307631197,20.31019563756,20.36941502744893,20.197428040696195,21.22273598067404,20.975848536704692,20.94765663748874,21.004040435920643,21.116808032784448,20.50749662932594,0,9,2.5,8.235652015236855,0.06985966995158771,-1.0064482389481122,0,2.4903337029690005,74.5320001194486,0,5.480470936199784,21.22273598067404,20.50749662932594,1,1,0,0,8,10,2,1,2154,0,29,2,,-1.2294512790032275,-1.0069802413294806,0,4.3905229841334945,-1.2969749692773855,,,,,,1.095066991473814,8.922878288822337,11.11111111111111,3.4324471426464767,2,8.626769002686899,27.530594880006436,14.832306145184408,20.06689748979043,,,,1798100
2007-01-05,20.5660344,20.5660344,20.22415747,20.27758108,20.60942647907347,20.76231124408961,20.705078583114183,20.365813696176424,19.082272896270812,20.504321628350933,0,0,0,0,20.89341674408701,18.44628201931425,77.02391894057092,28.389114102046378,4,0,20.255760988790698,20.22586259567946,20.285659381901937,20.1062690232345,21.2482156,20.365813696176424,,,20.515305661732622,19.93498233446,0,0,4,6.26397175130424,0.15520645876520883,-1.9819931334314047,4,2.778421181117616,25.481492972611647,0,6.6388491683602515,21.2482156,19.93498233446,1,1,1,0,14,8,1,1,2154,0,30,3,,-1.991092800069501,-1.9601965312321952,0,2.052883051125704,2.348806836890415,,,,,,1.33615312053069,10.575549113711409,20.634920634920636,9.878879579613335,2,9.624733301042479,27.87227173378711,12.986750108662356,25.38680926616167,,,,2195500
2007-01-08,20.22415747,20.3683868,20.17073385,20.35236666,20.523739872715648,20.629051398580522,20.671486971389022,20.365286361424406,19.09491064516364,20.532637049569754,0,0,0,0,20.858360025910294,18.453807807630714,57.93833647176578,39.92664142190048,4,1,20.29807906592989,20.268551513844454,20.327606618015327,20.150441305502707,21.2482156,20.365286361424406,,,20.51292412185159,20.04337055492,0,7,0,6.585294051401331,0.14500885437950653,-1.6362446256187362,4,2.800141994056783,6.353989215568653,0,6.435592976491445,21.2482156,20.343759445526928,1,1,0,0,8,8,1,0,96,0,,4,,-1.896659072979999,-1.6167782141044627,0,-0.7583505518491123,4.087500350300127,,,,,,1.009942712944655,11.46804290561629,26.984126984126984,18.22753404450169,2,9.699976404227154,28.396732861689127,12.210577490511776,25.484957386225908,,,,1636900
2007-01-09,20.33099401,20.51261079,20.28825939,20.48056517,20.509348305143764,20.517409929484415,20.653303942685305,20.369807099015606,19.10869825237594,20.558406883422656,0,0,0,0,20.839966851867178,18.460108700584332,58.68419250906325,63.906374808948286,4,2,20.33858574324157,,,20.191477849630612,21.2482156,20.791114900476725,20.77436566,20.839966851867178,20.957653166755943,20.345379521994083,0,8,0,7.179279820662206,0.09152079969274168,-1.178427727823524,4,2.732583501371808,27.331702294921115,0,2.676474232866824,21.2482156,20.345379521994083,1,1,0,0,8,8,2,0,96,0,,5,,-1.4449952047154453,-1.1655062715834918,0,0.9490297141789337,1.0534874503037768,,,,,,0.798974168829565,12.176790235815838,31.746031746031747,28.637846144217598,3,9.46594692060086,27.81372169544609,15.756000900992426,23.74984064390963,,,,1292900
2007-01-10,20.43248872,20.44851421,20.21882098,20.32030501,20.446333873429175,20.416073143753245,20.621589758620036,20.367865840622837,19.120754041009015,20.580932353554452,0,0,0,0,20.813995936545137,18.46633649356372,57.85766630237231,37.38943911326426,4,3,20.29465898293924,20.22247633,20.3200671154,20.103848173674717,21.2482156,20.367865840622837,,,20.51615103602944,20.04337055492,0,6.5,4,6.273554727069136,0.11415934911143574,-1.5625826197245192,4,2.6670531298876905,32.579765406179526,0,4.997393076085316,21.2482156,20.284322136589427,1,1,0,0,8,8,1,0,96,0,,6,,-1.6623326038087205,-1.5463011688508248,0,0.8174956947395708,0.24116408807855055,,,,,,0.8612797124546485,12.772689384953742,35.714285714285715,38.24838305694066,3,9.238943054902151,27.58185991927834,14.51441367667167,23.96884977913072,,,,1397000
2007-01-11,20.29894305,20.31496853,20.1440354,20.24551943,20.37939572561945,20.325686531800432,20.5857735368467,20.36306794216704,19.13194573642186,20.60013074224912,0,0,0,0,20.77875301036774,18.474179190243568,64.53049832901883,30.310041621648548,4,4,20.21197746406492,20.182864949114407,20.24108997901543,20.06641488931236,20.497034309060002,20.35008885618352,,,20.49565143093608,19.93498233446,0,8,4,5.820493685899448,0.12112820440508917,-1.6683021119555628,4,2.6719762138236027,40.53339605805949,0,1.958311368699317,20.497034309060002,20.209268079307478,1,1,0,0,8,8,1,0,96,0,,7,,-1.7362058878047355,-1.6511466784442943,0,1.6470397985018064,0.14444550158809455,,,,,,1.1099595968698857,13.0258009596193,37.698412698412696,40.728230504808884,3,9.255997117916003,27.685918225556094,13.729757869675144,24.966695735836115,,,,1847500
