time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2019-05-24,27.23443153,29.29417845,26.09012768,26.54784922,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,43994
2019-05-28,26.77670999,27.92101383,26.09928211,26.3327201,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,61544
2019-05-29,27.37174799,27.37174799,25.3211555,26.09012768,,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,2,0,,,0,,0,,,0,,0,3,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,207765
2019-05-30,26.53869479,26.69432011,25.83380362,26.3647606,,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,3,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,666050
2019-05-31,26.09012768,26.17251756,24.68949977,24.68949977,26.004991474,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,4,0,,,0,,27.23443153,,,28.5961531065,26.1450542688,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,853801
2019-06-03,24.29585925,24.71696307,22.30934777,22.71214273,24.907375226,,,,,,0,0,0,0,,,55.93411701023873,59.24892331909974,0,5,0,,,0,,27.23443153,,,28.5961531065,26.1450542688,0,0,0,0,0.2,0,0,0,50,0,0.7999999999999979,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.864510692622504,,,,,,,,,,0,,,,,,,,19259630
2019-06-04,22.29103891,25.57747956,22.29103891,25.40354537,25.072765273999998,,,,,,0,0,0,0,,,64.74861083558345,66.40601399001396,0,6,0,,,0,,27.23443153,,,28.5961531065,26.1450542688,0,1.5,0,0,0.2,0,0,0,50,0,0.7999999999999979,,,0,0,0,0,8,8,0,0,1,0,,0,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,20135135
2019-06-05,25.21130233,25.83380362,24.2226238,25.64156057,25.262363706,,,,,,0,0,0,0,,,78.66254969236994,52.35557167478162,0,7,0,,,0,,27.23443153,27.23443153,27.23443153,28.5961531065,26.1450542688,0,3,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,1,0,,1,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,10740207
2019-06-06,25.34861879,25.34861879,24.0120719,24.62541876,25.050048724,,,,,,0,0,0,0,,,54.28596329629821,45.330350517165456,0,8,0,,,0,,27.23443153,,,28.5961531065,26.1450542688,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,1,0,,2,,0,0,100,-1.135489307377496,-0.6354893073774961,,,,,,,,,,0,,,,,,,,13986084
2019-06-07,23.95714531,24.65288205,23.54061871,24.08530734,24.728468262666667,,,,,,0,0,0,0,,,42.097670098262356,41.81773993835737,0,9,0,,,0,,27.23443153,,,28.5961531065,26.1450542688,0,1,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,1,0,,3,,0,0,100,-1.135489307377496,-0.6354893073774961,,,,,,,,,,0,,,,,,,,10049260
