time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,20.39455295,20.45970475,20.19907801,20.3424263,20.173125568896165,20.156431603975328,19.69352140205643,19.6876811267936,19.79348858476852,18.83931307782822,0,0,0,0,19.634016938127527,19.27139905426698,98.39224077857698,21.01795787772012,5,12,19.8091588323518,19.698258482833523,19.88631809,19.476457783796963,20.4857746,20.53197747754945,20.47652730279031,20.58742765230859,20.80922835134515,19.684886749580002,0,2,1,2.773324736973837,0.022755512573758074,1.0035541035245605,0,5.693425744278461,85.68569323974884,0,2.0337049449865865,20.4857746,19.684886749580002,1,1,0,0,8,10,1,0,212,0,,1,,0.6793932371245357,0.9877008001463946,17,5.652348693216858,-2.7119924922866954,,,,,,0.39479903787030723,28.137990879832657,63.492063492063494,42.6687317846581,3,19.722605316421884,23.54554791783163,33.84409378286191,17.248270595407774,,,,5242602
2006-12-28,20.35546448,20.40759113,20.17953051,20.3619738,20.23607497926411,20.246649847848488,19.757183535193914,19.71412397672326,19.799145154074306,18.839216487675564,0,0,0,0,19.637027645975227,19.288071174249552,98.48162408368864,40.77048074432628,5,13,20.3619738,19.702107425299115,19.88631809,19.505562543578492,20.64621664137951,20.535531738751217,20.482006035224874,20.58905744227756,20.803160256382938,19.684886749580002,1,2,0,2.842691649290095,0.027546791579783812,0.9162851998589687,0,4.887294509723526,65.634160060776,0,0.33189993621430186,20.64621664137951,19.684886749580002,0,1,0,0,8,10,1,0,212,0,,2,,0.5584199984078051,0.9010374783083043,18,5.395076596445724,0.8197405138358005,,,,,,0.3809685328362159,25.241344101394763,53.17460317460318,49.0916577940444,3,16.930084804787146,24.121498944613126,32.55657734166899,16.91817196395869,,,,4733500
2006-12-29,20.32287881,20.45319544,20.04269153,20.14043552,20.204195159509407,20.300955911200862,19.793683724223065,19.730842076459602,19.802541078113368,18.84226311225787,0,0,0,0,19.63890312838476,19.29969234225653,97.68992422515922,60.77300386253386,5,14,20.08461497904998,20.03124732657909,20.13798263152087,19.817776716695526,20.633635036252528,20.70786912905116,20.654501476580272,20.76123678152205,20.974707391405616,19.684886749580002,0,0,2,1.7063186010005968,0.026309370782780762,0.4647386856005673,0,5.104556741446482,48.15388957667163,0,2.057501245729357,20.633635036252528,19.684886749580002,1,1,0,0,8,8,2,0,212,0,,0,,-0.0036406884205485474,0.4503563676264467,19,4.33891528249133,2.163986575936868,,,,,,0.3612075547482806,22.980272978384747,42.06349206349206,29.959048964963113,3,17.68270325260707,24.21134303831937,30.320638515800688,18.04561426192359,,,,4279898
2007-01-03,20.16649885,20.45319544,19.84722961,20.0948247,20.167738339672937,20.32678403049004,19.8223638171542,19.745115904833735,19.805449372858508,18.84793596572295,0,0,0,0,19.642992507359192,19.325184093738052,98.37295039194477,76.01912596316521,5,15,20.089018030299982,20.034051943809153,20.14398411679081,19.814187597845844,20.5659060517288,20.465325104039646,,,20.740155536493784,19.623972975340287,0,5.5,5.5,1.4610894289429945,0.1795276693669372,0.3309928856241897,0,5.088309345567256,51.04685539101824,0,1.7352082051844708,20.5659060517288,19.623972975340287,1,1,1,0,15,8,1,1,212,0,0,1,,0.08819420139723,0.3166339420458528,20,5.954385855228901,3.37861404829431,,,,,,0.8859699489176037,23.47402587758209,43.25396825396825,33.17522814520796,3,17.62642062230006,23.686939659314913,27.33612439189904,19.444393381544696,,,,10397301
2007-01-04,20.33591698,20.34894213,19.97753973,20.19907801,20.178184896448624,20.344849845300434,19.85824135932999,19.76291834033045,19.809366075715637,18.8567311619146,0,0,0,0,19.6474980323785,19.34997488462794,98.23564474921771,79.38756009300039,5,16,20.093195882649983,20.038839852337073,20.147551912962893,19.821415731085427,20.553055578766266,20.455005630722724,,,20.72678578228728,19.684886749580002,0,3.5,2.5,1.9673114868734385,0.18650322410103387,0.44224090210481065,0,4.781022920056916,51.83739285324162,0,1.6920282569165166,20.553055578766266,19.684886749580002,1,1,0,0,8,8,1,1,212,0,1,2,,0.5907496659107327,0.4303166530575937,21,5.0076570360142565,2.3412424766165807,,,,,,0.8238181767046978,24.330889888520684,48.80952380952381,46.90837151010075,3,16.561949219379784,23.199993664525056,25.668432209153064,18.258151236324967,,,,9468699
2007-01-05,20.20558732,20.3619738,19.99708723,20.30984714,20.22207231096575,20.36637404517316,19.901251433679516,19.784366528552788,19.814345986803044,18.869218844204593,0,0,0,0,19.65357257957616,19.380106202581647,98.62803236805519,74.12641683078834,5,17,20.30984714,20.04487779317728,20.152340538222685,19.567236249818375,20.5724296190388,20.498736017045907,,,20.767392879659422,19.684886749580002,1,3.5,0,2.500719193694172,0.19361470707958198,0.5519139175570527,6,4.696320347758045,65.7689560046452,0,0.35359362825204554,20.5724296190388,19.684886749580002,0,1,0,0,8,8,2,1,212,0,2,3,,0.7366029377393309,0.5423096970291904,22,5.904609931450377,1.3084376495183794,,,,,,0.9401754760872979,26.07080085312376,56.74603174603175,60.25295099093621,3,16.268530901872943,22.77882867075991,24.32861586119311,17.15109744886241,,,,10817199
2007-01-08,20.5313789,20.57054557,20.03618221,20.42713863,20.290427750643833,20.399066059358443,19.951335928567183,19.80957327762915,19.820443426038835,18.88586339224556,0,0,0,0,19.662767602948662,19.421512180126133,99.10793418608662,71.03642967122815,5,18,20.427104909999983,20.372440391228903,20.481769428771063,20.153782316144575,20.73989203,20.55541157602307,,,20.828734169878476,19.84722961,0,5,7,3.060956765296829,0.2008603393820397,0.6599591965482744,6,4.544064667472166,73.42024340829794,0,1.1443880858436708,20.628243667588155,19.84722961,1,1,1,0,1,8,1,1,212,0,3,4,,0.9208924931675243,0.6511074120578064,23,7.0664986523135935,1.2517488125907172,,,,,,1.244247203738896,30.96532834780501,73.01587301587301,96.71639782247753,3,15.741101753880733,22.87538436468786,25.611907150120782,15.654155238824615,,,,14188500
2007-01-09,20.41410045,20.50532209,20.03618221,20.20558732,20.262147607095887,20.403435785856715,19.97555034679888,19.825103240075062,19.824275703590686,18.90483494428412,1,0,0,0,19.66908373676171,19.451064956397808,93.08267819276149,72.49986572340532,3,0,20.110409637849983,20.055460978633977,20.16535829706599,19.83566634176996,20.638990378224825,20.652443931794846,20.59749527257884,20.70739259101085,20.927187227874867,19.84722961,0,3.5,2.5,1.9234579972081791,0.1996172899860409,0.23317278958492133,6,4.720084134954838,42.073659380202045,0,1.923907690984706,20.638990378224825,19.84722961,1,1,0,0,15,8,2,1,212,0,0,5,,-0.09809571815754249,0.22875931304183292,24,2.64139392692236,1.2920827136518822,,,,,,1.208877935776883,35.779343557411856,85.31746031746032,118.82251506198509,3,16.350851075483146,22.96504322333524,23.659505578100394,14.46083538498514,,,,14052699
2007-01-10,20.19907801,20.44016377,19.96450807,20.40759113,20.31062878139726,20.40581735316104,20.01669708805613,19.84794590242506,19.830079837186798,18.92704148686914,0,0,0,0,19.675313150669787,19.476716143472835,96.00898830832399,51.25491546271969,2,0,20.40759113,20.326915947420837,20.43745730917913,19.523260235933652,20.68128352040847,20.718764612806353,,,21.050388698081235,19.84722961,1,3.5,0,2.9122993833348647,0.20900594136111877,0.506062950615547,6,4.760606992942411,76.17683767428126,0,0.3094909295207053,20.68128352040847,19.84722961,0,1,1,0,5,8,2,1,196,0,1,6,,-0.1126820509496553,0.49910247559075327,25,5.602362047373164,-0.6890978293069734,,,,,,0.8667498169263891,39.90374284904814,85.31746031746032,141.96952940797237,3,16.491226373287894,22.765870217197488,21.841540515004112,14.507526896420405,,,,10273898
2007-01-11,20.35546448,20.57048692,20.15998302,20.5313789,20.38421215426484,20.421643178568832,20.065714403479355,19.874747196447608,19.83705793731429,18.95256577196359,0,0,0,0,19.682635622644227,19.504871543742766,97.43400060542916,40.45731923171366,2,1,20.5313789,20.069207764405057,20.1791837413949,19.720079112040622,20.57054557,20.755674384490096,20.700686395995174,20.810662372985018,21.030614326964706,19.684886749580002,1,7.5,0,3.5001206574068786,0.2163894921759233,0.6284302604724146,6,4.738738750480696,75.68386069057728,0,0.04827644550298006,20.57054557,19.684886749580002,0,1,0,0,8,10,2,1,196,0,2,7,,0.07497306400582478,0.6205307356029638,26,5.50906794707305,-0.7114060900409138,,,,,,0.8815292222527644,42.674522765746495,86.11111111111111,159.9652407915848,3,16.41547255925604,22.915677243490265,22.50179468204405,13.540530588073796,,,,10508102
