time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2012-03-30,7.5,8.24,7.06,7.34,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,7.5,,,7.875,7.199999999999999,0,0,0,0,0.2,0,0,0,50,0,0.8000000000000019,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,5049113
2012-04-02,7.65,8.2,7.4,7.81,,,,,,,0,0,0,0,,,,,0,1,7.5,,,7.125,7.800000000000001,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,495411
2012-04-03,7.75,7.8,7.5,7.64,,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,2,7.5,,,7.125,7.800000000000001,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0.8000000000000019,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,316629
2012-04-04,7.77,7.77,7.31,7.45,,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,3,0,,,0,,7.5,,,7.875,7.199999999999999,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,165098
2012-04-05,7.48,7.55,7.37,7.43,7.534000000000001,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,4,0,,,0,,7.5,,,7.875,7.199999999999999,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,104300
2012-04-09,7.89,7.89,6.62,6.98,7.349333333333334,,,,,,0,0,0,0,,,83.06979660504228,38.305129359549284,0,5,0,,,0,,7.5,,,7.875,7.199999999999999,0,3,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2,0,,0,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,123211
2012-04-10,7.09,7.23,6.97,7.07,7.256222222222223,,,,,,0,0,0,0,,,78.31645063298524,42.88344431441926,0,6,0,,,0,,7.5,,,7.875,7.199999999999999,0,2,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2,0,,1,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,247217
2012-04-11,7.25,7.53,7,7.13,7.214148148148149,,,,,,0,0,0,0,,,85.44646959107082,40.59428683698427,0,7,0,,,0,,7.5,,,7.875,7.199999999999999,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2,0,,2,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,161810
2012-04-12,7.56,7.56,7.08,7.3,7.242765432098766,,,,,,0,0,0,0,,,75.55553416309368,39.449708098266775,0,8,6.62,,,6.289,7.89,7.5,,,7.875,6.62,0,2,1,0,0.2,0,0,0,50,0,3.83685800604229,7.89,6.62,1,1,0,0,8,10,0,0,2,0,,3,,0,0,100,0.8645106926225039,-0.6354893073774961,,,,,,,,,,0,,,,,,,,41686
2012-04-13,7.69,7.69,7.0001,7.1,7.195176954732511,,,,,,0,0,0,0,,,70.6100664491051,38.877418728908026,0,9,6.62,6.62,6.62,6.289,7.89,7.5,,,7.875,6.62,0,0,1.5,0,0.2,0,0,0,50,0,3.83685800604229,7.89,6.62,1,1,0,0,8,10,0,0,2,0,,4,,0,0,100,0.8645106926225039,-0.6354893073774961,,,,,,,,,,0,,,,,,,,92175
2012-04-16,7.15,7.16,6.73,7.16,7.183451303155008,,,,,,0,0,0,0,,,72.08658555501664,38.591274044228655,0,10,6.62,,,6.289,7.89,7.5,,,7.875,6.62,0,1.5,0,0,0.2,0,0,0,50,0,3.83685800604229,7.89,6.62,1,1,0,0,8,10,0,0,2,0,,5,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,70145
2012-04-17,7.15,7.15,6.8,7,7.122300868770005,,,,,,0,0,0,0,,,50.997981227621565,38.44820170188897,0,11,6.62,6.62,6.62,6.289,7.89,7.5,,,7.875,6.62,0,1,2,0,0.2,0,0,0,50,0,3.83685800604229,7.89,6.62,1,1,0,0,8,10,0,0,2,0,,6,,0,0,100,-1.135489307377496,-0.6354893073774961,,,,,,,,,,0,,,,,,,,108533
2012-04-18,6.96,7.3,6.82,7.29,7.178200579180004,,,,,,0,0,0,0,,,71.78723488838898,38.37666553071912,0,12,0,,,0,,7.5,,,7.875,7.199999999999999,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2,0,,7,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,54240
2012-04-19,7.21,7.29,7,7.04,7.132133719453336,,,,,,0,0,0,0,,,82.1818617187727,38.3408974451342,0,13,6.73,6.6188585714285715,6.73,6.452146428571429,7.69,7.5,7.5,7.638926785714285,7.875,6.73,0,0,2,0,0.2,0,0,0,50,0,3.455057262946824,7.69,6.73,1,1,0,0,8,10,0,0,2,0,,8,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,23093
2012-04-20,7.05,7.189,7.02,7.02,7.094755812968891,,,,,,0,0,0,0,,,87.37917513396455,47.56661082524042,0,14,6.73,6.624382959183674,6.73,6.465957397959184,7.69,7.5,7.5,7.6320213010204085,7.875,6.73,0,0,5,0,0.2,0,0,0,50,0,3.6357769260719577,7.69,6.73,1,1,0,0,8,10,0,0,2,0,,9,,0,0,100,3.364510692622504,0.3645106926225039,,,,,,,,,,0,,,9.011803985876575,17.877350825097132,,,,32403
2012-04-23,7,7.197,6.85,6.98,7.056503875312594,,,,,,0,0,0,0,,,89.97783184156049,42.93587009239485,0,15,6.73,6.626969890670554,6.73,6.472424726676385,7.69,7.5,,,7.875,6.73,0,1,2,0,0.2,0,0,0,50,0,3.7270658305537894,7.69,6.73,1,1,0,0,8,10,0,0,2,0,,10,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,8.540316648663428,19.505200115881216,,,,15577
2012-04-24,7.09,7.12,6.84,6.91,7.007669250208396,,,,,,0,0,0,0,,,91.27716019535845,40.62049972597207,0,16,6.73,6.630329184194086,6.73,6.480822960485215,7.69,7.5,,,7.8737655592721785,6.73,0,3,3.5,0,0.2,0,0,0,50,0,3.8526824215801616,7.69,6.73,1,1,0,0,8,10,0,0,2,0,,11,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,8.16892147335995,18.812283667997082,,,,86002
2012-04-25,6.94,6.9608,6.84,6.88,6.965112833472264,,,,,,0,0,0,0,,,91.92682437225743,39.462814542760675,0,17,6.73,6.635722813894509,6.73,6.494307034736271,7.69,7.5,,,7.853539447895594,6.73,0,5,3.5,0,0.2,0,0,0,50,0,4.073095685846219,7.69,6.73,1,1,0,0,8,10,0,0,2,0,,12,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,8.00713835455239,18.439711850086184,,,,21363
2012-04-26,6.8999,6.9,6.8,6.86,6.9300752223148425,,,,,,0,0,0,0,,,92.25165646070693,38.883971951154976,0,18,6.73,6.641028327187758,6.73,6.507570817969395,7.69,7.5,,,7.8336437730459085,6.73,0,5,3.5,0,0.2,0,0,0,50,0,4.315980444813696,7.69,6.73,1,1,0,0,8,10,0,0,2,0,,13,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,7.868219027125407,18.813770670640363,,,,14997
2012-04-27,6.84,6.85,6.75,6.75,6.870050148209895,,7.156999999999999,,,,0,0,0,0,,,76.22601079820521,38.59455065535213,0,19,6.73,6.6458120181029186,6.73,6.519530045257295,7.688906006734307,7.5,,,7.763087443428382,6.73,0,0,2,0,0,0,6,12.111725913765893,50,0,4.55602324762481,7.688906006734307,6.73,1,1,0,0,8,10,0,0,2,0,,14,,0,0,0,0.5517609062521531,-0.6354893073774961,,,,,,0.06652858863740167,,,,0,41.95624929998222,,7.709764797243211,19.350276255614002,,,,24107
2012-04-30,7.2,7.45,7.09,7.28,7.006700098806597,,7.168714285714285,,,,0,0,0,0,,,97.69747196601658,38.305129359549284,0,20,7.28,,,6.509563613453203,7.682408932551234,7.5,7.5,7.610218193273399,7.830654579820196,6.73,1,2,6,0,0,0,6,14.503026964790463,50,0,0.5223129898561599,7.682408932551234,6.73,0,1,0,0,8,10,0,0,2,0,,15,,0,0,1,4.997157358280962,-0.6354893073774961,,,,,,2.113891861321442,,,,0,50.23995913311704,,17.16974648600393,17.003575617002994,,,,259773
2012-05-01,7.5,8.1,7.1778,7.92,7.311133399204398,,7.240265306122448,,,,0,0,0,0,,,99.09942637149867,65.66459873511653,0,21,7.92,7.440593338837351,7.559406661162649,6.969493421397607,,0,8.144890903363299,8.2551090966367,8.296384642119882,,1,3.5,0,0,0,0,6,15.632347395948297,50,0,0,,,0,0,0,0,8,8,0,0,2,0,,16,,0,0,2,6.267796008834534,0.8645106926225039,,,,,,3.117698955544955,,,,0,54.15203986269896,,24.996332787791786,14.507416025160499,,,,362394
2012-05-02,8,8,7.75,8,7.540755599469599,7.178986147186149,7.3126209912536435,,,,0,0,0,0,,,93.90361423310927,40.98329813575506,0,22,8,7.592604528920397,7.707395471079604,7.2908362313631745,,0,8.144890903363299,8.2551090966367,8.296384642119882,,1,0,0,0,0,0,6,15.470460744722947,50,0,0,,,0,0,0,0,8,10,0,0,2,0,,17,,0,0,3,3.864510692622504,-1.135489307377496,,,,,,0.6329116976066053,,,,0,53.59124805271998,,23.96906706720181,13.911209721479674,,,,65625
2012-05-03,8.09,9.57,7.9545,8.82,7.9671703996464,7.493874891774892,7.456180896848535,,,,0,0,0,1,,,98.70631280124763,29.909376900226494,0,23,8.82,,,7.54436869779181,,9.57,,,9.840879606867098,6.75,1,2,13,0,0,0,0,17.855214091571337,50,0,0,,6.75,0,1,0,0,8,10,0,0,2,0,,18,,0,0,4,5.7795366254049565,-1.135489307377496,,,,,,2.5496440948452608,,,,0,61.85227597324266,,40.25137000748508,10.817469660751287,,,,278870
