time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,22.11460589,22.32719253,22.11460589,22.27109111,22.208177303312493,22.054992283081383,22.392512529599827,22.049505079143657,20.91862869594709,22.85003369539987,0,0,0,0,22.439027012574414,20.691508786186777,67.99475390246073,93.9274203561994,4,7,22.069481583764993,,,21.84231616165756,22.57520979,22.439027012574414,22.393593928152928,22.4844600969959,22.666192434681847,21.84504956828757,0,5.5,6.5,6.46534930042975,0.18232674650214875,-0.45012378181275997,4,5.767041899716472,28.908762320257555,0,2.6147352831098307,22.57520979,21.84504956828757,1,1,0,0,8,8,2,0,2283,0,,0,,-0.7121431389174161,-0.4414686992252443,0,2.108786674285901,2.927570615793729,,,,,,0.4924305980287621,26.220943644462935,63.095238095238095,31.251594272975154,3,19.97761915937493,22.278996382840603,19.889021327115056,22.71613209351513,,,,909800
2006-12-28,22.11460589,22.41871867,22.11460589,22.38033845,22.26556435220833,22.03454819736796,22.391353093447464,22.0624789368243,20.933173071609307,22.87397235207168,0,0,0,0,22.43708833220636,20.697593958453997,73.57330155631365,90.70523297545297,4,8,22.097589423548303,,,21.87070978286305,22.57520979,22.43708833220636,22.43708833220636,22.548990024456362,22.728602651593313,21.94668833536,0,8.5,0,6.913263332988999,0.184566316664945,-0.255551894053231,4,5.703753006195214,42.2642014587648,0,1.6822501133997827,22.57520979,21.94668833536,1,1,0,0,8,8,2,0,2283,0,,0,,-0.5911645422228079,-0.24845568950174038,0,2.218803861653978,2.4124812429868743,,,,,,0.46907446474505504,26.117511597789882,62.301587301587304,32.18447866842184,3,19.75838000110766,20.83037193811312,20.506244165073838,21.342488199047683,,,,851600
2006-12-29,22.34786039,22.35081294,22.15889711,22.18547007,22.238866258138888,22.034745054892205,22.37174518645247,22.067302118517464,20.94563373825996,22.89497018467684,0,0,0,0,22.429383029107182,20.70270326541832,54.842680168256294,94.00838594344528,4,9,22.08952681287732,,,21.871162096557644,22.57520979,22.429383029107182,22.385710085843247,22.473055972371117,22.64774774542686,21.94336382,0,0,7,5.919306845680758,0.1929769058761115,-0.5569796299237171,4,5.541351238158221,11.512093066888802,0,2.2257222563176016,22.57520979,21.94336382,1,1,0,0,8,8,2,0,2283,0,,0,,-1.1070429731816616,-0.548196092722002,0,-0.3206717099688028,4.605264839146837,,,,,,0.45554467906586493,25.246690827492696,60.714285714285715,31.521925961192572,3,19.195803774149486,19.485220668009035,19.577888609201604,20.376274330909432,,,,814400
2007-01-03,22.11165629,22.41576907,22.11165629,22.20023283,22.22598844875926,22.053191356749352,22.35541067631414,22.07251508759521,20.9581173113121,22.91350195040918,0,0,0,0,22.408691144410387,20.71918855295155,74.2394324115327,93.58206863722671,1,0,22.125810171757745,,,21.909466471782334,22.57520979,22.408691144410387,22.365422404415305,22.45195988440547,22.625034844385798,21.94336382,0,3.5,8,5.926656007491047,0.17963328003745524,-0.4987148031244569,0,5.54101638410053,35.212148607628166,0,2.1508706953947634,22.57520979,21.94336382,1,1,0,0,8,15,2,0,3307,0,,0,,-0.022964030364664167,-0.49197971286727793,0,3.5850517365888876,3.481152198116994,,,,,,1.4760597402161697,24.093207180206193,56.34920634920635,25.52047031522638,3,19.194643805667404,18.202456499954202,19.689674786496195,19.097578706457018,,,,2639800
2007-01-04,22.19727732,22.33309763,22.00241189,22.22089773,22.224291542506172,22.07723514543983,22.342599919522318,22.07833401474834,20.97068229060253,22.930049564757326,0,0,0,0,22.399861182128202,20.7281673300051,83.55038072083019,53.34065701095336,1,1,22.10391372246865,22.06078305550893,22.14704438942837,21.88826038767005,22.57520979,22.57520979,,,22.790863124798598,21.94336382,0,5,2.5,5.9617299145184415,0.029808649572592206,-0.43743540737977826,0,5.267565194624027,73.92302934179759,0,2.1854337099470147,22.57520979,21.94336382,1,1,0,0,8,15,2,0,3307,0,,1,,-0.07145950523733109,-0.432774400091933,0,3.420774232438579,-2.5229494555056315,,,,,,0.81172339276067,20.2313345213847,38.095238095238095,10.872537884369999,2,18.24738109854051,17.22040164227897,18.341799179627987,20.05172724800059,,,,1442400
2007-01-05,22.07032057,22.19432773,21.93155067,22.03193741,22.16017349833745,22.080234652059307,22.313013013853524,22.076514540052326,20.981242043034346,22.943931556792684,0,0,0,0,22.385170669100038,20.735025978653315,66.29772715311769,69.39948590264702,4,0,21.959259527692307,,,21.746092723057895,22.50854884,22.15702493156211,22.114391570635227,22.19965829248899,22.37019173619652,21.94336382,0,6,1.5,5.007784404805912,0.025038922024029565,-0.7120236818948631,4,5.30771707367552,24.29088087496365,0,1.002318873844109,22.50854884,21.94336382,1,1,0,0,8,8,1,0,3307,0,,2,,-0.5060611577707053,-0.7044233417971467,0,0.3890643976345691,2.1813457920626016,,,,,,0.7397099835916346,16.27937526932354,25,-11.460034855679712,1,18.386471287613602,16.578208638294928,17.230340262338323,20.320676100694275,,,,1275800
2007-01-08,21.99650679,22.12051394,21.81640117,22.0201272,22.113491398891632,22.070030614155414,22.285119126819854,22.07430327181498,20.9915792087753,22.955171453919707,0,0,0,0,22.36337423932363,20.74568840338418,69.18829997503546,69.41940403009507,4,1,21.959259527692307,,,21.747742460442495,22.50854884,22.158942999577498,22.116639586127537,22.20124641302746,22.37046006682731,21.94336382,0,5.5,1.5,4.8998123533017885,0.024499061766508942,-0.6807077571875187,4,5.264447854186773,40.226802991949874,0,1.019204655116035,22.50854884,21.94336382,1,0,0,0,8,8,1,0,3307,0,,3,,-0.7141610624616863,-0.6720849587678576,0,1.70450310036607,0.9143188853164437,,,,,,1.1573255455800318,11.934804203228436,5.9523809523809526,-34.55569690960652,0,18.236582314496886,16.40590887160782,16.124391323240598,21.44671933127858,,,,2029000
2007-01-09,21.81935077,22.00241189,21.6717232,21.91383536,22.046939385927754,22.042489194167963,22.249758768075107,22.068010412528118,21.000755886896936,22.96323743463058,0,0,0,0,22.32694255488369,20.759830120181594,61.29199150230912,93.63896463708278,4,2,21.68338822839724,,,21.404249087354522,22.27299397686,21.94336382,21.90097132893932,21.985756311060676,22.155326275303395,21.65995214439609,0,8,3,4.347840992108119,0.021739204960540597,-0.8021654344599992,4,5.258908089049425,21.780541438978382,0,1.3370843208918357,22.27299397686,21.65995214439609,1,1,0,1,8,19,1,0,3307,0,,4,,-0.5560671361034863,-0.7914040026356017,0,1.0528035646950844,3.4056739049371796,,,,,,1.6208468773493572,10.514680803238875,3.1746031746031744,-42.28218396862818,0,18.21739200513711,16.73935245042003,14.941187669627155,22.920125946600876,,,,2996800
2007-01-10,21.89612005,21.96402873,21.61858023,21.92269301,22.005523927285168,22.008350387583985,22.21860964825843,22.062311690860348,21.009929390609404,22.96847703743114,0,0,0,0,22.28941742294878,20.777337270602814,89.02842940311056,77.22566902922685,4,3,21.69675690055052,21.654308082958458,21.73920571814258,21.48451281259022,22.27299397686,22.062311690860348,,,22.274555778820645,21.681971407636905,0,8.5,0,4.344439252606743,0.02172219626303372,-0.7277550614529078,4,5.241131214413338,47.76306675221883,0,2.714973509261068,22.27299397686,21.681971407636905,1,1,0,0,8,8,1,0,3307,0,,5,,-0.2325520679688652,-0.7182449191350362,0,3.2315310855691646,1.4481304467013243,,,,,,1.9110583600595974,8.528978772737052,1.1904761904761905,-53.02342195888403,0,18.155811104998143,17.222922171127035,13.855550230766317,22.372528216863866,,,,3783800
2007-01-11,21.31151195,22.03488996,21.23179602,21.93155067,21.98086617485678,21.973370982394805,22.191270697948102,22.057183807689352,21.019099751598365,22.97125949204218,0,0,0,0,22.2480219651351,20.801314653143553,90.69060088832501,77.32703562296389,4,4,21.93155067,21.57189157443989,21.73963483,21.186154817203686,22.50854884,22.168378330435072,,,22.40131453443392,21.661519844269158,1,8.5,0,4.341056130780528,0.17170528065390264,-0.6599143432182772,4,5.010355794686438,49.58904326698876,0,0.7740828820490762,22.50854884,21.661519844269158,0,1,0,0,8,8,1,0,3307,0,,0,,-0.2953136054677093,-0.6564838076327862,0,3.475238901624911,1.4558272342549905,,,,,,2.5742813275524097,13.114307102299062,11.904761904761905,-24.441007325492407,0,17.356381600788097,18.73594721111114,11.722971301836802,26.34188204387702,,,,5331800
2007-01-12,21.93745577,22.00241189,21.80459391,22.00241189,21.98804807990452,21.945851979962338,22.17328414481019,22.055035889348595,21.028883951980472,22.972181788765013,0,0,0,0,22.234185103580383,20.81405570569545,80.42845277400954,88.13469261794148,4,5,21.93155067,,,21.706421606465355,22.50854884,22.043165837461125,21.998140024754196,22.088191650168053,22.26829490099577,21.661998388882886,0,5,0,4.629479815679157,0.17314739907839577,-0.5017305791476976,4,5.034081555001506,19.496681707181672,0,1.693106356832428,22.50854884,21.661998388882886,1,1,0,1,8,19,1,0,3307,0,,1,,-0.4855396638912076,-0.5054665149910167,0,2.0469037994326813,4.953848756161706,,,,,,1.3271984527754064,15.338899076146658,22.22222222222222,-12.040384984554278,1,17.438570045415894,20.140899033953524,11.263113158587297,25.30856645736724,,,,2751800
2007-01-16,22.09099138,22.19137517,21.96993383,22.18841967,22.054838609936347,21.94724411882511,22.174725623399695,22.06026662584473,21.04042162081649,22.97237634288612,0,0,0,0,22.23271335087274,20.822600898574198,64.11480841045679,87.81465017780695,4,6,22.008712945195892,,,21.789778754949438,22.664658389367084,22.255496665332107,22.211709827282817,22.299283503381396,22.47443085557856,21.75038607376,0,3.5,0,5.456155156357371,0.17728077578178686,-0.1768480929994016,6,5.1308456580079,38.04582381956551,0,2.307134353951306,22.664658389367084,21.75038607376,1,1,0,0,8,8,2,0,3307,0,,2,,-0.39628973359571573,-0.18895555104247327,1,0.32265306234100777,2.4138896444440174,,,,,,0.7758719596145021,17.057725373963052,27.77777777777778,-4.028663179044348,1,17.773770730927698,20.463057766253883,14.607686604038175,24.165781172476372,,,,1623000
2007-01-17,22.29176192,22.93541514,22.23271089,22.68445123,22.264709483290897,22.024228051003462,22.22327091926639,22.08474445345866,21.056780124390453,22.974812089272007,0,0,0,1,22.262650577897674,20.84780393892223,97.85675057314236,39.91223346226948,1,0,22.68445123,22.24283723678638,22.33749485512792,21.927190283267677,,22.79074308,,,23.027387125853853,22.26805275238,1,4.5,13.5,7.729914526315379,0.1886495726315769,0.5998245842405587,6,5.509264186671479,73.6443603573648,1,0,,22.26805275238,0,1,0,0,8,10,2,0,3307,0,,3,,0.4338326293273855,0.586159421182827,2,5.094908772397313,-0.5454978520929791,,,,,,1.632433565604962,18.23687953504931,30.555555555555557,-4.442163672125293,1,19.084650967269255,19.880224525802088,26.58546398590749,20.760325696442905,,,,3582000
2007-01-18,22.51615286,22.75826501,22.46596244,22.53977622,22.356398395527265,22.132239800773156,22.25341428124102,22.10258883646028,21.07153630444627,22.978385790630284,0,0,0,0,22.27310230323068,20.861241513266506,86.15040610498002,65.45538502122471,1,1,22.034382976172335,21.98782495185305,22.08094100049162,21.8015928545759,22.606947434183258,22.79074308,22.744185055680713,22.837301104319284,23.023533201596432,22.141298788260002,0,5,8.5,6.967882618240419,0.1848394130912021,0.2886143069274206,6,3.6683783921783673,51.253426404612945,0,2.459573688455406,22.606947434183258,22.141298788260002,1,1,0,0,8,8,2,0,3307,0,,4,,0.23718304311242183,0.2781586794669606,3,3.136962391281603,0.947101890556679,,,,,,1.0302199138241273,19.070805517846864,32.53968253968254,50.07359550023928,3,12.70763551328152,19.339022231096862,25.0951962038263,19.596590335370358,,,,2118400
2007-01-19,22.70511614,23.09780841,22.66083082,22.92655748,22.546451423684843,22.29328259079394,22.317523157313303,22.13490133228537,21.08999422659108,22.985385100812717,0,0,0,1,22.304958569562388,20.883292382108674,85.63534806963443,69.62802601207991,1,2,22.79074308,22.74252819857852,22.838957961421478,22.549668672892597,23.34327977,23.34327977,,,23.5843541771074,22.44328684456,0,1.5,12,8.708220749976823,0.19354110374988412,0.843899812555155,6,4.000850961134566,42.26143691921816,0,2.291975729111049,23.34327977,22.44328684456,1,1,0,0,8,8,2,0,3307,0,,5,,0.6747732669379143,0.8306384732583107,4,2.3254225270425772,1.3808450896400555,,,,,,1.3922826160557957,19.289050786390003,32.53968253968254,39.177124718193944,3,13.859354276391686,19.68604175025911,28.78967142816821,17.571517537198005,,,,2878600
2007-01-22,22.79665113,22.79665113,21.31151195,21.78982821,22.294243685789894,22.35365722255195,22.267266495664416,22.12136905298006,21.096957748814056,22.988479556844563,0,0,0,0,22.24205609920715,20.910091662166348,60.24369394617441,94.2633747898004,4,0,21.580792739947082,,,21.23964273152021,22.27299397686,21.78982821,22.00802556437071,22.1264075857606,22.73688438111914,21.6381072262938,2,6.5,9,3.284219788632287,0.16642109894316143,-1.0570928102597654,6,6.545725761436889,12.35766267492177,0,0.16020272960885631,22.27299397686,21.6381072262938,1,0,0,0,8,8,1,0,3819,0,,0,,-0.47930482591173196,-1.0550680789543916,0,0.9941725742904097,5.811638277658077,,,,,,3.4463354736476646,19.420332066833996,33.73015873015873,-14.353775614965206,1,22.675059182442332,19.80955450209229,21.775963119929123,33.644343958332,,,,8213204
2007-01-23,21.89316455,22.47482009,21.81935077,22.46006029,22.349515887193263,22.40327256159091,22.285627809410663,22.134651062274962,21.11052095817909,22.992003435908458,0,0,0,0,22.253990017305988,20.931522127047767,90.48487248136598,57.05604817123192,1,0,22.46006029,22.320676539511847,22.442834700088174,21.482795005389374,22.754866749617662,22.762623794024655,,,23.068019195465475,21.94668833536,1,3.5,0,6.392733436064462,0.1819636671803223,0.083549830622363,6,7.2243849094557975,54.995670494437526,0,0.301664721197091,22.754866749617662,21.94668833536,0,1,0,0,8,8,2,0,3819,0,,1,,0.35172016150924873,0.07730954659239417,1,3.003066372427085,0.3788510217782732,,,,,,1.5493354269037212,19.352341327464444,32.93650793650794,-22.6710673995444,0,25.026003433222645,19.924244914508808,19.59548223380967,30.275452831765367,,,,3895200
