time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2019-03-13,35.33730032,36.15277649,35.06547494,36.01686379,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,20477364
2019-03-14,36.01686379,37.51190342,36.01686379,36.83233995,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,6248563
2019-03-15,37.49378173,37.93776319,37.36692988,37.78372881,,,,,,,0,0,0,0,,,86.97207926649946,38.305129359549284,0,2,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,7107258
2019-03-18,38.01024996,38.01024996,37.1947738,37.78372881,,,,,,,0,0,0,0,,,89.77428390782794,38.305129359549284,0,3,0,,,0,,0,,,0,,0,1.5,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,4020942
2019-03-19,37.64781611,37.78372881,36.09841141,36.55145372,36.993623016,,,,,,0,0,0,0,,,81.66869428437806,38.305129359549284,0,4,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,10118472
2019-03-20,36.68736641,36.97731349,34.64867601,34.99298817,36.326744734,,,,,,0,0,0,0,,,77.61589947265313,42.88344431441926,0,5,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,15683238
2019-03-21,35.33730032,36.30681087,35.11077917,36.26150664,36.304998702666666,,,,,,0,0,0,0,,,75.58950206679066,40.59428683698427,0,6,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,12751732
2019-03-22,36.17995902,36.2343241,34.15032947,35.08359663,35.89786467844444,,,,,,0,0,0,0,,,74.57630336385941,39.449708098266775,0,7,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,10897994
2019-03-25,35.23763102,35.30105694,33.87850408,33.92380831,35.23984588896296,,,,,,0,0,0,0,,,52.24284013204295,38.877418728908026,0,8,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,-1.135489307377496,-0.6354893073774961,,,,,,,,,,0,,,,,,,,9338926
2019-03-26,34.11408608,34.68491939,33.98723423,34.01441677,34.831369515975304,,,,,,0,0,0,0,,,41.076108516134724,47.83487146712733,0,9,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,-1.135489307377496,0.3645106926225039,,,,,,,,,,0,,,,,,,,6287100
2019-03-27,33.99629508,34.34966808,33.30767077,33.45264431,34.371794447316866,,,,,,0,0,0,0,,,35.49274270818061,43.070000413338306,0,10,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,-1.135489307377496,-0.6354893073774961,,,,,,,,,,0,,,,,,,,5578118
2019-03-28,33.38921838,33.66104377,32.92711523,32.9814803,33.90835639821125,,,,,,0,0,0,0,,,32.70105980420355,45.26587984131377,0,11,0,,,0,,0,,,0,,0,0,2,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,-1.135489307377496,-0.1354893073774961,,,,,,,,,,0,,,,,,,,5326238
2019-03-29,33.117393,33.44358346,32.75495915,33.26236654,33.69302644547417,,,,,,0,0,0,0,,,53.132082232565864,41.78550460043152,0,12,0,,,0,,35.33730032,,,37.104165336,33.92380830719999,0,0,2,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,5895347
2019-04-01,33.44358346,33.66104377,33.26236654,33.38921838,33.591757090316115,,,,,,0,0,0,0,,,59.398340483841196,40.0453169799904,0,13,0,,,-0.2414877318100001,,35.33730032,35.18561204625,35.488988593749994,36.095741688749996,33.8204175825,0,0,2,0,0.2,0,0,0,50,0,0,,,0,1,0,0,8,10,0,0,0,0,,,,0,0,100,0.8645106926225039,-0.6354893073774961,,,,,,,,,,0,,,,,,,,5311201
2019-04-02,33.48888769,33.68822631,32.52843799,32.87275015,33.352088110210744,,,,,,0,0,0,0,,,62.53146960947886,39.17522316976984,0,14,0,,,-0.24072417065785717,,35.33730032,,,36.09334356955357,33.825213820892856,0,1,3.5,0,0.2,0,0,0,50,0,0,,,0,1,0,0,8,10,0,0,0,0,,,,0,0,100,0.8645106926225039,-0.6354893073774961,,,,,,,,,,0,,,11.736590521475703,34.67870424890819,,,,6704831
2019-04-03,32.95429776,33.12645384,32.52843799,32.69153322,33.13190314680716,,,,,,0,0,0,0,,,68.04728713520352,43.318491219529534,0,15,0,,,-0.2320299551930103,,35.33730032,,,36.066037616460456,33.87982572707908,0,2,3.5,0,0.2,0,0,0,50,0,0,,,0,1,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,11.309687807853653,33.41731296822355,,,,8393708
2019-04-04,32.80026338,33.34391415,32.6281073,33.30767077,33.19049235453811,,,,,,0,0,0,0,,,80.31188784217997,40.81181028953941,0,16,0,,,-0.225631070047081,,35.33730032,35.195572260925196,35.4790283790748,36.04594061537399,33.920019729252004,0,0,0,0,0.2,0,0,0,50,0,0,,,0,1,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,12.163784283785816,31.920641722382765,,,,4908406
2019-04-05,33.33485331,34.29530301,33.24424484,34.14126862,33.507417776358736,,,,,,0,0,0,0,,,87.54426621579688,39.558469824544346,0,17,0,,,-0.22445460617443236,,35.33730032,35.19631124576983,35.47828939423017,36.04224569115085,33.927409577698285,0,0,0,0,0.2,0,0,0,50,0,0,,,0,1,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,17.34594885477694,29.80946469325429,,,,7344894
2019-04-08,34.06878185,34.14126862,33.7652435,33.95099085,33.65527546757249,,,,,,0,0,0,0,,,83.86849174722354,38.931799592046815,0,18,32.52843799,32.31359672085803,32.52843799,31.99133481714508,38.01024996,35.33730032,35.203024526786265,35.47157611321373,36.00867928606865,32.52843799,0,0,2,0,0.2,0,0,0,50,0,10.206255049401333,38.01024996,32.52843799,1,1,0,0,8,10,0,0,0,0,,,,0,0,100,1.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,16.914928292900193,29.068744636432893,,,,3393260
2019-04-09,33.90568662,34.11408608,33.67916546,33.80601731,33.70552274838166,,34.6550186025,,,,0,0,0,0,,,74.15176464151006,38.61846447579805,0,19,32.52843799,32.322729374082456,32.52843799,32.01416645020615,37.87088181334606,35.33730032,35.20873243505153,35.465868204948464,35.98013974474232,32.52843799,0,0,2,0,0,0,0,9.877814278027989,50,0,10.388371531287907,37.87088181334606,32.52843799,1,1,0,0,8,10,0,0,0,0,,,,0,0,0,0.7923954580087796,-0.6354893073774961,,,,,,0.7090298329639173,,,,0,34.217752394547524,,16.407108299741036,28.790228197191144,,,,5725894
2019-04-10,33.824139,34.00535593,32.94523692,33.05396707,33.48833752225444,,34.50253750416667,,,,0,0,0,0,,,67.13454014718617,38.46179691767367,0,20,0,,,-0.20512890213452914,,35.33730032,35.208450507101425,35.46615013289857,35.981549384492865,31.282631629169163,0,0,3.5,0,0,0,0,10.056012597467303,50,0,0,,31.282631629169163,0,1,0,0,8,10,0,0,0,0,,,,0,0,0,0.5471408808399527,-0.6354893073774961,,,,,,0.6620339465225819,,,,0,34.83504948073209,,15.20855617093027,31.74444139867552,,,,4828362
2019-04-11,33.13551469,33.67010462,32.60998561,33.60667869,33.52778457816963,,34.41721761710318,,,,0,0,0,0,,,63.83139593275679,42.96177809348145,0,21,0,,,-0.20554567219563413,,35.33730032,35.20818871686203,35.46641192313796,35.982858335689805,31.28418578164981,0,0,0,0,0,0,0,9.90992453360287,50,0,0,,31.28418578164981,0,1,0,0,8,10,0,0,0,0,,,,0,0,0,0.5700333919474186,-0.1354893073774961,,,,,,0.6635994498147196,,,,0,34.32898558274696,,14.099358569697621,31.735652316990457,,,,4791432
2019-04-12,33.66104377,34.08690354,33.04490623,34.00535593,33.686975028779756,33.333916233136804,34.37799269452192,,,,0,0,0,0,,,79.30402026108528,27.564885645168964,0,22,0,,,-0.2056750859452317,,35.33730032,35.208107426818316,35.46649321318168,35.98326478590839,31.532089751460703,0,0,0,0,0,0,0,9.561388257827803,50,0,0,,31.532089751460703,0,1,0,0,8,10,0,0,0,0,,,,0,0,0,3.864510692622504,-2.6354893073774965,,,,,,0.8865511658318703,,,,0,33.12162050690045,,15.955588374474146,29.46124283039768,,,,6368477
2019-04-15,33.94193,34.04159931,33.51607023,34.00535593,33.79310199585317,33.529899984165375,34.34250347885317,,,,0,0,0,0,,,87.04033242524953,19.86643942101272,0,23,0,,,-0.19845402887200098,,35.33730032,35.21264326668844,35.461957373311556,35.96058558655779,31.938186354423152,0,1.5,0,0,0,0,0,9.561388257827803,50,0,0,,31.938186354423152,0,1,0,0,8,10,0,0,0,0,,,,0,0,0,3.864510692622504,-2.6354893073774965,,,,,,0.5470409785033703,,,,0,33.12162050690045,,15.357776668877445,28.357411657765088,,,,3927062
2019-04-16,34.13220777,34.29530301,33.95099085,34.20469454,33.93029951056878,33.7462780913394,34.32937881801001,,,,0,0,0,0,,,89.80841048720296,24.88790816061961,0,24,32.60998561,32.41986209993711,32.60998561,32.134676834842786,34.29530301,34.29530301,34.17647581621069,34.414130203789306,34.88943897894652,32.60998561,0,0,6.5,0,0,0,0,9.151559166177668,50,0,3.5457317181710923,34.29530301,32.60998561,1,1,0,1,8,10,0,0,0,0,,,,0,0,0,3.364510692622504,-1.135489307377496,,,,,,0.8222526110805771,,,,0,31.70193088858478,,16.85996898840399,27.627068955376913,,,,5721982
