time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,28.24001,28.81,27.74001,28.81,27.871956765694893,27.742678248484843,27.54591324638154,,,,0,0,0,0,,,97.79428692414197,12.167993196856482,0,26,28.81,,,26.22194269823748,28.966729305672,29.87,29.87,30.128805730176254,30.51701432544063,26.586270694327997,1,0,0,0,0,0,6,11.05663548687972,50,0,0.06055866907014233,28.966729305672,26.586270694327997,0,1,0,0,8,10,0,0,2048,0,,13,,0,0,1,5.0557537498596385,-2.6354893073774965,,,,,,1.620668531654577,,,,0,38.30130884808945,,27.138002269947513,15.047402003042727,,,,788267
2006-12-28,28.72,29.98,28,29.86,28.534637843796595,27.990929041558434,27.766302461011872,,,,0,0,0,0,,,,22.67740816924864,0,27,24.5,,,23.660608372256412,29.34289300222972,29.87,29.87,30.13860532087795,30.541513302194872,26.5401,0,3.5,0,0,0,0,6,11.587300126224392,50,0,4.958799757377965,29.34289300222972,26.5401,1,1,0,0,10,10,0,0,2048,0,,14,,0,0,2,,-1.6354893073774963,,,,,,2.6230477838841577,,,,0,40.13958508233982,33.15166757982372,30.542309864386443,13.444230648318626,,,,1405802
2006-12-29,29.99001,30,29.02,29.84,28.969758562531062,28.360803735930734,27.963797464725026,,,,0,0,0,0,,,,64.42325103503056,0,28,28.3,28.13536298341905,28.46463701658095,27.476814917095243,29.646172145489192,30,29.83536298341905,30.16463701658095,30.823185082904757,26.5401,0,1.5,0,0,0,0,6,11.59121595252434,50,0,4.203064501352623,29.646172145489192,26.5401,1,1,0,1,10,8,0,0,2048,0,,15,,0,0,3,,3.8645106926225035,,,,,,0.6566703491575782,,,,0,40.15314990255007,33.571677089235344,29.010716992731695,12.721774198852291,,,,355545
2007-01-03,30.17,30.28999,28.2,28.5,28.81317237502071,28.63206672467532,28.014864372846453,,,,0,0,0,0,,,90.04766618312681,51.36419019728992,0,29,28.3,28.128462145317688,28.471537854682314,27.44231072658844,29.694154731620387,29.87,29.698462145317688,30.041537854682314,30.727689273411563,26.5401,0,0,5,0,0,0,6,12.470522477731054,50,0,1.6254776348956395,29.694154731620387,26.5401,1,1,0,0,8,8,0,0,2050,0,,0,,0,0,4,2.8431488832390617,-0.6354893073774961,,,,,,0.8858634638795967,,,,0,43.19915705671981,32.929200948234126,25.82361754720432,15.634460979532344,,,,489943
2007-01-04,28.11,28.84,28,28.75,28.79211491668047,28.81972614112554,28.08487728971822,,,,0,0,0,0,,,90.5506185389994,71.97033937322317,0,30,28.75,28.133214849223567,28.466785150776435,26.665718793788535,29.770496186579464,30.28999,29.95641969844713,30.28999,30.957130603105732,26.5401,1,1.5,0,0,0,0,6,12.492539102311556,50,0,0.48961540483992066,29.770496186579464,26.5401,0,1,0,0,8,8,0,0,2050,0,,1,,0,0,5,3.0935914059385166,3.3645106926225035,,,,,,0.5969073359083982,,,,0,43.27542488148901,32.096074416293504,24.651425033520237,16.00554560509637,,,,325428
2007-01-05,28.64999,28.64999,27.73,28.14999,28.57807327778698,28.877092636363635,28.091078500221247,,,,0,0,0,0,,,92.91363463253819,84.71653675248628,0,31,26.5,26.336020931421885,26.663979068578115,25.680104657109418,29.77242632147889,28.3,28.136020931421886,28.463979068578116,29.119895342890583,26.5401,0,1,3.5,0,0,0,6,12.310212601566082,50,0,3.9912732153615913,29.77242632147889,26.5401,1,1,0,1,8,19,0,0,2050,0,,2,,0,0,6,4.005688843507814,4.8645106926225035,,,,,,0.9849991851212055,,,,0,42.6438273557742,31.00015937393555,23.270130628784937,16.591933808242946,,,,524303
2007-01-08,28.25999,29,28.25999,28.89999,28.685378851857987,28.93878857402597,28.168117690676365,,,,0,0,0,0,,,91.14758609434577,66.08914801088775,0,32,28.89999,28.140144347034607,28.459855652965395,26.981144776276846,29.846866321925457,30.28999,30.130134347034605,30.449845652965394,31.08926826482697,26.5,1,1.5,0,0,0,0,6,12.54808668427348,50,0,0.49346154146201826,29.846866321925457,26.5,0,1,0,0,8,8,0,0,2050,0,,3,,0,0,7,2.8404265597160174,-0.1354893073774961,,,,,,0.585883084824156,,,,0,43.46784734988031,30.27615049011832,24.12750111733569,15.797528883916575,,,,317098
2007-01-09,29,29.77,28.95,29.27,28.880252567905323,29.06160377532467,28.2730588629929,,,,0,0,0,0,,,89.7189551264686,77.82045297856996,0,33,28.3,28.143794661532134,28.456205338467868,27.51897330766067,29.96730712553362,30,30,30.249928541548584,30.624821353871464,26.518689874466393,0,0,3,0,0,0,6,12.585087968220714,50,0,2.1347633082035897,29.96730712553362,26.518689874466393,1,1,0,0,8,8,0,0,2050,0,,4,,0,0,8,2.693620036538432,2.8645106926225035,,,,,,0.4269422337524919,,,,0,43.59602355736409,30.1958915293222,27.35470534077644,15.005605202934547,,,,232733
2007-01-10,29.22,29.67,29.09,29.16,28.973501711936883,29.181188843722943,28.35752944746977,,,,0,0,0,0,,,89.26999607212363,83.68610546241106,0,34,28.3,28.14977361427984,28.45022638572016,27.5488680713992,30.060348785620853,30,29.84977361427984,30.15022638572016,30.751131928600802,27.73,0,0,2,0,0,0,6,12.596668567349127,50,0,2.343594671711006,30.060348785620853,27.73,1,1,0,0,8,8,0,0,2050,0,,5,,0,0,9,2.7634530911723174,2.8645106926225035,,,,,,0.4817318580409893,,,,0,43.63613992950909,30.121365351440087,26.404409002974976,14.484313838498354,,,,267718
2007-01-11,29.19,29.73,28.75,29.34,29.095667807957923,29.297943324242425,28.451098071520267,,,,0,0,0,0,,,,84.58694664436612,0,35,28.3,28.15175407040271,28.44824592959729,27.55877035201354,30.175024622237,30,29.85175407040271,30.14824592959729,30.74122964798646,27.73,0,0,3,0,0,0,6,12.536626390704761,50,0,3.062478688172307,30.175024622237,27.73,1,1,0,0,10,8,0,0,2050,0,,6,,0,0,10,,2.364510692622504,,,,,,0.644510938033315,,,,0,43.428147728418956,29.582546127601123,24.83453154852184,15.685875987950292,,,,362361
