time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2024-03-27,114.51607662,134.43191603,114.51607662,130.69769614,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,4960410
2024-03-28,137.3495865,137.3495865,129.4131245,136.17455198,,,,,,,0,0,0,0,,,,,0,1,114.51607662,,,108.790272789,119.09671968480001,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2239055
2024-04-01,140.41662577,143.72265512,136.49320541,141.42237566,,,,,,,0,0,0,0,,,86.97207926649946,38.305129359549284,0,2,114.51607662,,,108.790272789,119.09671968480001,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0.799999999999999,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1029489
2024-04-02,142.248883,151.83835968,138.0565988,139.41087588,,,,,,,0,0,0,0,,,90.87436192795661,47.54872678244796,0,3,114.51607662,,,108.790272789,119.09671968480001,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0.799999999999999,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,0.3645106926225039,,,,,,,,,,0,,,,,,,,18246124
2024-04-03,141.70119742,143.39404377,135.22854961,136.76206924,136.89351377999998,,,,,,0,0,0,0,,,82.21873329444239,42.92692807099862,0,4,114.51607662,,,108.790272789,119.09671968480001,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0.799999999999999,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,8866864
2024-04-04,135.427708,138.7636111,124.73290224,125.52953581,133.10552112333332,,,,,,0,0,0,0,,,77.89091897768529,40.616028715273956,0,5,114.51607662,,,108.790272789,119.09671968480001,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0.799999999999999,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,14207744
2024-04-05,124.97189231,127.64061479,118.4992445,122.18367479,129.46490567888887,,,,,,0,0,0,0,,,75.72701181930674,44.038893992281594,0,6,114.51607662,,,108.790272789,151.83835968,0,,,0,,0,4,0,0,0.2,0,0,0,50,0,6.518260869842214,151.83835968,,1,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,16054788
2024-04-08,125.59924125,131.39475052,125.33037742,129.4131245,129.44764528592592,,,,,,0,0,0,0,,,84.15175018423157,41.17201167591544,0,7,114.51607662,,,108.790272789,151.83835968,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,6.518260869842214,151.83835968,,1,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,12195039
2024-04-09,130.31929519,133.03780727,127.71032023,131.61382475,130.16970510728393,,,,,,0,0,0,0,,,89.46419738682268,39.73857051773236,0,8,114.51607662,,,108.790272789,151.83835968,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,6.518260869842214,151.83835968,,1,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,9143523
2024-04-10,128.95506019,139.34117045,128.39741669,137.78773497,132.70904839485596,,,,,,0,0,0,0,,,91.02034296798954,39.02184993864083,0,9,137.78773497,,,130.8983482215,151.83835968,151.83835968,,,159.43027766400002,118.4992445,1,1.5,0,0,0.2,0,0,0,50,0,2.039459421124696,151.83835968,118.4992445,1,1,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,8376809
