time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,14.99415994,15.04535202,14.82778312,14.86873935,14.925826565156827,15.024625784006062,14.752695321859639,14.513618362809641,13.65383776088395,14.81217725950756,0,0,0,0,15.00098769281759,12.946744110284133,92.53700874205042,60.14765209041064,2,10,14.75611421,14.735958077177086,14.776270342822913,14.655333545885432,15.139011333434581,15.00098769281759,,,15.101768356932158,14.56891088068,0,0,8,8.897876263013371,0.20337827020395574,0.06570176623422255,3,2.9176657571775975,42.94977449641997,0,3.7993113738494677,15.139011333434581,14.56891088068,1,1,0,0,8,8,2,0,2216,0,,9,,0.21389561505076482,0.07099632352178589,17,2.8899834360706658,1.3514256376968854,,,,,,0.8175497738927158,17.39926715204386,68.25396825396825,72.1491152511626,3,10.107090661871034,25.19427678879755,26.531128523003957,16.854902232260308,,,,2294200
2006-12-28,14.86873935,14.92249103,14.79707044,14.83290489,14.894852673437885,15.017142160563633,14.760334328349197,14.526139403091616,13.665569772118936,14.829715618554728,0,0,0,0,14.976126670407842,12.950026450909053,92.76138080628937,78.44462319178277,2,11,14.75611421,14.736277974253722,14.775950445746277,14.656933031268615,15.132501332499466,14.83546705,,,14.934648228731385,14.56891088068,0,5.5,8.5,8.542162071154253,0.2060441436891046,-0.1645995787548496,3,2.930603405601315,19.693283796059717,0,3.794945042131886,15.132501332499466,14.56891088068,1,1,0,0,8,8,2,0,2280,0,,0,,-0.1304559561208261,-0.16143240853200538,18,3.006003868849475,4.621073891558045,,,,,,0.6921966252181971,17.964664446257366,70.63492063492063,76.95850339428368,3,10.151907990671717,24.702358751513138,25.03335110260738,17.28580385786286,,,,1927200
2006-12-29,14.85850093,14.87385855,14.72540153,14.74332131,14.844342218958591,14.986542780587012,14.75871404088737,14.534656340617435,13.67629366801825,14.84586975238156,0,0,0,1,14.947187157893033,12.953016531806716,95.46987368496423,88.54175342703634,1,0,14.72540153,14.705656659128456,14.745146400871542,14.626677175642284,15.107858632226762,14.973344267896138,,,15.072068622253854,14.56891088068,0,0,10,7.8020234712930625,0.1890101173564653,-0.6305433275657882,0,3.022745936861811,27.647249458655565,0,3.8739893992213603,15.107858632226762,14.56891088068,1,1,1,0,19,15,2,0,2280,0,,0,,-0.2822983581914781,-0.6260464541007177,0,5.316069733656621,5.710880455869805,,,,,,0.6821970758767206,18.185180810953703,71.03174603174604,73.67021998822598,3,10.471099082034083,23.604484826311392,23.35281669523205,19.366223023105775,,,,1849600
2007-01-03,14.68956707,14.8405837,14.62301737,14.69980293,14.796162455972395,14.937495155514716,14.753103458898096,14.541132677455966,13.686477839779263,14.860313290361573,0,0,0,0,14.900996653144107,12.958379136135225,86.49686088248635,92.97202699715473,4,0,14.534956301172672,14.488238860180001,14.542287253999982,14.407130542299985,15.072846777643218,14.98391896,14.963641880529996,15.004196039470004,15.08530435735002,14.488238860180001,0,6.5,5,7.403841237192115,0.18701920618596057,-0.8279654085080435,4,3.054515203145128,15.158595965411301,0,4.889067979964882,15.072846777643218,14.488238860180001,1,1,0,0,8,8,2,0,232,0,,1,,-0.49904010127158416,-0.821481220703688,0,2.0908410316652395,4.652298147189581,,,,,,1.2451656879576878,18.07755826735415,71.03174603174604,70.8468028118073,3,10.581151048677864,22.068078902592365,21.115602684765044,22.019191163374547,,,,3416000
2007-01-04,14.69980293,14.73819955,14.59997837,14.68956707,14.760630660648264,14.879545601125972,14.747052374241134,14.54695363402632,13.696458827144644,14.87298304103857,0,0,0,0,14.872950649046235,12.962721431081416,74.72743295889954,95.36803965745233,4,1,14.530941833556229,14.488238860180001,14.55047803779998,14.407987522862843,15.053146709871932,14.98391896,14.963856125670711,15.00398179432929,15.084233131646448,14.504903747128104,0,7,5,7.250839471638772,0.18625419735819385,-0.8481955541895597,4,2.9514508884910136,10.744318702441177,0,4.775149961464704,15.053146709871932,14.504903747128104,1,1,0,0,8,8,2,0,232,0,,2,,-0.8236236658678687,-0.8393838095672216,0,1.1472208657564966,4.857189052214533,,,,,,1.006797140091612,17.284386867584494,67.85714285714286,69.05491210595025,3,10.22412578982148,20.814163908032853,19.816726457246432,21.690038399617812,,,,2798000
2007-01-05,14.66653063,14.68188826,14.56670608,14.5820637,14.701108340432176,14.80877650115541,14.73133916717055,14.54833049935862,13.705270815929275,14.883239281258872,0,0,0,0,14.838655953124823,12.96680364475001,68.48877339644531,69.00159254792308,4,2,14.533288415590567,,,14.434654676293865,14.77920440372,14.751295330826666,14.731568582967325,14.771022078686007,14.849929070123368,14.494180329780987,0,0,6.5,6.397486746862767,0.21902366682767707,-1.333042683516292,4,2.7770661765235403,18.739467310746395,0,2.606765219275002,14.77920440372,14.494180329780987,1,1,0,0,8,8,2,0,232,0,,3,,-1.2962898647469059,-1.3155078721617834,0,1.1069038717081474,3.0204683667882657,,,,,,1.0165396833409654,16.62363240495715,66.26984126984127,72.80212342520029,3,9.620039427439623,19.90215121309041,18.714749765290932,21.989835032255158,,,,2819200
2007-01-08,14.65935127,14.75725463,14.59752178,14.74437295,14.715529876954784,14.752876962390044,14.732580479820973,14.556018438599459,13.715610140646396,14.892152940827714,0,0,0,0,14.828041505033104,12.971612476353773,76.79944720742176,88.29917215715446,4,3,14.734112534166664,,,14.63470303830187,15.055699719072914,14.828041505033104,14.808159605860146,14.847923404206062,14.927451000897898,14.56891088068,0,5,0,7.500671124391707,0.18750335562195852,-0.46705196939677524,4,2.994278586477412,38.03026031527315,0,2.606698908377366,15.055699719072914,14.56891088068,1,1,0,0,8,8,2,0,232,0,,4,,-0.6086696967804736,-0.4604255248334469,1,2.7643523203007483,1.940948849078668,,,,,,1.0843037594629952,16.01438502238991,65.07936507936508,54.392940345279975,3,10.372485287588795,18.544707436532033,20.62692632907138,20.25978883710713,,,,3033600
2007-01-09,14.74695186,14.79332334,14.56918208,14.57175841,14.667606054636522,14.692513577527274,14.717264092218976,14.556635692379873,13.72412902889867,14.898722153969898,0,0,0,0,14.79066644695999,12.978150562610843,46.02691302571113,75.00273732428558,4,4,14.545200443455938,,,14.442885319617199,14.77920440372,14.755409430074891,14.74332131,14.79066644695999,14.872518546030982,14.511079989916094,0,0,9.5,6.176197989078145,0.27917910217923847,-1.3003065675790781,4,3.187748208388415,7.623183541512532,0,2.086340061267372,14.77920440372,14.511079989916094,1,1,0,0,10,13,2,0,232,0,,5,,-1.7863848978707817,-1.2821327619365557,0,0.22765434429223586,5.091697501268719,,,,,,1.5772061722427346,15.710763723614395,63.888888888888886,42.2730572184853,3,11.04268371733079,17.573869997699312,20.183411105157035,18.27840383693893,,,,4600600
2007-01-10,14.54599763,14.65935127,14.48158922,14.62328256,14.652831556424347,14.641506207512126,14.708313470102883,14.559249295031643,13.73307583020316,14.903450880382028,0,0,0,0,14.773370460868968,12.983445119018198,68.38252654275368,91.4063609065791,4,5,14.545275357873376,,,14.442332651362404,15.056032470630035,14.750993433626121,14.730404892323927,14.771581974928315,14.853936140137092,14.503934704369998,0,6.5,0,6.482209381229855,0.2243697613765221,-0.9697190916047442,4,3.0993374263256923,26.471698026067827,0,2.399963412947499,15.056032470630035,14.503934704369998,1,1,0,0,8,8,2,0,1256,0,,0,,-1.3356697157629827,-0.9556924117730055,0,1.9299571554596806,2.6919995042283578,,,,,,1.218959354609406,15.214603825298223,61.904761904761905,41.710217473209724,3,10.736419784391721,16.689495045840392,18.62748124462725,20.667943598029318,,,,3635400
2007-01-11,14.61297979,14.82166304,14.58979277,14.76498364,14.690215584282898,14.6177865252039,14.713710629140705,14.567317308559813,13.743343569604125,14.907368021880293,0,0,0,0,14.772578936892845,12.989208858671716,73.83000256273338,89.21325513487696,4,6,14.734361419999999,,,14.628420412614812,15.054298985041203,14.772578936892845,14.751390735415807,14.793767138369883,14.878519944278032,14.56891088068,0,6.5,0,7.433708291011628,0.18716854145505812,-0.24207635955666063,4,3.234532516122967,41.58663716833326,0,1.9224666749895536,15.054298985041203,14.56891088068,1,1,0,1,8,19,2,0,1256,0,,1,,-0.9456255988863735,-0.23399047369798381,1,2.2289773140708977,2.356988652910911,,,,,,1.2095819050980987,14.685829565899184,58.73015873015873,31.06789947049211,3,11.204749313317155,16.341551969663985,23.647128747211735,18.648507017953374,,,,3666400
