time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2010-11-18,25.98196763,26.71689357,25.15796809,25.38067066,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,458097664
2010-11-19,25.35096956,25.61079666,24.57894138,25.43262718,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,107863184
2010-11-22,25.38809408,25.59594983,25.09858073,25.29901305,,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,2,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,36657280
2010-11-23,25.2025086,25.2322097,24.63832873,24.68286925,,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,3,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,31205504
2010-11-24,25.03919338,25.09115731,24.66059899,24.85360789,25.129757606,,,,,,0,0,0,0,,,73.56310466092818,42.88344431441926,0,4,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,26147936
2010-11-26,24.80164396,25.09858073,24.65318299,25.09858073,25.119365314,,,,,,0,0,0,0,,,83.06979660504228,40.59428683698427,0,5,0,,,0,,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,12301246
2010-11-29,25.09115731,25.09858073,24.54925512,25.09115731,25.109962646,,,,,,0,0,0,0,,,78.31645063298524,39.449708098266775,0,6,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,27779600
2010-11-30,24.89072499,25.42521118,24.76452686,25.38809408,25.202673124,,,,,,0,0,0,0,,,85.44646959107082,38.877418728908026,0,7,0,,,0,,25.98196763,25.98196763,25.98196763,27.281066011500002,24.942688924800002,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,57483408
2010-12-01,25.72214053,25.94485053,25.55140931,25.8186524,25.407999549333333,,,,,,0,0,0,0,,,90.1115570902423,38.591274044228655,0,8,25.8186524,,,24.52771978,,25.98196763,25.98196763,25.98196763,27.281066011500002,24.942688924800002,1,0,4,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,34636720
2010-12-02,25.92258028,25.96712079,25.61821266,25.74441079,25.520136629555555,,,,,,0,0,0,0,,,92.44410083982804,38.44820170188897,0,9,0,,,0,,25.98196763,25.98196763,25.98196763,27.281066011500002,24.942688924800002,0,0,1,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,23252032
2010-12-03,25.64791376,25.68503828,25.21735544,25.64791376,25.562729006370372,,,,,,0,0,0,0,,,83.0036027503781,38.37666553071912,0,10,0,,,0,,25.98196763,25.98196763,25.98196763,27.281066011500002,24.942688924800002,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,19397104
2010-12-06,25.59594983,25.8186524,25.54398589,25.59594983,25.573802614246915,,,,,,0,0,0,0,,,87.79004564976725,38.3408974451342,0,11,0,,,0,,25.98196763,25.98196763,25.98196763,27.281066011500002,24.942688924800002,0,0,2,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,11679340
2010-12-07,25.79638215,25.90031002,25.58111041,25.74441079,25.63067200616461,,,,,,0,0,0,0,,,90.18326709946183,38.32301340234174,0,12,0,,,0,,25.98196763,25.98196763,25.98196763,27.281066011500002,24.942688924800002,0,1,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,20823728
2010-12-08,25.69245428,25.78153531,25.48459854,25.57367957,25.61167452744307,,,,,,0,0,0,0,,,81.873185880195,38.314071380945514,0,13,0,,,-0.11596473392928561,,25.98196763,25.98196763,26.098515101285713,26.273336308214287,25.399230273571426,0,2,2,0,0.2,0,0,0,50,0,0,,,0,1,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,12606031
2010-12-09,25.50686879,25.55882531,24.95753576,25.04662422,25.423324424962047,,,,,,0,0,0,0,,,77.71814527056159,42.887915325117376,0,14,0,,,-0.11643958280505094,,25.98196763,25.98196763,26.098992336336735,26.274529395841835,25.39684409831633,0,0,2,0,0.2,0,0,0,50,0,0,,,0,1,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,15.123400609948957,30.041245055194334,,,,18411072
2010-12-10,25.12828183,25.2322097,24.89072499,25.09858073,25.315076526641363,,,,,,0,0,0,0,,,75.64062496574488,45.174837297203304,0,15,0,,,-0.1129764309825473,,25.98196763,25.98196763,26.095511781741255,26.265828009353132,25.414246871293734,0,3,3.5,0,0.2,0,0,0,50,0,0,,,0,1,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,14.38998946663355,29.53318815029964,,,,11748582
