time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2014-03-27,28.07598026,28.07598026,27.33058225,27.60442187,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,261740
2014-03-28,27.73985876,27.99837548,27.61480235,27.68004909,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,822260
2014-03-31,28.02111301,28.02655008,27.52879466,27.53077222,,,,,,,0,0,0,0,,,79.90089929033759,38.305129359549284,0,2,0,,,0,,28.07598026,,,29.479779273000002,26.9529410496,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2,0,,0,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,216020
2014-04-01,27.61677991,28.09822315,27.61677991,28.03445934,,,,,,,0,0,0,0,,,88.6818167110435,38.305129359549284,0,3,0,,,0,,28.07598026,,,29.479779273000002,26.9529410496,0,2,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,258,0,,0,,0,0,100,4.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,159060
2014-04-02,29.65723078,29.89647047,27.78879431,28.02655008,27.775250519999997,,,,,,0,0,0,0,,,90.62915263009995,38.305129359549284,0,4,0,,,0,,28.07598026,,,29.479779273000002,26.9529410496,0,0,2,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,258,0,,1,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2941860
2014-04-03,28.16742502,29.02898189,27.88468784,28.16198795,27.904162996666663,,,,,,0,0,0,0,,,82.09612864551406,38.305129359549284,0,5,28.07598026,,,26.672181247,29.199019470400003,0,,,0,,0,0,4.5,0,0.2,0,0,0,50,0,0.800000000000001,,,0,0,0,0,8,10,0,0,258,0,,2,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,102025340.00000001
2014-04-04,28.40468615,28.55890643,26.84024146,26.84716144,27.551829144444444,,,,,,0,0,0,0,,,77.82961665322111,38.305129359549284,0,6,0,,,0,,28.07598026,,,29.479779273000002,26.9529410496,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,258,0,,3,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,127897580
2014-04-07,26.72853038,27.11111523,26.05678301,26.60050812,27.234722136296295,,,,,,0,0,0,0,,,75.69636065707465,42.88344431441926,0,7,0,,,0,,28.07598026,,,29.479779273000002,26.9529410496,0,4,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,258,0,,4,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,88028440
2014-04-08,26.82046978,27.43339577,26.77153423,27.42845334,27.29929920419753,,,,,,0,0,0,0,,,84.13642460311553,40.59428683698427,0,8,0,,,0,,28.07598026,,,29.479779273000002,26.9529410496,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,258,0,,5,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,63218359.99999999
2014-04-09,27.66176033,27.94598044,27.33206517,27.88518248,27.494593629465022,,,,,,0,0,0,0,,,89.45653459626465,39.449708098266775,0,9,0,,,0,,28.07598026,,,29.479779273000002,26.9529410496,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,258,0,,6,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,66674380
