time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,145.35055433,147.11779336,145.24873767,146.8705316,145.74133085464538,145.36145653320474,144.97011304392709,140.14135239805907,121.68009185385698,150.1951317052055,0,0,0,0,145.99530943503194,123.11589087771014,78.60522597284415,79.859879434428,1,0,145.33600909,144.98760788295274,145.68441029704726,143.59400305476373,148.58686958,149.66411948600754,149.45231119,150.32502541,151.718630238189,141.9105659062,0,3.5,0,20.702186662052995,0.253510933310265,-0.12536012315610248,6,6.178549070708269,33.95063770763093,0,3.773917255762644,148.58686958,141.9105659062,1,1,0,0,8,8,1,1,2282,0,10,1,,-0.22740643493483376,-0.1329737872951042,2,1.7552907881304813,0.9068105819832322,,,,,,0.5938894039829363,25.71158896284851,37.301587301587304,20.13008749392284,3,21.403121815048383,23.52287337253039,25.1330953758622,18.57373781952555,,,,2887300
2006-12-28,147.14689111,147.25598039,145.27782087,146.03418047,145.83894739309693,145.4218727401138,145.07145279879117,140.37244369499794,121.9224210938186,150.497960382492,0,0,0,0,145.99659088904872,123.19852621829466,82.02629204571059,64.60447628123151,1,1,145.33600909,144.9948315448847,145.6771866351153,143.63012136442347,148.58686958,149.64729880103184,148.91712789868183,150.32502541,151.68973559046123,142.29605454,0,3.5,5,19.776312806015834,0.24888156403007916,-0.3517791265655295,6,6.190733168967988,46.82990738339472,0,1.905670837101152,148.58686958,142.29605454,1,1,0,0,8,15,1,1,2218,0,11,2,,-0.16380396894064722,-0.35870557246245405,3,2.3601705894184803,-0.03471806129260824,,,,,,0.5113605879428169,26.17431011920037,37.301587301587304,22.051335283864702,3,21.445328769508873,22.967156381350705,24.193634555357786,17.612209325477174,,,,2396100
2006-12-29,146.12871724,147.19779216,144.9578402,144.97965805,145.55251761206463,145.4234942501991,145.06271044176344,140.55311876774311,122.15184633716369,150.77491153124953,0,0,0,0,145.95935464494195,123.28869574410179,64.86962186846864,79.20330257034601,4,0,144.06330084,,,142.3792643823218,148.58686958,145.95935464494195,145.6225473534063,146.2961619364776,147.64339110262017,142.4066139415054,0,0,8,18.68806112830007,0.24344030564150035,-0.6034118379437285,6,6.190507476339534,11.299967179425977,0,2.109657832666347,148.58686958,142.4066139415054,1,1,0,0,8,8,1,1,2218,0,12,3,,-0.5444441153022991,-0.6073998261021939,0,0.3179389157875181,3.442642243767501,,,,,,0.5979780743248758,26.37623277487246,37.301587301587304,22.997388751926692,3,21.444546947310123,22.276563128502104,22.7570198325591,17.41464945365653,,,,2762500
2007-01-03,145.88873537,147.86688762,143.86694741,145.97599952,145.69367824804308,145.44503457719222,145.14969035397644,140.7657807580277,122.38890258773918,151.0331462200275,0,0,0,0,145.96067741425995,123.50799437364216,79.7868742157385,73.22160237415187,1,0,142.0933006117014,141.74483723197187,142.44176399143095,140.35098371305378,148.58686958,148.71993148748143,148.3714681077519,149.06839486721097,150.46224838612906,143.28659052621705,0,2,5,19.27225135085388,0.2463612567542694,-0.3866937540494156,6,6.208832057743068,51.66232861458253,0,3.7269735335396517,148.58686958,143.28659052621705,1,1,0,0,8,15,1,1,2218,0,13,4,,-0.3501673679952487,-0.3932977362847783,1,3.845106205137977,0.9587408116252404,,,,,,1.384505720147736,26.317416633250375,36.904761904761905,22.36091616162867,3,21.50802515934683,21.053037798795394,20.42466984403143,18.424996510320376,,,,6513199
2007-01-04,145.61236859,145.93963643,144.04876288,144.61602712,145.33446120536206,145.3184809796671,145.09886528407392,140.91677081143837,122.61006800597063,151.26440709858412,0,0,0,0,145.86216941408395,123.70901714269642,74.44818676079771,83.34875412707618,4,0,142.26528727336813,141.92450666504786,142.6060678816884,140.56138423176677,148.58686958,145.86216941408395,145.52138880576368,146.20295002240422,147.56607245568532,143.18048691477657,0,2,6.5,17.947921791347326,0.23973960895673663,-0.7015742136095584,6,5.626638696808093,16.785799197094562,0,1.5738468878998435,148.58686958,143.18048691477657,1,1,0,0,15,8,1,1,2218,0,0,5,,-0.9505789142167227,-0.706959689211794,0,1.5136579699351103,3.369602134102527,,,,,,1.3454714130253316,26.020071146790315,36.111111111111114,33.4961767622893,3,19.4912481974095,19.916907135496302,19.39334093323036,17.49463965620187,,,,6478801
2007-01-05,144.3105626,145.45237099,143.92511382,144.76147222,145.14346487690804,145.1697533438693,145.06673261130499,141.0675434156957,122.83047998819978,151.47096737049813,0,0,0,0,145.79183333617686,123.89419532042679,63.019756382382496,89.46331319311643,4,1,144.20874594,,,142.5583691348523,148.58686958,145.18702195285368,144.97965805,145.79183333617686,147.112134780295,143.04795447076677,0,3.5,6.5,17.854682513580595,0.23927341256790297,-0.6578219231567486,6,5.565014384465534,10.664141822908974,0,1.1111387611135284,148.58686958,143.04795447076677,1,1,0,0,8,8,1,1,2218,0,1,6,,-0.6989111737132312,-0.6632762127279562,0,0.5248993935988064,3.917760482602203,,,,,,1.2244281963929282,28.206998996510574,44.04761904761905,46.31874545667445,3,19.27777531749189,18.791560015940398,18.592154336182528,17.106365017551116,,,,6037000
2007-01-08,144.76147222,148.32505531,144.07058073,148.1650577,146.15066248460536,145.4083773532719,145.3618111911807,141.34587730919782,123.08256533856596,151.67455000218376,0,0,0,0,145.97393288300748,124.16870880565652,87.24426028313603,66.08068302204516,1,0,148.1650577,144.20178670733767,144.89075656674967,142.653298824704,148.58686958,148.625921190772,148.281436261066,148.970406120478,150.348345839302,143.86694741,1,1.5,0,20.378590820266933,0.25189295410133467,0.08311663968313393,6,5.812582609348519,41.72903928155959,0,0.07652945086015824,148.58686958,143.86694741,0,1,0,0,8,8,1,1,2218,0,2,7,,-0.17383560209292032,0.0771127184342321,1,2.563640573359815,0.8891890546553236,,,,,,1.5346172035523766,28.82095061635446,46.42857142857143,43.13588911313697,3,20.135376805165826,19.046580138122696,23.9875952134339,15.220044807303628,,,,7851500
2007-01-09,148.02687068,149.0159468,146.9068947,148.41959935,146.90697477307023,145.92989604087666,145.65302911106824,141.623278173543,123.3346751297245,151.8769034427715,0,0,0,0,146.13423320036384,124.41687778135791,84.60646891785731,71.85997491701562,1,1,148.41959935,144.20756195142383,144.88498132266352,143.00024438008228,148.58686958,148.93099922071306,148.59228953509322,149.2697089063329,150.62454764881235,143.86694741,1,3.5,9.5,20.33890647045606,0.2516945323522803,0.06926864086132466,6,5.267786152959643,51.701795420416076,0,0.030865339312245412,148.58686958,143.86694741,0,1,0,0,8,8,1,1,2218,0,3,8,,0.25464573650142064,0.06792213037810509,2,3.6879679174510422,0.8813008467221269,,,,,,1.3767474951588312,28.736335965325168,44.84126984126984,57.47536843141018,3,18.248146520667795,19.5433589193041,24.475214155008963,14.37387485215159,,,,7177301
2007-01-10,147.92505402,151.59046104,146.54326377,151.35046463,148.38813805871348,146.91625056472296,146.19564201763316,142.0047364659531,123.61343920435411,152.09530175266164,0,0,0,0,151.35046463,124.72146917245458,92.00699840803637,73.10678489198496,1,2,151.35046463,148.22728918201372,148.9464499779863,145.59717826221927,159.16998409200002,151.59046104,,,153.3883630299315,144.43952794652,1,4.5,0,22.438519310017625,0.26219259655008814,0.6330314617173628,6,5.070221473699508,72.71849995097124,1,1.3591396224930679,,144.43952794652,1,1,0,0,3,8,1,1,2218,0,4,9,,0.7251497137980404,0.6292285756072703,3,6.830239115805891,1.4192381483985679,,,,,,1.4950662558985517,26.726712885662536,37.301587301587304,52.169633606084375,3,17.56376239614859,20.84157600027589,27.80052328824125,12.572475063889966,,,,8022398
2007-01-11,151.51773486,155.03040961,150.97956836,154.09224182,150.28950597914232,148.38427228123854,146.9476991416681,142.47875628375886,123.91671087217148,152.34412291722424,0,0,0,0,154.09224182,125.091222553214,99.73613536638707,11.619721922010978,2,0,154.09224182,149.95496110070914,150.69508971929085,148.17121287134646,162.7819300905,155.03040961,154.66034530070914,155.40047391929085,156.88073115645423,146.56541616278,1,0,0,24.35146215182925,0.2717573107591462,1.0940556395764767,3,5.142819013133471,92.33181157436418,1,1.4675976668676913,,146.56541616278,1,1,0,0,14,10,1,1,2218,0,5,10,,0.9427448912677308,1.0855927338964417,4,7.47312948145703,-2.2652600345744185,,,,,,1.6379394259644389,24.23916858198559,29.365079365079364,36.058555337098994,3,17.815247649756806,22.872571234269675,33.38303153370475,11.343704547214745,,,,9044398
2007-01-12,153.37951793,155.79403456,153.015887,155.62677161,152.06859452276154,150.17578845053896,147.7742774719854,142.9943647279252,124.23223386458768,152.62754428633926,0,0,0,0,154.74069385448695,125.36997949203248,94.6395809245088,48.227297928832016,2,1,155.62677161,149.95658937672994,150.69346144327005,149.2068064298463,,155.79403456,155.42559852672994,156.16247059327006,157.63621472635035,146.56541616278,1,1.5,0,25.27084700065214,0.27635423500326073,1.2451110565547676,3,4.950266962432859,48.09114061351916,0,0,,146.56541616278,0,1,0,1,8,10,2,1,2210,0,6,11,,0.9277596190186557,1.234557197767201,5,3.094739231754631,0.6586939033268987,,,,,,1.224534824075906,22.31416231778282,25,30.125180305239454,3,17.14822777992673,24.91239634129613,32.986071451046655,10.579991701772359,,,,6618898
