time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,27.32008524,27.55052629,27.25944156,27.5202105,27.157844842032265,27.202227181257577,26.472234106807004,25.916709630206313,24.608368194820113,26.642513686882975,0,0,0,0,27.5202105,24.738633119985522,89.53962526850978,41.87117047948878,2,5,26.445049458765,26.388116625825873,26.501982291704124,26.160385294069375,27.543492173894293,27.55052629,27.493593457060875,27.607459122939126,27.835190454695624,26.421565335060002,0,2,0,11.832732191453518,0.34479501213161823,1.4037976480578727,3,4.965644406109966,37.94124215685352,0,3.8587319773944913,27.543492173894293,26.421565335060002,1,1,0,1,21,10,2,1,2280,0,14,4,,2.0850508093948052,1.3888607176700527,9,1.7895135825963377,1.1312321612307548,,,,,,0.7256962454459596,21.689964352502162,43.25396825396825,26.093470791242872,3,17.201496807405288,24.413944931547054,29.352157810489608,10.964625961810983,,,,3374090.98321309
2006-12-28,27.43531469,27.75672159,27.4110511,27.56873131,27.29480699802151,27.427350124900432,26.576662411873006,25.98149479411979,24.637824544224888,26.695033020178673,0,0,0,0,27.54181809891256,24.75623111026844,89.54525465069494,42.958574424956765,2,6,26.445049458765,26.389096913089382,26.501002004440615,26.165286730386917,27.727077098398503,27.75672159,27.700769044324385,27.812674135675618,28.036484318378083,26.421565335060002,0,3.5,0,11.895964112067347,0.3638111976028422,1.296949335156599,3,4.901015383249002,50.503969928152394,0,4.582553391104075,27.727077098398503,26.421565335060002,1,1,0,0,21,10,2,1,2280,0,15,5,,2.2346510163400435,1.2827030763509553,10,2.4243861626944057,0.12093832016324546,,,,,,0.5824095670357476,24.38762206677934,51.58730158730159,43.645745464032835,3,16.97761530492785,26.23668587800328,31.023432979702054,10.359816950519004,,,,2708929.99066071
2006-12-29,27.5202105,27.65969143,27.35041314,27.43531469,27.341642895347672,27.599902009716885,26.658438819313673,26.03850733905627,24.66566026706842,26.749835934121602,0,0,0,0,27.508469187816537,24.77317660705168,93.41363827768876,53.02088331244835,2,7,27.06538061,27.010663261426213,27.120097958573783,26.79179386713107,27.860739624403195,27.75672159,27.702004241426216,27.811438938573787,28.03030833286893,26.421565335060002,0,2,5,11.228786875936152,0.26478392381931615,0.940595326287313,3,4.952838192857248,57.368638450328206,0,2.9071548060508188,27.860739624403195,26.421565335060002,1,1,0,0,8,8,3,1,2280,0,16,6,,1.469119915517083,0.9308623339817343,11,4.330301261073796,1.1543832308231956,,,,,,0.6088984138331053,26.29586584778855,57.93650793650794,53.264902209905344,3,17.15713478339275,27.66618387984109,29.45777742829898,10.826456874237664,,,,2773064.29143609
2007-01-03,27.30189233,27.70820651,27.21699078,27.35041314,27.34456631023178,27.703918817551948,26.724341135569514,26.08995462536779,24.692374226003064,26.805401927363537,0,0,0,0,27.46164601758057,24.794906349321288,95.25651484454008,55.87344930479825,2,8,27.35041314,27.010185788735054,27.120575431264943,26.775432209880446,27.961989316894265,27.46164601758057,,,27.73762012390529,26.666522213260002,1,2,6.5,10.764614571561964,0.20382307285780982,0.6935284474695163,3,4.9416275353730805,58.50915257844298,0,1.063646018255075,27.961989316894265,26.666522213260002,0,1,0,0,15,8,2,1,2280,0,0,7,,0.7276044597412187,0.6853038956728,12,4.241086046018108,0.9102005710114542,,,,,,0.8340701556318221,27.59395517784417,61.111111111111114,61.19565199820368,3,17.118299926695087,28.419017353215065,27.11702281452559,12.124474303893601,,,,3727944.44431626
2007-01-04,27.22911366,27.41712177,26.91377107,27.3382788,27.342470473487854,27.747839248508647,26.7828113893248,26.138908514569053,24.718701634699553,26.860647377296356,0,0,0,0,27.439209256301837,24.810896752951425,96.65778562287444,60.07108491436095,2,9,27.3382788,27.009634073289693,27.121127146710304,26.467798776317554,27.75672159,27.439209256301837,,,27.717941939853365,26.666522213260002,1,7,0,10.597551619067021,0.2029877580953351,0.5753426940772317,3,4.655215188570878,62.82111695109812,0,0.48070349533104184,27.75672159,26.666522213260002,0,1,0,0,15,8,2,1,2280,0,1,0,,0.9793855843347327,0.5682977801694912,13,4.7898608900722985,0.8827287605191865,,,,,,0.634528437444548,28.84408978980958,65.07936507936508,78.86544799864247,3,16.126138453542183,27.946875449978474,24.930888863259078,16.003496244924193,,,,2797419.93511861
2007-01-05,27.22305509,27.35647171,26.85918531,27.07750348,27.254148142325235,27.71504228646406,26.81087730272244,26.175716160272227,24.74217229982692,26.913299406884118,0,0,0,0,27.376466691188433,24.82722239821678,96.84494293553465,59.38020657046076,2,10,26.99867261,26.942467911626146,27.054877308373854,26.717649118130726,27.75672159,27.41766029035653,,,27.698683782225803,26.421565335060002,0,6.5,5,9.438666709913011,0.19719333354956506,0.11557619483034452,3,4.722732393811439,58.456882815838114,0,2.6974576927989733,27.75672159,26.421565335060002,1,1,0,0,8,8,3,1,2280,0,2,1,,-0.054553062464480516,0.11397645146441797,14,4.209583074350708,0.9081827271118071,,,,,,0.7486594045910844,29.7240879839246,67.06349206349206,81.68730268755701,3,16.360024913265597,27.312836998921142,22.96139922310858,15.606391505562026,,,,3228061.41276587
2007-01-08,27.07750348,27.32008524,26.87132029,27.241248,27.24984809488349,27.65356854892467,26.851864988177443,26.217501722614493,24.767038724704264,26.964078973263195,0,0,0,0,27.359037079130903,24.841964237282784,97.79880837216115,50.25970513482826,2,11,27.241248,26.94247570302785,27.05486951697215,26.42174503422279,27.75672159,27.412431406739273,,,27.69341594160003,26.666522213260002,1,5.5,0,9.989927753566262,0.1999496387678313,0.3070321750857827,3,4.582871909025973,73.15836847406932,0,0.6290075954894603,27.75672159,26.666522213260002,0,1,0,0,8,8,2,1,2280,0,3,0,,-0.020252117473313555,0.30463627152054823,15,5.388821688938708,-0.03761832437304946,,,,,,0.6558351378874521,30.15842677963827,68.65079365079364,89.96795203098371,3,15.875533982026315,26.72408700865362,21.32425536313429,14.49365844511456,,,,2753706.54653202
2007-01-09,27.33222022,27.48988834,27.08963846,27.43531469,27.31167029325566,27.600150181596963,26.907431626446257,26.265259093884513,24.793588734309196,27.01367729195031,0,0,0,0,27.3690751449102,24.86045036070025,96.6165470910341,45.7072005247708,2,12,27.43531469,26.942916108168717,27.054429111831283,26.643586445349733,27.75672159,27.75672159,27.70096508816872,27.812478091831284,28.035504099156416,26.666522213260002,1,2,0,10.654875274409953,0.2077188208164942,0.5213249137211537,3,4.49201145677979,61.28032171617915,0,0.40595608679084066,27.75672159,26.666522213260002,0,1,0,0,8,10,2,1,2280,0,4,1,,0.052696911455392105,0.5175046485739103,16,3.6131506040408663,-0.03676533101838392,,,,,,0.7871070235568947,29.91564659472677,67.06349206349206,92.25025114727711,3,15.560784142648165,26.61110864021637,22.67664077887006,13.56470127309914,,,,3237422.34757276
2007-01-10,27.22911366,27.3443431,27.0593163,27.26551159,27.296284058837106,27.539875931108657,26.941534480118044,26.304484681967473,24.818184981629503,27.060878768861446,0,0,0,0,27.359633676826448,24.87344763999123,97.6928841418386,38.58556683262508,2,13,27.26551159,26.85918531,26.99867261,26.618268115681893,27.75672159,27.412610386047938,,,27.688265501246754,26.85918531,1,4,4,9.861021707195809,0.05819399742486794,0.19907820886432606,0,4.5536095537355346,76.87288611517549,0,0.7589261529712747,27.75672159,26.85918531,1,1,0,0,8,10,2,1,2280,0,5,0,,-0.04309331057965883,0.19613494028627404,17,5.406851845471582,-0.5980242933676044,,,,,,0.6152133153304193,28.938893498661074,64.28571428571429,83.4575160028339,3,15.774166209801974,26.379060248140213,21.29577765606605,13.229770288061825,,,,2467711.50932157
2007-01-11,27.4110511,27.89014394,27.38679388,27.72034149,27.437636535891404,27.52794419322597,27.015706576297276,26.360008478360907,24.84706216081727,27.108425026607684,0,0,0,0,27.398121147684453,24.89346317791909,96.1087610420779,20.392501036984935,2,14,27.72034149,27.37854452262379,27.492084857376206,26.93263254099033,27.75672159,27.79426672958805,,,28.117224609504834,26.85918531,1,5,6,11.563859383399318,0.07115263025032992,0.7927686407293203,0,4.635606851769608,85.95638786207294,0,0.046184698099139894,27.75672159,26.85918531,0,1,0,0,8,10,2,1,2216,0,6,1,,0.2704815196811307,0.7825798059762429,18,3.358136155615301,-4.619639643630808,,,,,,0.8047843603226091,27.19116437858152,57.53968253968254,69.32870469332939,3,16.058213182358738,27.346692100815606,27.78781486400502,11.930083874699822,,,,3233167.65335334
