time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2017-02-01,15.70462166,15.95464549,15.47022432,15.62648922,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,30832953
2017-02-02,15.65774219,15.94683225,15.65774219,15.80619384,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,4901231
2017-02-03,15.89995278,16.25154879,15.86088655,16.11872363,,,,,,,0,0,0,0,,,79.90089929033759,38.305129359549284,0,2,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2631545
2017-02-06,16.5171991,16.5171991,16.05621767,16.19685607,,,,,,,0,0,0,0,,,87.33877193987568,38.305129359549284,0,3,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1836800
2017-02-07,16.21248256,16.29842825,16.11091038,16.25154879,15.99996231,,,,,,0,0,0,0,,,80.45093830040193,38.305129359549284,0,4,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3521570
2017-02-08,16.25154879,16.34530772,16.19685607,16.28280176,16.094242126666668,,,,,,0,0,0,0,,,86.51371342477917,38.305129359549284,0,5,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,973618
2017-02-09,16.32186799,16.38437394,16.27498852,16.31405474,16.167512997777777,,,,,,0,0,0,0,,,89.54510098696778,38.305129359549284,0,6,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1798591
2017-02-10,16.34530772,17.08756596,16.2359223,16.42344017,16.252822055185185,,,,,,0,0,0,0,,,91.0607947680621,38.305129359549284,0,7,16.42344017,,,15.602268161499998,16.5171991,0,,,0,,1,0,3,0,0.2,0,0,0,50,0,0.1141769678331647,16.5171991,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1560824
2017-02-13,16.5171991,16.55626532,16.37265408,16.40781368,16.304485930123455,,,,,,0,0,0,0,,,82.31194971449514,38.305129359549284,0,8,0,,,0,,0,,,0,,0,0,1,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,896041
2017-02-14,16.32186799,16.4468799,16.21248256,16.43125341,16.34674175674897,,,,,,0,0,0,0,,,77.93752718771165,38.305129359549284,0,9,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1143094
