time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,9.99763392,10.01437641,9.95697366,9.97849955,9.975279407805015,9.911911724603462,10.056885009760286,10.084154466200843,9.673833357209709,10.466119986638985,0,0,0,0,10.154339015879719,9.821194469390456,51.534902304359285,72.51331482332398,4,21,9.94395331343053,,,9.865953686851272,10.18060496,10.191231716739235,10.154339015879719,10.2105021,10.272901801263405,9.821853021748051,0,3,1,3.1493843395930523,0.015746921697965263,-0.2596737546784041,4,2.978418150001789,35.87534971124653,0,4.52281514269608,10.18060496,9.821853021748051,1,1,0,0,8,8,0,0,3274,0,,1,,-0.17243442886927873,-0.2633321186867784,0,0.11926544069508083,0.9471763666205166,,,,,,0.8114597414884346,13.821698587083722,28.96825396825397,33.96308036710467,3,10.3175431239768,20.766740693156645,14.821034804390344,19.850720367458937,,,,463497
2006-12-28,9.98567521,10.00480922,9.93305587,9.98089144,9.977150085203343,9.92304312181948,10.049647526925973,10.080104935761595,9.676888661516081,10.452797936485386,0,0,0,0,10.152479969511166,9.822183133598582,65.3577512508648,71.18835317642234,4,22,9.946735519923507,,,9.871104020689197,10.06221449,10.080104935761595,10.064978635914732,10.095231235608457,10.155736434995905,9.854654226460001,0,5,1,3.1415343207668096,0.015707671603834048,-0.22368322048000777,4,2.9784694375253244,52.682175584669736,0,2.9809102237036944,10.06221449,9.854654226460001,1,1,0,0,8,8,0,0,3274,0,,0,,-0.12041962543053879,-0.22859931816124168,0,2.2211281159538907,0.9410681662847181,,,,,,0.6457298210745499,13.332503467238546,28.571428571428573,29.21946367489537,3,10.317720789169915,20.56864961567214,14.193309000629435,20.421759434889513,,,,368398
2006-12-29,9.97849955,9.98089144,9.86847566,9.88761219,9.947304120135563,9.925835381396539,10.034215590075881,10.07255620063369,9.678985413043284,10.438874586174007,0,0,0,0,10.15005645294242,9.822530269408375,60.14456788089259,80.50688427667086,4,23,9.827622164472144,9.812572602292915,9.842671726651373,9.752374353575998,10.06221449,10.067324279900745,10.052274717721517,10.082373842079974,10.142572090796891,9.840360178388421,0,0,1.5,2.15546121885434,0.0107773060942717,-0.5226920804370573,6,3.073409634131136,27.369651543099305,0,3.016221984524861,10.06221449,9.840360178388421,1,1,0,0,8,8,0,0,3274,0,,0,,-0.18195968289382342,-0.526633195579653,0,0.703864979913511,2.723966733425022,,,,,,0.5781576527817165,12.735664168232082,26.984126984126984,19.62185343243657,2,10.646603277573602,21.00574217487687,13.24670344784885,22.891155539113573,,,,317398
2007-01-03,9.89473798,10.05259457,9.75481964,9.86962084,9.921409693423708,9.920376441102167,10.018539899592463,10.064597951197074,9.680882282963251,10.424369694293583,0,0,0,0,10.144020840809029,9.82312330268516,44.830402344325336,80.57456399752807,4,24,9.821755964548238,9.805122666363953,9.838389262732523,9.738589473626817,10.06221449,10.063847025840934,10.047213727656649,10.080480324025219,10.147013516762355,9.825188286541623,0,8,2.5,1.9496007855492337,0.00974800392774617,-0.5324003603901803,6,2.759556746479702,24.763020847591942,0,2.869650223968263,10.06221449,9.825188286541623,1,1,0,0,10,8,0,0,3274,2,,1,0,-0.20367418239102142,-0.5357688476904833,0,-0.7205891490252831,1.7225725963163243,,,,,,1.3410271617757654,12.760529405181423,27.38095238095238,33.48692858883779,3,9.559384982544621,22.2878028242667,11.129319826639831,25.33311054284414,,,,763000
2007-01-04,9.84091964,9.93778977,9.80468438,9.82657263,9.889797338949139,9.905102134020781,10.00025730248842,10.05526362487562,9.682331938157647,10.409148614134454,0,0,0,0,10.138448679203062,9.823158990201549,53.41668627622754,87.236703929208,4,25,9.814165325458104,9.797531679019126,9.830798971897082,9.730997093263214,10.06221449,10.059803150490094,10.043169504051116,10.076436796929071,10.142971382684983,9.805854393119997,0,0,0,1.4897309115576378,0.00744865455778819,-0.6288456097906789,6,2.768746124148242,25.305968962127498,0,3.0534345947742865,10.06221449,9.805854393119997,1,1,1,0,8,8,0,0,3274,2,,2,1,-0.19980584209475635,-0.6300951735095491,0,1.0928990629076143,3.4649863859537273,,,,,,1.1167391780189588,14.185423894037855,32.142857142857146,47.90013126088273,3,9.591217920568322,23.47828771298583,10.334152042241115,23.5231101388605,,,,633400
2007-01-05,9.80863438,9.81580968,9.7010013,9.76558259,9.84839242263276,9.877708468504764,9.977907329870474,10.043903584292263,9.683160302852595,10.39294383309499,0,0,0,0,10.13380470852806,9.822734137204712,43.29311696042997,91.0516306917659,4,26,9.511755488799986,9.495188787374506,9.528322190225467,9.428921981672588,9.60343218169322,9.76558259,10.027684861912947,10.060818264763908,10.111122356087726,,2,0,0,0.8511920134496047,0.004255960067248024,-0.7792472950759226,6,2.790232201733729,15.666530086358826,0,0,9.60343218169322,,0,0,0,0,10,8,0,0,3274,2,,3,2,-0.36409769308165274,-0.7778161879885983,0,-0.4940355131545173,3.708926333480979,,,,,,0.7962319038104249,14.740167789421513,33.333333333333336,52.50056672406815,3,9.665647876635182,25.239542529428494,9.634775159317892,27.519120603995823,,,,455100
2007-01-08,9.76558259,9.78710849,9.68665429,9.74405669,9.813613845088506,9.842773426740695,9.955635840359001,10.032144882555311,9.683766237053067,10.37573816282986,0,0,0,0,10.127155547661888,9.821933343116157,31.08441788418261,94.64661637784818,4,27,9.739618437307488,9.723338159198114,9.755898715416862,9.658217046760619,9.9277460186,9.74405669,9.991891830199991,10.04546949,10.09569683745,9.739618437307488,2,7.5,0,0.6225930229113097,0.003112965114556549,-0.7760942097829808,4,2.7904113304410476,7.696040765470336,0,0.012621575564387826,9.9277460186,9.739618437307488,1,0,1,0,10,8,0,0,3274,2,,4,3,-0.4781602143648058,-0.775126416632931,0,-1.5041412500493139,5.184035521344225,,,,,,1.1075459030362913,15.177287241169088,34.523809523809526,57.01288872118083,3,9.666268396679522,26.95620179256132,9.103976470436404,26.789869369967295,,,,634200
2007-01-09,9.74405669,9.81222562,9.72970609,9.7799296,9.802385763392337,9.809442515624244,9.938901912705763,10.022254087160984,9.684723086435623,10.357855438111427,0,0,0,0,10.123741873165695,9.821685993416958,52.33725870467889,93.67090250638623,4,28,9.63891329026814,9.623059107648722,9.65476747288756,9.559642377171047,9.9277460186,10.014103053933338,9.99875571089999,10.04546949,10.108886220477675,9.716511606523191,0,3.5,0,0.9830587071479806,0.004915293535739903,-0.5723125143804417,4,2.7235361437792482,32.26201891037955,0,3.1397078010781745,9.9277460186,9.716511606523191,1,1,0,0,8,8,0,0,3274,2,,0,4,-0.40498040874473973,-0.5741668205671561,0,1.8063620553722466,3.2077111287113285,,,,,,0.6395938760835799,15.432982966244055,35.317460317460316,63.57845829054877,3,9.434605954551744,28.127068063689762,10.095409942818337,25.544880518039804,,,,369100
2007-01-10,9.76199853,9.80863438,9.7010013,9.79787143,9.800880985594892,9.7828075459658,9.925470438162357,10.013454767272318,9.685848940600442,10.339494890883065,0,0,0,0,10.121718231974356,9.821597190445825,70.06761989767791,81.87160837973119,4,29,9.6389145273698,9.623231776723197,9.654597278016402,9.560500774136784,9.9277460186,9.896151302468088,9.88761219,9.9277460186,9.990477021186413,9.716542111059258,0,5,0,1.1565582953703826,0.005782791476851914,-0.45155195215548716,4,1.8782337338587265,60.175450407865554,0,1.9041380638209278,9.9277460186,9.716542111059258,1,1,0,0,8,8,0,0,3266,2,,0,5,-0.4682161094593877,-0.45438869493492035,0,3.07124944472846,0.9543250305067851,,,,,,0.42503068382744535,15.579028554375851,35.714285714285715,139.441880087601,3,6.506392511066229,29.402756426282473,9.476782093516542,25.613771512138403,,,,234600
2007-01-11,9.76199853,9.89473798,9.76199853,9.83015669,9.810639553729928,9.767620917738096,9.91639293833737,10.006266607379287,9.687284838604418,10.32095043317007,0,0,0,0,10.118978942112449,9.82164566186094,81.10628643488864,75.8804311187116,4,30,9.82164566186094,9.80589793402838,9.8373933896935,9.74290702269814,10.05259457,9.88761219,,,9.966350829162801,9.729220837017536,0,6.5,0.5,1.4748389644354205,0.007374194822177102,-0.29249504249186736,6,1.9479412150612823,65.25890857849748,0,2.9331076914035727,10.05259457,9.729220837017536,1,1,1,0,14,8,0,0,3266,2,,0,6,-0.36948950126898383,-0.29716563760194364,0,3.7229422056316936,0.9427063716598111,,,,,,0.6579318244543121,15.620909833660813,35.714285714285715,131.49406223655507,3,6.747866309287187,29.223698367890723,13.645420417606589,23.686079614582567,,,,358300
