time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,13.44800088,13.47285855,13.33751958,13.44800088,13.4319762336371,13.488447820472297,13.326725081689174,13.027987419702129,12.283693836044549,13.266323521076378,0,0,0,0,13.464411471516607,12.013906471119308,95.63919807356109,39.59420164529292,2,47,13.44800088,13.345828966524236,13.378931053475766,13.205111232193877,13.63029324,13.50553885836328,,,13.579052359291817,13.36238001,1,3.5,0,9.478476584453592,0.22405904958893463,0.19728375307887133,0,2.925592770837691,68.13096469974153,0,0.7505151481198874,13.63029324,13.36238001,0,1,0,0,8,10,2,0,104,0,,15,,-0.6119949386692906,0.17761340030592343,21,4.894053923966173,-0.7092737818997514,,,,,,0.5900045524009201,25.008243686211518,82.93650793650794,146.76223512918668,3,10.134550642694183,28.634270675126842,21.418052036474613,17.23501685028363,,,,9621204
2006-12-28,13.43695027,13.48114445,13.39552357,13.40656867,13.423507045758067,13.45816552165844,13.334329232956872,13.042833743243222,12.294866719964503,13.291468492050676,0,0,0,0,13.4625218916523,12.017358731219428,92.33921012983424,52.13919633062369,2,48,13.358697391538461,13.32647448,13.36238001,13.259680993042307,13.63029324,13.505251833573766,,,13.579050924167868,13.32647448,0,0,4,9.042000823240375,0.226321115227313,-0.10193118827770614,0,2.952864979083529,33.387125044478694,0,2.7429380646690356,13.63029324,13.32647448,1,1,0,0,8,8,2,0,104,0,,16,,-0.7076346616629571,-0.1296209056845117,22,2.3530049652675995,1.246914824687103,,,,,,0.4958212407045578,22.532915301923484,80.15873015873017,120.28411064074871,3,10.229024343326962,27.440317899609596,20.86172567285158,16.41834005686394,,,,7907600
2006-12-29,13.37618707,13.43695027,13.3099027,13.32647448,13.391162857172045,13.424932052150217,13.333581161246693,13.053956909390546,12.305131473795702,13.315052670951713,0,0,0,0,13.455923021909848,12.022403200839117,90.65679430822442,57.810016440378845,2,49,13.047122668764477,13.03100739567823,13.063237941850723,12.965771782334407,13.63029324,13.36238001,13.346264736913755,13.378495283086247,13.445307183136247,13.09788514828,0,0,4,8.300138916673019,0.21089718973016314,-0.5863231639122485,0,3.0481878194437417,36.23997284363384,0,7.1685828738550645,13.63029324,13.32647448,1,1,0,0,8,8,2,0,104,0,,17,,-1.1551719611743845,-0.6183397660415719,0,2.3441688710307425,0.8372012332074767,,,,,,0.7954921243513928,19.238302891814573,71.42857142857143,82.19414306575834,3,10.559232348578295,25.591455869572933,19.393269798194627,20.006427380300476,,,,12339602
2007-01-03,13.35685608,13.50047819,13.33476037,13.41761928,13.399981664781363,13.400859064465369,13.34158479160415,13.06821817882621,12.316201004205695,13.337733156989799,0,0,0,0,13.453689286267709,12.029233721902648,87.69628997201156,44.23265264077972,2,50,13.3434697642,13.326951977494915,13.359987550905085,13.260234628673915,13.63029324,13.453689286267709,,,13.537475519404133,13.32647448,0,3.5,5.5,8.942841022310343,0.1947142051115517,-0.09357269380688274,0,2.99748465898276,43.64183714238656,0,3.445942317353635,13.63029324,13.32647448,1,1,0,0,8,10,2,0,104,0,,18,,-0.7571421697922649,-0.11477308560384059,1,1.8453691369315637,-0.6483795697772753,,,,,,1.014685272357744,14.767633734630897,55.95238095238095,42.22086652607595,3,10.383591448532819,24.288964368104878,21.003163747700256,18.124693632693713,,,,15754602
2007-01-04,13.37342786,13.45076285,13.32647448,13.42314597,13.407703099854242,13.38620889144632,13.349352522879945,13.082136915734987,12.327215381974792,13.359585264995259,0,0,0,0,13.452409296307,12.034333464807904,89.2617311212984,33.854829328605064,2,51,13.332659800216048,13.316212137829181,13.349107462602914,13.249548838828101,13.576856866278012,13.452409296307,,,13.5361190051754,13.32647448,0,6.5,0,8.890333737720761,0.1944516686886038,-0.1181522847314041,6,2.9792679031071776,53.59806917925405,0,2.9382052858478898,13.576856866278012,13.32647448,1,1,0,0,8,10,2,0,104,0,,19,,-0.7066818889915332,-0.13213809610530497,2,2.616950518332265,-1.135426394486722,,,,,,0.7665335023347128,7.189836186507057,7.936507936507937,-30.334330568595565,0,10.320486755081644,22.98612932904263,19.586088196582224,17.351624794453187,,,,11816796
2007-01-05,13.39552357,13.41486008,13.30437877,13.32923368,13.381546626569495,13.371079461234633,13.347436442605664,13.09182698492185,12.337185713298426,13.380099115512447,0,0,0,0,13.447539115318493,12.038970508397451,81.31507223735568,65.82695301620599,4,0,13.31984661906012,13.303513368272316,13.336179869847925,13.236914135177015,13.564076396503616,13.344427245,,,13.427482632012804,13.09788514828,0,0,4,8.041120477194657,0.19020560238597328,-0.6879484963512569,6,1.9253265834165025,11.302831858711642,0,2.9449229784042186,13.564076396503616,13.32647448,1,1,1,0,14,8,2,0,104,0,,20,,-0.9147731641581073,-0.6950742292997064,0,1.7911940373237467,4.878717578571816,,,,,,0.7907703057670518,6.098384205815935,5.555555555555555,-8.563466759968327,1,6.66952692728076,21.520405678675044,18.314479262428442,17.432948332840446,,,,11607796
2007-01-08,13.26018459,13.44247696,13.26018459,13.41486008,13.39265111104633,13.366283734251084,13.353857741405125,13.104494949434718,12.347908841325308,13.399894876425673,0,0,0,0,13.445695692192983,12.046380119539148,89.41713562998518,37.56214877555456,2,0,13.328157604021753,13.311363403558078,13.344951804485428,13.244186601703378,13.50047819,13.471016233483711,,,13.548499531167419,13.328948210678554,0,6.5,0,8.640744375305703,0.1932037218765285,-0.20479266722436534,6,1.868628685570317,76.88307447262626,0,2.0521439689965493,13.50047819,13.328948210678554,1,1,0,0,8,10,2,0,1128,0,,0,,-0.5799176449731959,-0.20722983206612677,1,4.4552903851833605,-2.597143744855277,,,,,,1.2472010902375155,8.132393298634618,19.841269841269842,25.63329184603601,3,6.4731196477768735,20.30363224962592,16.53953095018798,18.09300002694221,,,,17551000
2007-01-09,13.40656867,13.48666837,13.38447848,13.42590517,13.40373579736422,13.368821905164072,13.360719401271304,13.117099271809828,12.358635172953912,13.4190826765505,0,0,0,0,13.444859592989957,12.052165178859559,89.15019686831191,36.647855475931415,2,1,13.327756843533345,13.311249819084933,13.344263867981757,13.244611034867267,13.50047819,13.47077734799713,,,13.548498336739986,13.327245512029709,0,5,5.5,8.635824119007417,0.19317912059503708,-0.18232924098030423,6,1.7289623640341985,44.68649711432058,0,2.0773307667295855,13.50047819,13.327245512029709,1,1,0,0,8,10,2,0,1128,0,,1,,-0.4464497373209339,-0.18042934701783175,2,2.3318287351137217,-0.342596224708676,,,,,,1.0129596845691893,15.59893890924528,59.12698412698413,160.44672127250402,3,5.989301317763257,19.041094686049913,18.015616912473092,17.092927036208224,,,,13724398
2007-01-10,13.39276437,13.47561776,13.35961805,13.44523616,13.417569251576147,13.378787806377058,13.368768616388323,13.129967385072188,12.369447123073774,13.437801461974797,0,0,0,0,13.444869665301047,12.05595509168733,92.10470209899853,24.824518024941877,2,2,13.327914824801878,13.311551161831924,13.344278487771833,13.244911587707914,13.50047819,13.48114445,,,13.564913835219954,13.327916722142117,0,7,6.5,8.69714730353199,0.19348573651765993,-0.11308142241828614,6,1.6861177169407962,67.36750464468919,0,2.078995605951759,13.50047819,13.327916722142117,1,1,0,0,8,10,2,0,1256,0,,0,,-0.0898061648302244,-0.11057244279919887,3,3.502632206152094,-2.094472509370358,,,,,,0.6774316278531765,20.225674563314257,73.80952380952381,246.27768086257745,3,5.840883106566994,17.783682265636592,16.875347451479872,17.36752741453731,,,,8928000
2007-01-11,13.46457266,13.49771623,13.42314597,13.46181346,13.432317321050764,13.394720065277056,13.377630030065625,13.142980956637984,12.38031643985911,13.45615183134635,0,0,0,0,13.445410723947091,12.060656025050903,86.31059782363992,12.775400130724645,2,3,13.327940972274925,13.312080336481396,13.343801608068455,13.24544063162002,13.50047819,13.48341900764706,,,13.566696738478825,13.328027814099316,0,3.5,7.5,8.735616939959234,0.04367808469979617,-0.06489041730197415,6,1.680933297613104,79.42765277613414,0,2.0913515793442716,13.50047819,13.328027814099316,1,1,0,0,8,10,2,0,1192,0,,1,,-0.19966472150488418,-0.06480881066331211,4,1.451858356753842,-6.116929926814827,,,,,,0.8587880559786195,23.449943603037447,80.55555555555556,302.71768281704334,3,5.822923751200385,16.67547156349347,17.410954669191323,16.63846445341223,,,,11010204
