time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,41.5088911,41.68172961,41.32914595,41.49507093,41.59848717962661,41.66539105969264,42.325734759259944,42.079402274799,39.35961188448053,43.74675777832422,0,0,0,0,42.52377880963611,39.857090713785475,43.325143193482674,49.03504088274831,4,3,41.1499447806463,,,40.740109775961386,42.44376028424,41.66067727,41.578710269063016,41.742644270936985,42.070512274684916,41.1499447806463,0,3.5,1.5,5.425508391157379,0.04345505787113865,-1.4287544237946852,4,4.860367210933123,22.891567805271393,0,1.2461904998728839,42.44376028424,41.1499447806463,1,1,0,0,10,10,0,1,192,0,11,6,,-1.130620127322814,-1.4079367381988854,0,-0.31230624292633014,1.5127381321820428,,,,,,0.7416699529698179,25.01351434863403,88.0952380952381,48.56448716546508,3,16.836805905556012,27.24661585605227,14.829773107070695,30.245906028772442,,,,969600
2006-12-28,41.27383763,41.49507093,41.09408557,41.30149871,41.4994910230844,41.41820223131904,42.228188468854235,42.04889625265002,39.37893414145087,43.72769285379112,0,0,0,0,42.48850688157196,39.86521223550351,38.789352908090294,38.97240374231017,4,4,40.94671604717937,40.86702360559503,41.026408488763714,40.54825383925766,42.00498039,42.039137172061125,41.95944473047678,42.11882961364547,42.437599379982835,40.97719256198477,0,3,1.5,4.882215861006269,0.07062256850068609,-1.5428591144438388,4,4.782115658009091,29.0289046775155,0,2.665107478109951,42.00498039,40.97719256198477,1,1,0,0,10,8,0,1,192,0,12,7,,-1.369691913565238,-1.522535648546428,0,-0.42935321031271245,0.371996558877716,,,,,,0.7420579442062504,24.611978609968784,86.9047619047619,48.57161026580693,3,16.565734574684836,28.014265468290635,14.163537457213472,31.520658629467967,,,,986900
2006-12-29,41.27383763,41.27383763,40.85211165,41.01803663,41.3390062253896,41.19348142824156,42.112935912772876,42.008470385095116,39.39524361894887,43.700210041318435,0,0,0,0,42.455671612457785,39.87031982231079,43.0288038301227,34.66490620672019,4,5,40.95771007549998,40.87969756670738,41.035722584292586,40.56764753153697,42.00498039,42.00769483062954,41.929682321836935,42.08570733942214,42.39775737459255,40.76654861716059,0,5.5,2,4.119261266023942,0.12251565816820864,-1.7491899596488725,4,4.80292203021336,22.043661192400915,0,2.684877927164744,42.00498039,40.76654861716059,1,1,1,0,10,8,0,1,192,0,13,0,,-1.8153548147047114,-1.7241495195191299,0,0.2941616966377336,2.313998518427685,,,,,,0.604807620498588,25.292261080253642,88.88888888888889,52.01676865916196,3,16.6378099622428,28.993128468610195,13.435070208406819,32.66887374592255,,,,781100
2007-01-03,41.10791957,41.72322468,40.92124706,41.32914595,41.3357194669264,41.02248308606537,42.03828924965165,41.981830211169815,39.41448642821306,43.66712328883507,0,0,0,0,42.39500801627797,39.88660986021121,50.08652481368374,56.51007747852669,4,6,40.581728812724876,40.40888328514,40.70001376,40.090480480338904,42.00498039,41.986974695354306,41.907373994154035,42.066575396554576,42.38497820135567,40.64250242607395,0,2,1.5,4.857755853990821,0.09154259383155387,-1.2362572665334517,4,4.899616677694181,37.15326519177569,0,3.3780412710126657,42.00498039,40.64250242607395,1,1,0,0,8,8,0,1,192,0,14,1,,-1.538030516492798,-1.2223638845386398,0,0.8236517014252733,0.48619827799322635,,,,,,1.493475505940239,26.013009892791704,90.47619047619048,53.26319640890392,3,16.97277004675629,28.816369972761002,17.267152317539768,29.730131505435878,,,,1990900
2007-01-04,41.32914595,41.38445428,40.56864957,40.68619359,41.119210841284264,40.83976888212944,41.90951823444673,41.93102093190825,39.427140230817905,43.62533784855917,0,0,0,0,42.29146113918353,39.897163796797535,21.457366168157453,34.56223964898946,4,7,40.46664014305287,,,40.126323750184696,41.37834872,40.70001376,40.61881485254617,40.78121266745382,41.10600829726913,39.817202198,0,0,3,3.193367187706828,0.12649538691004486,-1.8944108539841,4,4.965697666122399,11.749855653668398,0,2.174441971407099,41.37834872,40.45111938,1,1,0,1,10,8,0,1,192,0,15,2,,-1.8842284077720857,-1.8654218044745163,0,-1.2900981146305095,3.2013197914907834,,,,,,1.7317928016806408,26.633662486754012,92.46031746031746,54.83174007088299,3,17.201681305500376,29.08838119738406,15.718197606173947,30.940317529095093,,,,2384800
2007-01-05,40.47878046,40.997296,40.31977593,40.78298316,41.00713494752284,40.68412729673722,41.802229179737516,41.88599984281381,39.44063120523763,43.576832863461064,0,0,0,0,42.18058589203897,39.912211273768214,60.17604696286227,34.92670220543231,4,8,40.62416829511628,40.45111938,40.65530528,40.1253262926715,42.00498039,41.05018211113749,,,41.45742347029811,40.45111938,0,8,3.5,3.403474827208419,0.11232913738308742,-1.6146375684694323,4,4.995388961574509,37.54169071377179,0,2.7680349451660056,42.00498039,40.45111938,1,1,0,0,8,8,0,1,1216,0,16,0,,-1.7624941059763626,-1.5928784079494884,0,0.9904077543847487,0.6669243723384025,,,,,,2.106520142679598,27.380089042654564,95.23809523809524,58.22493404227331,3,17.304534970031565,29.626878941313322,14.5507832962276,31.37055092991132,,,,3122200
2007-01-08,40.78298316,41.03187062,40.0777951,40.97655538,40.99694175834856,40.59238939865714,41.723593579762515,41.850335354076016,39.455914032847204,43.5240452490043,0,0,0,0,42.13378518677535,39.9220671988759,55.65850713120514,42.7402225859561,4,9,40.62451546707317,40.54036639751477,40.70866453663157,40.20377011928117,41.72322468,41.07091573165971,,,41.49166107945171,40.152073324638806,0,5,0,3.8540264100506114,0.10290295597232137,-1.2538772616635905,4,5.009857378702969,52.21474383048206,0,2.6113401341040947,41.72322468,40.152073324638806,1,1,0,0,8,10,0,1,1216,0,17,1,,-1.6690625913765464,-1.239348212386915,0,1.169281032209713,-1.0794677030812467,,,,,,1.140397132895963,28.134951990477447,96.03174603174604,62.11761011792303,3,17.354655037174748,30.39201591601523,13.07778655996277,30.7623836406398,,,,1717900
2007-01-09,41.20470914,41.58494004,40.9143266,41.41210153,41.135328348899044,40.61235252148658,41.693927670261324,41.83314971391617,39.475378585057676,43.47062808278385,0,0,0,0,42.095677776210884,39.94159662065836,68.9182229485206,70.28446526646468,4,10,41.09092792643888,,,40.67029771777487,41.72322468,41.755212895724014,41.67108685399121,41.839338937456816,42.17584310438802,40.40888328514,0,3.5,2,4.906154201331506,0.024530771006657532,-0.652211584399323,4,5.135687061518116,38.94909871582332,0,3.2007439856975157,41.72322468,40.40888328514,1,1,0,0,8,8,0,1,1216,0,18,2,,-0.07484903552986433,-0.650952727804298,0,1.5017319020130593,0.9678411101543449,,,,,,1.545365829670867,28.500417829929187,96.82539682539682,60.19983021767676,3,17.79054184464697,29.83953840323036,18.01688933030846,28.572889641630574,,,,2463800
2007-01-10,41.1493939,41.73013131,40.89358598,41.63334174,41.30133281259936,40.7365085015026,41.68815758166501,41.82531410709593,39.496850855256106,43.41873962294723,0,0,0,0,42.082954434301314,39.953396789615894,58.002596667979404,61.61279691441056,4,11,41.11122917349459,,,40.68329820607445,41.72322468,41.74941944434522,41.663833250861195,41.83500563782925,42.17735041176537,40.779123568719996,0,5,0,5.409268937854005,0.027046344689270026,-0.35645116653349307,4,5.178037025249896,43.8877578062639,0,2.267412151718813,41.72322468,40.779123568719996,1,1,0,0,8,8,0,1,1216,0,19,3,,0.5822680387513426,-0.365145586623386,0,0.6385971941451194,0.4355107709022358,,,,,,0.8213919987871964,28.375393196376407,96.82539682539682,58.19258167141788,3,17.937246422411256,29.02518732335589,17.959217975864,26.07931766243506,,,,1320400
2007-01-11,41.74395839,42.2901281,41.61260112,42.21407916,41.60558159506624,40.9679788379632,41.738245351030244,41.84055979544511,39.52388795281575,43.37259112182064,0,0,0,0,42.08690816863072,39.971071811651505,64.0202513635424,61.46820743350163,4,12,41.827874918099695,41.74235267611453,41.91339716008486,41.400263708173846,43.27877133,42.40802312839996,,,42.83563433832581,41.47703976286,0,4.5,0,6.806494367142833,0.034032471835714166,0.32196261888055355,4,5.391897008952347,46.93187158109062,0,3.39302707277458,43.27877133,41.47703976286,1,1,0,0,8,8,0,1,1216,0,20,4,,0.49665240756266765,0.3078341311912236,1,1.5721380842509003,0.434581230296559,,,,,,0.9140234337912508,28.037607308664604,96.03174603174604,50.10969330658439,3,18.67807913736825,27.211487370785413,22.535285731561718,24.23461778773607,,,,1491700
