time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,13.10632409,13.1999407,13.06377109,13.1999407,13.144127034189953,13.177338993360607,13.262412487778972,13.396662653061556,13.749633780998565,13.024888622598423,0,0,0,0,13.73212163699934,13.21150698604006,94.15314381805482,84.72564081546054,5,0,13.16589829,13.131322847753026,13.200473732246973,12.993021078765134,13.52409587792,13.235163639574457,,,13.408040850809323,12.934034816329385,0,6,0,-3.997874341629501,0,-0.10302228086093938,6,6.166031154785144,82.17249514484193,0,2.071976898293233,13.288268258291769,12.934034816329385,1,1,1,0,19,8,1,0,194,0,,0,,0.0392735863733689,-0.09928224624520528,0,6.8747864647794,1.9034237296983987,,,,,,0.5539749651807714,28.26819648391174,70.23809523809524,32.34324024478899,3,21.359758482280927,14.602404209299111,17.118698910610444,24.14875601555066,,,,3504900
2006-12-28,13.2254725,13.3020679,13.10632409,13.1999407,13.16273158945997,13.133895391987014,13.256462793704785,13.388948066666986,13.744164198103057,13.013032622901141,0,0,0,0,13.729108111866733,13.211367420605233,96.49292706353037,85.06460835686151,5,1,13.16589829,13.132044809609953,13.199751770390046,12.996630888049767,13.52409587792,13.223970578434033,,,13.393237980384265,12.926463274685206,0,4,6.5,-3.9596696478507507,0,-0.08460931635531864,6,6.165543555219002,70.37615029399639,0,2.116164032725669,13.288268258291769,12.926463274685206,1,1,0,0,8,8,1,0,194,0,,0,,-0.63137377877309,-0.08186211933554748,0,5.66832542376188,2.6054818641147266,,,,,,0.6162064632402923,28.842930030140817,74.2063492063492,35.0446498997106,3,21.358069387836316,14.237896780227546,18.928451813291247,22.902057465868413,,,,3777700
2006-12-29,13.16589829,13.1914301,13.02121809,13.03823929,13.121234156306647,13.091953811886148,13.235679602875758,13.375194781307496,13.737140069664221,13.000540755446528,0,0,0,0,13.725398701869121,13.209398554461792,97.42840545016635,79.84484065044599,5,2,12.944431010409945,12.911399898172759,12.97746212264713,12.779275449224015,13.285780407861004,13.207686640846795,,,13.404855218948745,12.91909089,0,0,4,-5.0876730973108915,0,-0.49625568486050065,6,6.271859200818721,73.40777780492553,0,2.066835624546562,13.285780407861004,12.91909089,1,1,0,0,8,8,1,0,194,0,,0,,-0.6389191424781909,-0.491620083071443,0,5.211797949928567,1.688286648627345,,,,,,0.5989777809563888,28.707199913025562,73.01587301587301,32.130753152925905,3,21.726357587472716,14.252573008423392,18.014015694744558,24.096138541507408,,,,3601300
2007-01-03,13.15738769,13.4297269,13.06377109,13.2084513,13.150306537537764,13.070035222176193,13.233086431173305,13.36865582125622,13.731879484891444,12.98852299814062,0,0,0,0,13.720053272838635,13.209378045200877,98.5572565925485,76.51931368699223,5,3,13.197771220799986,13.163604048633314,13.231938392966658,13.026935359966622,13.52409587792,13.21317365,,,13.384009510833364,12.91909089,0,4,3.5,-3.8117738031953126,0,0.013178429993443729,6,6.204066976770541,85.80159622995777,0,1.910164853726567,13.285780407861004,12.91909089,1,1,1,0,1,8,0,0,194,0,,1,,-0.5343442595070901,0.01706562418410815,0,7.430975711211599,1.5893024496245225,,,,,,1.1569306732591391,27.854541123867076,67.85714285714286,29.607134128566237,3,21.491518434653635,13.35900702743808,22.398293001952307,21.631016558276816,,,,7008102
2007-01-04,13.1914301,13.4893011,13.12334529,13.4127057,13.237772925025176,13.085658050067101,13.25019302820442,13.370383267481467,13.72870362633531,12.978378681487303,0,0,0,0,13.716658290453024,13.214024645042132,99.00783194207565,65.39282423874798,5,4,13.370383267481467,13.335389145023127,13.405377389939806,13.19541265518977,13.623353113649006,13.674602596590226,,,13.88456733134026,13.285780407861004,0,7,0,-2.301731721625499,0,0.5609739635029308,6,6.185544074821989,87.17176849303436,0,1.4457847683919025,13.623353113649006,13.285780407861004,1,1,0,0,8,8,0,0,194,0,,2,,-0.04523253055712836,0.5671464350804449,1,6.700640746871276,0.47809248781702013,,,,,,1.2303351166312189,26.244394700189115,61.111111111111114,22.480804934762627,3,21.427353220096617,12.786710137105766,21.82693035465224,19.611290604110277,,,,7570000
2007-01-05,13.4467481,13.4893011,13.12334529,13.1914301,13.22232531668345,13.10672555673247,13.244596558851617,13.363365496207683,13.723357621098144,12.968703911994787,0,0,0,0,13.71280891809953,13.213684716417598,98.11468163955232,75.42111057399859,5,5,12.9686602437941,12.91909089,13.016962790000001,12.776042870511883,13.284841598827562,13.277819473447828,,,13.456629497807974,12.91909089,0,0,3.5,-3.8760741779428973,0,-0.07284754587015918,6,6.399621057063665,60.893342870763085,0,1.6414996718401142,13.284841598827562,12.91909089,1,1,0,0,8,8,1,0,194,0,,3,,-0.4965094085018745,-0.05940733479925475,0,4.490123023296345,2.6103892125622545,,,,,,0.8255415630082648,23.740165796079083,48.41269841269841,7.087521204431314,2,22.168937640043822,12.255291596082904,19.832671961478308,17.819468288615326,,,,5059699
2007-01-08,13.17440889,13.4467481,13.05526049,13.4297269,13.291459177788967,13.159374590598272,13.262228019913367,13.365967904199538,13.72043592238075,12.961079746095564,0,0,0,0,13.71024997274858,13.217655863959425,98.41561892456878,51.339763879524185,5,6,13.20384214263495,13.167139141593067,13.240545143676835,13.02032713742553,13.636631854873594,13.689984206999004,13.6424919,13.75372865756,13.900540661727536,13.284841598827562,0,4,0,-2.1188031052755787,0,0.578220723827762,6,6.601305860873249,88.6063073267128,0,2.3583341958591326,13.284841598827562,13.669227432488642,1,1,0,0,8,8,0,0,194,0,,4,,0.5735660250596201,0.5917610201540102,1,5.540274331657345,-1.0587344510421308,,,,,,1.0179768239163896,20.94627661280566,37.301587301587304,-8.40192307553559,1,22.867594294669345,11.412947458089965,17.943899458036014,17.778691880930023,,,,6297602
2007-01-09,13.5233435,13.5999389,13.3616421,13.4552587,13.346059018525978,13.228723105581821,13.280611894207333,13.36946950403485,13.717797343053578,12.955650046333405,0,0,0,0,13.707678523111987,13.222477900062845,98.50560225280097,52.11512934347558,5,7,13.212276764272522,13.176067756162201,13.248485772382843,13.031231723720918,13.6424919,13.6909195855806,13.6424919,13.75372865756,13.898564690001283,13.284841598827562,0,2.5,3,-1.9138542179041744,0,0.6014314694655193,6,6.507078293664875,81.86477310411672,0,2.376287880721327,13.284841598827562,13.669227432488642,1,1,0,0,8,8,0,0,194,0,,5,,0.838362094092085,0.6138032826176408,2,5.418541409825508,0.40433180135861313,,,,,,1.1399858397706994,19.958474167099745,32.142857142857146,-11.457724089413833,1,22.541180426912312,11.348852702954385,20.666955610739738,16.734011682422217,,,,7097102
2007-01-10,13.6169601,13.6595131,13.4467481,13.6595131,13.450543712350651,13.323326346854548,13.316697723330444,13.38084376270015,13.717217400336626,12.953649834756606,0,0,0,0,13.70703937947188,13.233994114101257,99.22171592906784,45.34792050334623,5,8,13.6424919,13.606969562111844,13.678014237888155,13.464880210559224,14.015224005,13.704166601289165,,,13.88177829072994,13.2877124174,0,5.5,0,-0.42067059704987914,0.04057020280471521,1.0964402137387677,6,6.497280758643662,95.93685211381467,0,2.0985786812432097,13.669227432488642,13.669227432488642,1,1,1,0,2,10,0,0,194,0,,6,,1.3245616224377217,1.0990119885641394,3,9.593232868348618,-0.36996196583671215,,,,,,1.4852649209490634,18.04546085672406,25,-19.82375342623016,1,22.50724077002096,11.54872569691747,21.059117095354974,15.839098939965835,,,,9464398
2007-01-11,13.62546219,13.74461059,13.6169601,13.74461059,13.548566004900435,13.437711582307793,13.357451329679925,13.395109128476616,13.717489969388003,12.95527044218741,0,0,0,0,13.707635787807478,13.249841959303497,99.83215379031361,36.787659179894945,5,9,13.686331725265095,13.652206960708236,13.720456489821954,13.515707902480802,14.162400645,13.754692311889972,,,13.925316134674265,13.2877124174,0,6.5,0,0.19770833200913468,0.05603692971512273,1.2236285259857898,0,6.324799153920112,93.81411499257618,0,2.790166765497706,13.754692311889972,13.669227432488642,1,1,0,0,8,10,0,0,194,0,,7,,1.4403871044406165,1.2151262258881559,4,8.267596601412418,-0.471782810228183,,,,,,1.7416691307953025,15.525402480912048,15.476190476190476,-29.139288983775735,0,21.90974696451656,12.094655205751472,22.582294109857266,15.310087246954655,,,,11504500
