time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,22.11,22.28999,22.00999,22.23,22.012083251574474,21.650727896536797,22.075583888842512,21.762037079942484,20.275449516575904,21.982133623666485,0,0,0,0,22.506542781937455,21.185768422837906,90.28818643143097,46.043541737003494,2,0,22.23,21.624118342808565,21.821504337479674,21.220446021315553,22.38,22.506542781937455,22.4078497846019,22.60523577927301,23.00000776861523,21.265,1,2,0,9.639985943720665,0.19819992971860334,-0.28048341187129044,0,11.558140716514474,79.18810021059166,0,0.1485804654006356,22.38,21.265,0,1,0,0,8,10,1,0,2632,0,,7,,-0.44534240612545245,-0.28339242056171005,1,3.7681461043870055,-1.0659110324895384,,,,,,0.5085123782618393,23.97574068896095,17.063492063492063,-40.118394989714886,0,40.03857392406723,14.918740927459991,18.612367123213662,17.44791726827146,,,,307800
2006-12-28,22.2,22.72,22.2,22.39999,22.141385501049648,21.721706506493508,22.10647970895275,21.787054841513367,20.29658922287863,22.007780608433205,0,0,0,0,22.50060910805907,21.200903995765547,92.77382427100926,35.00855546509393,2,1,22.39999,21.63665017306089,21.82922288239835,21.25150475438597,,22.50060910805907,22.40432275339034,22.5968954627278,22.98204088140272,21.620039,1,3.5,3.5,10.363321413384979,0.2018166070669249,-0.16471644935813765,0,11.556307827701321,78.18420040296118,0,0,,21.620039,0,1,0,0,8,10,1,0,2632,0,,8,,-0.47672722552964525,-0.16847414491303822,2,3.560604987691855,-1.0988388183049391,,,,,,0.9166909858719723,21.095392529364297,11.904761904761905,-47.303971402119,0,40.032224610969216,14.803240938796613,21.702347414648287,16.606591541801397,,,,534000
2006-12-29,22.41,22.60001,22.16,22.39999,22.227587000699764,21.841810053246757,22.13443307000487,21.811091514395194,20.31751858384501,22.034616629345823,0,0,0,0,22.49741780194481,21.209631805381754,92.89232877188398,33.4330257849634,2,2,21.81249970101341,21.625824863771484,21.99917453825534,21.25247518928763,22.38,22.49741780194481,,,22.96410489504963,21.620039,0,2,3.5,10.24963460749983,0.20124817303749915,-0.18944130286137953,0,11.04022559015185,71.4453806496096,0,1.0133490358087502,22.38,21.620039,1,1,0,0,8,10,1,0,2632,0,,9,,-0.22182144923352984,-0.1930363889652663,3,3.0111395110637336,-0.5737712627405146,,,,,,0.5683730524944357,17.42608840032829,5.158730158730159,-54.43500340325305,0,38.24446329833019,14.612475780397299,20.788874973166028,16.290240623795434,,,,314100
2007-01-03,22.60001,23.25999,22.58,23.17,22.541724667133177,22.07225314675325,22.23305849190917,21.86438204324244,20.345901483508246,22.06744648009938,0,0,0,0,22.532994598332124,21.23444012016574,94.9339457698621,29.01262669029247,2,3,23.17,21.770998400000003,22,21.660415494774252,,23.82326238682343,23.72891335524682,23.91761141840004,24.295007544706475,22.31920382,1,3.5,0,13.880429524250285,0.21940214762125143,0.3681274171807483,0,8.934427882498861,81.29563694854886,0,0,,22.31920382,0,1,0,0,8,10,1,0,2600,0,,0,,0.4642220308623817,0.36054082243124197,4,4.183645308420281,-1.0539732138264306,,,,,,1.0579166826058681,16.686201927333418,4.761904761904762,-46.08617753035162,0,30.94976605809609,15.40784720639772,25.34259416286281,14.964463622244232,,,,553100
2007-01-04,23.17999,23.86,22.8,23.7,22.92781644475545,22.409963930303032,22.372767206965438,21.936367061154503,20.379275598100204,22.109256588479266,0,0,0,0,22.603869276263197,21.271999266015353,97.12786658407225,26.505098182297004,2,4,23.7,,,21.713268171152816,23.813846612646838,23.813846612646838,23.71677251189713,23.910920713396546,24.29921711639538,22.72708382,1,0,0,16.2946145259911,0.2314730726299555,0.6834155439211436,0,8.721949560722118,89.59009938175446,0,0.05730346239678411,,22.72708382,0,1,0,0,8,10,1,0,2600,0,,1,,0.7936837347744,0.6730945893906195,5,6.208879233568438,-1.0970836747934516,,,,,,1.3634896946718833,22.07978782246508,16.26984126984127,-26.921318713206315,0,30.21371956044751,16.84503518813985,28.39050972454497,13.505496110293624,,,,676100
2007-01-05,22.84,24.05,22.84,23.25999,23.0385409631703,22.742750658008664,22.457264615825874,21.98827384307001,20.40793942299473,22.156549750740158,0,0,0,0,22.63361673163997,21.29540218202181,97.55107400628346,29.19137066012106,2,5,23.25999,21.852814158293604,22.054701773971637,21.644889074575758,23.73771955392731,23.73771955392731,23.636775746088293,23.838663361766326,24.242438593122387,22.31920382,1,3.5,1.5,13.975201111150442,0.2198760055557522,0.24202119154305132,0,8.91271519513469,81.425505243243,0,0.29578928871075066,,22.31920382,0,1,0,0,8,10,2,0,2600,0,,2,,0.38575392131051256,0.2352997190078671,6,4.731707362780449,-0.5725340424800973,,,,,,1.0811750391100297,25.599821036911003,21.825396825396826,-17.084394355296926,1,30.87455110272888,18.377537581008934,27.032565681587506,12.060062309092656,,,,528700
2007-01-08,23.31,23.64999,23.13,23.52,23.1990273087802,23.067584528571434,22.55847750955674,22.04834153549864,20.438905199880356,22.210134262007962,0,0,0,0,22.65219157663633,21.307697377077854,98.36593769462795,26.350829327581792,2,6,23.52,21.915542307127026,22.11229491454234,21.80596459559139,23.638533728393647,23.638533728393647,23.54015742468599,23.736910032101303,24.130415246931932,22.72708382,1,4,0,15.074656739137279,0.2276568723880663,0.36686838093461627,0,8.90930411555118,88.7008931384765,0,0.06915477246780936,,22.72708382,0,1,0,0,8,10,1,0,2728,0,,0,,1.0182687095390395,0.3591902854901883,7,5.9551642320158304,-1.1329575144280182,,,,,,0.518288567957889,27.075792798682098,28.96825396825397,-12.270273535978932,1,30.86273477643428,19.80057551724451,25.756791716871724,11.490900147867604,,,,249600
2007-01-09,23.5,25.28999,22.95,23.42,23.272684872520134,23.3283570991342,22.64052727055134,22.1021320635183,20.468567834707418,22.268365909756813,0,0,0,0,22.667617230028796,21.319057919673863,92.77022376143233,55.21709950809597,2,7,22.421595293333333,22.309353100604795,22.53383748606187,21.860384329690643,23.728070531864542,23.728070531864542,23.615828339136005,23.84031272459308,24.289281495507232,22.49721382,0,0,3.5,14.419338906007892,0.22209669453003944,0.21195518847057357,6,7.6581000819483345,38.324243069197074,0,2.327957440551735,23.728070531864542,22.49721382,1,1,0,0,8,8,1,0,2792,0,,0,,0.5092685197589144,0.20538568500055596,8,2.115303145801388,2.6592590783768397,,,,,,0.5100303887885211,27.546101317518268,30.952380952380953,3.83612671948607,2,26.528436862763794,22.447942829217858,34.0081900682551,9.351983369958425,,,,244200
2007-01-10,23.25999,23.66,23.14999,23.60001,23.381793248346757,23.543205707359313,22.73190657811788,22.160872374752877,20.49972646321779,22.33161355646239,0,0,0,0,22.68634160656557,21.331503382573267,96.05762540666373,56.95119029686723,2,8,23.60001,22.101534867411797,22.319091975336224,21.85955313660457,23.86513821305152,23.86513821305152,23.756359659089306,23.973916767013733,24.409030982862593,22.72708382,1,5.5,0,15.123536123006234,0.22561768061503118,0.2791628807015804,0,7.621756668191589,81.48331000669738,0,0.1523325390175336,,22.72708382,0,1,0,0,8,8,1,0,2792,0,,0,,0.6783290069316001,0.27208030507888287,9,6.255680343614132,0.9079601608306151,,,,,,0.5302256279267773,28.447842125727785,32.93650793650794,7.746612914696464,2,26.40253958446943,24.906212476050253,32.58454769197174,8.960492973055539,,,,249100
2007-01-11,23.75999,24.10001,23.75,23.96001,23.574532165564506,23.755720662337666,22.848868808773318,22.231426791429236,20.534157145175822,22.400876246756816,0,0,0,0,22.727661316770668,21.355232453011617,96.41273588824701,52.984152815745595,2,9,23.96001,22.155540084034946,22.36648596996477,22.04476238361477,24.080784734614323,24.080784734614323,23.97531179164941,24.186257677579235,24.608149449438887,22.72708382,1,2,4.5,16.683678957960193,0.23341839478980098,0.46992628135979986,0,7.591356653688537,71.76166034144416,0,0.06305959270283189,,22.72708382,0,1,0,0,8,8,1,0,2792,0,,1,,0.9658223344854543,0.47919050849066674,10,4.0922214665147845,0.3875727307497223,,,,,,0.8982333376528012,29.59895193483888,34.92063492063492,12.555394555245455,2,26.2972308451292,27.45265519766789,34.93016670729438,8.581227925152586,,,,415900
2007-01-12,23.99001,24,23.45,23.60001,23.583024777043004,23.90377711385282,22.92040606508062,22.28509672117711,20.564663143731288,22.472876323725178,0,0,0,0,22.74344955645933,21.36668752672428,95.9652754463514,68.4274768948025,2,10,23.25999,23.15714012438972,23.362839875610277,22.745740621948613,24.20173716621082,24.120973835808286,24.01812396019801,24.22382371141856,24.635223213859668,22.72708382,0,2,1.5,14.76001252757683,0.22380006263788416,0.11458896218470663,0,7.79678137976818,50.76942809260729,0,1.8313044340069546,24.20173716621082,22.72708382,1,1,0,0,8,8,2,0,2792,0,,2,,0.5054183494443135,0.13662917334960692,11,3.6389361665199074,2.6381950635060565,,,,,,0.512181376799029,30.448036163393375,37.301587301587304,12.733582096111737,2,27.008842970530917,29.138991320383102,33.262375982147944,10.775855608674645,,,,236300
2007-01-16,23.67,24.12,23.48,23.56,23.575349851362002,23.988563262337664,22.98131977316818,22.33509292818977,20.594467490559833,22.546517390474662,0,0,0,0,22.75326778588292,21.374188153043896,95.52710621729355,74.70139130305549,2,11,23.25999,23.158772258361886,23.36120774163811,22.75390129180943,24.29879092362967,24.05,23.948782258361888,24.151217741638114,24.55608870819057,22.72708382,0,0,3,14.399656173676343,0.2219982808683817,0.029576943903968988,0,7.761066486075976,52.02151065136248,0,2.0526064044063044,24.29879092362967,22.72708382,1,1,0,0,8,8,1,0,2792,0,,3,,0.3783242035062843,0.06260391431613747,12,3.5110962863562163,2.371208540981459,,,,,,0.3491348530623455,31.025832490873434,38.888888888888886,15.40149006953541,2,26.885122949607283,30.791713507907264,32.44307433205298,10.167500623093185,,,,158900
2007-01-17,23.5,23.89,23.47,23.73,23.626899900908,24.031085545887443,23.052622651914067,22.389795166299976,20.625666819011972,22.621956834284553,0,0,0,0,22.772880649859108,21.38783834161747,97.33532882461157,57.31175174586904,2,12,23.73,23.16225209705032,23.357727902949676,22.68809677640258,24.418907402608856,24.05,23.952262097050323,24.14773790294968,24.538689514748388,22.72708382,1,3.5,0,15.050825790158552,0.22525412895079275,0.1189777112251497,0,7.429665228907348,84.3966882615142,0,0.6612009513035558,24.418907402608856,22.72708382,0,1,0,0,8,8,1,0,744,0,,4,,0.48244438020022046,0.1509973328502405,13,5.895373101757596,-0.10494865331534486,,,,,,0.6229511967886268,31.34463870839467,39.682539682539684,21.787691897153344,3,25.737115319390757,32.302188753201506,31.198301065424616,9.868746966398184,,,,270800
2007-01-18,23.73,24.28,23.53999,24.11,23.787933267272,24.072868006060606,23.15332525649368,22.45725417938625,20.66033680091235,22.70067041177753,0,0,0,0,22.82457043576199,21.419062632460626,97.66011284574125,37.92384306400071,2,13,24.11,23.151093659245138,23.34582137186597,22.761079149516682,24.569683919833622,24.569683919833622,24.472320063523206,24.667047776144038,25.0565032013857,23.20809382,1,2,0,16.697032736345875,0.08348516368172938,0.358926388682604,0,7.196144559355276,85.48201373750454,0,0.3407790158102444,24.569683919833622,23.20809382,0,1,0,0,8,10,1,0,744,0,,5,,0.23568365465885102,0.3956861189612828,14,4.73885730187642,-1.5339343510017434,,,,,,1.310615672769017,30.97851264721139,38.888888888888886,24.271076466285823,3,24.928175990827373,33.998102082046685,32.65756812280842,9.199041547688504,,,,542300
2007-01-19,24.03999,24.8,23.78999,24.77,24.115288844848,24.19064696839827,23.307294279684758,22.54795009392012,20.701228972047552,22.78565247875819,0,0,0,0,22.915609189644623,21.467174779900304,97.9557415192931,17.85885178302765,2,14,24.77,23.500582758426045,23.699437241573957,23.179164134816695,24.82835430409587,25.28999,25.190562758426044,25.389417241573955,25.787126207869782,23.20809382,1,1.5,0,19.65473177194661,0.09827365885973306,0.7866991723878741,0,7.492654374159025,85.59436480442547,0,0.036681536651895705,24.82835430409587,23.20809382,0,1,0,0,8,10,2,0,744,0,,6,,0.3185350755158716,0.8551315035386371,15,4.719307515857326,-1.5945864049238767,,,,,,1.6428128428987168,30.6990089909424,38.095238095238095,18.27638257212878,2,25.955316119193235,35.915985235357866,34.365163664622415,8.364698136887386,,,,688700
2007-01-22,24.78,24.89999,24.22,24.56,24.263525896565334,24.335175200865798,23.426599586381446,22.62685401180561,20.73962470366897,22.874200579044487,0,0,0,0,22.978081894863443,21.50420094607204,98.29366707652584,34.21102562184163,2,15,23.60001,23.501613364967042,23.69840663503296,23.108026824835203,25.010373260566475,25.28999,25.19159336496704,25.38838663503296,25.781973175164797,23.20809382,0,2,4.5,18.42065780320114,0.09654773346045016,0.5155385959166509,0,7.61626753210486,81.83581401740491,0,2.866690024702674,25.010373260566475,23.20809382,1,1,0,0,8,10,1,0,744,0,,0,,0.5097969670598697,0.6116622614712267,16,5.418069761585309,-0.0712004571585983,,,,,,1.4368178390872794,30.35776663821576,37.301587301587304,15.063347411890787,2,26.383524659285683,37.75876218094128,33.152055284956845,7.848573572374285,,,,581200
