time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,20.77711792,21.07669522,20.77711792,20.95589764,20.869706492976825,20.79117749205194,21.06564000120867,20.998338948495544,19.04831704447564,21.95783583542222,0,0,0,0,21.342391127679218,19.545190971039574,87.24665171509915,87.3111530191982,4,9,20.56522540423535,,,20.33454060685859,21.45281071292,20.998338948495544,20.952201989020192,21.044475907970895,21.229023745872304,20.612979791773036,0,8.5,2.5,10.014431149326104,0.05007215574663052,-0.8774409386023572,6,4.349962824499088,53.76438187822734,0,1.6705008787082303,21.45281071292,20.612979791773036,1,1,0,1,8,19,0,1,2240,0,3,0,,-0.58630073392525,-0.8624761806925381,0,4.516595878805665,2.3805554612153466,,,,,,0.6184393463506774,23.872742240666,46.03174603174603,58.42588448477388,3,15.068713246136479,12.796452855114687,19.310679331886085,22.610896653925842,,,,6757662
2006-12-28,20.83510057,21.12018208,20.83510057,21.04287188,20.927428288651218,20.786087584899565,21.063471608712607,21.000085337966308,19.068163361247024,21.94009342375667,0,0,0,0,21.340061931216592,19.5492523620478,92.40665856252181,74.49045430207559,4,10,21.04287188,20.954698504971336,21.04547217096128,20.47200590604024,21.45281071292,21.287224681659936,,,21.52160926319647,20.60112490417773,1,9.5,3.5,10.356049931721552,0.05178024965860776,-0.6860597003155652,6,3.836521911922204,61.72556070914928,0,0.7180999597444901,21.45281071292,20.60112490417773,0,1,1,0,5,8,1,1,2240,0,4,0,,-0.28066170574413657,-0.6728008094909511,0,5.361697754935724,0.45407249300160624,,,,,,0.4147888987103051,23.16585456769376,43.65079365079365,74.30908356215492,3,13.29010175160109,12.281677997935303,19.083184226645,21.342839194305522,,,,4412679
2006-12-29,20.99455274,21.0911905,20.87858744,21.06703119,20.97396258910081,20.810200927485717,21.063810616454266,21.00271066549704,19.08805259337392,21.922457372067566,0,0,1,0,21.33674640574265,19.555730822812432,94.20207699454191,72.271495170658,4,11,21.06703119,20.958667507537427,21.046753823456655,20.52624217632308,21.45281071292,21.319366477970043,,,21.600874265758502,20.685333153000002,1,11,0,10.367629630866844,0.05183814815433422,-0.6308053611217732,4,3.840754407972821,64.90098276156654,0,0.7133642014970241,21.45281071292,20.685333153000002,0,1,0,0,8,8,1,1,2240,0,5,0,,-0.411984885371062,-0.6172863793080902,1,4.33653572438325,0.9530677735887771,,,,,,0.6654450206863184,22.22533895951722,40.07936507936508,67.04798156933796,3,13.304763548006097,11.80367277341159,18.26070700262292,20.422971790375517,,,,6975380
2007-01-03,21.2748025,21.6903446,21.24581091,21.26997073,21.07263196940054,20.871141790002603,21.08344491298243,21.013191452340294,19.109763221599056,21.90616034001699,0,0,0,0,21.334964132502456,19.572096465317124,89.53006216286401,74.5968992267571,4,12,20.98249309200069,20.88118850288,21.013191452340294,20.69533843724429,21.644363047628598,21.319199918189994,,,21.579611025635714,20.88118850288,0,0,7,11.304208656857359,0.0565210432842868,-0.24443332583265595,6,3.75424082635506,48.568025889617026,0,2.304925045318801,21.644363047628598,20.88118850288,1,1,0,0,8,8,1,1,2240,0,6,1,,-0.3958289556830036,-0.2295611300272866,2,2.7380141535741584,1.4252389641398095,,,,,,1.4918622433054023,21.024683393811504,37.698412698412696,61.6652630783536,3,13.005071710192661,12.467151165438949,27.587208656979357,17.97670027855049,,,,15751868
2007-01-04,21.07669522,21.96093032,21.07669522,21.79664639,21.31397010960036,21.00689982063983,21.15136886317458,21.043915175385774,19.136498377503543,21.894208118119668,0,0,0,0,21.345011110853623,19.589657625070146,85.04409263738404,67.93337668038647,4,13,21.325271125834043,21.27892945846,21.39376096,21.074774572512553,21.72817269988319,22.21788793,22.16684920851314,22.26892665148686,22.473081537434307,21.27892945846,0,3,0,13.900913113883309,0.06950456556941655,0.7063023456326833,6,4.433563048758155,51.05491224660913,0,1.6084116476128023,21.72817269988319,21.27892945846,1,1,0,0,8,8,1,1,3265,0,7,0,,0.43115292130102195,0.7333618300821184,3,2.3353994773471864,0.4315595817063438,,,,,,1.2829622558211056,19.469654577896204,35.714285714285715,26.76948752004288,3,15.358312918018191,13.700114643165746,28.053415230292416,15.19596325998993,,,,13128759
2007-01-05,21.79181463,21.79181463,21.34728094,21.40526309,21.344401103066904,21.144988956553252,21.17554926572938,21.058085681841234,19.159073150762215,21.88379141930647,0,0,0,0,21.346107051015306,19.60177808352166,74.65191497586221,68.6686697913514,4,14,21.339661172048885,21.288255882007512,21.391066462090258,21.082634721842027,21.656729848029237,21.656729848029237,,,21.913756298236095,20.88118850288,0,0,4,11.723896670588276,0.058619483352941384,-0.15102751135162562,6,4.546277453353902,38.18234250876901,0,1.2336032954008065,21.656729848029237,20.88118850288,0,1,0,0,8,8,1,1,3265,0,8,1,,0.11595446184793298,-0.1324163279938013,4,1.2222072082827138,0.9120979656817998,,,,,,1.085887526062711,17.5615619945782,28.571428571428573,11.510710124830872,2,15.748767069027608,14.845009301054915,25.863841461847247,14.009915776387926,,,,11176843
2007-01-08,20.85442812,21.51156488,20.85442812,21.40043133,21.363077845377937,21.27185361469654,21.196966605183725,21.071511001376873,19.181375222197417,21.87476111705507,0,0,0,0,21.34675262482092,19.60968233276514,71.64270412089965,55.61934081278266,4,15,21.32968542247555,21.276084646365703,21.383286198585395,21.061681541926323,21.621318667947556,21.621318667947556,,,21.889322548496782,20.88118850288,0,3.5,0,11.568806105386056,0.05784403052693028,-0.1992936301942406,6,4.48997586239191,54.20671742547061,0,1.088167995457213,21.621318667947556,20.88118850288,0,1,0,0,8,8,1,1,3265,0,9,2,,0.25521308511271185,-0.1809869501191499,5,1.4840533286763211,-0.5792220679715556,,,,,,0.747586770971586,15.16750153406908,17.063492063492063,-2.4832052330475407,1,15.553732636841348,14.168050849455943,23.032712249850388,20.6860669989096,,,,7390052
2007-01-09,21.40526309,21.50190085,21.17816474,21.20232405,21.309493246918624,21.35390036940433,21.19747683802337,21.07664092485229,19.20148416575764,21.865777921041044,0,0,0,0,21.344682299695872,19.618201671629073,56.07468492417419,74.78551789723959,4,16,21.07170258888653,,,20.808389337751535,21.618282415591963,21.309730537770413,21.257067887543414,21.362393187997412,21.57304378890541,20.685333153000002,0,0,4,10.420235576427444,0.05210117788213722,-0.6098025012876128,6,4.281655866183531,13.195136923650068,0,2.3713101489537065,21.618282415591963,20.685333153000002,1,1,0,0,8,8,1,1,3265,0,10,3,,0.004922006822423793,-0.5949981809377212,6,-0.0725303077472712,3.477336928649692,,,,,,0.9268285634159368,11.967644354970979,6.746031746031746,-19.312493742438146,1,14.832091001510408,13.539446572971183,21.76851310505547,19.55066844378017,,,,9043811
2007-01-10,21.18782826,21.44875046,21.08152698,21.31828936,21.312425284612416,21.406677741222943,21.208982792497334,21.086117334073766,19.22254690400881,21.857487339527392,0,0,0,0,21.34435367235055,19.62616312881146,53.602929942714205,83.019340414285,4,17,21.076309176702527,,,20.815410109577176,21.628399203782443,21.34435367235055,21.29217385892548,21.39653348577562,21.6052527394759,20.88118850288,0,3.5,4,10.90252226438387,0.05451261132191936,-0.3838832221820635,6,4.316752854980702,18.724601094189325,0,1.775265717021589,21.628399203782443,20.88118850288,1,1,0,1,8,19,1,1,3265,0,11,4,,0.4698383246133644,-0.3683215649400559,7,0.5003396270696037,2.946593995958289,,,,,,0.8321151391223197,10.598817449777542,3.9682539682539684,-29.122301955967277,0,14.953670537089161,12.647510791526392,20.40066251232591,19.975762962186693,,,,7954694
2007-01-11,21.38110378,21.55021998,21.2216516,21.38593604,21.336928869741612,21.447930577812986,21.225835482735683,21.0978749303846,19.24407316406842,21.850116025609015,0,0,0,0,21.344871625811674,19.634471802256083,52.98366758347336,87.03734914709537,4,18,21.08202467490918,,,20.82509302418564,21.643872100807762,21.39376096,21.342374629855293,21.44514729014471,21.650692610723542,20.88118850288,0,2,4,11.129987179277407,0.05564993589638704,-0.2700479389696223,6,4.324109237363267,19.461628803181373,0,1.9949759232720252,21.643872100807762,20.88118850288,1,1,0,1,8,19,1,1,3265,0,12,5,,0.5947282169560253,-0.25587460641246257,8,0.5661957329364329,2.9138839235779717,,,,,,0.8435646424027246,8.89992642093013,1.1904761904761905,-40.58458479155899,0,14.979153793182176,12.132100808410469,20.999060151365196,18.835346397316613,,,,8058100
