time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2013-01-18,25.10001,25.49001,24.16,24.78999,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,17763552
2013-01-22,25,27.355,24.85001,26.95,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2071934
2013-01-23,28,28.86,26.491,27.49001,,,,,,,0,0,0,0,,,86.97207926649946,38.305129359549284,0,2,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1572111
2013-01-24,27.17,27.89999,26.64,27.345,,,,,,,0,0,0,0,,,80.26759196371381,38.305129359549284,0,3,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,508646
2013-01-25,27.5,27.89999,26.27499,27.35001,26.785002,,,,,,0,0,0,0,,,76.91534831232099,38.305129359549284,0,4,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,870620
2013-01-28,27.88,27.88,26.94099,27.75999,27.109997999999997,,,,,,0,0,0,0,,,75.23922648662457,38.305129359549284,0,5,0,,,0,,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,172175
2013-01-29,27.89999,27.964,27,27.11,27.109998666666666,,,,,,0,0,0,0,,,83.90785751789049,38.305129359549284,0,6,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2048,0,,0,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,437357
2013-01-30,26.69,27.22501,26.17,26.28999,26.836662444444443,,,,,,0,0,0,0,,,78.73548108940933,38.305129359549284,0,7,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2048,0,,1,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,816367
2013-01-31,26.02,26.92,25.75,26.37,26.681108296296294,,,,,,0,0,0,0,,,76.14929287516875,42.88344431441926,0,8,25.10001,25.10001,25.10001,23.8450095,26.104010400000004,0,,,0,,0,1,0,0,0.2,0,0,0,50,0,0.8000000000000012,,,0,0,0,0,8,10,0,0,2048,0,,2,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,970389
2013-02-01,26.47,27.8,26.17999,27.64999,27.004068864197528,,,,,,0,0,0,0,,,84.36289071216258,40.59428683698427,0,9,25.10001,,,23.8450095,27.964,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,2.2820628358315354,27.964,,1,0,0,0,8,10,0,0,2048,0,,3,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1099294
2013-02-04,27.71001,29.08,27.60361,28.41,27.472712576131684,,,,,,0,0,0,0,,,89.56976765078818,39.449708098266775,0,10,25.10001,,,23.8450095,27.964,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,2.2820628358315354,27.964,,1,0,0,0,8,10,0,0,2048,0,,4,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,952099
2013-02-05,28.96001,28.96001,27.97009,28.53999,27.828471717421124,,,,,,0,0,0,0,,,84.88124246471918,38.877418728908026,0,11,27.964,,,26.565799999999996,29.08256,0,,,0,,0,0,5,0,0.2,0,0,0,50,0,0.8,,,0,0,0,0,8,10,0,0,2048,0,,5,,0,0,100,1.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,447164
2013-02-06,28.10001,28.7404,27.8,27.98,27.878981144947417,,,,,,0,0,0,0,,,79.22217356282368,38.591274044228655,0,12,27.964,,,26.565799999999996,29.08256,0,,,0,,0,0,2,0,0.2,0,0,0,50,0,0.8,,,0,0,0,0,8,10,0,0,2048,0,,6,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,377202
2013-02-07,27.92999,28.0899,27.42999,27.55,27.76932076329828,,,,,,0,0,0,0,,,76.39263911187592,38.44820170188897,0,13,25.10001,,,24.42273642857143,29.08,0,,,0.2722639757142857,,0,0,2,0,0.2,0,0,0,50,0,5.876487977531758,29.08,,1,0,0,0,8,10,0,0,2048,0,,7,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,276266
2013-02-08,27.60001,28.31,27.32001,27.91,27.816213842198852,,,,,,0,0,0,0,,,84.48456383051617,38.37666553071912,0,14,25.10001,,,24.435756326530612,29.08,0,,,0.2670299767346938,,0,0,2,0,0.2,0,0,0,50,0,5.991671794922197,29.08,,1,0,0,0,8,10,0,0,2048,0,,8,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,31.326260602116417,11.57190538476904,,,,380107
2013-02-11,27.78,27.84,27.425,27.67999,27.770805894799235,,,,,,0,0,0,0,,,79.02383424572217,55.96988509582365,0,15,25.10001,,,24.465881588921285,29.08,0,,,0.25491962125364426,,0,0,2,0,0.2,0,0,0,50,0,6.276315538724456,29.08,,1,0,0,0,8,8,0,0,2048,0,,9,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,30.471670004321428,11.256220034832042,,,,576836
2013-02-12,28.91,29.5,28.24001,28.32001,27.953873929866155,,,,,,0,0,0,0,,,85.8001613974393,47.13750722768647,0,16,25.10001,,,24.44617611828405,29.08,0,,,0.2628412204498125,,0,0,3,0,0.2,0,0,0,50,0,6.08715778013023,29.08,,1,0,0,0,8,10,0,0,2048,0,,10,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,36.50278119246789,10.138483905932729,,,,1876780
2013-02-13,28.81,29.53999,28.28999,28.92,28.275915953244105,,,,,,0,0,0,0,,,90.28840299342653,42.72131829361788,0,17,28.92,27.15706642031594,27.48295357968406,26.5052921015797,29.08,29.08,29.08,29.340709727494495,29.73177431873624,27.32001,1,0,7.5,0,0.2,0,0,0,50,0,0.06626060241268446,29.08,27.32001,0,1,0,0,8,10,0,0,2048,0,,11,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,34.22412708029804,9.444801808805998,,,,772492
