time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,40.87381414,40.91568755,40.70628684,40.867826,40.670766127287564,40.58765417188961,40.29568533262083,40.10743996299953,39.03359807736824,40.33907992407433,0,0,0,0,40.03625779331655,30.77886441976754,98.44627063222927,69.53175894585833,5,4,40.25640084178367,40.190603004797936,40.32219867876941,39.927411656855,41.11138715348684,41.11138715348684,,,41.44037633841551,40.29842584474,0,5.5,0,4.699100295586767,0.17349550147793383,0.4473038443205512,6,4.362841074985522,74.97060868942953,0,2.5988280188861856,41.11138715348684,40.29842584474,1,1,0,0,8,8,2,0,200,1,,0,30,0.7831908702149768,0.4535661882084102,6,6.609811775411538,0.9182777337593018,,,,,,0.49173054461288146,5.893595520772621,1.5873015873015872,-61.00397766122919,0,15.113324814446683,12.98205005070941,24.727852909884465,17.024714077534963,,,,653346
2006-12-28,40.71825849,40.92166381,40.682362,40.89176271,40.744431654858374,40.731009834126844,40.35245460665694,40.13819771778386,39.052087277692934,40.339881196482395,0,0,0,0,40.04051998284788,30.781841935382605,99.07869496973755,69.673691506713,5,5,40.89176271,40.19316622699335,40.319635456574,39.94022776783205,41.14303024,41.18122490462583,,,41.49739797857745,40.29842584474,1,7,0,4.710824850987965,0.1786060581815936,0.4028086057226162,0,3.8519317390294496,78.02818929237745,0,0.26406547869647146,41.14303024,40.29842584474,0,1,0,0,8,8,2,0,200,0,,0,,1.0404154714132303,0.4104538871467858,7,7.542024936468358,1.368044517270125,,,,,,0.4198639209522576,5.930257883586925,1.9841269841269842,-55.556896936139665,0,13.343482958572295,13.302322597765517,23.892327826830908,16.787281832572745,,,,526799
2006-12-29,40.77209631,40.86184314,40.43108854,40.50288086,40.66391472323892,40.82089288982642,40.36678091649914,40.15249901747861,39.066523034730814,40.34164784124095,0,0,0,0,40.04391329707607,30.786087478080116,98.6908673741016,83.01821945397262,5,6,40.47895009,40.41611907117684,40.54178110882316,40.1647949958842,41.14303024,40.73758057,,,41.051735664115796,39.90098787,0,0,6,3.6766973707699475,0.16838348685384974,-0.14239346715378337,0,3.99523365544316,33.75175325729811,0,2.1138608363779205,41.14303024,39.90098787,1,1,1,0,1,8,3,0,200,0,,0,,0.6742831272613284,-0.13362918348588818,8,5.162288539525972,4.619188097444736,,,,,,0.636090598439769,8.122836244060588,4.365079365079365,-41.30854292211057,0,13.839895358673363,12.879311921697562,22.328243361928433,19.259030546284666,,,,781766
2007-01-03,40.44306019,41.10115089,40.41912348,40.76013718,40.69598887549261,40.88049755927576,40.40424341778493,40.17632796502847,39.083374916773295,40.34563081825821,0,0,0,0,40.05294195855607,30.793659350522944,97.6560066737789,85.54593163449357,5,7,40.76013718,40.41451747064635,40.543382709353644,39.90366252517082,41.14303024,41.17539142591031,,,41.59281121741459,39.90098787,1,3.5,6,4.290218710122434,0.17145109355061217,0.1588948159973606,0,4.01998635754213,40.046883624322035,0,0.44705708200596767,41.14303024,39.90098787,0,1,0,0,8,8,2,0,200,0,,0,,0.25736810646079034,0.16562704329818462,9,4.2210146840997025,2.9158967593690464,,,,,,1.1328846559154027,11.19511936131123,17.46031746031746,-19.60787174393673,1,13.92564123399343,13.021956685028227,23.53414057579742,17.43885849590443,,,,1359934
2007-01-04,40.61056968,40.78406796,40.01229965,40.05417834,40.482052030328404,40.83734375528009,40.37090388656732,40.171537783654806,39.09303465232779,40.3469993878402,0,0,0,0,40.052965741742995,30.80458464006878,90.86514170926195,97.90758566759419,4,0,39.9117997770516,,,39.57819438764181,40.94560052,40.141495509068314,40.074774431186356,40.20821658695027,40.475100898478104,39.547254819053904,0,0,5.5,2.4586059798634263,0.16229302989931713,-0.7515249351461702,4,4.221316464935474,20.638069069841016,0,1.781268255485115,40.94560052,39.547254819053904,1,1,0,0,8,8,1,0,200,0,,1,,-0.14967631110923585,-0.7395352238500295,0,3.5030383615499368,4.947607264180933,,,,,,1.6950799440742967,13.203059426656033,25,-9.710750456338896,1,14.623069184190571,12.09548883780264,21.103592539631965,21.081906314537324,,,,2115906
2007-01-05,39.62342373,40.41314062,39.62342373,40.2516074,40.40523715355227,40.74385880300173,40.35954231641805,40.17467776860952,39.1045627393693,40.34679369068836,0,0,0,0,40.05588376133472,30.813214882888484,90.59698225463676,89.8374667300497,4,1,39.90695354113337,39.83794721086798,39.97595987139876,39.56192188980642,40.94560052,40.49689816749999,,,40.84192981882694,39.66129840368,0,5,0,2.9332757618994876,0.16466637880949744,-0.46304966200311387,6,4.249129913944856,33.972716199098365,0,3.0102947798328774,40.94560052,39.66129840368,1,1,0,0,8,8,3,0,1224,0,,0,,-0.24079517303835157,-0.45171732278946186,0,2.9667761330847124,2.47004213570146,,,,,,1.2772810970733057,14.478056289048272,28.96825396825397,-1.6397490178849812,1,14.71941779782652,12.065914002593791,18.947234538524036,23.959340895083976,,,,1639924
2007-01-08,40.10203989,40.56869099,39.9644381,40.48493294,40.43180241570151,40.650949004509954,40.371484280568716,40.18684463807581,39.11829776624125,40.34647595653199,0,0,0,0,40.06124585263382,30.820820966784165,93.70672881714424,79.96593378906127,5,0,40.48493294,39.8369917206999,39.975936564228476,39.40865872588568,41.10115089,40.49689816749999,,,40.84426027632144,39.90098787,1,6.5,0,3.493595712996863,0.1674679785649843,-0.1580603432620077,6,4.1980406830363775,54.714677039158055,0,0.5725473507763007,41.10115089,39.90098787,0,1,0,0,8,8,2,0,1224,0,,1,,-0.5660589941735913,-0.14669003765005573,1,4.303104301096239,1.3857295887996561,,,,,,1.0873802577641487,15.327337276604853,33.73015873015873,5.397290912000872,2,14.542439510520316,11.65485446295552,19.474951106314542,22.098697515888436,,,,1412846
2007-01-09,40.61056968,40.90372183,40.3054518,40.73620641,40.533270413801006,40.59682631688745,40.40621972146693,40.2083882369748,39.13439635971149,40.34730777560373,0,0,0,0,40.068911355615086,30.827983207058427,95.7547232242172,75.17547861983005,5,1,40.73620641,40.398040991435444,40.53774459667627,39.7466373790367,41.10115089,40.885745129024386,,,41.20107102048165,39.90098787,1,3.5,6.5,4.093100186253448,0.17046550093126722,0.13900687868985256,6,4.241753294888576,59.06983761072465,0,0.3687913309541839,41.10115089,39.90098787,0,1,0,0,8,8,2,0,1224,0,,2,,-0.36980298719805565,0.15193112349233467,2,4.810974739303107,1.4042670767680412,,,,,,1.0006413483487004,15.822706125723826,36.111111111111114,7.682401661633666,2,14.693864439839405,11.133559847735862,22.268084415185033,20.408769194962037,,,,1298645
2007-01-10,40.82595259,41.10713968,40.5866389,41.07722012,40.714586982534,40.622706083129444,40.47012452132722,40.242460075524804,39.15372793941585,40.35110321581611,0,0,0,0,40.07883612973823,30.834459359681926,95.64378794374431,40.068610634723655,3,0,41.07722012,40.66807085345962,40.80709028654038,40.03056116767693,41.10115089,41.25708776567666,,,41.561116111117634,40.29842584474,1,6.5,0,4.912666767160577,0.024563333835802885,0.518350336384368,0,4.1610403544939345,88.65250576287826,0,0.02286396150998868,41.10115089,40.29842584474,0,1,0,0,15,10,2,1,1224,0,0,3,,0.35872368617471706,0.5323169225022097,3,4.183626893434346,-4.036696666408862,,,,,,0.8660234361325105,15.557291710040206,34.12698412698413,7.929817923450997,2,14.414266612655812,11.070142759955015,23.39218595506858,19.04426568000505,,,,1136714
2007-01-11,41.04133022,41.49003274,40.95158338,41.40028591,40.943153291689335,40.72812237774156,40.55871132024844,40.287865010210105,39.17608175006843,40.359638919174095,0,0,0,0,40.09156545501482,30.84105245477413,95.92188809426173,21.148800961099578,2,0,41.40028591,41.031798569641076,41.17050321035892,40.396764817128584,42.12000466,41.43227970243024,,,41.779041304224876,40.29842584474,1,5,0,5.677454356260856,0.02838727178130428,0.8383347445181969,0,4.116360502820913,89.38121768374499,0,0.7171934452724231,41.43227970243024,40.29842584474,1,1,0,0,8,10,2,1,1256,0,1,0,,0.43339030698367736,0.8508164972478885,4,3.868566767025718,-4.601438603975316,,,,,,0.8496909272002445,14.741691336863042,28.571428571428573,3.381609261575141,2,14.259491066311183,11.722643249931437,26.700062511854966,17.724095016078206,,,,1123266
2007-01-12,41.23277048,41.72335763,41.15498936,41.6276286,41.17131172779289,40.8986794993329,40.66051296593907,40.340404758829315,39.20047525106277,40.37393910534724,0,0,0,0,40.10893687727835,30.849038997678143,96.79296381468225,10.92273914037789,2,1,41.6276286,41.03167759011314,41.17062418988686,40.59920296090512,,42.12000466,42.05053136011314,42.18947795988686,42.4673711594343,40.29842584474,1,5,0,6.191642660943067,0.030958213304715338,1.0083080171924312,0,3.787964419831118,94.74719153232653,0,0,,40.29842584474,0,1,0,0,8,10,3,1,1256,0,2,1,,0.5124251667713022,1.0151310458343121,5,4.537480373973164,-6.172815950610312,,,,,,1.0283650035826382,13.895775659856998,24.206349206349206,5.897639584676623,2,13.121893664821322,12.715408932865193,27.748386713193774,16.4294284167709,,,,1333809
2007-01-16,41.50797472,41.76523105,41.45412438,41.75325939,41.36529428186193,41.11127164478917,40.76458405394487,40.39581082279679,39.225876088266126,40.394100342777115,0,0,0,0,40.12256688795197,30.85500289357587,95.92668269838789,11.559545755546765,2,2,41.75325939,41.033862230551485,41.168439549448514,40.76470759275743,,42.12000466,42.052716000551484,42.187293319448514,42.45644795724257,40.29842584474,1,3.5,0,6.443153228870526,0.032215766144352634,1.0360479484550587,0,3.691724913201882,75.93928575203017,0,0,,40.29842584474,0,1,0,0,8,10,2,1,1256,0,3,2,,0.6086330026858505,1.0357480933169874,6,3.5029712796200823,-2.1919548313382826,,,,,,0.7918047343337793,13.982425325329858,24.206349206349206,9.335841853143739,2,12.788510234466925,13.70605556507741,27.15852848354665,15.75120640938879,,,,985806
