time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2014-04-15,17.44929928,17.4687957,14.76854101,14.96350525,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3531656
2014-04-16,14.96350525,15.68487293,14.82703028,15.22670697,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,266491
2014-04-17,15.54839796,16.13329067,15.31444088,15.84084432,,,,,,,0,0,0,0,,,79.90089929033759,38.305129359549284,0,2,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,262050
2014-04-21,16.17228352,16.17228352,15.60688723,15.69462114,,,,,,,0,0,0,0,,,86.23869391974699,38.305129359549284,0,3,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,77904
2014-04-22,15.79210326,16.26879082,15.36318193,15.5776426,15.460664056000002,,,,,,0,0,0,0,,,89.4075912344517,38.305129359549284,0,4,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,96099
2014-04-23,15.42167121,15.77260683,15.40217478,15.6653765,15.528901537333335,,,,,,0,0,0,0,,,81.48534794768995,38.305129359549284,0,5,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,56538
2014-04-24,15.87008895,15.88958538,15.35343372,15.35343372,15.470412264888889,,,,,,0,0,0,0,,,87.03091824842318,38.305129359549284,0,6,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2050,0,,0,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,42799
2014-04-25,15.35343372,15.35343372,14.86602313,14.91476419,15.285196239925925,,,,,,0,0,0,0,,,80.29701145467567,42.88344431441926,0,7,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2050,0,,1,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,71590
2014-04-28,15.04149094,15.26569982,14.14465545,14.5930732,15.054488559950617,,,,,,0,0,0,0,,,76.93005805780192,45.17260179185425,0,8,0,,,0,,0,,,0,,0,3,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2050,0,,2,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,197460
2014-04-29,14.63206604,15.06098737,14.63206604,14.89526776,15.001414959967077,,,,,,0,0,0,0,,,53.4197174790142,41.738865575701766,0,9,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2050,0,,3,,0,0,100,-1.135489307377496,-0.6354893073774961,,,,,,,,,,0,,,,,,,,68530
2014-04-30,14.78803743,15.11947664,14.6808071,15.02199452,15.008274813311385,,,,,,0,0,0,0,,,72.9981030140853,40.021997467625525,0,10,0,,,0,,17.44929928,,,18.321764244000004,16.751327308800004,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,2050,0,,4,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,53562
