time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,20.4410207,20.52767328,20.2880903,20.34416291,20.38290342958818,20.587948555558008,20.29023859892243,19.98513048316734,19.281377688454786,20.599494943491955,0,0,0,0,20.569810398321216,19.04704107809778,77.33105118893029,88.876613523529,1,2,20.035705149775808,19.94329543,20.100511349599973,19.751776743677855,20.794066353992314,20.78677594604978,20.738896274469244,20.834655617630315,21.02617430395246,20.01792226,0,0,6,5.511977612375621,0.027559888061878108,0.1275935133518116,6,4.912515832300388,20.330840567815763,0,3.211608019309539,20.794066353992314,20.01792226,1,1,0,0,8,15,2,1,1256,0,10,0,,0.5937269977401985,0.11036773237807036,9,0.7142725028351746,3.620252760307817,,,,,,0.5843167059870457,1.6972226183918557,0,-90.02657732764594,0,17.01745402906156,16.57345863451532,23.095974626605596,18.321541785595034,,,,1179817
2006-12-28,20.3900405,20.46140565,20.20143263,20.28298769,20.349598183058784,20.5477570929303,20.28954803616791,19.99681115794509,19.291343957126877,20.627414539166395,0,0,0,0,20.55683505655487,19.05258888264635,70.64031907457077,92.21889828458367,1,3,20.046593550171735,19.945178611721737,20.113014217199975,19.758055080851175,20.79613877,20.787621419927664,20.740840537210023,20.834402302645305,21.021525833515867,20.01792226,0,4,6,5.140355877107127,0.025701779385535636,0.01121513309355375,6,4.9263928118359335,18.062315683264366,0,3.290656846188241,20.79613877,20.01792226,1,1,0,0,8,15,2,1,1256,0,11,0,,0.4705138990056454,-0.011060974165348387,0,0.7642356641755348,4.092505084394812,,,,,,0.4799587820995196,1.654085473420564,0,-90.30744471850069,0,17.06552529628388,15.891807061016902,21.949991724755407,19.066401236153524,,,,941708
2006-12-29,20.14025741,20.3900405,20.08928741,20.15554994,20.284915435372522,20.47801334701082,20.27678631272335,20.00303620822175,19.299943021633077,20.65235852806774,0,0,0,0,20.538737190985504,19.057733607602014,47.520389178601164,96.01510772350889,4,0,20.05514634194322,,,19.833423513834475,20.63753554,20.32887038,20.282745693458622,20.37499506654138,20.559493812706904,20.01792226,0,0,6,4.433209556151975,0.17216604778075986,-0.20741230877722755,6,4.97283184455847,3.2362772623282225,0,1.3482936939681396,20.63753554,20.01792226,1,1,0,0,15,8,2,1,1256,0,0,0,,-0.3229051046334723,-0.233261805320381,0,-1.0677976704256986,8.18129247593266,,,,,,0.5074640154670235,1.6012388396308017,0,-90.70473621474515,0,17.22639482454345,14.852069160026952,20.672103087512298,20.127237503326054,,,,983167
2007-01-03,20.23201769,20.37984548,19.77323668,20.03831231,20.20271439358168,20.378882711038955,20.254074502940174,20.004419584762076,19.30728997972628,20.673481431102946,0,0,0,0,20.484040356690052,19.070022850005657,41.6398117913724,97.70568328094834,4,1,20.011896208936673,,,19.770665128565973,20.63753554,20.03831231,20.32887038,20.467062752167976,20.765815208593114,20.01792226,2,6.5,5.5,3.7862503284579603,0.17031588655278002,-0.39202805024654697,6,4.989409710137006,6.655952566545089,0,0.02802744846712086,20.63753554,20.01792226,1,0,0,0,15,8,2,1,1256,2,1,1,0,-1.0110770792839219,-0.416431530776067,0,-0.3411059286869005,6.624965585050146,,,,,,1.3440967983309915,1.5381195401732903,0,-91.10081370186286,0,17.283822235469597,14.702182250653866,18.351440033535642,23.71665919218883,,,,2675132
2007-01-04,20.09438492,20.4868932,19.89558202,20.39513292,20.266853902387787,20.3092383568922,20.267508637898253,20.019741676340033,19.3181142875897,20.692913432150995,0,0,0,0,20.475301249518903,19.086381250529268,38.366928028129365,87.35580612208403,4,2,20.32887038,,,20.07847227054864,20.79613877,20.475301249518903,20.42522162762863,20.525380871409176,20.725699358970264,20.01792226,0,3.5,0,5.575174762798648,0.17787587381399322,0.24441391972771517,6,5.179335695988607,39.752534837176896,0,1.8266071997150986,20.79613877,20.01792226,1,1,0,0,10,8,2,1,1256,2,2,2,1,-0.3017589990907983,0.22895442570759506,1,-0.37987726715120296,1.4315280222977957,,,,,,1.3072064379966812,1.4694067858473407,0,-91.81012341008248,0,17.941745149814757,14.174273394866708,18.325296012525733,21.216368297685435,,,,2668002
2007-01-05,20.4868932,20.49199071,20.27789528,20.40533303,20.31301361159186,20.271197931594806,20.28063477047937,20.034862905895327,19.328932384529107,20.710735454349006,0,0,0,0,20.471024978524273,19.097076865786963,42.060345553284776,87.3744157110252,4,3,20.10108913198709,,,19.80540617731608,20.79613877,20.512567066273142,20.46415299389289,20.560981138653396,20.75463742817441,20.01792226,0,2,9,5.56885721392686,0.1778442860696343,0.23250938175998434,6,5.175371919693299,38.713811052391506,0,2.04339268297081,20.79613877,20.01792226,1,1,0,0,10,8,2,1,1224,2,3,3,2,-0.6182243701954824,0.2174891130542696,2,0.2129872225414955,2.401553691985435,,,,,,0.8542380302195702,1.396755618842668,0,-92.20908907568206,0,17.928014225948136,13.665146560601698,17.69575444945867,20.378667739029556,,,,1766893
2007-01-08,20.50728324,20.57355087,20.22691508,20.4410207,20.35568264106124,20.268868732047622,20.295909620909907,20.050790662526882,19.339997939906926,20.72737627395939,0,0,0,0,20.469408906486642,19.107151941494642,64.87185341107798,68.20904106604544,1,0,20.106095250482422,,,19.811686599927196,20.83683940580641,20.51279726974127,20.464746382977463,20.560848156505077,20.753051703560303,19.96838697352,0,2,9,5.692982819926671,0.17846491409963336,0.26599124341067465,6,5.133100142554652,61.124505473109934,0,2.2659739825294407,20.83683940580641,19.96838697352,1,1,0,0,8,8,2,1,1224,2,4,4,3,0.058836774232328415,0.24976493545641099,3,2.6170414233193378,-0.051010678554902045,,,,,,0.7961660217909339,1.3696688270991952,0,-92.29726048523179,0,17.781580494487407,12.88036065908186,18.071478557673565,19.066075716685454,,,,1645768
2007-01-09,20.41042545,20.72137356,20.38494809,20.4868932,20.399419494040828,20.292967978122512,20.314098533204202,20.067892722819945,19.35140983304218,20.743216973664595,0,0,0,1,20.470253276071528,19.116828302342874,68.0711808939364,83.06116806511908,4,0,20.44611312,,,20.20800072297161,20.84432483654731,20.52767328,20.48005080059432,20.575295759405677,20.765785677028386,19.96838697352,0,3.5,10,5.8677035769197765,0.17933851788459887,0.31323227243924795,6,5.064100547871839,36.00440595666085,0,2.3488332126332687,20.84432483654731,19.96838697352,1,1,0,1,8,19,2,1,1224,2,5,5,4,-0.22523026955100953,0.2952816212797132,4,1.6514112489933428,4.95132814225464,,,,,,0.7484919270868916,1.340024036654609,0,-92.36129663136097,0,17.542558887102825,12.310116437850295,19.70309159623954,17.86347860661802,,,,1550502
2007-01-10,20.3390603,20.56845846,20.25751034,20.54806332,20.448967436027218,20.335755416987446,20.33638089385142,20.086722942317202,19.363316832912407,20.758811255118452,0,0,0,0,20.473708647825205,19.12642244845093,78.08187953463367,66.18428510696623,1,0,20.44611312,20.399115923766157,20.493110316233842,20.211127138830786,20.85594225634879,20.8815522169939,,,21.17228131852927,20.152346,0,8,0,6.118510053369808,0.18059255026684903,0.38129369068540236,6,5.066556634613952,61.40195600602516,0,1.7440578127665933,20.85594225634879,20.152346,1,1,0,0,8,8,2,1,1224,2,6,6,5,0.2203017473418906,0.3635044593009724,5,2.6683018636721956,-0.03694091488463769,,,,,,0.7208424395703066,1.3069310570963393,0,-92.55355212579848,0,17.551067021153095,11.561342423041292,18.539146916518217,19.229281950586433,,,,1492019
2007-01-11,20.67040356,20.8437189,20.57864838,20.75706123,20.55166536735148,20.410560576510825,20.37644568777033,20.113010718304764,19.377184936366014,20.77532170713472,0,0,0,0,20.493063656382546,19.1442711867644,80.97035256653595,57.441642310279775,1,1,20.145189819618796,20.08928741,20.248975125768798,19.904167267560013,20.897642264769786,20.910878878737083,20.897642264769786,21.00684433,21.191964472439988,20.275293138960002,0,0,8,7.121139103360227,0.18560569551680114,0.6976665206463063,6,5.140633357103993,57.89823063575298,0,3.1219171763124973,20.897642264769786,20.275293138960002,1,1,0,0,8,15,2,1,1224,2,7,7,6,0.5525242656791232,0.6851745062857095,6,2.197015084960913,-0.06940235818233831,,,,,,1.153114867093531,1.2690955888668072,0,-92.87332290633934,0,17.807676315174955,11.548820398561961,22.792145898524513,18.13245669947626,,,,2463251
