time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,12.82790105,12.8695384,12.70821382,12.75504479,12.696007527373553,12.806151380116452,12.432767993157023,12.363421245695417,12.82253344164033,12.167111581686836,0,0,0,0,13.370209693087517,12.375136928393719,90.76885644031827,71.02824762210199,2,1,12.590753085813956,12.57811335,12.64605193,12.470634741223497,12.82270224,12.82270224,,,12.95705050097063,12.4532117,0,0,7,-0.5263285289720142,0.028118850244398252,1.4579599553474676,0,6.277126885389524,53.81404557129515,0,1.9310052513366671,12.82270224,12.4532117,1,1,0,0,8,8,1,1,197,0,2,0,,1.224950801955186,1.4385738468278526,15,2.7135858905637855,2.21866789656875,,,,,,0.363845062878122,23.20903839609646,66.26984126984127,6.734695747568424,2,21.74460538210247,31.33480354044967,25.05413409691426,12.099656981922589,,,,1347200
2006-12-28,12.7290351,12.85913557,12.66137765,12.66137765,12.684464234915701,12.818382452523377,12.454540341427784,12.375105810570107,12.820929901425004,12.179505405386912,0,0,0,0,13.368755126121973,12.37677672049725,92.53729843211157,80.08718104055521,2,2,12.590753085813956,12.57811335,12.64605193,12.47124900185039,12.82270224,12.973535889649995,12.910229001399994,12.973535889649995,13.080400237799605,12.4532117,0,0,5.5,-1.244467075724901,0.0044444444444444444,1.0554681899403966,0,6.382049558379059,50.17073768491133,0,1.940930774020741,12.82270224,12.890280268127798,1,1,0,0,8,8,1,1,197,0,3,0,,0.9826090854469012,1.042267495885158,16,3.3027779818367744,3.247671505061532,,,,,,0.4360364291345976,24.010772973519437,67.85714285714286,8.606381953835305,2,22.10806818307009,31.171302187501215,23.39827868896745,12.865251749697801,,,,1583100
2006-12-29,12.63015354,12.77065684,12.54169043,12.60413345,12.657687306610468,12.80637938462208,12.468787304148947,12.384087286626182,12.818772722803859,12.191774023868073,0,0,0,0,13.366506058624607,12.378633874540489,94.89500076744925,83.23546704298641,2,3,12.412168007570457,12.349147340320457,12.4532117,12.241738788110103,12.82270224,12.825069444255318,12.79821730620273,12.851921582307906,12.95933013451826,12.4532117,0,1,5.5,-1.6744135920440093,0.008888888888888889,0.8082763266985762,0,6.394502463241361,61.13819861611207,0,2.408825398188496,12.82270224,12.4532117,1,1,0,0,8,8,2,1,196,0,4,0,,0.5651068167086529,0.7963139939738388,17,4.3155937276158,2.9033812078904515,,,,,,0.6282192215400759,24.815505834559634,69.84126984126983,12.027785242241396,2,22.151206310916745,30.040801993086202,21.61688959053959,15.865482214006317,,,,2275900
2007-01-03,12.74984597,12.87994644,12.52607837,12.59893463,12.638103081073645,12.776762958697836,12.481182287563334,12.39251267264084,12.816585279094367,12.20372484989345,0,0,0,0,13.362699494101122,12.381641363351282,95.42062445740714,75.6169104965083,2,4,12.418216463011516,12.355221789861517,12.4532117,12.242847131737618,12.82270224,12.787518259089946,12.72928387,12.8338281,12.9462027581239,12.4532117,0,0,6.5,-1.6981953020621263,0.013333333333333334,0.7444895275154821,0,6.375302062095411,68.0282475772356,0,2.306479554037538,12.82270224,12.4532117,1,1,0,0,8,8,1,1,196,0,5,1,,0.23812931201635543,0.7314435656078345,18,3.7788603784911405,1.4449282103034373,,,,,,1.0519926706148675,25.29679786428781,70.63492063492063,14.544478946474918,2,22.08469417029577,29.562711599308233,22.659140656223098,14.081180719974599,,,,3856300
2007-01-04,12.63015354,12.67698971,12.51566513,12.60933747,12.628514544049096,12.74026255504026,12.493387543033492,12.401015605870612,12.814523111839696,12.215273665092626,0,0,0,0,13.359734769684286,12.384091128500678,97.13317257867067,71.90700991079157,2,5,12.423588075144123,12.360541387794122,12.4532117,12.25043189882193,12.82270224,12.787518259089946,12.72928387,12.8338281,12.943937588972192,12.4532117,0,2,5,-1.6011960807977277,0.017777777777777778,0.7324249439421985,0,6.312734625173744,78.74386149876358,0,2.3049375040093447,12.82270224,12.4532117,1,1,0,0,8,8,1,1,196,0,6,2,,-0.02434718086018947,0.7204514489914132,19,5.493445454994119,1.4571266550750381,,,,,,0.8436320614728265,24.54097345262034,69.04761904761905,12.22345362455222,2,21.86795421100039,29.03412363047092,21.473477840171324,13.682124491929518,,,,3072200
2007-01-05,12.56770011,12.57290934,12.28148949,12.35954457,12.538857886032732,12.679091730633766,12.480640593220778,12.39938929073843,12.80999596216965,12.224807193455643,0,0,0,0,13.3563169978931,12.383863160606387,96.41409859900261,73.10535865053174,2,6,12.221074703060168,12.192586357584482,12.249563048535855,12.078632975681732,12.59456333594,12.419850140087172,,,12.562291867465609,12.176052295102718,0,5,4.5,-3.5164054188613125,0,-0.06552317063321833,0,6.7450731858704085,64.27375158501751,0,2.622045096992925,12.59456333594,12.176052295102718,1,1,0,0,8,8,2,1,196,0,7,3,,-0.5891794165654718,-0.07056975391766164,0,3.6951931848964463,1.855752163994024,,,,,,0.7262122060813231,22.191003495573362,58.73015873015873,-5.027110242511734,1,23.365618917396038,27.0242871465875,19.26705039717317,19.6155994693704,,,,2676800
2007-01-08,12.37515662,12.44280887,12.25025497,12.44280887,12.506841547355155,12.616610269291343,12.477037571961656,12.401092019336923,12.806342359262489,12.232957317884818,0,0,0,0,13.35353928796763,12.384347764260093,97.06961197554526,77.39808208557719,2,7,12.396991385440558,12.368818690534562,12.425164080346553,12.25612791091058,12.70235300062,12.443414417999984,,,12.584277892529961,12.19131879176,0,1.5,0,-2.838698818633054,0,0.22257114766112007,0,4.104332299686678,66.59675997731182,0,2.1677842052267295,12.70235300062,12.19131879176,1,1,0,0,8,8,1,1,196,0,8,4,,-0.21696495013256642,0.21993348137022223,0,4.573644991086075,2.434050789022903,,,,,,0.7098524471325253,21.074770424863733,53.96825396825397,48.22781745563709,3,14.217824148406674,25.344872632161536,18.091283746212994,19.408456087135114,,,,2389200
2007-01-09,12.48964503,12.48964503,12.19821998,12.2294441,12.414375731570104,12.53452406422814,12.453457241298642,12.394360728382534,12.800602078075798,12.238584584739693,0,0,0,0,13.349811187839181,12.382966556066584,87.02012511733177,88.50428886761739,4,0,12.15529920757103,,,11.97910251134876,12.52702252332,12.246908738799986,12.21814636986942,12.275671107730552,12.390720583452822,11.72100787,0,0,3,-4.461961824858591,0,-0.41581644131844675,4,4.4184827592542915,15.498120231884386,0,3.656867555447323,12.52702252332,12.176480777755232,1,1,0,1,8,19,1,1,198,0,9,0,,-0.32486249790343064,-0.4114055478536,0,2.0488720381612744,7.212197042316766,,,,,,0.8009974940107452,22.029964852892068,57.53968253968254,43.929566222883956,3,15.306073262791111,24.097056068499263,16.454642132058467,19.267954023388,,,,2614600
2007-01-10,12.21903606,12.28148949,12.17739871,12.19821998,12.34232381438007,12.439203618811257,12.429148930698771,12.386668934328316,12.79460822635365,12.241802911750378,0,0,0,0,13.346829201081325,12.381685989958306,51.4617688776327,94.0037131850639,4,1,12.139337844526194,,,11.979087156115037,12.44039423922,12.19821998,12.209066428828745,12.264341020771226,12.502587857769928,11.72100787,2,0,7,-4.6612466423570735,0,-0.4406655168182315,4,4.417500953323193,5.6494622867292605,0,1.5678793488211784,12.44039423922,12.155370587921741,1,1,0,0,8,8,1,1,198,0,10,0,,-0.9627932301504097,-0.43338257137370184,0,-1.7805763604110574,6.886174843374867,,,,,,0.6392850951649892,25.296437884830436,70.23809523809524,65.30732394475814,3,15.302672187279443,23.064137980975488,15.901308417999598,19.292671734033203,,,,2046700
2007-01-11,12.16699587,12.18781195,12.0368954,12.07332353,12.252657052920046,12.331884786238529,12.395260797298889,12.374380879256618,12.787431264200878,12.242125332719231,0,0,0,0,13.34012559503583,12.377379030137242,44.11079688644385,96.17665381421023,4,2,11.72100787,11.693904268562418,11.74811147143758,11.585489862812095,12.29894156646,12.07332353,12.201578872562406,12.255786075437568,12.404640761500648,11.72100787,2,0,3.5,-5.584450226528782,0.038959713773483534,-0.745828240344164,4,4.5260816594637365,14.141103256181466,0,1.0633786187462784,12.29894156646,,1,1,0,0,10,8,1,1,198,0,11,1,,-1.3116777101878683,-0.7402250539082736,0,-0.2833789962830928,5.27000982880655,,,,,,1.3209078699729657,26.348433457205928,72.22222222222223,68.05126700967634,3,15.678806786793695,22.892175506506167,15.056246795346924,22.895892423508712,,,,4182602
