time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2020-09-30,10,11.42,9.11,9.5,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,10,,,10.5,9.600000000000001,0,0,0,0,0.2,0,0,0,50,0,0.7999999999999972,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,338584433
2020-10-01,9.69,10.1,9.23,9.46,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,10,,,10.5,9.600000000000001,0,0,1.5,0,0.2,0,0,0,50,0,0.7999999999999972,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,124297587
2020-10-02,9.06,9.28,8.94,9.2,,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,2,0,,,0,,10,,,10.5,9.600000000000001,0,3,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,55018343
2020-10-05,9.43,9.49,8.92,9.03,,,,,,,0,0,0,0,,,83.06979660504228,38.305129359549284,0,3,0,,,0,,10,,,10.5,9.600000000000001,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,36316878
2020-10-06,9.04,10.18,8.9,9.9,9.418000000000001,,,,,,0,0,0,0,,,87.82314257709935,38.305129359549284,0,4,0,,,0,,10,,,10.5,9.600000000000001,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,90864039
2020-10-07,10.04,10.49,9.99,10,9.612,,,,,,0,0,0,0,,,91.29989358325656,47.54872678244796,0,5,10,,,9.5,10.399999999999999,10,,,10.5,9.600000000000001,3,0,3.5,0,0.2,0,0,0,50,0,0.7999999999999972,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,0.3645106926225039,,,,,,,,,,0,,,,,,,,54672419
2020-10-08,10.29,10.4,9.99,10,9.741333333333333,,,,,,0,0,0,0,,,82.43149912209236,42.92692807099862,0,6,10,,,9.5,10.399999999999999,10,,,10.5,9.600000000000001,3,0,3.5,0,0.2,0,0,0,50,0,0.7999999999999972,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,34989186
2020-10-09,10.13,10.19,9.89,9.95,9.810888888888888,,,,,,0,0,0,0,,,77.99730189151026,40.616028715273956,0,7,0,,,0,,10,,,10.5,9.600000000000001,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,19653450
2020-10-12,10.04,10.05,9.66,9.89,9.837259259259259,,,,,,0,0,0,0,,,75.78020327621923,39.46057903741162,0,8,0,,,0,,10,,,10.5,9.600000000000001,0,1,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,20623565
2020-10-13,9.88,9.88,9.41,9.47,9.71483950617284,,,,,,0,0,0,0,,,74.67165396857371,43.461169153350426,0,9,0,,,0,,10,,,10.5,9.600000000000001,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,21847177
2020-10-14,9.6,9.66,9.29,9.34,9.589893004115227,,,,,,0,0,0,0,,,74.11737931475093,40.883149256449855,0,10,0,,,0,,10,,,10.5,9.600000000000001,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,13785097
2020-10-15,9.27,9.91,9.18,9.91,9.696595336076818,,,,,,0,0,0,0,,,83.34693393195367,39.59413930799957,0,11,0,,,0,,10,,,10.5,9.600000000000001,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,1,0,,0,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,12924093
2020-10-16,9.94,9.95,9.66,9.71,9.701063557384545,,,,,,0,0,0,0,,,87.96171124055505,38.949634333774426,0,12,0,,,0,,10,,,10.5,9.600000000000001,0,0,2,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,1,0,,1,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,11142464
2020-10-19,9.79,9.82,9.53,9.57,9.65737570492303,,,,,,0,0,0,0,,,80.76240795074162,38.627381846661855,0,13,0,,,-0.13361428571428574,,10,9.916071428571428,10.083928571428572,10.419642857142858,8.657142857142857,0,0,3.5,0,0.2,0,0,0,50,0,0,,,0,1,0,0,8,10,0,0,1,0,,2,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,9126352
2020-10-20,9.6,9.66,9.27,9.27,9.528250469948686,,,,,,0,0,0,0,,,73.21350334292907,38.466255603105566,0,14,9.18,9.04973469387755,9.18,8.854336734693877,10.49,10,9.918584183673469,10.081415816326531,10.407079081632654,9.18,0,0,3.5,0,0.2,0,0,0,50,0,4.022559924800253,10.49,9.18,1,1,0,0,8,10,0,0,1,0,,3,,0,0,100,0.8645106926225039,-0.6354893073774961,,,,,,,,,,0,,,20.053475935828867,18.449197860962595,,,,11138223
2020-10-21,9.3,9.48,9.2,9.2,9.418833646632457,,,,,,0,0,0,0,,,51.56144012157778,42.9640074361974,0,15,0,,,-0.1243358381924199,,10,,,10.390502004373179,8.75039358600583,0,0,3.5,0,0.2,0,0,0,50,0,0,,,0,1,0,0,8,10,0,0,1,0,,4,,0,0,100,-1.135489307377496,-0.1354893073774961,,,,,,,,,,0,,,19.27639383155396,18.703044681692393,,,,9189978
2020-10-22,9.37,9.75,9.22,9.68,9.505889097754972,,,,,,0,0,0,0,,,72.0689643353671,40.63456839787334,0,16,0,,,-0.12327256403581849,,10,9.922567484902125,10.077432515097875,10.387162575489379,8.761079758433985,0,0,0,0,0.2,0,0,0,50,0,0,,,0,1,0,0,8,10,0,0,1,0,,5,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,21.535196221747423,17.28606769369169,,,,17928578
2020-10-23,9.71,9.83,9.47,9.49,9.500592731836647,,,,,,0,0,0,0,,,82.32272644226175,39.46984887871131,0,17,0,,,-0.11958452374754575,,10,9.924884093123401,10.075115906876599,10.375579534382995,8.798145489974415,0,0,2,0,0.2,0,0,0,50,0,0,,,0,1,0,0,8,10,0,0,1,0,,6,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,21.570026194132172,16.409720568552288,,,,12618010
2020-10-26,9.72,9.97,9.6,9.95,9.650395154557765,,,,,,0,0,0,0,,,87.44960749570907,52.567223806913915,0,18,9.2,,,8.903855203029774,9.95,10,9.925963800757444,10.074036199242556,10.370180996212781,9.2,0,0,0,0,0.2,0,0,0,50,0,2.532544916112123,9.95,9.2,1,1,0,1,8,8,0,0,1,0,,7,,0,0,100,3.364510692622504,0.8645106926225039,,,,,,,,,,0,,,22.08550176133563,15.296227038312532,,,,23767344
2020-10-27,10,11.04,9.92,10.95,10.083596769705176,,9.6735,,,,0,0,0,0,,,95.03049073550255,38.305129359549284,0,19,10.95,,,9.69003361125345,,0,,,0.1266266220690283,,1,1.5,0,0,0.2,0,6,17.875015218599703,50,0,0,,,0,0,0,0,8,10,0,0,1,0,,8,,0,0,100,3.9345022660270508,-0.6354893073774961,,,,,,1.104646290096487,,,,0,61.92086908936317,,32.78506825813438,13.068010226928422,,,,53695925
2020-10-28,10.66,10.985,10.1,10.85,10.339064513136783,,9.78554761904762,,,,0,0,0,0,,,85.24306137110467,59.49964062207989,0,20,10,,,9.594875824694082,10.71177082774465,0,,,0.13028793477838344,,0,1.5,0,0,0.2,0,0,17.936669569061685,50,0,1.7569201522154922,10.71177082774465,,1,0,0,0,8,8,0,0,1,0,,9,,0,0,100,1.786429887727491,1.364510692622504,,,,,,0.9312215990567244,,,,0,62.13444602437879,,29.16923721375859,11.626752984615855,,,,30941720
2020-10-29,10.9,11.1,10.56,10.75,10.476043008757856,,9.87740022675737,,,,0,0,0,0,,,87.85020988358083,66.53137264150403,0,21,10,9.919941224586044,10.080058775413956,9.599706122930218,10.860762526578162,0,,,0.12873451086564175,,0,0,2,0,0.2,0,0,17.975739620740192,50,0,2.15032648732748,10.860762526578162,,1,0,0,0,8,8,0,0,1,0,,10,,0,0,100,2.9988109558713285,1.364510692622504,,,,,,0.7317126456567411,,,,0,62.26978865350182,,28.637228868917,10.841083477366285,,,,20515706
2020-10-30,10.61,10.68,9.85,10.13,10.360695339171905,10.370035930735932,9.901457348018573,,,,0,0,0,0,,,73.84589395795574,79.55393059533023,0,22,10,9.917623994258468,10.082376005741532,9.588119971292345,10.877994152030087,0,,,0.1324606172323816,,0,2.5,2,0,0.2,0,0,18.86096994695792,50,0,0,10.877994152030087,,1,0,0,0,8,8,0,0,1,0,,11,,0,0,100,0.5318246976025727,3.3645106926225035,,,,,,0.7508868427557502,,,,0,65.33631645632157,,25.539602588042676,18.20166544440652,,,,19728372
2020-11-02,10.23,10.57,10.23,10.54,10.420463559447937,10.51194935064935,9.962270933921566,,,,0,0,0,0,,,63.68996608123413,63.50784493230973,0,23,10,9.919579423240007,10.080420576759993,9.597897116200036,10.922183366705205,0,,,0.12931628743006862,,0,0,0,0,0.2,0,0,18.998131895051056,50,0,2.293401524481401,10.922183366705205,,1,0,0,0,8,8,0,0,1,0,,12,,0,0,100,0.1887968527563011,-0.1354893073774961,,,,,,0.46634010166608725,,,,0,65.81145938224644,,24.163494276375026,17.220935105400827,,,,11677845
2020-11-03,10.57,10.94,10.44,10.5,10.446975706298625,10.622401298701298,10.013483225929036,,,,0,0,0,0,,,76.64058048863146,78.04216674073307,0,24,10,9.92085946443715,10.07914053556285,9.604297322185747,10.982778011077974,0,,,0.1272579811850637,,0,0,2,0,0.2,0,0,16.82193141601946,50,0,0,10.982778011077974,,1,0,0,0,8,8,0,0,1,0,,13,,0,0,100,2.8701399351249473,3.3645106926225035,,,,,,1.0033312511618628,,,,0,58.27287978796954,,27.24636874693695,16.15565212809777,,,,21652807
2020-11-04,10.82,10.92,10.55,10.72,10.537983804199083,10.728837662337662,10.080770537745318,,,,0,0,0,0,,,81.63177021127078,85.30932764494474,0,25,10,9.922762359834495,10.077237640165505,9.61381179917248,11.071429032914445,11.1,11.1,11.223580224264806,11.408950560662015,9.85,0,0,3,0,0.2,0,0,16.903000231811138,50,0,4.045954787463451,11.071429032914445,9.85,1,1,0,0,8,8,0,0,1,0,,14,,0,0,100,2.490700129639545,3.3645106926225035,,,,,,0.8037779758129958,,,,0,58.55371040369079,,25.802480173404973,15.299502755593208,,,,15783356
2020-11-05,10.9,12.13,10.85,11.88,10.985322536132722,10.946382683982684,10.252125724626715,,,,0,0,0,0,,,98.71442422796353,8.693733200767465,0,26,11.88,11.015690048417746,11.184309951582254,10.53104077468394,,0,,,0.1355704021442641,,1,3.5,0,0,0.2,0,0,19.58347616088889,50,0,0,,,0,0,0,0,8,10,0,0,1,0,,15,,0,0,100,5.788032517696308,-3.1354893073774965,,,,,,2.3903680616719583,,,,0,67.83915139894691,,35.45182552565323,12.839537680384012,,,,48560380
2020-11-06,12.22,14.96,12.05,13.83,11.933548357421815,11.422262337662335,10.592875655614648,,,,0,0,0,1,,,,56.79232420534664,0,27,11.1,,,10.571060939082393,12.39935056130033,14.96,,,15.383151248734087,9.85,0,2,13,0,0.2,0,0,24.175415853142447,50,0,12.076060310083568,12.39935056130033,9.85,1,1,0,0,10,8,0,0,1,0,,16,,0,0,100,,0.3645106926225039,,,,,,3.7756156524602997,,,,0,83.74609710349762,27.143668746237136,50.938669586413226,9.315891258600326,,,,89977555
2020-11-09,14.96,15.9,14.11,14.67,12.845698904947877,12.12190303030303,10.981173212222776,,,,0,0,0,0,,,,85.4877878263212,0,28,11.1,,,10.545,13.36267152895458,14.67,,,16.53741892386946,9.85,2,2,0,0,0.2,0,0,24.410594247792,50,0,2.581102685846477,13.36267152895458,9.85,1,1,0,0,10,8,0,0,1,0,,17,,0,0,100,,2.3645106926225035,,,,,,2.3289660687718152,,,,0,84.56077896024864,30.426579804715697,50.02259041890385,7.772108744446856,,,,60098963
2020-11-10,14.99,15.01,13.18,14,13.230465936631918,12.832312554112553,11.268680525344417,,,,0,0,0,0,,,,74.44253742443074,0,29,11.1,,,10.545,13.920862630927816,15.9,,,16.398865107326838,9.85,0,0,0,0,0.2,0,0,24.503706052590108,50,0,12.127526882805755,13.920862630927816,9.85,1,1,0,0,10,8,0,0,1,0,,18,,0,0,100,,1.864510692622504,,,,,,1.4306401663129054,,,,0,84.88332771363815,31.96863199194077,43.20594582411871,13.638257175011365,,,,38078742
2020-11-11,14.57,15.97,14.4,15.96,14.140310624421279,13.681256277056281,11.715472856263997,,,,0,0,0,0,,,,6.142089926556296,0,30,11.1,,,10.545,14.908705418065995,0,,,0.21450278934929012,,0,0,0,0,0.2,0,0,26.612414045043135,50,0,0,14.908705418065995,,1,0,0,0,10,10,0,0,1,0,,19,,0,0,100,,-3.6354893073774965,,,,,,1.6630152958863043,,,,0,92.18810647614858,33.809361633491136,43.959712068302814,11.777619491686783,,,,47027940
2020-11-12,16.66,17.06,14.41,14.58,14.286873749614186,14.39421428571429,11.988284965191236,,,,0,0,0,0,,,,96.35043180796579,0,31,10,,,9.5,11.1,14.58,,,16.940473533433384,9.85,2,0,6.5,0,0.2,0,0,28.80431535830355,50,0,2.0038352190799893,11.1,9.85,1,1,0,0,10,8,0,0,2049,0,,0,,0,0,100,,4.3645106926225035,,,,,,3.0459214446170098,,,,0,99.78107535563655,35.9028375654513,43.49308941409711,9.834051469531962,,,,99287571
2020-11-13,14.49,16,14.49,15.8,14.791249166409457,15.088406060606065,12.351305444696832,,,,0,0,0,0,,,,89.55175794625218,0,32,11.1,,,10.545,16.06365736090359,17.06,,,17.661895641689892,9.85,0,2,0,0,0.2,0,0,29.10250787564801,50,0,11.978820746661453,16.06365736090359,9.85,1,1,0,0,10,8,0,0,2049,0,,1,,0,0,100,,2.8645106926225035,,,,,,2.1360649513288164,,,,0,100.81404453659148,37.84677950227145,39.49376595449031,8.929780164023544,,,,76622565
2020-11-16,15.96,16.1,15.01,15.93,15.170832777606305,15.727540692640696,12.692133497582848,,,,0,0,0,0,,,,89.55175794625218,0,33,11.1,,,10.545,16.652268326409587,0,,,0.24032833024795575,,0,0,0,0,0.2,0,0,28.8714808524874,50,0,0,16.652268326409587,,1,0,0,0,10,8,0,0,2049,0,,2,,0,0,100,,2.8645106926225035,,,,,,1.6888444808430205,,,,0,100.01374345252034,39.68706995767548,37.47104138575072,8.334041015336965,,,,65325988
2020-11-17,16.29,18.75,16.18,17.85,16.063888518404205,16.453446320346323,13.183358878765434,,,,0,0,0,0,,,,89.55175794625218,0,34,11.1,,,10.545,17.56937340189887,0,,,0.2636491638016732,,0,2,0,0,0.2,0,0,29.492753601661338,50,0,0,17.56937340189887,,1,0,0,0,10,8,0,0,2049,0,,3,,0,0,100,,2.8645106926225035,,,,,,2.653141239260946,,,,0,102.16589538637486,42.11345903482968,46.32701819440379,7.027752458183488,,,,116618543
2020-11-18,18.28,19.25,17.54,17.9,16.675925678936135,17.191619913419913,13.632562795073488,,,,0,0,0,0,,,,89.55175794625218,0,35,11.1,,,10.545,18.318886160753554,17.9,,,20.5802765667532,9.85,2,0,0,0,0.2,0,0,29.36163503294681,50,0,3.0034214005577446,18.318886160753554,9.85,1,1,0,0,10,8,0,0,2049,0,,4,,0,0,100,,2.8645106926225035,,,,,,1.87438476946593,,,,0,101.71168734071631,44.466478997445606,44.740425837037826,6.375208780230974,,,,89957892
2020-11-19,18.5,18.98,17.96,18.98,17.44395045262409,17.949670995670992,14.141842528876014,,,,0,0,0,0,,,,86.85632334864536,0,36,11.1,,,10.545,19.205585632534046,0,,,0.2656329524616468,,0,0,0,0,0.2,0,0,29.420289387577824,50,0,0,19.205585632534046,,1,0,0,0,10,8,0,0,2049,0,,5,,0,0,100,,2.364510692622504,,,,,,1.126577947282466,,,,0,101.91487198532847,46.651426105588975,42.08270646485504,5.99650170357854,,,,56225400
2020-11-20,19.03,19.66,18,18.15,17.679300301749393,18.546479653679647,14.523571811840203,,,,0,0,0,0,,,,91.60337757830558,0,37,11.1,,,10.545,19.66,18.15,,,20.841462958067808,9.85,2,0,0,0,0.2,0,0,29.99491002705928,50,0,3.0838247188653622,19.66,9.85,1,1,0,0,10,8,0,0,2049,0,,0,,0,0,100,,4.3645106926225035,,,,,,1.3634772052580086,,,,0,103.90541627064766,48.818034273073316,41.98254096398452,5.459662952542438,,,,72103988
2020-11-23,18.63,21.45,18.57,21.04,18.799533534499595,19.26895757575757,15.144184020236374,,,,0,0,0,0,,,,73.56310466092818,0,38,11.1,,,10.545,20.826539765694864,0,,,0.29854973962254244,,0,0,0,0,0.2,0,0,32.1206131460771,50,0,0,20.826539765694864,,1,0,0,0,10,8,0,0,2049,0,,1,,0,0,100,,1.364510692622504,,,,,,1.5146877006049888,,,,0,111.26906787854065,51.125387784946554,43.95437159627159,4.5815525817268865,,,,84716298
2020-11-24,22.35,24.27,20.63,23.82,20.473022356333065,20.335996536796536,15.970452208785291,,,,0,0,0,0,,,,2.998492141412281,0,39,9.85,,,9.3575,11.1,0,,,0.32948475822093226,,0,0,0,0,0.2,0,0,32.778717519289444,50,0,0,11.1,,1,0,0,0,10,10,0,0,2049,0,,2,,0,0,100,,-4.6354893073774965,,,,,,1.9564844987953511,,,,0,113.54880830071477,53.583063900909764,49.330927710743545,3.846638207618723,,,,115468825
2020-11-25,23.96,29.75,23.69,29.05,23.332014904222042,22.104695670995667,17.216123426996216,,,,0,0,0,0,,,,2.998492141412281,0,40,9.85,,,9.3575,11.1,0,,,0.3929544183480085,,0,2,0,0,0.2,0,0,35.9881607783305,50,0,0,11.1,,1,0,0,0,10,10,0,0,2049,0,,3,,0,0,100,,-4.6354893073774965,,,,,,2.996521592305588,444.6510262922036,,256.6720057000317,3,124.66664587805187,56.204584813769664,58.51050987478575,2.9874617875836633,,,,202563731
2020-11-27,31.19,33.5,26.12,27.66,24.774676602814694,24.080253246753248,18.210778338710863,,,,0,0,0,0,,,,85.4877878263212,0,41,9.85,,,9.3575,11.1,27.66,,,34.138341959894575,9.85,2,0,0,0,0.2,0,0,36.875296867592354,50,0,2.749160218811579,11.1,9.85,1,1,0,0,10,8,0,0,2049,0,,4,,0,0,100,,2.3645106926225035,,,,,,2.7003514429399202,476.2321242794466,,272.81428016261816,3,127.73977543771085,58.77409019318278,56.76652405613162,2.31060698921985,,,,207834002
2020-11-30,28.24,30.15,24.11,27.11,25.553117735209796,25.88831168831169,19.05832325883364,,,,0,0,0,0,,,,96.35043180796579,0,42,10.23,,,9.7185,11.1,27.11,,,34.191427534187824,10.23,2,0,0,0,0.2,0,0,35.87672995290555,50,0,2.3837001675871816,11.1,10.23,1,1,0,0,10,8,0,0,2048,0,,5,,0,0,100,,4.3645106926225035,,,,,,1.6566984265533276,486.7857584993775,,291.682699449216,3,124.28063817572117,59.77209458206586,47.31762242533722,7.465215833912194,,,,137243001
2020-12-01,28.09,28.14,24.45,25.67,25.592078490139865,27.205097402597396,19.68800675799234,,,,0,0,0,0,,,92.21672417506949,86.36678341940171,0,43,10.44,,,9.918,11.1,33.5,,,34.84199501500386,10.44,0,0,4.5,0,0.2,0,0,37.34501591377136,50,0,1.2643678160919538,11.1,10.44,0,1,0,0,8,8,0,0,2048,0,,6,,0,0,100,3.731550147627475,4.8645106926225035,,,,,,0.977515235119086,481.1058594785962,,271.8924609913535,3,129.3669299442405,60.69881294317157,42.647224266772135,6.728375551224515,,,,84539786
2020-12-02,22.24,23.4,21.15,22.51,24.564718993426577,27.66991428571428,19.95676801913593,,,,0,0,0,0,,,99.09878534865028,92.57648854915641,0,44,22.51,,,10.14711775858795,29.504298007287012,33.5,,,34.90756679964644,10.55,1,3,2,0,0.2,0,0,41.06546511826157,50,0,0.5657497880112576,29.504298007287012,10.55,0,1,0,0,8,8,0,0,2048,0,,7,,0,0,100,6.26683866318857,3.3645106926225035,,,,,,1.6053239479045325,459.74240731128145,,223.18202393989046,3,142.254944042553,59.56727392461578,37.73406004932129,14.364203176637975,,,,149062083
2020-12-03,23.55,25.62,23.5,24.03,24.38647932895105,27.71627489177489,20.344694874456316,,,,0,0,0,0,,,95.92650695939,77.5681173596978,0,45,24.03,,,10.442998186545951,29.70643842944424,33.5,,,34.918097742528836,10.85,1,0,3.5,0,0.2,0,0,41.108729535478695,50,0,0.41778447573498856,29.70643842944424,10.85,0,1,0,0,8,8,0,0,2048,0,,8,,0,0,100,4.306842927895688,0.8645106926225039,,,,,,0.8888074151827638,423.7745177691771,,197.58439955992824,3,142.40481638011283,58.929006136676165,40.38053778557205,13.23445126022355,,,,85634262
2020-12-04,24.88,25.24,23.51,23.85,24.207652885967367,27.470464502164504,20.67853345784143,,,,0,0,0,0,,,95.61142156683599,83.55993765297498,0,46,12.05,,,11.4475,29.834509984554785,33.5,,,34.878590760919636,12.05,0,0,2,0,0.2,0,0,40.825833261803254,50,0,29.51785889552657,29.834509984554785,12.05,1,1,0,0,8,8,0,0,2048,0,,9,,0,0,100,4.011532829758777,2.8645106926225035,,,,,,0.5794371091190778,384.21721032952377,,171.67591214675875,3,141.4248349415573,58.33632890501795,38.5635622129985,12.638949665273683,,,,56044061
2020-12-07,24.44,29,24.44,28.94,25.785101923978246,27.606837662337664,21.465339795189863,,,,0,0,0,0,,,94.36626593256696,38.305129359549284,0,47,28.94,,,20.680067919776864,30.862340987470052,33.5,,,35.175000000000004,21.15,1,0,0,0,0.2,0,0,42.2595663265017,50,0,0.23273084679143266,30.862340987470052,21.15,0,1,0,0,8,10,0,0,2048,0,,10,,0,0,100,3.7578815865533954,-0.6354893073774961,,,,,,1.2070163304276502,361.9293004465867,,147.23393683929908,3,146.39143196665557,58.387572622244186,42.90608037312432,11.045596736615972,,,,118463662
2020-12-08,30.63,31.24,27.25,28.59,26.720067949318832,27.939289610389608,22.143878862314637,,,,0,0,0,0,,,95.73872702452783,78.64148265711395,0,48,21.15,,,20.092499999999998,31.67115623641532,33.5,,,35.175000000000004,21.15,0,0,4,0,0.2,0,0,42.466595008798606,50,0,9.949083911503841,31.67115623641532,21.15,1,1,0,0,8,8,0,0,2048,0,,11,,0,0,100,4.417884117551315,4.3645106926225035,,,,,,1.2305780172098661,343.92536090345095,,133.790111566051,3,147.10860035938015,58.72369167983783,44.16563384235727,9.994347278999435,,,,124754317
2020-12-09,28.68,28.85,25.33,26.63,26.690045299545886,28.0821354978355,22.571128494475147,15.1078,,,0,0,0,0,,,94.48052736841146,85.60898560313518,0,49,21.200000000000003,,,20.14,31.90160691764967,33.5,,,35.175000000000004,21.200000000000003,0,0,3.5,0,0.2,0,0,43.01301908413827,50,0,10.095855582688342,31.90160691764967,21.200000000000003,1,1,0,0,8,8,0,0,2048,0,,12,,0,0,100,3.495138050828545,3.3645106926225035,,,,,,0.7697415695370561,324.63994232492377,,117.87700803373444,3,149.00146888131442,58.06348396886965,40.503272693173884,13.688673165686593,,,,79634716
