time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,47.33738833,48.10201575,47.27284683,48.10201575,47.52493194394089,47.48773752589957,47.17117110461195,45.8845946862353,41.394226348775234,47.296299558886126,0,0,0,0,47.58799735636197,41.5211775923643,98.74953837013868,1.604346643773427,2,0,48.10201575,47.64366474208789,47.8453904579121,46.48821002340632,48.33889484553845,48.446348204275026,,,48.95066249383555,46.636529481461594,1,4.5,0,16.204649761314442,0.08102324880657222,0.29391182860009163,6,5.0055506304987745,93.94304139786844,0,0.14678290678670322,48.2112532,46.636529481461594,0,1,0,0,8,10,2,1,128,0,3,1,,-0.1730541077455789,0.28362791713360125,2,5.385431922680204,-5.048373375599727,,,,,,1.83951987170661,54.225041426768584,98.01587301587301,212.72126261006278,3,17.33973602376461,26.393433021171482,28.27518481458113,17.622902453741347,,,,1135600
2006-12-28,48.20131801,48.48432449,47.87362055,48.40985276,47.81990554929393,47.55684765837316,47.28914078607748,45.983624414618234,41.46403357674762,47.37747759558291,0,0,0,0,47.61997475551168,41.54873157942291,91.93227470518582,24.87695483980902,2,1,48.40985276,47.64541651818876,47.843638681811235,47.08073189551008,48.47625986822834,48.50179802673512,,,48.997353435791325,46.623994947771706,1,2,0,16.75143150363328,0.08375715751816641,0.4522977627418168,6,4.964728272774565,80.55026070433506,0,0.049963182433243214,,46.623994947771706,0,1,0,0,8,10,2,1,128,0,4,2,,0.008510285060334626,0.4389420077595145,3,3.166582188438768,-3.520151621689915,,,,,,0.7085317183901924,57.453077634594315,100,234.0620877481373,3,17.198323228438444,26.5694522043805,30.163677976424797,16.653357567656506,,,,432300
2006-12-29,48.49921983,48.68293398,48.32544584,48.40985276,48.01655461952929,47.707322803732474,47.39587525978439,46.078770624241045,41.533146205436694,47.460643256245326,0,0,0,0,47.650195318673546,41.57667685383146,92.19076468038483,28.61419435832685,2,2,48.2112532,48.11602962278242,48.30647677721758,47.735135313912096,51.117080679000004,48.61525274127064,,,49.09137062735854,46.67702332,0,0,8.5,16.557152979812408,0.23278576489906205,0.3542080638834145,6,4.9101783807855455,57.18803015227278,0,6.103168068051743,48.5919143830881,46.67702332,1,1,0,0,8,10,3,1,128,0,5,3,,-0.28318578906694386,0.34269489921532537,4,2.9000181548829413,-0.5435570867327705,,,,,,0.7308624010979471,60.01371952883993,100,252.82768199047786,3,17.00935685949369,26.933772848072774,31.014850715840232,16.095143303135455,,,,442000
2007-01-03,48.82195715,49.34329402,48.6779639,49.2439868,48.42569867968619,47.9835315536065,47.571885882662066,46.20289674878061,41.60987098747215,47.55054196427073,0,0,0,0,49.2439868,41.64311803942819,99.80294345669449,23.708827664459786,2,3,49.2439868,48.11449700990511,48.308009390094895,47.727472249525526,,49.34329402,,,49.82707497047448,46.67702332,1,1.5,0,18.346886523215424,0.24173443261607713,0.9101523530937125,3,5.048384142654818,90.18666133293253,0,0,,46.67702332,0,1,0,0,14,10,2,1,128,0,6,4,,0.43557308464739697,0.8985446115226983,5,7.863282994677623,-1.1182797076427546,,,,,,1.5176143090263334,60.65763160489273,100,246.85058571110895,3,17.488115662406383,27.87724589788585,34.437062794239274,14.708754444298592,,,,948600
2007-01-04,48.9808358,49.15461973,48.58363668,48.87657339,48.57599024979079,48.272260300381376,47.69614183574187,46.30774681314215,41.68217648401472,47.64412257949876,0,0,0,0,49.07202446712316,41.6978494781952,95.51319481762374,25.546773871372974,2,4,48.68293398,48.58719296312617,48.77867499687383,48.20422889563084,51.810458721,49.07202446712316,,,49.699371401568484,46.67702332,0,3.5,6.5,17.260127740077007,0.23630063870038504,0.4778312134833173,3,4.582024509708362,65.86356690440216,0,6.53330169893948,49.01869828355816,46.67702332,1,1,0,0,8,10,2,1,128,0,7,5,,0.25057047913271263,0.4751382596386076,6,3.4942326145306932,-1.0296537172190425,,,,,,1.3025970782869272,59.502226228813235,99.2063492063492,274.8738822522567,3,15.872598504681514,28.565969162587905,32.31633804309415,14.682623145034537,,,,834600
2007-01-05,48.70776451,48.70776451,47.94313213,48.18642267,48.446134389860525,48.47037770333766,47.74283524852836,46.381420376156186,41.746895351536956,47.73690582831121,0,0,0,0,48.81093531469095,41.74140910626807,93.16992576419366,50.3837717628151,2,5,47.51224644,47.415009770224295,47.6094831097757,47.02606309112149,48.2112532,48.586576956535325,,,49.07276030541383,46.67702332,0,3,8,15.425164588259529,0.22712582294129763,-0.1568875199771413,3,4.599301760516154,33.74247195805834,0,1.4377431099037525,48.2112532,46.67702332,1,1,0,0,15,8,3,1,128,0,0,6,,0.06631952769197058,-0.1513970238537462,7,2.616868011901734,1.920562091743745,,,,,,1.1751909389704664,57.67346941040332,98.80952380952381,261.9874800893602,3,15.932448657109925,28.022923962883166,29.546457516841347,19.305464733824884,,,,745500
2007-01-08,47.68991136,48.48432449,47.67501602,48.36019666,48.417488479907014,48.6024127102407,47.80163157343042,46.459019446110844,41.81269934465599,47.829727657863664,0,0,0,0,48.72641548084536,41.77601137972669,93.71368272606732,49.6446688074018,2,6,48.36019666,47.4147292781547,47.609763601845295,46.894878725237646,49.11495042418701,48.573738500761316,,,49.06132430998779,46.5890464969,1,2,0,15.659111748260843,0.22829555874130422,-0.05872632698003457,3,4.466042280358933,52.46359275797246,0,0.5150785002228302,49.11495042418701,46.5890464969,0,1,0,0,8,10,2,1,128,0,1,7,,-0.10155590086765856,-0.04966013640610723,8,3.2908328008199814,0.3816208541505997,,,,,,0.9186717354175029,55.66305280361241,96.82539682539682,259.79371110543025,3,15.47082427666488,27.073882040862685,27.357081136975232,20.329783964806012,,,,583600
2007-01-09,48.63328285,49.31350831,48.37013186,49.05531746,48.630098139938006,48.7505347091736,47.92103022929419,46.560835054498654,41.88476519654996,47.926536022442065,0,0,0,0,48.78944342303395,41.823805958825005,95.51139488840062,49.90250835522586,2,7,49.05531746,48.40985276,48.68293398,47.57762496843496,49.25249983890929,49.28293854452644,,,49.77825535175459,46.604025122090746,1,5,7.5,17.11971460219784,0.2355985730109892,0.4337196232139542,3,4.5767484228419155,60.974478431635745,0,0.13343938609341643,49.25249983890929,46.604025122090746,0,1,0,0,8,10,2,1,128,0,2,8,,0.5264436626891077,0.443854263455088,9,4.344025990034116,0.44855191748036993,,,,,,1.1417429453501597,52.95329560556192,94.44444444444444,233.9991261019003,3,15.854321603645849,27.08398201786401,32.47993499721846,18.58301052058847,,,,737800
2007-01-10,49.00566633,50.30653093,48.79216647,50.17246791,49.14422139662534,49.03248881570693,48.13545286555188,46.702467715498706,41.96722990016637,48.03315045374615,0,0,0,0,50.17246791,41.90694671704882,99.95889344824577,18.817694998562125,2,8,50.17246791,48.577425461693345,48.78844249830666,48.33453833438488,,50.30653093,50.201022411693344,50.41203944830666,50.834073521533284,47.18432690728,1,1.5,0,19.551535875378566,0.3163342969725657,1.198060088333121,3,5.003642682545019,95.5780881767914,1,0,,47.18432690728,0,1,0,0,14,10,2,1,128,0,3,9,,1.548612940765383,1.2062341110712869,10,9.955129061420887,-1.5091995389702006,,,,,,1.6426988337027213,49.06641750511661,92.85714285714286,183.0788602628678,3,17.333126698176404,27.91887630275714,36.72094351460677,16.201563442746743,,,,1130300
2007-01-11,49.87456113,51.24493731,49.87456113,50.80304224,49.69716167775023,49.45008318321992,48.3895089964517,46.863274559596796,42.05514843091099,48.151983011269074,0,0,0,0,50.463125144807805,41.982060932781835,98.81861102042171,21.385352534086127,2,9,50.80304224,49.233086322822395,49.45350171717761,49.03971908515825,,51.24493731,51.13472961282239,51.355145007177605,51.79597579588804,47.764262050119996,1,3.5,0,20.80100566868816,0.3391924095038229,1.5053456130195044,3,5.072170080591313,95.56730510428916,1,0,,47.764262050119996,0,1,0,0,14,10,2,1,128,0,4,10,,1.6814990492830568,1.5072036087833456,11,8.797030958271886,-2.743763052186277,,,,,,1.3531487133536808,45.4820875426154,90.87301587301587,158.85464277426053,3,17.57051256842976,29.30254084657275,40.24668342069275,14.402830136283741,,,,966500
2007-01-12,50.76332134,51.31444889,50.55974673,51.13073474,50.17501936516682,49.94069236284459,48.65057811488487,47.03062593922045,42.14545277229496,48.28305226289491,0,0,0,0,50.6200851214982,42.033283753150094,97.99000212038958,15.325990449632682,2,10,51.13073474,48.13320606154936,48.351354323450636,47.89254003124161,,51.31444889,51.20537475904936,51.42352302095064,51.85981954475319,47.764262050119996,1,3.5,0,21.319694953216096,0.2891358198004339,1.5460427037543196,3,5.065448045572901,80.96946979459882,0,0,,47.764262050119996,0,1,0,0,10,10,3,1,128,0,5,11,,1.260298760274827,1.53797241457368,12,4.270746776292429,-2.6020074998876677,,,,,,0.9107609694057797,41.85908361662557,88.0952380952381,138.55099269265634,3,17.547226756065466,30.628695608888957,38.32931925987189,13.513048071224105,,,,644500
