time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,2.23870727,2.2855132,2.23870727,2.26559569,2.2256726396128963,2.2088317246389613,2.204290735061321,2.18449664709852,2.0891286966233946,2.2275347784802184,0,0,0,0,2.1854507183190055,2.0292889408855923,92.04238457469933,47.775877414923016,2,1,2.26559569,2.214957747584947,2.2266055724150533,2.1916620979247345,,2.2855132,2.279689287584947,2.2913371124150532,2.3146327620752656,2.20412076178,1,0,9.5,8.446918261274403,0.2117993026943382,1.0855103779011692,6,5.496265575236194,58.2834247436679,0,0,,2.20412076178,0,1,0,0,8,10,2,5,488,0,2,1,,1.1565176911037294,1.0699101003671114,2,2.541684408813889,0.1939267095208602,,,,,,0.9456521787751968,11.148127616368809,13.492063492063492,-41.44774854702832,0,19.039622456401737,11.955040859394488,29.307713912454673,20.87343815353432,,,,528512
2006-12-28,2.25762883,2.27455849,2.24069917,2.24368702,2.231677433075264,2.2197333258324674,2.208042762198338,2.1868178381926957,2.090666590388336,2.2287634146635376,0,0,0,0,2.186227516193484,2.029740607815661,91.6911831983787,36.167072489573,2,2,2.1874861487281683,2.1817759146999047,2.193196382756432,2.1589349785868506,2.24468146,2.251871114904654,2.24468146,2.2596827122751098,2.282523648388164,2.18873471242,0,0,6,7.319217244641603,0.186596086223208,0.5513166653217795,6,5.420351016570418,68.76797535537938,0,2.0032562934806513,2.24468146,2.18873471242,1,1,0,0,8,10,2,5,488,0,3,0,,0.5845738293051921,0.5383864582025406,3,2.7011623828015336,-1.0564160541408958,,,,,,0.7932050043630003,10.04631652443136,9.523809523809524,-46.49568328681248,0,18.776646711115152,12.301656275379798,27.756083636947604,19.768341430886686,,,,443462
2006-12-29,2.23771132,2.24667412,2.1978778,2.20186009,2.2217383187168425,2.225369981743723,2.207453936274687,2.187407730420433,2.091772993369547,2.2298892545290308,0,0,0,0,2.1864887259983514,2.0302013163270134,69.9930797016416,67.58072286373964,4,0,2.1889428403918765,2.17746675719653,2.19190058,2.1545145908058365,2.24468146,2.2321695882051276,,,2.2665978377911675,2.17098863,0,0,6.5,5.262860596221699,0.1763143029811085,-0.2946773365336338,6,5.689820686129043,9.180397408588433,0,1.6189791894248475,2.24468146,2.17098863,1,1,0,0,8,8,2,5,488,0,0,1,,-0.42943394007709756,-0.3026324964711419,0,0.34903012544324064,5.939269362051006,,,,,,1.0092253870662002,8.72971289938344,4.761904761904762,-55.70948215737083,0,19.71011702866382,11.52437850656289,25.64860324234801,24.930497600744854,,,,564962
2007-01-03,2.21182036,2.25464098,2.19389324,2.23273232,2.2254029858112285,2.2298289862740264,2.2098614013913833,2.189185165305906,2.0931755737340287,2.231083021258839,0,0,0,0,2.187470689888076,2.0309027511724738,80.37981973427105,54.3242988768731,2,0,2.18952011966799,2.177778975629454,2.189787163799999,2.1542966875523817,2.2609909596938764,2.2855132,2.279642627980732,2.2913837720192682,2.3148660600963407,2.16820755114,0,2,5,6.667226008997197,0.18333613004498597,0.28247365775241046,6,5.7557150005498245,60.834353252210164,0,2.0290708693948014,2.2609909596938764,2.16820755114,1,1,0,0,8,8,2,5,488,0,1,2,,0.00599841810519678,0.2826319325398995,1,2.607278974957582,-0.041546902368808314,,,,,,1.35951883082674,7.077126817690931,1.1904761904761905,-64.50500873572909,0,19.938381629677245,10.983698871143293,24.490574386985248,22.627133311045256,,,,733543
2007-01-04,2.22775256,2.26460125,2.18791829,2.23870727,2.2298377472074855,2.234120232855844,2.2126086269731564,2.191127208627243,2.09462365031379,2.2323552064595575,0,0,0,0,2.1883234874255457,2.031474841714951,85.99059396434092,47.36287119212173,2,1,2.1908853708472074,2.18474945611503,2.197021285579385,2.16020579718632,2.2636315175981485,2.2855132,2.2793772852678225,2.2916491147321776,2.3161927736608874,2.18873471242,0,5,7,6.878735455155646,0.18439367727577824,0.34344900520397426,6,5.22958966939877,62.37063157215163,0,2.37115898529201,2.2636315175981485,2.18873471242,1,1,0,0,8,10,2,5,488,0,2,0,,0.6826084118639575,0.34842777553349713,2,2.7458365278572057,-0.07835445219524229,,,,,,1.089803657157447,5.169775548344565,0,-71.46266253017677,0,18.115830020271993,10.711221363987022,23.207172286123676,20.102309567880628,,,,584705
2007-01-05,2.2108229,2.21480746,2.16003392,2.16003392,2.20656980480499,2.2300565450584413,2.207601512023332,2.1899078639751943,2.095274498768379,2.23321834009916,0,0,0,0,2.187845552530105,2.031839223194873,80.97501166792601,85.14852640197152,4,0,2.1538749494574065,,,2.121874570790154,2.23629362,2.1940366421174557,2.1876365663840054,2.200436717850906,2.2260370207847084,2.1497417085291515,0,0,5.5,3.090736859045787,0.16545368429522894,-1.1677383756126603,6,6.176060174223159,22.857100638302967,0,1.3842002949056695,2.23629362,2.1497417085291515,1,1,0,0,8,8,1,5,488,0,3,1,,-0.5063947151655854,-1.150746824141915,0,2.3711830915962215,4.761171510677269,,,,,,1.1578815732362393,5.629011207758023,0.3968253968253968,-73.68944728198589,0,21.394500024714404,10.135615381414826,20.660067957350606,21.78605214852598,,,,603689
2007-01-08,2.15206706,2.16600887,2.10028213,2.16202658,2.191722063203327,2.2206665858151515,2.203261042306824,2.1888144802898926,2.095938698581629,2.2337175382922814,0,0,0,0,2.187241655706791,2.0323602269770307,92.57962707665466,89.25128096430812,4,1,2.1517047849155166,2.145175011555884,2.1582345582751494,2.119055918117353,2.23629362,2.1937439329820094,,,2.226392799780173,2.144409918643716,0,8,0,3.153139997037815,0.16576569998518906,-1.030114101289213,6,6.138010650356924,47.89602719392595,0,2.5908658823417916,2.23629362,2.144409918643716,1,1,0,0,8,8,1,5,1516,0,4,0,,-0.6142561827792623,-1.0154929549606544,0,3.8051197231303426,2.81669746144971,,,,,,1.581656815833606,6.5322817528169725,1.5873015873015872,-69.27820068060608,0,21.262692607634158,10.814986720743923,18.803299680847545,27.99832859993227,,,,855802
2007-01-09,2.16401772,2.16401772,2.11322799,2.14708806,2.1768440621355514,2.2059106402372293,2.197911234468079,2.187178150082446,2.0964476474514635,2.2337708033081176,0,0,0,0,2.186733177611454,2.0326114431533644,52.58443526884242,74.46509018753204,4,2,2.137273367157387,,,2.1046891636126643,2.20412076178,2.1935369489456904,2.186733177611454,2.20412076178,2.230188124615778,2.137273367157387,0,9,4,2.4155343258915845,0.1620776716294579,-1.221844741462665,6,6.016678686483364,5.112814962979996,0,1.5351098773680478,2.20412076178,2.137273367157387,1,1,0,0,8,8,1,5,1516,0,5,0,,-0.8258176904703141,-1.2074320810807178,0,-1.661203474690926,5.941425772312387,,,,,,0.8629433783512415,7.245910962940454,3.1746031746031744,-65.23473445261486,0,20.84238635561192,11.445831535835225,17.49485657421013,26.05004182709181,,,,469280
2007-01-10,2.12617535,2.14708806,2.11223355,2.13713006,2.163606061423701,2.1877777631584414,2.1921225511854048,2.1852154798831345,2.0968524475763246,2.233344913010775,0,0,0,0,2.1860653617214667,2.0328575000359805,36.75699607075488,71.18391952276048,4,3,2.129313100566618,2.122950547497598,2.135675653635638,2.097500335221518,2.19260053,2.1930907251497636,2.1867281720807434,2.1994532782187837,2.2249034904948637,2.129313100566618,0,6.5,2.5,1.9208605960915788,0.15960430298045788,-1.3004795148623385,6,6.019843197907345,8.62017819171193,0,2.0047809076418055,2.19260053,2.129313100566618,1,1,0,0,10,8,1,5,1516,0,6,1,,-0.837094622890734,-1.289090241837027,0,-1.3322357012650405,4.643463105895479,,,,,,0.9453489143712724,7.817203113841709,3.9682539682539684,-62.51343952234984,0,20.853348544746854,12.050890590817895,16.6391597353339,24.91544920900263,,,,505730
2007-01-11,2.14410021,2.17895548,2.12717055,2.15704606,2.161419394282467,2.1717213903129866,2.188781932977271,2.1841107967504625,2.0974513889934756,2.232597692789086,0,0,0,0,2.185668440631153,2.033157915482985,51.03898168902509,95.76716623269715,4,4,2.12704484318447,,,2.09519259098902,2.23629362,2.1571166416999983,2.1507461912609083,2.1634870921390883,2.1889688938954484,2.10028213,0,5.5,4,2.841289734734808,0.1656471962991132,-0.8124278147799643,6,6.087850213985682,17.55661884326264,0,1.7843168938652545,2.23629362,2.1269278058044927,1,1,0,1,8,19,1,5,1516,0,7,0,,-1.0115259810035133,-0.798775624373681,0,1.284237090110131,4.834703424518573,,,,,,0.9570302919291629,8.264586696512072,5.158730158730159,-60.81078552975492,0,21.088931758984522,11.723138299784294,19.8979059183071,23.107093127021322,,,,520918
