time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,44.78588211,45.45207432,44.78588211,45.35436613,44.845705824670574,44.68096919153203,44.711398652429516,43.76442098543737,40.95059395627462,44.82011710318088,0,0,0,0,44.98171883300093,41.62660822184941,82.31921802510698,41.229596715779344,2,0,43.94532474649475,43.782081439,44.12856357,43.36352463548612,45.76296402,45.80686150720036,45.702222306321886,45.91150070807883,46.33005751159271,44.11968989,0,2,0,10.753866423592164,0.053769332117960825,0.16557834044890413,6,5.886431095418255,79.35475804057988,0,3.124164535400548,45.76296402,44.11968989,1,1,0,0,8,10,1,4,2538,0,3,1,,0.12047215878619363,0.1598757251048068,1,2.40126411293875,-5.078976141564349,,,,,,0.516171557151624,48.74204550047344,88.4920634920635,139.0347617629913,3,20.391195465035477,16.981253753078768,22.838849637066094,16.147432625422816,,,,227100
2006-12-28,45.36325758,45.48761346,44.77699954,44.86581629,44.85240931311372,44.72096731626364,44.7261050941029,43.807612958165315,40.989551392431096,44.9154308831188,0,0,0,0,44.977483165315014,41.65317062250031,80.51305260182556,25.19064494078024,1,0,43.97063561568063,43.782081439,44.12856357,43.3680424814514,45.76296402,44.977483165315014,,,45.49503186225077,44.11968989,0,0,4,9.456714616019612,0.04728357308009806,-0.21134720070789553,6,5.857733892117529,64.47577912035483,0,2.9743591529829065,45.76296402,44.11968989,1,1,0,0,8,15,1,4,2538,0,4,2,,0.05100340545377732,-0.2126044106962385,2,1.7431293129059497,-3.060336333495617,,,,,,0.831100097552224,47.30311470004809,85.71428571428571,133.11460121405392,3,20.291785436731494,17.043424186129577,21.74546645952171,15.157654266691873,,,,370600
2006-12-29,44.86581629,45.13230206,44.46610984,44.62600486,44.776941162075815,44.73412513527144,44.71657173847405,43.83970675823726,41.02573500902382,45.00666088269635,0,0,0,0,44.967606564638544,41.672332994846464,65.27065957903747,51.07959386778212,4,0,43.88536418035986,43.783299848964646,43.98742851175507,43.3750425233838,45.7178431596017,45.52019353949394,45.30107075,45.743323563793936,46.151580889374785,44.11968989,0,0,2.5,8.775637658129185,0.04387818829064593,-0.3828833709052461,6,5.56971004948274,26.207270410074752,0,3.5908313005963692,45.7178431596017,44.11968989,1,1,0,0,8,8,1,4,2538,0,5,3,,-0.6615449484322835,-0.3820162959990504,0,0.4415075498272376,1.4287144229333308,,,,,,0.7614694386370424,45.70642674177104,82.93650793650794,136.89399940584102,3,19.294041578262142,16.490192724397268,20.478175703362204,16.993948729137898,,,,293200
2007-01-03,45.13230206,45.23888393,44.03974682,44.51052266,44.68813499471721,44.715845300216884,44.69694801671462,43.866013264188744,41.06040951301363,45.09295317409021,0,0,0,0,44.94847116040303,41.700497004979596,77.88312019023564,54.90833309769614,1,0,43.79534742888904,43.572794815589035,43.866013264188744,43.15087240219253,45.42487604,45.528912133239906,45.3063595199399,45.75146474653991,46.17338715993641,44.11968989,0,3,4,8.40252980402666,0.0420126490201333,-0.4536452623128018,6,5.422218281844977,49.21919887667667,0,2.5284588907404464,45.42487604,44.11968989,1,1,0,0,8,15,1,4,2538,0,6,4,,-0.2256546173570053,-0.4503250579659511,0,3.0047255324658795,0.4708088286972294,,,,,,1.2272035962798962,43.00654680631404,80.55555555555556,128.96386759897277,3,18.78311510776864,15.403998582905528,18.399582607695667,18.87803136805871,,,,455900
2007-01-04,44.54604402,44.63487854,43.63114893,44.05752083,44.47793027314481,44.61465369882684,44.636050189408465,43.8735233648088,41.09023151616773,45.17131508791737,0,0,0,0,44.91304054590592,41.723409981204476,66.27712125182563,71.18459513168237,4,0,43.918201089001286,,,43.38366035871963,44.93757973,44.4261449675,44.31923682144367,44.533053113556335,44.960685697781656,43.03404940828,0,7.5,7,7.22139838191162,0.0361069919095581,-0.7442853194258036,6,5.327337507821955,22.60791694871423,0,2.604283416319824,44.93757973,43.96576124701264,1,1,0,0,8,8,1,4,2538,0,7,5,,-0.6482528521859018,-0.7359439770549063,0,0.6898551142076128,2.4097815576621975,,,,,,1.204127674912227,38.73455417516004,78.57142857142857,109.89288971398321,3,18.454438465229973,15.035926019311008,16.857186622028838,20.707985962062722,,,,451000
2007-01-05,43.75549593,43.86209556,43.22255104,43.28472898,44.0801965087632,44.39440274462381,44.50735293136956,43.85043338893394,41.11206731182775,45.23766726538213,0,0,0,0,44.85640157325251,41.73704413404296,59.544272990367105,64.47720476681506,4,1,41.6252197654,41.518492828079836,41.73194670272016,41.09158507879918,44.44142349,44.550235567406844,44.44350863008668,44.656962504727005,45.083870254007664,43.68460698729346,0,0,0,5.284729789171126,0.04748526201610878,-1.2225532335702047,6,5.559002297455177,23.755934596473185,0,1.6221370196666118,44.44142349,43.68460698729346,1,1,0,0,8,8,0,4,2538,0,8,6,,-1.1684929045620251,-1.2061957557511755,0,0.5901009743945158,2.119944526223771,,,,,,1.0588357211326718,32.91583096815284,73.01587301587301,70.92962777478051,3,19.256948837168967,15.265404138060923,15.67967883513383,22.67974402502063,,,,408700
2007-01-08,43.22255104,43.39132861,42.99159552,43.17813822,43.7795104125088,44.108666600278795,44.38076105409627,43.82406887250516,41.132625231312055,45.291860267978315,0,0,0,0,44.80429405791386,41.74854444293874,45.07912554374931,71.98965742513239,4,2,41.637448108899996,41.534775478799126,41.740120739000865,41.124084958395656,44.44142349,44.5520377267647,44.44936509666383,44.65471035686557,45.06540087726904,43.41497353955148,0,9.5,0,4.97296969786117,0.029872779201037158,-1.2011350421683067,6,5.540343077464819,14.162586517545783,0,2.2149314497858716,44.44142349,43.41497353955148,1,1,0,0,10,8,0,4,2538,0,9,7,,-1.0400634456938505,-1.1842622565029988,0,-0.6509716380085648,3.1634010970614073,,,,,,0.9677916870164255,26.059540254762975,57.142857142857146,35.7811454153656,3,19.192311403063155,15.778942867101991,15.134631081969035,23.899789215764827,,,,376500
2007-01-09,43.24919872,43.70220943,43.04490866,43.43572366,43.6649148283392,43.83434803560217,44.29075749275377,43.808839648485346,41.15554163358755,45.33629632955376,0,0,0,0,44.76104636335836,41.762577494529104,45.251502196261086,80.59809965985829,4,3,43.25232489899966,43.151117271316714,43.353532526682606,42.74628676058492,44.44142349,44.5935807843138,44.44142349,44.76104636335836,45.16587687409015,43.25232489899966,0,3.5,0,5.540400966443756,0.027702004832218782,-0.9344499973570671,4,5.600355571729228,26.127591791534716,0,2.343639785898751,44.44142349,43.25232489899966,1,1,0,0,10,8,0,4,2538,0,10,8,,-0.6481403460853423,-0.9193713320748159,0,0.19525531609496483,1.353065098820886,,,,,,1.0006321911746112,19.601483963046807,36.507936507936506,1.0375314355876697,2,19.400200781372938,15.648693276101161,16.999615913870134,22.5139050143243,,,,395700
2007-01-10,43.27117737,43.71589665,43.22672323,43.35124463,43.560358095559465,43.587498577145446,44.20128007725341,43.79089474579965,41.17738942459663,45.371374216069356,0,0,0,0,44.732920505410114,41.771044052883916,49.423536081113596,87.52667933193864,4,4,43.0910842372958,42.992738106054496,43.18943036853711,42.59935358108926,44.44142349,44.58970135563128,44.44142349,44.732920505410114,45.12630503037535,43.0910842372958,0,5,2,5.279244837471039,0.026396224187355197,-0.9246697949377017,4,5.5540287277681655,17.58597305270259,0,2.792782064062879,44.44142349,43.0910842372958,1,1,0,0,10,8,0,4,2538,0,11,0,,-0.6983513741201489,-0.9102394612185684,0,0.6320953136349061,3.6003684832721166,,,,,,0.6475706573515402,16.175773895423827,23.80952380952381,-15.925107065242946,1,19.239719886383188,15.501047729512182,16.368913653431992,21.514046895278945,,,,254900
2007-01-11,43.61805841,44.90776212,43.58248976,44.60533522,43.90868380370631,43.517422229948906,44.23976151941975,43.82283358792515,41.211498337983734,45.405465351047575,0,0,0,0,44.72749278863337,41.80429033770146,73.77377981852015,76.5651408684754,1,0,44.50756772333333,,,43.981473297480825,45.48761346,44.6508590466041,44.545640161433596,44.7560779317746,45.1769534724566,43.5621501724,0,3.5,0,8.235169840666146,0.19117584920333072,-0.00753882600764485,0,6.28235008330489,63.315949960189414,0,2.0694172390059147,45.48761346,43.5621501724,1,1,0,1,8,14,1,4,2538,0,12,1,,-0.13124024217504382,-0.003789504493399845,1,5.276137241319443,0.8609050284440714,,,,,,1.4735503296475108,13.93808483617773,11.507936507936508,-35.95424542210667,0,21.762699070437275,15.332230627416251,24.320708487591038,18.672437386705607,,,,567700
