time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,17.82000687,18.05036299,17.69396703,17.90693374,17.76335813283485,17.604614454953243,17.934440248338802,17.95751206838166,17.442851653405715,18.410771135493253,0,0,0,0,18.12687219904443,17.874861735124632,25.2416683375986,73.25990334484115,4,9,17.708369451050014,,,17.470540268981033,18.239883721360002,18.1202987406517,18.11816680820001,18.209833409351702,18.358127922720684,17.6008998513,0,5,3.5,2.6605861003448537,0.01330293050172427,-0.30734808504707134,4,3.8809531624486797,38.81893648781943,0,2.1839157198171417,18.239883721360002,17.6008998513,1,1,0,0,10,8,0,0,1160,2,,5,9,-0.8710471973803866,-0.2978776171337614,0,-1.0470839194181218,0.38511076182367754,,,,,,0.937096527805281,9.137323666544331,17.46031746031746,-32.034270220056165,0,13.444016118312446,23.974334888730418,17.953577705282395,23.31462764957423,,,,828145
2006-12-28,17.87639087,17.88512177,17.69749587,17.80221491,17.7763103918899,17.606856928248483,17.921847358973203,17.95142198373924,17.446427407202673,18.406316431912117,0,0,0,0,18.118374176112553,17.87391673492219,22.348895439737504,71.58341110913744,4,10,17.709482782550012,,,17.528005317478875,18.14791613648,17.896872479502683,17.860576986488457,17.93316797251691,18.07834994457382,17.51361367116973,0,5,3,2.0393143793464645,0.010196571896732324,-0.5599635862076567,4,3.746296908848025,20.33858162076092,0,2.111880988544349,18.14791613648,17.51361367116973,1,1,0,0,10,8,0,0,1160,2,,6,10,-0.5771616113972192,-0.5503942962617918,0,-1.4541870577993223,0.9438257924884731,,,,,,0.8214137996817938,9.43097530334855,18.650793650793652,-27.328555870077682,0,12.977553172726019,23.189793207398594,17.02859098979291,22.11343414895542,,,,736496
2006-12-29,17.7934886,17.88075436,17.72367547,17.74549223,17.766037671259934,17.621309543553682,17.905051632404327,17.943346307122017,17.44940317658374,18.400505894558126,0,0,0,0,18.10988696328724,17.872447249107385,13.012452787364547,78.52991774493127,4,11,17.709947065850013,,,17.534419826408957,18.14791613648,18.093299961229278,18.05470497,18.14791613648,18.288337928032846,17.490932099804446,0,0,0,1.6968434416920197,0.008484217208460099,-0.6662483315794104,4,3.458131908554472,8.156853954818125,0,3.088464627153873,18.14791613648,17.490932099804446,1,1,0,0,10,8,0,0,1160,2,,7,11,-0.5747148494628165,-0.6557666540856455,0,-3.914519256212611,2.183289821107846,,,,,,0.7434188286274999,9.673929966090554,19.444444444444443,-19.244750956034974,1,11.97932032978295,22.46129021759047,16.348285466452623,21.229985165973005,,,,655346
2007-01-03,17.77167183,18.0029221,17.77167183,17.88948067,17.807185337506624,17.655121606770997,17.903568683603915,17.941233929195665,17.453782057115244,18.39448008944021,0,0,0,0,18.103298111001937,17.87270709510847,50.23296817585927,43.86307957719929,1,0,17.87270709510847,17.837810698230133,17.90760349198681,17.698225110716777,18.05036299,18.09340222100027,,,18.267884205391965,17.6008998513,0,5,1.5,2.4962991485684265,0.012481495742842134,-0.25644948836639087,0,3.565122818220806,72.92731869416284,0,1.0181904768615582,18.05036299,17.6008998513,1,1,1,0,8,10,0,0,1160,2,,8,12,-0.08419494383011789,-0.24498684455064718,0,2.5888853112003245,-3.0532077610530775,,,,,,1.0061064114485292,9.822052905651615,19.841269841269842,-20.468870524035225,0,12.349947712763155,21.12491919425269,18.39726823965153,19.831654062470086,,,,887245
2007-01-04,17.84584321,18.09891876,17.77167183,18.05528588,17.88988551833775,17.716536034062766,17.91801794040354,17.945706554717404,17.459767169780765,18.389288501430883,0,0,0,0,18.101345078803575,17.876574098801107,69.27154285159861,26.431704808125218,1,1,17.928055714908986,17.892730070218384,17.963381359599587,17.75142749145598,18.37393754648943,18.094411735007395,,,18.2710399584604,17.7053187233,0,6,0,3.4108055647497646,0.017054027823748825,0.1680835340865746,0,3.395799225112668,73.6879739891661,0,2.5244087431988427,18.05036299,17.7053187233,1,1,0,0,8,15,0,0,1160,2,,9,13,0.3512236382358948,0.18255419741154114,1,2.6961746140807916,-3.0847928427173015,,,,,,1.364760336558169,9.90401064936322,20.634920634920636,-15.80651806237075,1,11.763393580396327,19.827572407231017,19.30191668968998,18.191342296853684,,,,1258493
2007-01-05,18.02037931,18.11200397,17.97238295,18.011653,17.930474678891834,17.790375986019477,17.926935565127014,17.948292689826527,17.46525857107648,18.384577986472955,0,0,0,0,18.098371291611716,17.878943657270202,48.663675937262106,52.9195676796748,4,0,17.92847868052472,,,17.74274765484797,18.353220915534198,18.085759975911966,18.05171097530641,18.119808976517522,18.256004978939753,17.7053187233,0,3.5,1.5,3.128464584133797,0.015642322920668986,0.02531016764440823,4,3.386759801903688,20.635270695087378,0,2.234669128878166,18.05036299,17.7053187233,1,1,0,0,10,8,0,0,1160,2,,10,14,0.2522780452171006,0.03851922220641511,2,-0.8155933164183824,1.6195488577169892,,,,,,1.119490970870964,9.92012574795946,21.03174603174603,-15.444442387677082,1,11.732080099858186,18.688117850790114,18.93835653911077,17.525313264774883,,,,1060944
2007-01-08,17.95492574,18.02037931,17.86330107,17.98547275,17.94880736926122,17.86482734794891,17.93251053511492,17.949750731401956,17.47043483156328,18.38008223926341,0,0,0,0,18.094414560364584,17.880952139601128,52.04491478829311,56.38591992249864,4,1,17.930093990887435,,,17.74887448592334,18.315533338487146,18.08547912539512,18.052459711975676,18.118498538814567,18.250576192492353,17.7053187233,0,5,0,2.9480543753050465,0.014740271876525234,-0.05879066475417635,4,3.3577155591721275,44.262722996817566,0,2.3026478227576903,18.05036299,17.7053187233,1,1,0,0,8,8,0,0,1160,2,,11,15,0.5177570336616385,-0.044536155764519025,3,0.7305390495372817,0.3524180649843032,,,,,,1.181026050894539,9.86940340629632,20.238095238095237,-15.149115329305848,1,11.631467891701334,17.654436994585826,18.133958620045536,19.73054805599429,,,,1162194
2007-01-09,18.05528588,18.37816866,18.0029221,18.09455527,17.997390002840813,17.94104316557532,17.947943367008737,17.95542934075874,17.47664498517957,18.376364776241044,0,0,0,0,18.09441864353767,17.884331973633405,40.121776358231955,73.66613485744698,4,2,17.935115807294356,,,17.74766358414689,18.283751691189114,18.120706092600006,18.086538995228377,18.154873189971635,18.29154157945815,17.81261803416,0,0,4,3.5356344730034204,0.017678172365017102,0.20895407678344513,6,3.4222693564972424,34.47149270454156,0,1.803419559402374,18.05036299,17.81261803416,1,1,0,1,10,19,0,0,1160,2,,12,16,0.6766159823123234,0.22285773869899816,4,-0.8061730265011895,2.896135674247498,,,,,,0.98079141423898,9.75124944555893,19.841269841269842,-17.746297765250514,1,11.85508880527854,17.698551937223307,25.62283728610275,17.705807328049424,,,,991045
2007-01-10,18.0422,18.22545391,18.0160119,18.16436775,18.053049251893874,18.017911901256706,17.968555213007903,17.963623003866243,17.483487997764847,18.373712385853906,0,0,0,0,18.09575513690829,17.88727505142074,61.881977019078455,57.43499757718152,4,3,18.10856009142223,18.07496348305929,18.142156699785172,17.940577049607526,18.27974219585796,18.27974219585796,,,18.447725237672664,17.81261803416,0,8.5,5.5,3.8944159902314652,0.03336035122583514,0.3495555050664784,6,3.4232583839802144,53.688496153660246,0,1.0190439617384353,18.27974219585796,17.81261803416,0,1,0,0,8,8,1,0,1160,2,,0,17,1.1111061701974225,0.3619585532007085,5,2.6157889310293703,-0.6540590039306924,,,,,,0.6696661312996433,9.563255851588288,19.047619047619047,-19.35536671608025,1,11.858514896979719,17.73951581252954,24.19664673002613,16.720285899761997,,,,665246
2007-01-11,18.27345027,18.39125453,18.18617993,18.31708315,18.141060551262584,18.104310850092638,18.001748349864293,17.977484186067567,17.491782476891565,18.372795905602324,0,0,0,0,18.098931760370103,17.89069029168371,73.1496617970849,62.92877739967166,4,4,18.109809893795752,18.0477532407,18.12658196220001,17.91486273892336,18.32744549099682,18.32744549099682,,,18.49355861821762,18.0477532407,0,5.5,9.5,4.718219393585188,0.029984382931843523,0.6913342646845285,4,3.457194420286336,49.064594395841354,0,1.1163825260416185,18.32744549099682,18.0477532407,0,1,0,0,8,8,1,0,1160,2,,0,18,1.0511462877113407,0.6938796008066761,6,2.6928194306629143,0.8510126995537229,,,,,,0.5126803176614358,9.26415289408319,17.857142857142858,-22.644483980600256,0,11.976072775159128,18.384211064852817,27.177124907913882,15.70075376676558,,,,506997
