time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,15.7194713,15.77444928,15.6644891,15.73215853,15.690604515520238,15.75036676164675,15.570795693055958,15.294354876761423,14.440374692379017,15.687442024934906,0,0,0,0,15.676651899595884,14.076639543703669,91.18792991010747,31.729716206879836,2,1,15.73215853,15.616553736028212,15.653225883971789,15.517800508225701,15.8167358,15.80700233488372,,,15.904373420529927,15.39154564996,1,2,1.5,8.945639328200594,0.22139486330766964,0.5031029368897352,0,2.660716982304858,65.80719783593962,0,0.3945607880681666,15.8167358,15.39154564996,0,1,0,0,8,10,2,0,2216,0,,0,,-0.1162377241410529,0.4945433166613366,21,3.386573212334612,-0.6226021130814442,,,,,,0.57247392225735,12.969251886535876,47.61904761904762,40.71021303049693,3,9.21699399582671,24.176148065800746,21.701563138231315,14.442634280585587,,,,1076500
2006-12-28,15.68140963,15.75752875,15.57991183,15.60528205,15.662163693680158,15.729891542230302,15.57408010800301,15.306548099241367,14.451965810365294,15.706308527043074,0,0,0,0,15.668681400240443,14.082485716349824,57.40028049605856,64.14610602635042,4,0,15.315014629235607,,,15.219827336329914,15.8167358,15.644544550068698,15.625932330309181,15.663156769828214,15.741379492578558,15.39154564996,0,0,2,7.980341600362211,0.22101281911292217,-0.11552043819482623,4,2.6969144270458063,7.255813458951167,0,2.612681884774579,15.8167358,15.39154564996,1,1,0,0,8,8,2,0,2216,0,,1,,-0.505883514121385,-0.12438291493473813,22,-1.1253807600151706,4.267259670121404,,,,,,0.8968484306767824,11.948128812206045,39.682539682539684,27.891625274811126,3,9.34238562261769,22.946316617077315,19.852468424035724,17.26934420294674,,,,1665600
2006-12-29,15.62220258,15.67718478,15.55876223,15.58836998,15.637565789120105,15.702997293873594,15.575441048193198,15.31759993770249,14.463273314540764,15.723805229007521,0,0,0,0,15.659127339626064,14.089416772307256,52.74048536385043,80.32144343878954,4,1,15.58414514,,,15.487884294612591,15.8167358,15.613844786155488,15.59682813,15.659127339626064,15.737196563556841,15.39154564996,0,4,3.5,7.778990557608497,0.22445050834359803,-0.20304843997182262,4,2.7017421349668584,11.670470610374892,0,1.8021559225059778,15.8167358,15.39154564996,1,1,0,0,8,8,2,0,2216,0,,2,,-0.8082171770104452,-0.21017676342688993,23,0.33758649047169564,4.241103128218407,,,,,,1.0715920096208083,10.489691768073449,33.333333333333336,12.080022138894792,2,9.359109293424419,21.585891116894235,18.70793432989091,17.30336418591815,,,,2013800
2007-01-03,15.56299553,15.7533039,15.55453738,15.63911888,15.63808348608007,15.678931194864504,15.58150560360337,15.33020852367494,14.47497327041598,15.740321658678777,0,0,0,0,15.65629023217669,14.099260265820321,73.23498582732192,86.01929606186265,1,0,15.598022972128714,,,15.501228045058333,15.77444928,15.65629023217669,15.637485419966954,15.675095044386428,15.753376495547311,15.39154564996,0,4.5,2,8.042471566861588,0.23021235783430793,0.005914102696157253,0,2.7077590108760026,36.540600315028726,0,2.726900521508858,15.77444928,15.39154564996,1,1,0,1,8,15,2,0,2216,0,,3,,-0.1996467058309752,0.00025221817044552224,24,3.6060727272369633,3.206029465996409,,,,,,1.4575614026859278,9.392399049012852,21.825396825396826,0.13269455485304438,2,9.379952362979369,21.007447735747444,20.55653076961123,15.670362025749384,,,,2796900
2007-01-04,15.58414514,15.71100893,15.55876223,15.64757703,15.641248000720047,15.659531502587878,15.587798120403049,15.342654347452394,14.486640969516317,15.755950863563003,0,0,0,0,15.65542136568762,14.106904712630405,50.27796818555792,91.19112237070601,4,0,15.598022972128714,,,15.501211900394743,15.77444928,15.65542136568762,15.636600408814292,15.674242322560946,15.752519429389384,15.39154564996,0,4.5,2,8.013838839014486,0.23451363863951688,0.011476351081809387,4,2.603580969888811,31.271492545661957,0,2.7176207811734585,15.77444928,15.39154564996,1,1,0,1,8,19,2,0,2216,0,,4,,-0.2688539417225998,0.008757740026819973,25,-0.8645324505364043,4.189264668504175,,,,,,1.1296443750452416,9.578673868465811,23.015873015873016,6.204685016470733,2,9.01906904293375,20.470321738968284,19.07183323167435,14.538568525233067,,,,2184800
2007-01-05,15.60528205,15.62643166,15.38537439,15.41074884,15.564414947146698,15.620638955303466,15.570936284174186,15.345324719709163,14.49583607270521,15.769344469540991,0,0,0,0,15.619449329216271,14.117937561802876,79.91606015262144,94.09513597946304,4,1,15.36608699248164,,,15.266998503426906,15.77444928,15.60070160595095,15.580883908140004,15.620519303761897,15.699790095005683,15.365742665391485,0,0,5,6.311555695759533,0.23118916079718843,-1.033615700169769,4,3.0323653654968723,21.48207131379142,0,2.3712031821343356,15.77444928,15.365742665391485,1,1,0,0,8,8,2,0,2216,0,,5,,-1.397051058547126,-1.0260988577747239,0,2.2814084701592012,4.140331347972473,,,,,,1.860886833501285,10.030301234337216,26.984126984126984,-4.51353284156877,1,10.504421760305501,19.735567379612327,16.818848356970857,20.632838530716725,,,,3776400
2007-01-08,15.41921122,15.51224241,15.35154179,15.45303536,15.527288418097799,15.57580176151472,15.559707624729025,15.349548666387236,14.505360443723069,15.78089627316443,0,0,0,0,15.601762630201703,14.12701344848498,48.101218756817445,95.2456667796034,4,2,15.373428367695967,,,15.274243493038002,15.77444928,15.598144492840408,15.578307517908815,15.617981467772001,15.697329367498373,15.375098126111327,0,5,2.5,6.5332738193832345,0.18266636909691616,-0.7749087003494877,4,2.946572362896353,8.815348425503572,0,2.248794158365855,15.77444928,15.375098126111327,1,1,0,0,10,8,2,0,2216,0,,6,,-0.9369085357159571,-0.7712945669317774,0,-0.620260364796017,4.357290628058873,,,,,,1.4686847900299065,10.444821259881227,32.142857142857146,2.3277154493909946,2,10.207226081429525,19.322680998773507,15.60232531280546,20.663242637183718,,,,3054600
2007-01-09,15.45726866,15.56299553,15.41497791,15.49533034,15.516635725398533,15.534270891009957,15.553576454754833,15.355265594764207,14.515210890452192,15.790985703815991,0,0,0,0,15.591769325053079,14.136022793630906,41.50495785750837,94.47288990456056,4,3,15.385063043525635,,,15.286354873307523,15.77444928,15.596699677638199,15.576958043594576,15.616441311681822,15.69540784785631,15.40083647914981,0,3.5,2.5,6.752361071050723,0.1837618053552536,-0.5432205975713191,6,2.946461264160801,12.719549001641532,0,1.9842653151770278,15.77444928,15.40083647914981,1,1,0,0,10,8,2,0,2216,0,,7,,-0.7766925413555359,-0.5421982267166975,0,-0.39073993571737287,3.419423604655922,,,,,,1.4102394120766726,10.589775128369268,34.92063492063492,3.7517376418482984,2,10.206841224120259,18.422202716262,16.853258879426402,19.279960487912554,,,,2978200
2007-01-10,15.48264311,15.53762531,15.41497791,15.46573104,15.499667496932355,15.497159410383983,15.545210224778181,15.359597573008747,14.52466880238799,15.799601510271573,0,0,0,0,15.583430621634927,14.142596320903582,34.06238978176849,92.81442259368681,4,4,15.391626617092895,,,15.290751756409405,15.77444928,15.595323461591379,15.57589687819373,15.614750044989028,15.692726662296986,15.410888171920234,0,3.5,2.5,6.479061591113798,0.182395307955569,-0.6415935223131878,6,2.9415202388537036,12.612794500363172,0,1.893523912305359,15.77444928,15.410888171920234,1,1,0,0,10,8,2,0,2216,0,,8,,-0.6195571613207311,-0.6424060638852371,0,-0.9119969779464832,2.9304366863518063,,,,,,1.0529842441281556,10.565854225627827,33.73015873015873,3.6912597236079163,2,10.189725010373508,17.586044311072747,15.90324972886751,18.193159471149546,,,,2247200
2007-01-11,15.48687219,15.58836998,15.46573104,15.52916294,15.509499311288238,15.475100148529439,15.543681911942164,15.366247195243698,14.534663768931393,15.807262317061772,0,0,0,0,15.579254698484364,14.151180052097416,39.01453019681202,91.93742163920419,4,5,15.397642261495534,,,15.274553578692522,15.77444928,15.594733919499534,15.575599958666002,15.613867880333066,15.691841549930563,15.416167795833784,0,3.5,5.5,6.84225783877025,0.18421128919385124,-0.3322190690517835,6,2.92849523353489,17.16221795178666,0,1.8388475022318251,15.77444928,15.416167795833784,1,1,0,0,10,8,2,0,2216,0,,9,,-0.7213275833327708,-0.336034222942654,0,0.11664690593060278,2.9147129575163304,,,,,,1.2807048490029262,10.374775843072507,31.349206349206348,2.2688983268337757,2,10.144605068411426,16.37316533196089,17.36106776110345,17.15200873351773,,,,2831600
