time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2014-07-31,18.20495322,18.99647293,17.88834534,18.20495322,,,,,,,0,0,0,0,,,,,0,0,18.20495322,18.20495322,18.20495322,17.294705559,18.933151348800003,18.20495322,,,19.115200881,17.476755091199998,3,1.5,1.5,0,0.2,0,0,0,50,0,0.8000000000000032,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,2.864510692622504,1.614510692622504,,,,,,,,,,0,,,,,,,,56483860
2014-08-01,18.12580125,18.20495322,17.94375172,18.20495322,,,,,,,0,0,0,0,,,,,0,1,18.20495322,18.20495322,18.20495322,17.294705559,18.933151348800003,18.20495322,,,19.115200881,17.476755091199998,3,3,0,0,0.2,0,0,0,50,0,0.8000000000000032,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,2.864510692622504,0.8645106926225039,,,,,,,,,,0,,,,,,,,6458897
2014-08-04,18.2841052,18.30785079,18.12580125,18.20495322,,,,,,,0,0,0,0,,,92.18875000808458,69.45823755256842,0,2,18.20495322,18.20495322,18.20495322,17.294705559,18.933151348800003,18.20495322,,,19.115200881,17.476755091199998,3,1.5,4.5,0,0.2,0,0,0,50,0,0.8000000000000032,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,4.864510692622504,0.8645106926225039,,,,,,,,,,0,,,,,,,,3455893
2014-08-05,18.19703803,18.21286842,17.94375172,18.20495322,,,,,,,0,0,0,0,,,90.87025397716837,67.56141814384247,0,3,18.20495322,18.20495322,18.20495322,17.294705559,18.933151348800003,18.20495322,,,19.115200881,17.476755091199998,3,1.5,0,0,0.2,0,0,0,50,0,0.8000000000000032,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,2.864510692622504,0.8645106926225039,,,,,,,,,,0,,,,,,,,4450212
2014-08-06,18.04664928,18.18912283,17.94375172,18.18912283,18.201787142,,,,,,0,0,0,0,,,82.21667931904827,52.93327375169588,0,4,0,,,0,,18.20495322,18.20495322,18.20495322,19.115200881,17.476755091199998,0,3,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,6993351
2014-08-07,18.11788606,18.20495322,18.04664928,18.14954685,18.184373711333333,,,,,,0,0,0,0,,,87.39658393410234,45.61920155562258,0,5,0,,,0,,18.20495322,18.20495322,18.20495322,19.115200881,17.476755091199998,0,4.5,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3190375
2014-08-08,18.14954685,18.22869882,18.04664928,18.16537724,18.178041554222222,,,,,,0,0,0,0,,,89.98653624162938,41.96216545758593,0,6,0,,,0,,18.20495322,18.20495322,18.20495322,19.115200881,17.476755091199998,0,0,2.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2855023
2014-08-11,18.12580125,18.14954685,18.04664928,18.14954685,18.168543319481483,,,,,,0,0,0,0,,,81.77482045127877,40.13364740856761,0,7,0,,,0,,18.20495322,18.20495322,18.20495322,19.115200881,17.476755091199998,0,2.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1767541
2014-08-12,18.11788606,18.20495322,18.07039487,18.20495322,18.180679952987656,,,,,,0,0,0,0,,,89.61877729151408,52.89912307184207,0,8,18.20495322,18.20495322,18.20495322,17.294705559,18.933151348800003,18.20495322,,,19.115200881,17.476755091199998,3,3,0,0,0.2,0,0,0,50,0,0.8000000000000032,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,4.864510692622504,0.8645106926225039,,,,,,,,,,0,,,,,,,,1549684
2014-08-13,18.20495322,18.38700276,18.10997086,18.34742677,18.236262225325103,,,,,,0,0,0,0,,,91.09763292033524,45.60212621569568,0,9,18.34742677,18.20495322,18.20495322,17.430055431499998,18.933151348800003,0,,,0,,1,1.5,0,0,0.2,0,0,0,50,0,0.6384814460823749,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1659478
2014-08-14,18.36325717,18.37908756,18.16537724,18.21286842,18.228464290216735,,,,,,0,0,0,0,,,82.33036879063171,41.95362778762248,0,10,18.20495322,18.20495322,18.20495322,17.294705559,18.933151348800003,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0.8000000000000032,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1391857
