time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2007-06-14,25.36637209,26.91577067,25.36637209,26.63469755,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,662600
2007-06-15,26.80609196,26.80609196,26.22334412,26.60041182,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1150000
2007-06-18,26.77180622,26.80609196,25.46920188,25.46920188,,,,,,,0,0,0,0,,,73.56310466092818,38.305129359549284,0,2,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,853600
2007-06-19,25.46920188,25.84627643,24.74935909,25.16069881,,,,,,,0,0,0,0,,,73.56310466092818,42.88344431441926,0,3,0,,,0,,0,,,0,,0,3,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,951000
2007-06-20,25.2498239,25.2498239,24.22145746,24.64651559,25.702305130000003,,,,,,0,0,0,0,,,73.56310466092818,45.17260179185425,0,4,0,,,0,,0,,,0,,0,4,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,1721800
2007-06-21,24.68079447,25.16069881,24.50940006,25.16069881,25.521769690000003,,,,,,0,0,0,0,,,73.56310466092818,41.738865575701766,0,5,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,537700
2007-06-22,25.36637209,27.08031615,25.22925657,26.70324846,25.91559594666667,,,,,,0,0,0,0,,,83.06979660504228,40.021997467625525,0,6,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,250300
2007-06-25,26.80609196,27.42310497,26.22334412,26.90892175,26.24670454777778,,,,,,0,0,0,0,,,88.92322059722804,39.163563413587404,0,7,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,203200
2007-06-26,26.95005641,27.28598944,26.87464287,27.08031615,26.524575081851854,,,,,,0,0,0,0,,,81.24316262907811,38.73434638656835,0,8,0,,,0,,0,,,0,,0,0,4,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,119600
2007-06-27,27.08031615,27.28598944,26.73752734,27.25171056,26.766953574567903,,,,,,0,0,0,0,,,77.40313364500315,38.519737873058816,0,9,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,270700
2007-06-28,27.25171056,27.38882609,27.08031615,27.14888077,26.894262639711936,,,,,,0,0,0,0,,,84.98981109707978,38.41243361630405,0,10,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,151200
2007-06-29,27.30655677,27.35454035,26.56613294,26.778662,26.855729093141292,,,,,,0,0,0,0,,,79.27645787900397,38.35878148792666,0,11,25.36637209,,,24.098053485499996,27.42310497,0,,,0,,0,1,3.5,0,0.2,0,0,0,50,0,1.621621627801327,27.42310497,,1,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1701900
2007-07-02,26.87464287,27.85501887,26.72381579,27.40253764,27.037998608760862,,,,,,0,0,0,0,,,85.92647321408019,38.33195542373797,0,12,25.36637209,,,24.098053485499996,27.42310497,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,1.621621627801327,27.42310497,,1,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,2007900
2007-07-03,27.40939341,27.84130732,26.79237355,27.19000857,27.088668595840574,,,,,,0,0,0,0,,,79.74478893750418,38.31854239164363,0,13,25.36637209,25.244926910624997,25.487817269375,24.759146193124998,27.42310497,0,,,0.19528384843500002,,0,0,2,0,0.2,0,0,0,50,0,3.3870967799375444,27.42310497,,1,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3752325
2007-07-05,27.14888077,28.30064433,26.90207283,27.04603727,27.074458153893715,,,,,,0,0,0,0,,,86.1606387433303,38.31183587559646,0,14,26.56613294,26.44087517075893,26.69139070924107,25.939844093794644,27.42310497,27.42310497,27.42310497,27.623517400785715,27.924136046964286,26.56613294,0,0,3.5,0,0.2,0,0,0,50,0,1.3683335336280393,27.42310497,26.56613294,1,1,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,24.719724778966985,19.724770566152984,,,,4277801
2007-07-06,27.01175154,27.36825876,26.60041182,27.29970785,27.149541385929144,,,,,,0,0,0,0,,,89.36856364624336,38.30848261757287,0,15,26.56613294,26.442966378026146,26.689299501973853,25.95030013013074,27.42310497,27.42310497,27.42310497,27.620171469158166,27.915771217895408,26.56613294,0,3,0,0,0.2,0,0,0,50,0,1.3915660488792954,27.42310497,26.56613294,1,1,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,23.288073436976156,20.85770103736685,,,,3950700
2007-07-09,27.11459504,27.69732916,26.38102698,27.62877825,27.309287007286095,,,,,,0,0,0,0,,,90.97252609769988,38.30680598856108,0,16,27.62877825,27.296983321559996,27.549226618440006,25.610831874959914,28.684321454400052,0,,,0.20280361069152872,,1,3,0,0,0.2,0,0,0,50,0,0.5230779258834786,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,23.45339479205683,18.84300545796549,,,,5369492
