time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2007-04-19,31.58866306,34.72234566,30.83354358,34.48321605,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,15889351.37401317
2007-04-20,34.48321605,36.2451453,34.10568703,35.93051683,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,3054749.64719477
2007-04-23,35.993455,36.42133674,35.60329103,36.18221997,,,,,,,0,0,0,0,,,86.97207926649946,38.305129359549284,0,2,0,,,0,,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1876399.78027686
2007-04-24,35.88016411,37.00024001,35.88016411,36.74854971,,,,,,,0,0,0,0,,,89.77428390782794,38.305129359549284,0,3,0,,,0,,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1532949.78033843
2007-04-25,37.18902882,37.44073195,35.88016411,36.0060276,35.870106032,,,,,,0,0,0,0,,,91.17538622849217,38.305129359549284,0,4,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,1225949.73144105
2007-04-26,36.81147596,36.86180301,34.35737731,35.49003774,35.74341660133334,,,,,,0,0,0,0,,,82.36924544471017,38.305129359549284,0,5,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,639699.5229489
2007-04-27,35.49003774,35.86759151,34.79784358,35.74172803,35.742853744222224,,,,,,0,0,0,0,,,77.96617505281918,42.88344431441926,0,6,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,178149.51314126
2007-04-30,35.84242156,36.44651953,35.23833553,35.30126085,35.595656112814815,,,,,,0,0,0,0,,,85.2713318009878,40.59428683698427,0,7,31.58866306,,,30.009229906999998,37.44073195,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,3.7051703510746816,37.44073195,,1,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,182499.54401048
2007-05-01,35.23833553,35.86759151,34.98663331,35.11247203,35.434594751876546,,,,,,0,0,0,0,,,88.92391017507211,39.449708098266775,0,8,34.35737731,,,32.639508444499995,37.44073195,37.44073195,37.44073195,37.44073195,39.3127685475,34.35737731,0,0,0,0,0.2,0,0,0,50,0,1.7948719497297392,37.44073195,34.35737731,1,1,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,459199.66184629
2007-05-02,34.98663331,36.01861302,34.93627966,35.43969784,35.43629578125103,,,,,,0,0,0,0,,,90.75019936211426,38.877418728908026,0,9,35.43969784,,,33.667712948,37.44073195,37.44073195,37.44073195,37.44073195,39.3127685475,34.35737731,1,1.5,0,0,0.2,0,0,0,50,0,1.129261383115675,37.44073195,34.35737731,0,1,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,428499.65695655
