time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,34.50518448,34.53051699,34.13143638,34.35315135,34.16524161238194,34.426432732714716,33.549350806404476,32.55090438592679,29.724833690310938,33.89935829885961,0,0,0,0,34.11577013371311,28.920193662142502,92.4466809031448,28.81567094030304,2,8,33.92872555,33.876296877604226,33.98115422239578,33.66658218802111,34.56853795,34.56853795,,,34.83068131197889,32.881974822960004,0,2,6,15.570541816682054,0.08674159797229916,0.807801630336259,0,3.4262249508158233,62.38669441868813,0,2.4406965531002545,34.56853795,32.881974822960004,1,1,0,0,8,10,2,3,233,0,26,7,,0.8178468621303898,0.7941385176144563,17,3.1869398098162893,-0.6616050861371714,,,,,,0.5499046408137317,18.79059602488484,54.36507936507937,58.31937232576576,3,11.868791385946366,35.60005358578754,33.18681922135712,11.68367227851439,,,,1193700
2006-12-28,34.77757082,34.84092429,34.20745294,34.30246731,34.21098351158796,34.47969096022466,33.62107618769929,32.61959312804731,29.770382283541675,33.982951759485864,0,0,0,0,34.30246731,28.93413905603145,92.69771499567427,29.73931666952929,2,9,33.92872555,33.87438578857892,33.983065311421086,33.6570267428946,34.56853795,34.84092429,34.78658452857891,34.89526405142108,35.1126230971054,33.11050303244,0,0,6.5,15.223469363924998,0.08945068015295833,0.6285598608243422,0,3.3837895655509134,60.737638726555446,0,2.354859069189031,34.56853795,33.11050303244,1,1,0,0,8,10,2,1,233,0,27,8,,0.850097582977245,0.6164656450407705,18,2.9984576277267654,-0.6478983024092336,,,,,,0.6137391002456383,19.319420294335536,57.53968253968254,64.81628498825035,3,11.721790899311198,36.89904947512998,34.83284996840009,10.467568621227908,,,,1290500
2006-12-29,34.22645708,34.35315135,33.95407073,34.01107682,34.14434794772531,34.48171839408268,33.658219105061264,32.674161115967024,29.812578249078573,34.063401167461414,0,0,0,0,34.135288826125716,28.95178203036534,87.74137628516345,51.54224990222389,1,0,33.90089389918026,33.84687232946783,33.95491546889269,33.630786050618106,34.56853795,34.135288826125716,,,34.40539667468787,33.11050303244,0,0,4,14.082977110680424,0.08819266333117991,0.1647688991920716,0,3.487819380837233,38.041946105270775,0,2.471768422775415,34.56853795,33.86538475,1,1,0,0,8,15,2,1,233,0,28,9,,0.2238369562267728,0.1609258355505623,19,2.093957900430775,1.3496092708638814,,,,,,0.8567933267890352,19.884689314794006,61.507936507936506,64.57891701221894,3,12.08216075046702,37.11596903091223,32.53530285703415,13.964983988531333,,,,1736900
2007-01-03,34.01107682,34.6128746,33.77035771,33.92239083,34.07036224181687,34.426656813378344,33.68337831696019,32.723111300831064,29.85347190660018,34.139898604024324,0,0,0,0,34.02215669488003,28.985690308210817,96.40858115167913,98.86108977892529,4,0,33.889366197533334,,,33.60093940556491,34.56853795,33.93816952468144,33.88048416628776,33.995854883075125,34.22659631664987,33.11050303244,0,0,5.5,13.629633886905584,0.09037039165675015,0.0029243562450246966,4,3.256997674477008,26.39971949086843,0,2.8695894947652607,34.56853795,33.86538475,1,1,0,1,8,8,2,1,233,0,29,10,,-0.269204415074673,0.006345702622855596,20,4.826730489276214,5.771525163336248,,,,,,1.664150001333065,19.88293699452492,61.111111111111114,76.2270067925768,3,11.282570904655714,37.70534769697855,32.31254003236507,12.143877087208091,,,,3433000
2007-01-04,33.92239083,33.96673383,33.57398159,33.63733506,33.92601984787792,34.30553605017705,33.67899324486874,32.75896321295534,29.891122286236,34.21044105724908,0,0,0,0,33.92879920176102,29.004739221977342,77.74356913587269,81.35554343464517,4,1,33.11050303244,33.05343134036015,33.16757472451985,32.82514457204074,34.76534308487997,33.92467205579677,33.86760036371692,33.98174374787662,34.21003051619603,33.11050303244,0,0,4,12.532860887224096,0.06266430443612048,-0.3908928626609142,4,3.425148367793294,24.716537319844424,0,2.8531448558336967,34.76534308487997,33.11050303244,1,1,0,0,8,8,2,1,233,0,30,11,,-0.7578760813607676,-0.37865795198159713,0,1.1732529028548306,2.4156952168892243,,,,,,1.004841380448981,19.666266782659793,59.523809523809526,65.74938078140585,3,11.865061992959193,37.54053079796534,30.327126408710306,14.469910945720057,,,,2069300
2007-01-05,33.67533701,33.68167172,33.1558905,33.20023349,33.684091061918615,34.108410646470986,33.63339707773839,32.776267929702186,29.924048765875444,34.27242826155772,0,0,0,0,33.784611112561706,29.02214076893299,70.98389897270054,87.1897337222543,4,2,32.93693894500002,,,32.64849085587929,34.72178825446019,33.721136597760236,33.66344697993609,33.77882621558438,34.00958468688097,32.68273145453966,0,0,7.5,10.948333729026096,0.06747382098093511,-0.9337391402350497,4,3.657075276159776,20.359966155811218,0,3.5999723429817245,34.72178825446019,32.68273145453966,1,1,0,0,8,8,2,0,233,0,,0,,-1.101857218686437,-0.9185601097136501,0,1.2201462045200993,3.273826837146462,,,,,,1.0475728276153855,19.049189219816707,54.36507936507937,50.366805348537135,3,12.668480370825428,36.0733895696735,27.859265682070255,19.76318536524291,,,,2104600
2007-01-08,33.16223155,33.20023349,32.85815896,32.95317967,33.44045393127907,33.8544701353277,33.56861446747759,32.78320564500798,29.954189371886635,34.32488147834489,0,0,0,0,33.62939811328453,29.040960280516813,55.438680756865566,79.2917487205744,4,3,32.7233893479907,,,32.39142332915316,33.46251517,32.97894090040002,32.92231773268831,33.035564068111725,33.26205673895856,32.68651411080419,0,9,3,10.011922742693384,0.08610109748602146,-1.1824606654178922,4,3.687230520152005,9.938626679873934,0,1.0328874254605158,33.46251517,32.68651411080419,1,1,0,1,8,19,2,0,233,0,,1,,-1.2883318701804363,-1.1661864790436542,0,-0.10654153013184775,4.606854591660354,,,,,,1.187858142222763,18.198051214205073,47.61904761904762,42.4734595494556,3,12.772941200243782,33.92237857689359,26.35654515273103,23.391917047634895,,,,2440900
2007-01-09,33.04820037,33.19389244,32.7821424,32.87082839,33.25057875085272,33.57435324427057,33.50215865057496,32.7866418310861,29.983210655648957,34.36811205312527,0,0,0,0,33.559738869457256,29.05086573579372,39.93122870532737,79.41824905587339,4,4,32.762343194356646,,,32.48106821748086,33.46251517,33.02383397520002,32.967578979824864,33.080088970575176,33.305108952075805,32.73647690364464,0,0,6.5,9.630782265164134,0.10642678227503885,-1.1972898826412939,4,3.593873307178699,9.70324046945359,0,1.0216233052337156,33.46251517,32.73647690364464,1,1,0,0,10,8,2,0,233,0,,0,,-1.4661829675937454,-1.1805032866546945,0,-1.0661128224845822,3.7874558090270494,,,,,,0.6518491492582202,17.157357185972636,42.857142857142854,37.8151640754446,3,12.449542327998193,31.73359156024052,24.63410946239715,23.069728710895255,,,,1322100
2007-01-10,32.80114654,32.95951438,32.61744618,32.65544813,33.05220187723515,33.28225056105758,33.421519553377344,32.78149698006312,30.00980008325444,34.40164959294682,0,0,0,0,33.464243762978896,29.062812844707967,42.173486877506114,63.73229775705544,4,5,32.63134185250918,,,32.354887043624515,33.46251517,32.78149698006312,32.726206018286184,32.83678794184005,33.05795178894778,32.03174526,0,0,1.5,8.815946922025125,0.09113139965181188,-1.3799180137593547,4,3.320757065024103,19.623351458127427,0,2.712022710286465,33.46251517,32.63504553595999,1,1,0,0,10,8,1,0,233,0,,1,,-1.37641332033349,-1.3613734950161946,0,0.14092539734228104,2.4668664323110225,,,,,,0.8366843693243622,15.992847637537839,36.904761904761905,39.02665428153089,3,11.503439912430103,29.64374112270426,23.27336241047754,24.454965677185303,,,,1699900
2007-01-11,32.80747492,32.80747492,32.43373316,32.43373316,32.84604563815677,32.982720068437665,33.32744465876998,32.7678591831979,30.033918820336485,34.425049426348856,0,0,0,0,33.31035606748147,29.081283748477453,35.724081029409604,50.85216144424186,4,6,31.180485167400008,31.125806580035714,31.2351637547643,30.907092230578538,32.954150585,32.7678591831979,32.713180595833606,32.82253777056219,33.04125212001937,32.46139976424786,0,0,4.5,7.990347027370142,0.1427793914473193,-1.5515850726256983,4,3.282469967822051,16.970312320002257,0,1.1209485603871345,32.954150585,32.46139976424786,1,1,0,0,10,8,1,0,105,0,,2,,-1.8226212504837487,-1.530156247290035,0,-0.7361078611782235,2.176016255764326,,,,,,1.3727204717906867,14.478687671341483,28.174603174603174,27.33207472585009,3,11.370809517173537,28.140206231634174,21.85301216662269,25.962388504850146,,,,2825800
