time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2006-12-27,1.78829032,1.82019571,1.78829032,1.81575325,1.810467954250118,1.7836863534450216,1.8661630961876186,1.911924442421447,2.0125143489488884,1.9651471982002362,0,0,0,0,1.954447568146279,1.812739646947179,85.21113226436563,79.36551685191837,4,9,1.812739646947179,1.8069790227207796,1.8185002711735785,1.7839365258151818,1.88576655498,1.84806121,,,1.8768643311319972,1.7633054384483722,0,5.5,0,-9.776879307799932,0,-0.4330436986133495,4,6.488955325844601,71.81584204465798,0,2.5353817629054016,1.88576655498,1.7633054384483722,1,1,1,0,14,8,0,0,1276,0,,0,,-0.47253190199043577,-0.4290995224600552,0,4.877018496682272,1.4524848756015003,,,,,,0.5800834391438415,23.275097654505792,22.61904761904762,3.544278096063768,2,22.478400624815013,15.335953054454823,22.12439021279051,29.92192593231075,,,,5308680
2006-12-28,1.80686834,1.82665698,1.806464,1.81736821,1.8127680395000787,1.7793909462038957,1.86151596416975,1.9082163548755078,2.010572596322531,1.9603888154193454,0,0,0,0,1.953273520200592,1.8130263143179897,91.76556786074919,78.31917677367696,4,10,1.8130263143179897,1.807496868786333,1.8185557598496462,1.7853790866597066,1.88576655498,1.84806121,,,1.875708437658283,1.7723007086,0,5.5,1,-9.609421051292289,0,-0.3644341249251036,4,5.845804452030594,75.36005148287457,0,2.6310139143451305,1.88576655498,1.7723007086,1,1,1,0,14,8,0,0,1276,0,,0,,-0.39403628446259154,-0.361306888852004,0,5.525914353098518,1.4517088830539269,,,,,,0.4742520350543193,24.114909502798895,23.015873015873016,19.08326396453626,2,20.250460644058652,15.143932658825483,22.446318691907337,28.94628423813413,,,,4222420
2006-12-29,1.82261838,1.83998435,1.8024254,1.80565676,1.8103976130000525,1.7784922911329004,1.8561960399631072,1.9041944099784291,2.0085336327770333,1.9553394278175666,0,0,0,0,1.95132282737129,1.8123756645602471,77.10445468857282,85.49612387507112,4,11,1.7793408143571658,1.768401148548375,1.78505944,1.7465218169307932,1.88576655498,1.9064932508180041,1.9010234179136087,1.9119630837223995,1.9338424153399814,1.76728929,0,0,1.5,-10.100745611938413,0,-0.4337341860785592,4,5.838420506160809,34.63824480367193,0,5.089879828180595,1.88576655498,1.76728929,1,1,0,0,8,8,0,0,1244,0,,1,,-0.4632396296763343,-0.4303123782659351,0,1.1178785656406678,3.2033619543137206,,,,,,0.7401390134529142,24.66931614971617,23.015873015873016,21.975081314657874,3,20.224881905245045,14.618437938269151,23.245632803778157,27.17162823370367,,,,6602040
2007-01-03,1.81494505,1.88400472,1.81211803,1.84765768,1.8228176353333683,1.7843145057523813,1.8553828628237636,1.9019772833126083,2.006932877028008,1.9503168300778595,0,0,0,0,1.9477873098059677,1.819110242077487,94.5895291806108,82.40009883590498,4,12,1.781922837635821,1.7703655058133723,1.79281920066,1.747250842168475,1.89894769,1.85896575,1.8531870840887756,1.8647444159112245,1.8878590795561219,1.79281920066,0,3,4.5,-7.9362493310624656,0,0.03762814844141832,4,6.191941462744408,56.00789711825668,0,3.3751980751841275,1.89894769,1.79281920066,1,1,0,0,8,8,0,0,1244,0,,2,,0.04836615584646437,0.036218553953232036,0,3.914947557402865,1.8782578000368728,,,,,,1.8832673343325068,24.957433462193432,23.41269841269841,16.354305143035695,2,21.449514421931333,14.042505064075982,27.23318980989509,23.882371690303735,,,,17640680
2007-01-04,1.84806121,1.87431241,1.8254454,1.8654275,1.8370209235555788,1.7960552005294375,1.856339494935786,1.9005439584768198,2.0055248633262366,1.9454625776697516,0,0,0,0,1.9459312263988218,1.8244038583332265,88.8156982745892,83.42689554013381,4,13,1.8251249256409927,1.8193227089912845,1.830927142290701,1.7961138423924512,1.9208263367,1.9062060884622427,1.9004038718125345,1.912008305111951,1.9352171717107842,1.8170109627000002,0,4,0,-6.985571003786009,0,0.22127155157255354,4,6.250298788208993,54.07028237267909,0,3.2987879231920285,1.9208263367,1.8170109627000002,1,1,0,0,8,8,0,0,1244,0,,0,,0.35340039317148525,0.21823446143052083,1,3.317877566077936,1.9252764160955675,,,,,,1.2445647154345114,24.975204739359718,23.80952380952381,15.350014998780612,2,21.65167012732832,13.507710252325184,25.185320128734194,22.0864753872927,,,,11925500
2007-01-05,1.85654259,1.95629591,1.8484654,1.93812271,1.8707215190370525,1.8188402529510825,1.8641283725609494,1.9020176350071405,2.0048541951339356,1.941241454930793,0,0,1,0,1.945362219656853,1.8568135658589318,99.67925226284592,40.85080441239855,4,14,1.912392574018813,1.9060420290047981,1.918743119032828,1.8806398489487386,1.9776387203761518,1.945362219656853,,,1.9771149447269274,1.876937501,0,10.5,0,-3.3284956729473048,0,0.9288431017789671,4,7.173057888777623,68.65774205566592,0,2.0548203725301835,1.9776387203761518,1.876937501,1,1,0,0,8,10,0,0,1244,0,,0,,0.8425865791523419,0.9178908389510321,2,7.752077178673346,-0.6735153037712597,,,,,,3.721020198173149,24.692901700627075,23.015873015873016,-0.6249937963383316,1,24.848201417991174,14.501188074564226,32.893606911749735,18.738062124198287,,,,41591320
2007-01-08,1.9284296,1.93246868,1.87188974,1.88481276,1.875418599358035,1.8418222567943723,1.8660983142218115,1.9013429340264683,2.0036597529932996,1.9372873477613233,0,0,0,0,1.9426543423842428,1.861146753973345,94.83475484440004,69.88047332847982,4,15,1.861146753973345,1.8546584535139026,1.8676350544327875,1.828705251676133,1.94579524,1.9109704938223844,,,1.9434119961195964,1.8170109627000002,0,0,5.5,-5.931495745011206,0,0.32009597530799233,4,7.665211594652987,58.831606589559755,0,2.6092652939173426,1.94579524,1.8170109627000002,1,1,0,0,8,8,0,0,1244,0,,1,,0.4286886681926032,0.31776915092278923,3,3.980244517507268,0.9421500941849562,,,,,,2.189649643830523,24.10945698324943,22.22222222222222,-9.20275776206462,1,26.55307186541005,15.423703195214763,29.89557153941722,17.030211318781024,,,,26720380
2007-01-09,1.90702504,1.93973767,1.89531279,1.93408363,1.8949736095720233,1.8676253888961036,1.8725731062006865,1.9026268828881754,2.002967453262023,1.9338748763300673,0,0,0,0,1.9425075092296415,1.8652959681328618,92.91787538200758,67.29960432530194,4,16,1.93408363,1.9038831772139913,1.916913680031527,1.8431907787298565,1.96833992769425,1.9425075092296415,,,1.975083766273481,1.876937501,1,4,0,-3.4390884959133596,0,0.7815890165893141,4,8.130832418692245,56.99000400833442,0,0.37688660016216824,1.96833992769425,1.876937501,0,1,0,0,8,8,0,0,1244,0,,2,,0.9044936487947434,0.7787545615752087,4,3.2335368137356735,0.8613325484545442,,,,,,0.8381937502716322,23.204146676080608,21.428571428571427,-17.616551172841366,1,28.166029714006218,16.39667045003508,28.641491306872485,15.748352518122713,,,,10414440
2007-01-10,1.93327591,1.9401412,1.91873665,1.93731451,1.9090872430480155,1.8933068601627707,1.8787389541815736,1.9039871819905998,2.002314190144988,1.9309752673985316,0,0,0,0,1.9424480766009884,1.8679620831819714,89.63587380945378,67.67068397859603,4,17,1.9105160261084457,1.9042750377467326,1.916757014470159,1.8793110842998804,1.95629591,1.952681161367501,,,1.9818794947177376,1.876937501,0,1.5,0,-3.246227813042731,0.013352954457089256,0.7431023199417843,4,7.742964508639491,56.15434388139738,0,1.4670715995050558,1.95629591,1.876937501,1,1,0,0,8,8,0,0,1244,0,,3,,1.106823635656714,0.7421407626042413,5,2.899997128090604,0.8275890010755359,,,,,,0.5869999351925964,21.919652518388848,19.841269841269842,-18.278604609938245,1,26.822415860332367,17.306930499142382,27.822159611028102,15.266105185541715,,,,7037760
2007-01-11,1.93731451,1.98496962,1.93650679,1.98416222,1.9341122353653437,1.9209444661948052,1.8887792652119,1.9071313011282234,2.00213357352663,1.9288236045612768,0,0,0,0,1.9429371398031687,1.8722563043103624,92.3725064134662,52.2343710267887,4,18,1.9123116622685692,1.9060837549505498,1.9185395695865886,1.8811721256784726,1.95629591,2.0472111689,2.0409832615819807,2.0534390762180195,2.0783507054900965,2.012934140663264,0,2,0,-0.8976101177392747,0.04724628131372194,1.1327898049070169,4,7.690718618556259,64.12730656112728,0,1.41248883406374,1.95629591,2.012934140663264,1,0,0,0,8,8,0,0,1180,0,,0,,1.3779702505097755,1.125066141233898,6,4.396875607903596,-0.9011866043486962,,,,,,0.6106294268457135,20.20225207976768,19.047619047619047,-24.16979312994206,0,26.641430788110736,18.85138931928461,32.315903382409246,14.205443555974572,,,,7295100
