time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2010-06-29,1.266665,1.666665,1.169331,1.592665,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.364510692622504,,,,,,,,,,0,,,,,,,,281749481
2010-06-30,1.719331,2.027945,1.553332,1.588665,,,,,,,0,0,0,0,,,,,0,1,1.266665,,,1.2033317499999998,1.3173316,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,2.364510692622504,,,,,,,,,,0,,,,,,,,257916256.99999994
2010-07-01,1.666665,1.727998,1.351332,1.463999,,,,,,,0,0,0,0,,,50.05778779334224,77.53799904939251,0,2,1.266665,,,1.2033317499999998,1.3173316,0,,,0,,0,3,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.364510692622504,,,,,,,,,,0,,,,,,,,123448068
2010-07-02,1.533332,1.539999,1.247333,1.279999,,,,,,,0,0,0,0,,,44.18145857644576,78.86535816402136,0,3,1.266665,,,1.2033317499999998,1.3173316,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,8,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.864510692622504,,,,,,,,,,0,,,,,,,,77127212
2010-07-06,1.333332,1.333332,1.055332,1.073999,1.3998654,,,,,,0,0,0,0,,,41.24329396799752,79.52903772133578,0,4,0,,,0,,1.266665,,,1.32999825,1.2159984,0,0,1.5,0,0.2,0,0,0,50,0,0.7999999999999986,,,0,0,0,0,10,8,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.864510692622504,,,,,,,,,,0,,,,,,,,103189557.99999999
2010-07-07,1.093332,1.108666,0.998666,1.053332,1.2843542666666665,,,,,,0,0,0,0,,,25.15046829467519,88.99490925302081,4,0,0,,,0,,1.266665,,,1.32999825,1.2159984,0,5,1.5,0,0.2,0,4,0,50,0,0.7999999999999986,,,0,0,0,0,10,8,0,0,0,0,,,,0,0,100,-2.635489307377496,5.3645106926225035,,,,,,,,,,0,,,,,,,,103873812.99999999
2010-07-08,1.075999,1.167999,1.037999,1.164,1.2442361777777777,,,,,,0,0,0,0,,,49.35678647780168,81.27900695697448,0,0,0,,,0,,1.266665,,,1.32999825,1.2159984,0,0,0,0,0.2,0,0,0,50,0,0.7999999999999986,,,0,0,0,0,10,8,0,0,0,0,,,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,115793200
2010-07-09,1.171999,1.193331,1.103332,1.159998,1.216156785185185,,,,,,0,0,0,0,,,39.633081689014084,77.42105580895134,0,1,0,,,0,,1.266665,,,1.32999825,1.2159984,0,0,0,0,0.2,0,0,0,50,0,0.7999999999999986,,,0,0,0,0,10,8,0,0,0,0,,,,0,0,100,-1.135489307377496,1.364510692622504,,,,,,,,,,0,,,,,,,,60879150
2010-07-12,1.196665,1.204666,1.133332,1.136666,1.1896598567901233,,,,,,0,0,0,0,,,34.77122929462029,75.49208023493975,0,2,0,,,0,,1.266665,,,1.32999825,1.2159984,0,0,1.5,0,0.2,0,0,0,50,0,0.7999999999999986,,,0,0,0,0,10,8,0,0,0,0,,,,0,0,100,-1.135489307377496,1.364510692622504,,,,,,,,,,0,,,,,,,,33053583
2010-07-13,1.159586,1.242665,1.126665,1.209332,1.1962172378600822,,,,,,0,0,0,0,,,32.340303097423394,74.52759244793396,0,3,0,,,0,,1.266665,,,1.32999825,1.2159984,0,0,1,0,0.2,0,0,0,50,0,0.7999999999999986,,,0,0,0,0,10,8,0,0,0,0,,,,0,0,100,-1.135489307377496,1.364510692622504,,,,,,,,,,0,,,,,,,,40200940
2010-07-14,1.195999,1.343331,1.184005,1.322665,1.2383664919067214,,,,,,0,0,0,0,,,52.95170387917578,74.04534855443106,0,4,1.266665,,,1.2033317499999998,1.3173316,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,62941697
2010-07-15,1.329332,1.433332,1.266665,1.325999,1.2675773279378142,,,,,,0,0,0,0,,,66.57221057891299,73.80422660767962,0,5,1.266665,,,1.2033317499999998,1.3173316,0,,,0,,0,0,5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,1.864510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,56179511
2010-07-16,1.379999,1.419999,1.336665,1.375999,1.303717885291876,,,,,,0,0,0,0,,,52.438669969231135,73.6836656343039,0,6,1.266665,,,1.2033317499999998,1.3173316,0,,,0,,0,0,5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.364510692622504,,,,,,,,,,0,,,,,,,,39318189
2010-07-19,1.424665,1.483332,1.394665,1.460665,1.3560335901945841,,,,,,0,0,0,0,,,63.00088731507965,73.62338514761603,0,7,1.266665,,,1.2033317499999998,1.6900847142857143,0,,,0.04255368128571429,,0,0,5,0,0.2,0,0,0,50,0,0,,,1,0,0,0,8,8,0,0,0,0,,,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,,,,,,37297372.00000001
2010-07-20,1.456666,1.456666,1.336665,1.353332,1.3551330601297227,,,,,,0,0,0,0,,,50.65300833731447,73.5932449042721,0,8,1.266665,1.2409843915816325,1.2923456084183673,1.2033317499999998,1.6775547346938775,0,,,0.04129441833673469,,0,0,2,0,0.2,0,0,0,50,0,0,,,1,0,0,0,8,8,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.364510692622504,,,,,,,,,,0,,,28.92294615464193,23.64954273211961,,,,27378492
2010-07-21,1.377332,1.393331,1.299999,1.347999,1.3527550400864818,,,,,,0,0,0,0,,,44.47906884843188,76.89298109146114,0,9,1.266665,1.2419853993258017,1.2913446006741982,1.2033317499999998,1.661538610787172,0,,,0.03968479788411078,,0,0,3.5,0,0.2,0,0,0,50,0,0,,,1,0,0,0,10,8,0,0,0,0,,,,0,0,100,-0.6354893073774961,1.864510692622504,,,,,,,,,,0,,,27.84269319269962,24.233537709557087,,,,18801648
2010-07-22,1.366665,1.416665,1.357999,1.399999,1.3685030267243212,,,,,,0,0,0,0,,,59.02108675468003,75.22804287619465,0,10,1.266665,,,1.2033317499999998,1.483332,0,,,0.037836017035245736,,0,0,2,0,0.2,0,0,0,50,0,0,1.483332,,1,0,0,0,8,8,0,0,0,0,,,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,28.01914438291536,23.53702294395422,,,,14435189
2010-07-23,1.412665,1.437332,1.403999,1.419331,1.3854456844828809,,,,,,0,0,0,0,,,69.60690201666512,74.3955737685614,0,11,1.266665,,,1.2033317499999998,1.483332,0,,,0.03566943960415675,,0,0,3,0,0.2,0,0,0,50,0,0,1.483332,,1,0,0,0,8,8,0,0,0,0,,,,0,0,100,1.864510692622504,1.364510692622504,,,,,,,,,,0,,,28.47161492353523,23.147482021187813,,,,9810744
2010-07-26,1.433332,1.433332,1.353332,1.396665,1.3891854563219206,,,,,,0,0,0,0,,,71.58500333879664,73.97933921474478,0,12,1.266665,,,1.2033317499999998,1.483332,1.483332,1.483332,1.517431695440941,1.5574986000000002,1.299999,0,0,3.5,0,0.2,0,0,0,50,0,2.4719078399171592,1.483332,1.299999,1,1,0,0,8,8,0,0,0,0,,,,0,0,100,1.364510692622504,1.364510692622504,,,,,,,,,,0,,,27.4242033727248,24.625851315589077,,,,13836808
2010-07-27,1.393999,1.411998,1.350665,1.369999,1.3827899708812803,,1.3247654,,,,0,0,0,0,,,65.2994327341446,73.77122193783649,0,13,1.266665,1.2463273821101681,1.2870026178898317,1.2033317499999998,1.483332,1.483332,,,1.5574986000000002,1.299999,0,1,2,0,0.2,0,0,30.751496918097995,50,0,2.4719078399171592,1.483332,1.299999,1,1,0,0,8,8,0,0,0,0,,,,0,0,100,0.48605127845368346,1.364510692622504,,,,,,0.12505847475746146,,,,0,106.52631014188694,,26.615789937859482,24.0281103586484,,,,9295134
2010-07-28,1.369999,1.393331,1.367331,1.381332,1.3823039805875201,,1.3301526952380953,,,,0,0,0,0,,,41.44612570405702,73.66716329938234,0,14,1.266665,1.247547926245156,1.2857820737548438,1.2033317499999998,1.483332,1.483332,,,1.5574986000000002,1.299999,0,0,2,0,0.2,0,0,30.783668625002257,50,0,2.4719078399171592,1.483332,1.299999,1,1,0,0,10,8,0,0,0,0,,,,0,0,100,-2.0589090616582455,1.364510692622504,,,,,,0.11566005437913256,,,,0,106.63775620373572,,26.262365026130766,23.709046644877738,,,,7007752
2010-07-29,1.384665,1.391999,1.333332,1.356666,1.3737579870583467,,1.3326777718820861,,,,0,0,0,0,,,48.74011891230743,73.61513398015526,0,15,1.266665,1.2483896190133592,1.2849403809866407,1.2033317499999998,1.483332,1.483332,,,1.5574986000000002,1.299999,0,1,3.5,0,0.2,0,0,30.798264095374456,50,0,2.4719078399171592,1.483332,1.299999,1,1,0,0,10,8,0,0,0,0,,,,0,0,100,0.3233954566960031,1.364510692622504,,,,,,0.19185120024066615,,,,0,106.68831639622576,,25.44143778878027,24.779452645343117,,,,9238659
2010-07-30,1.346665,1.362665,1.303332,1.329332,1.3589493247055644,1.4176449255844155,1.3323591269409352,,,,0,0,0,0,,,47.624194172718404,81.58344596320373,0,16,1.266665,1.2491652444409764,1.2841647555590234,1.2033317499999998,1.483332,1.539999,,,1.6099980222360937,1.299999,0,3,2,0,0,0,0,29.84884205780777,50,0,3.428619319717414,1.483332,1.299999,1,1,0,0,10,8,0,0,0,0,,,,0,0,0,-0.1865292520769184,2.8645106926225035,,,,,,0.15134736597695891,,,,0,103.39942198244361,,24.603792783956422,25.628331183963386,,,,6402456
2010-08-02,1.366665,1.397999,1.355531,1.394665,1.3708545498037097,1.4056993925108228,1.338293019613227,,,,0,0,0,0,,,49.103298995625565,80.88808162092695,0,17,1.266665,,,1.2033317499999998,1.483332,1.539999,,,1.6074504849335156,1.299999,0,0,0,0,0,0,0,26.95790604924719,50,0,3.558112919775726,1.483332,1.299999,1,1,0,0,10,8,0,0,0,0,,,,0,0,1,0.031062941888572393,1.864510692622504,,,,,,0.27669342991214235,,,,0,93.38492588592902,,25.66228125687819,24.618125556230883,,,,10787185
2010-08-03,1.399999,1.463332,1.387999,1.463332,1.4016803665358064,1.4049943404761904,1.3502014939357767,,,,0,0,0,0,,,69.21900758816457,64.17492044510809,0,18,1.266665,,,1.2033317499999998,1.483332,1.483332,1.467001003497577,1.4996629965024233,1.5574986000000002,1.299999,0,0,0,0,0,0,0,19.527438019239316,50,0,3.4210623961347277,1.483332,1.299999,1,1,0,0,8,8,0,0,0,0,,,,0,0,2,2.8338616100950214,-0.1354893073774961,,,,,,0.5313797341695997,,,,0,67.6450295819493,,28.379491604990882,23.522662331608,,,,18465363
2010-08-04,1.463332,1.478665,1.389999,1.417331,1.4068972443572043,1.4076676423376626,1.3565947802276075,,,,0,0,0,0,,,76.78096764560027,55.81833985719866,0,19,1.266665,,,1.2033317499999998,1.483332,1.483332,1.4673758425334642,1.499288157466536,1.5574986000000002,1.303332,0,0,3.5,0,0,0,6,19.80024269130533,50,0,3.4210623961347277,1.483332,1.303332,1,1,0,0,8,8,0,0,0,0,,,,0,0,3,2.2452909892672057,-0.1354893073774961,,,,,,0.45662314555829736,,,,0,68.5900526870703,,27.78756955445515,22.266758579695143,,,,13811353
2010-08-05,1.435998,1.436665,1.336665,1.363332,1.3923754962381363,1.4060150522510824,1.3572364202059306,,,,0,0,0,0,,,80.0320337462351,56.30533203127265,0,20,1.266665,1.266665,1.298083578152138,1.2038278436957237,1.483332,1.539999,,,1.6028361563042761,1.303332,0,1,3.5,0,0,0,6,18.33655643879719,50,0,3.448071375967971,1.483332,1.303332,1,1,0,0,8,8,0,0,0,0,,,,0,0,4,2.14110060356035,0.3645106926225039,,,,,,0.47679195531850777,,,,0,63.51969477570193,,26.095335848771654,24.158720846168972,,,,11945711
