time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2017-10-17,11.75950591,11.75950591,11.75950591,11.75950591,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,100000
2017-10-18,11.72780912,11.74048784,11.72780912,11.72780912,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,8227502
2017-10-19,11.72780912,11.77218462,11.72780912,11.72780912,,,,,,,0,0,0,0,,,79.90089929033759,38.305129359549284,0,2,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,550484
2017-10-20,11.56932522,12.04477694,11.41084131,11.41084131,,,,,,,0,0,0,0,,,86.23869391974699,47.54872678244796,0,3,0,,,0,,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,0.3645106926225039,,,,,,,,,,0,,,,,,,,155577
2017-10-23,11.41084131,11.41084131,11.41084131,11.41084131,11.607361354,,,,,,0,0,0,0,,,79.90089929033758,47.505243025868594,0,4,0,,,0,,0,,,0,,0,3,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,349
2017-10-24,11.85459625,11.85459625,11.82289947,11.82289947,11.679207392666667,,,,,,0,0,0,0,,,86.23869391974699,42.90518619270894,0,5,0,,,0,,0,,,0,,0,0,1,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,287571
2017-10-25,11.79120269,11.82289947,11.79120269,11.82289947,11.727104751777778,,,,,,0,0,0,0,,,83.2157055991986,40.60515777612911,0,6,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,100127
2017-10-26,11.79120269,11.82289947,11.72780912,11.72780912,11.727339541185186,,,,,,0,0,0,0,,,87.8960970741775,39.4551435678392,0,7,11.41084131,11.41084131,11.41084131,10.8402992445,12.04477694,12.04477694,12.04477694,12.04477694,12.647015787,11.41084131,0,0,0,0,0.2,0,0,0,50,0,1.11111111403231,12.04477694,11.41084131,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,160091
2017-10-27,11.41084131,11.78169365,11.41084131,11.75316655,11.735948544123458,,,,,,0,0,0,0,,,90.23629281166696,43.458451418564216,0,8,11.75316655,11.41084131,11.41084131,11.1655082225,12.04477694,12.04477694,12.04477694,12.04477694,12.647015787,11.41084131,1,1.5,0,0,0.2,0,0,0,50,0,0.4962243813349191,12.04477694,11.41084131,0,0,0,0,8,10,0,0,1024,0,,0,,0,0,100,3.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,2133104
2017-10-31,11.72780912,11.72780912,11.66441556,11.72780912,11.733235402748972,,,,,,0,0,0,0,,,91.40639068041168,40.88179038905675,0,9,11.72780912,11.41084131,11.41084131,11.141418664,12.04477694,11.75950591,,,12.3474812055,11.41084131,1,0,0,0,0.2,0,0,0,50,0,0.5405405506804501,12.04477694,11.41084131,0,0,0,0,8,10,0,0,1024,0,,1,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,43330
2017-11-01,11.56932522,11.72780912,11.56932522,11.72780912,11.731426641832648,,,,,,0,0,0,0,,,91.99143961478404,39.593459874303015,0,10,11.72780912,11.41084131,11.41084131,11.141418664,12.04477694,11.75950591,,,12.3474812055,11.41084131,1,0,0,0,0.2,0,0,0,50,0,0.5405405506804501,12.04477694,11.41084131,0,0,0,0,8,10,0,0,1024,0,,2,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,57558
2017-11-02,11.72780912,11.72780912,11.56932522,11.72780912,11.730220801221765,,,,,,0,0,0,0,,,92.28396408197023,38.94929461692615,0,11,11.72780912,11.41084131,11.41084131,11.141418664,12.04477694,11.75950591,,,12.3474812055,11.41084131,1,0,0,0,0.2,0,0,0,50,0,0.5405405506804501,12.04477694,11.41084131,0,0,0,0,8,10,0,0,1024,0,,3,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,14760
2017-11-03,11.74048784,11.75316655,11.74048784,11.75316655,11.737869384147844,,,,,,0,0,0,0,,,93.530304335692,38.62721198823772,0,12,11.75316655,11.41084131,11.41084131,11.1655082225,12.04477694,11.75950591,,,12.3474812055,11.41084131,1,0,0,0,0.2,0,0,0,50,0,0.4962243813349191,12.04477694,11.41084131,0,0,0,0,8,10,0,0,1024,0,,4,,0,0,100,3.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,370000
