time,open,high,low,close,Sprint Line EMA,Hull Baseline HMA,MA 20 Fast,MA 50 Mid,MA 200 Slow,Weinstein MA 150,Golden Cross,Death Cross,Zone 0 Long,Zone 0 Short,AVWAP Resistance,AVWAP Support,Buy Score,Sell Score,Stage 1 Base 2 Up 3 Top 4 Down,Stage Age Bars,Long Entry,Long Entry Zone Bot,Long Entry Zone Top,Long Stop Loss,Long Target,Short Entry,Short Entry Zone Bot,Short Entry Zone Top,Short Stop Loss,Short Target,Entry At Market 0No 1L 2S 3Both,Long Rev Zone,Short Rev Zone,Ext Pct vs MA200,Exhaustion Gradient,Ext Z Self Relative,Regime 0 Hlt 1 Ext 2 Clmx 3 Dist 4 Dn 5 Ign 6 Sqz,Exp Move Pct 21b,Dir Prob Pct Above 50 Bull,Long Ignition Fresh Breakout,RR To Target,Long Target T1 Waypoint,Short Target T1 Waypoint,Long RR Valid,Short RR Valid,Long In Zone,Short In Zone,Action Long Code,Action Short Code,MTF Long Aligned 0 To 3,Bear Warning Mask,Reversal Pattern Mask,Weak Level Mask,Bear Warning Age,Reversal Pattern Age,Weak Level Age,Z Velocity,Z Elasticity,Trend Bars Up,Buy Sigma Evidence,Sell Sigma Evidence,VP POC,VP VAH,VP VAL,VP HVN Above,VP HVN Below,RVOL Vs Avg,Energy IV30 Ann Pct,Energy IV Rank Pct,Energy IV HV Spread,Energy State 3 Exp 2 Warm 1 Sqz 0 Dorm,HV20 Ann Pct,ADX 14,DMI DI Plus,DMI DI Minus,POC,VAH,VAL,Volume
2023-09-27,76.29399855,82.86170198,76.29399855,79.60254088,,,,,,,0,0,0,0,,,,,0,0,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,850237
2023-09-28,80.491403,86.41715046,80.00746695,83.60242041,,,,,,,0,0,0,0,,,,,0,1,0,,,0,,0,,,0,,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,926153
2023-09-29,84.87645612,85.91346192,83.45427673,83.5135342,,,,,,,0,0,0,0,,,82.11077016291159,38.305129359549284,0,2,76.29399855,,,72.4792986225,79.34575849199999,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0.799999999999997,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.864510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,991246
2023-10-02,82.08147857,87.89858732,80.52103173,84.06660397,,,,,,,0,0,0,0,,,87.343629356034,38.305129359549284,0,3,76.29399855,,,72.4792986225,79.34575849199999,0,,,0,,0,0,3,0,0.2,0,0,0,50,0,0.799999999999997,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,23045074
2023-10-03,81.62717126,82.21974601,75.07082551,76.09647363,81.37631461800001,,,,,,0,0,0,0,,,80.45336700848108,42.88344431441926,0,4,0,,,0,,76.29399855,,,80.1086984775,73.24223860800001,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.1354893073774961,,,,,,,,,,0,,,,,,,,12671218
2023-10-04,75.72117629,79.62229337,75.40513643,76.83719206,79.86327376533335,,,,,,0,0,0,0,,,77.00823583470464,54.27402152476789,0,5,76.29399855,,,72.4792986225,79.34575849199999,0,,,0,,0,0,1.5,0,0.2,0,0,0,50,0,0.799999999999997,,,0,0,0,0,8,8,0,0,0,0,,,,0,0,100,1.364510692622504,0.8645106926225039,,,,,,,,,,0,,,,,,,,8358286
2023-10-05,75.3557552,76.03721616,71.75092549,73.52864973,77.75173242022223,,,,,,0,0,0,0,,,75.2856702478164,46.289575442158586,0,6,0,,,0,,76.29399855,,,80.1086984775,73.24223860800001,0,2,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,1.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,15351915
2023-10-06,72.13609908,77.49890053,72.13609908,77.01496449,77.50614311014814,,,,,,0,0,0,0,,,83.9310793984864,42.29735240085394,0,7,76.29399855,,,72.4792986225,87.89858732,0,,,0,,0,1.5,0,0,0.2,0,0,0,50,0,3.042071195782149,87.89858732,,1,0,0,0,8,10,0,0,0,0,,,,0,0,100,3.364510692622504,-0.6354893073774961,,,,,,,,,,0,,,,,,,,7781111
2023-10-09,75.80018626,77.03471698,72.82151054,73.68666966,76.2329852934321,,,,,,0,0,0,0,,,56.92022814935645,40.30124088020161,0,8,0,,,0,,76.29399855,,,80.1086984775,73.24223860800001,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,8,10,0,0,0,0,,,,0,0,100,-1.135489307377496,-0.6354893073774961,,,,,,,,,,0,,,,,,,,7000973
2023-10-10,73.04471369,74.57553178,71.60278181,74.07184325,75.51260461228806,,,,,,0,0,0,0,,,43.41480252479147,39.30318511987545,0,9,0,,,0,,76.29399855,,,80.1086984775,73.24223860800001,0,0,0,0,0.2,0,0,0,50,0,0,,,0,0,0,0,10,10,0,0,0,0,,,,0,0,100,-1.135489307377496,-0.6354893073774961,,,,,,,,,,0,,,,,,,,5385623
